Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,76.64,77.4,76.16,77.23,5464400,,,,,0.0,0.0,0.0,,,
2021-07-13,77.19,77.25,76.37,76.44,4595000,,,,,-0.063,-0.013,-0.05,,,
2021-07-14,76.3,76.94,75.66,76.06,3665400,,,,,-0.142,-0.038,-0.104,,,
2021-07-15,75.33,76.62,75.19,76.12,3460800,,,,,-0.197,-0.07,-0.127,,,
2021-07-16,76.7,76.81,74.62,74.82,4023800,76.134,,,,-0.342,-0.125,-0.218,,,
2021-07-19,73.28,73.42,71.41,72.6,9221300,75.208,,,,-0.629,-0.226,-0.404,,,
2021-07-20,72.83,76.26,72.58,75.96,7935000,75.112,,,,-0.579,-0.296,-0.282,,,
2021-07-21,76.38,77.9,76.19,77.56,5398300,75.412,,,,-0.405,-0.318,-0.087,,,
2021-07-22,77.28,77.49,76.31,76.88,4124300,75.564,,,,-0.318,-0.318,-0.0,,,
2021-07-23,77.69,77.69,76.69,76.87,2607600,75.974,,,,-0.247,-0.304,0.056,,,
2021-07-26,76.8,77.22,76.52,76.99,3759800,76.852,,,,-0.18,-0.279,0.099,,,
2021-07-27,78.47,80.14,78.3,79.03,8429700,77.466,,,,0.038,-0.216,0.254,,,
2021-07-28,79.83,79.83,77.89,78.11,5517100,77.576,,,,0.135,-0.145,0.28,,,
2021-07-29,79.39,79.41,78.37,78.52,4135400,77.904,,,,0.242,-0.068,0.31,,,
2021-07-30,78.26,78.61,77.63,77.89,4443600,78.108,,,54.748,0.273,0.0,0.273,,,
2021-08-02,78.06,79.49,77.49,77.58,4049200,78.226,,,52.794,0.269,0.054,0.215,,,
2021-08-03,77.66,78.83,76.44,78.8,4629200,78.18,,,58.996,0.361,0.115,0.245,,,
2021-08-04,77.82,78.28,76.72,76.88,5286000,77.934,,,48.253,0.275,0.147,0.128,,,
2021-08-05,77.4,78.32,77.21,77.83,3604600,77.796,,,52.83,0.281,0.174,0.107,,,
2021-08-06,78.34,78.81,78.09,78.45,3020200,77.908,77.031,,55.59,0.331,0.205,0.126,77.031,80.018,74.044
2021-08-09,77.99,78.32,77.51,78.0,3265600,77.992,77.069,,53.158,0.331,0.23,0.101,77.069,80.087,74.052
2021-08-10,78.1,78.88,77.93,78.52,2909100,77.936,77.173,,55.577,0.369,0.258,0.111,77.173,80.243,74.104
2021-08-11,78.66,79.42,78.32,79.38,3724800,78.436,77.34,,59.318,0.463,0.299,0.164,77.34,80.512,74.167
2021-08-12,79.19,79.42,78.27,78.81,2816500,78.632,77.474,,55.954,0.486,0.336,0.149,77.474,80.657,74.291
2021-08-13,78.92,78.95,78.06,78.16,3051300,78.574,77.641,,52.312,0.446,0.358,0.088,77.641,80.579,74.703
2021-08-16,77.68,78.17,76.65,78.06,3895900,78.586,77.914,,51.754,0.402,0.367,0.035,77.914,79.648,76.18
2021-08-17,77.4,78.09,76.72,77.58,3999200,78.398,77.995,,49.048,0.325,0.359,-0.034,77.995,79.477,76.513
2021-08-18,77.08,77.86,76.51,76.57,4256200,77.836,77.946,,43.854,0.18,0.323,-0.143,77.946,79.55,76.341
2021-08-19,76.0,76.45,74.77,75.11,5707000,77.096,77.857,,37.647,-0.052,0.248,-0.3,77.857,79.856,75.858
2021-08-20,75.06,76.13,74.8,75.74,4502400,76.612,77.8,,41.495,-0.183,0.162,-0.345,77.8,79.973,75.628
2021-08-23,76.22,77.12,76.16,76.56,3367700,76.312,77.779,,46.153,-0.218,0.086,-0.304,77.779,79.994,75.564
2021-08-24,76.7,77.57,76.6,76.99,4751800,76.194,77.677,,48.47,-0.209,0.027,-0.236,77.677,79.836,75.518
2021-08-25,77.16,77.9,76.6,77.26,3195200,76.332,77.634,,49.927,-0.178,-0.014,-0.164,77.634,79.791,75.478
2021-08-26,77.19,77.32,76.17,76.38,2596000,76.586,77.528,,45.419,-0.221,-0.056,-0.166,77.528,79.711,75.344
2021-08-27,76.76,77.63,76.73,76.96,3590400,76.83,77.481,,48.706,-0.207,-0.086,-0.121,77.481,79.672,75.29
2021-08-30,77.04,77.07,76.33,76.42,2936800,76.802,77.423,,45.933,-0.236,-0.116,-0.12,77.423,79.664,75.182
2021-08-31,76.28,76.98,76.0,76.38,3969600,76.68,77.302,,45.725,-0.26,-0.145,-0.115,77.302,79.491,75.113
2021-09-01,76.72,76.72,75.63,75.79,4109000,76.386,77.248,,42.661,-0.322,-0.18,-0.142,77.248,79.532,74.963
2021-09-02,75.88,76.55,75.81,76.18,3471600,76.346,77.165,,45.272,-0.336,-0.211,-0.125,77.165,79.48,74.85
2021-09-03,76.04,76.27,75.25,75.38,3300100,76.03,77.012,,41.134,-0.407,-0.251,-0.157,77.012,79.375,74.648
2021-09-07,75.12,75.38,74.22,74.8,5701400,75.706,76.852,,38.395,-0.505,-0.301,-0.203,76.852,79.362,74.341
2021-09-08,74.64,75.23,74.08,74.68,3911400,75.366,76.66,,37.833,-0.585,-0.358,-0.227,76.66,79.219,74.1
2021-09-09,74.73,76.01,74.55,75.39,4521200,75.286,76.46,,43.132,-0.584,-0.403,-0.181,76.46,78.733,74.187
2021-09-10,75.86,76.11,74.62,74.8,3893400,75.01,76.26,,40.075,-0.624,-0.448,-0.177,76.26,78.36,74.159
2021-09-13,75.5,75.9,74.58,75.37,4768000,75.008,76.12,,44.19,-0.603,-0.479,-0.124,76.12,78.053,74.187
2021-09-14,75.52,75.55,74.13,74.56,5253300,74.96,75.945,,39.988,-0.644,-0.512,-0.132,75.945,77.77,74.12
2021-09-15,74.96,76.65,74.64,76.48,5673400,75.32,75.89,,51.71,-0.516,-0.513,-0.003,75.89,77.568,74.212
2021-09-16,76.54,76.72,75.59,75.72,5907500,75.386,75.848,,47.736,-0.47,-0.504,0.034,75.848,77.495,74.2
2021-09-17,75.33,75.71,74.23,75.15,23128700,75.456,75.85,,44.945,-0.474,-0.498,0.024,75.85,77.494,74.205
2021-09-20,73.81,75.34,73.46,75.2,8217100,75.422,75.822,76.66,45.247,-0.468,-0.492,0.024,75.822,77.492,74.153
2021-09-21,75.41,75.83,74.5,74.9,5900300,75.49,75.739,76.613,43.697,-0.482,-0.49,0.008,75.739,77.419,74.06
2021-09-22,75.67,77.46,75.35,76.84,6233700,75.562,75.732,76.621,54.545,-0.333,-0.459,0.126,75.732,77.39,74.074
2021-09-23,77.12,78.4,77.06,78.18,5906800,76.054,75.778,76.664,60.243,-0.105,-0.388,0.283,75.778,77.651,73.905
2021-09-24,78.01,79.0,77.82,78.55,4665900,76.734,75.886,76.712,61.672,0.104,-0.289,0.394,75.886,78.123,73.65
2021-09-27,79.06,79.73,78.61,78.71,4162100,77.436,75.974,76.79,62.303,0.28,-0.176,0.455,75.974,78.505,73.443
2021-09-28,78.49,79.06,77.92,78.26,5781200,78.108,76.066,76.903,59.344,0.378,-0.065,0.443,76.066,78.791,73.341
2021-09-29,78.55,79.14,78.12,78.39,3612600,78.418,76.166,76.952,59.936,0.461,0.04,0.421,76.166,79.082,73.251
2021-09-30,78.84,78.85,77.37,77.46,5642900,78.274,76.25,76.95,53.891,0.447,0.122,0.325,76.25,79.215,73.285
2021-10-01,78.22,79.24,77.63,78.83,5499500,78.33,76.382,76.989,60.251,0.54,0.205,0.335,76.382,79.564,73.201
2021-10-04,78.4,79.3,77.89,79.02,5490600,78.392,76.564,77.032,61.053,0.622,0.289,0.333,76.564,79.916,73.213
2021-10-05,79.3,80.64,79.06,79.95,4820500,78.73,76.822,77.091,64.799,0.753,0.381,0.371,76.822,80.387,73.257
2021-10-06,79.48,80.56,78.81,80.45,4354100,79.142,77.11,77.12,66.655,0.887,0.483,0.404,77.11,80.874,73.347
2021-10-07,81.01,81.67,80.88,81.24,3750900,79.898,77.403,77.182,69.401,1.045,0.595,0.45,77.403,81.498,73.308
2021-10-08,81.37,81.85,80.87,81.66,3342700,80.464,77.746,77.245,70.779,1.19,0.714,0.476,77.746,82.066,73.426
2021-10-11,81.75,82.35,80.96,81.01,3048000,80.862,78.028,77.307,65.838,1.239,0.819,0.42,78.028,82.431,73.625
2021-10-12,80.75,81.61,80.35,80.85,3404100,81.042,78.342,77.373,64.642,1.25,0.905,0.345,78.342,82.599,74.086
2021-10-13,80.93,81.1,79.59,80.82,3285500,81.116,78.559,77.413,64.406,1.242,0.973,0.269,78.559,82.858,74.261
2021-10-14,81.39,81.53,80.3,80.36,4225300,80.94,78.792,77.483,60.74,1.185,1.015,0.17,78.792,82.943,74.64
2021-10-15,80.97,82.27,80.81,81.93,4581600,80.994,79.131,77.565,67.532,1.252,1.063,0.19,79.131,83.135,75.126
2021-10-18,81.19,82.11,80.49,81.83,3898700,81.158,79.462,77.632,66.74,1.282,1.106,0.176,79.462,83.184,75.74
2021-10-19,81.99,82.45,81.51,82.21,4195100,81.43,79.828,77.717,68.264,1.322,1.15,0.172,79.828,83.068,76.587
2021-10-20,81.73,82.83,81.18,82.62,3916600,81.79,80.116,77.799,69.867,1.37,1.194,0.177,80.116,83.265,76.968
2021-10-21,82.3,82.61,81.63,82.56,4274900,82.23,80.336,77.862,69.315,1.388,1.233,0.155,80.336,83.525,77.146
2021-10-22,82.61,83.2,82.17,82.78,4160800,82.4,80.547,77.942,70.244,1.403,1.267,0.137,80.547,83.799,77.295
2021-10-25,82.61,82.89,81.74,82.28,5953900,82.49,80.726,78.024,65.401,1.36,1.285,0.074,80.726,83.944,77.507
2021-10-26,79.56,82.18,78.4,80.35,9122500,82.118,80.83,78.07,50.833,1.156,1.259,-0.103,80.83,83.841,77.819
2021-10-27,80.34,81.61,79.92,80.35,4273200,81.664,80.928,78.125,50.833,0.983,1.204,-0.221,80.928,83.725,78.131
2021-10-28,80.53,80.93,79.97,80.37,4179900,81.226,81.074,78.201,50.965,0.838,1.131,-0.293,81.074,83.368,78.779
2021-10-29,80.26,80.89,79.76,80.08,5202300,80.686,81.136,78.301,48.925,0.692,1.043,-0.351,81.136,83.233,79.039
2021-11-01,80.12,80.37,79.27,79.8,4588800,80.19,81.175,78.382,46.97,0.547,0.944,-0.397,81.175,83.13,79.22
2021-11-02,79.78,80.03,78.58,79.12,4554100,79.944,81.134,78.433,42.527,0.373,0.83,-0.457,81.134,83.229,79.038
2021-11-03,78.42,80.01,78.36,79.91,4148500,79.856,81.107,78.491,48.609,0.296,0.723,-0.427,81.107,83.252,78.961
2021-11-04,79.61,80.28,79.09,79.36,3711700,79.654,81.012,78.533,45.036,0.188,0.616,-0.428,81.012,83.294,78.731
2021-11-05,80.9,82.21,80.26,82.17,4330400,80.072,81.038,78.649,60.866,0.325,0.558,-0.233,81.038,83.361,78.715
2021-11-08,82.29,82.61,81.38,81.74,4469100,80.46,81.074,78.745,58.108,0.395,0.525,-0.13,81.074,83.418,78.731
2021-11-09,81.74,82.07,81.08,82.0,3372900,81.036,81.132,78.856,59.308,0.466,0.513,-0.048,81.132,83.509,78.755
2021-11-10,82.02,82.4,81.23,81.27,3503200,81.308,81.155,78.954,54.579,0.458,0.502,-0.045,81.155,83.527,78.782
2021-11-11,81.18,81.48,79.92,80.25,4993600,81.486,81.149,79.043,48.731,0.365,0.475,-0.11,81.149,83.53,78.768
2021-11-12,80.37,80.43,79.86,80.08,3273100,81.068,81.056,79.121,47.812,0.274,0.435,-0.16,81.056,83.454,78.659
2021-11-15,80.77,80.77,80.06,80.52,3423100,80.824,80.991,79.224,50.419,0.235,0.395,-0.159,80.991,83.371,78.611
2021-11-16,80.45,80.94,80.03,80.11,4746200,80.446,80.886,79.33,48.012,0.169,0.35,-0.18,80.886,83.224,78.548
2021-11-17,79.99,80.25,78.57,78.81,3910600,79.954,80.696,79.413,41.282,0.012,0.282,-0.27,80.696,83.059,78.332
2021-11-18,79.03,79.58,78.26,78.78,4376300,79.66,80.506,79.481,41.139,-0.114,0.203,-0.317,80.506,82.847,78.166
2021-11-19,78.18,78.18,77.1,77.44,5478200,79.132,80.239,79.534,35.252,-0.318,0.099,-0.417,80.239,82.703,77.776
2021-11-22,77.78,79.44,77.66,78.68,6819800,78.764,80.059,79.6,43.333,-0.375,0.004,-0.379,80.059,82.419,77.7
2021-11-23,79.15,79.53,78.63,79.14,5950700,78.57,79.999,79.691,46.024,-0.379,-0.073,-0.307,79.999,82.389,77.609
2021-11-24,78.8,79.3,78.57,79.03,3464500,78.614,79.933,79.742,45.468,-0.387,-0.135,-0.251,79.933,82.355,77.511
2021-11-26,75.74,75.77,73.8,75.24,7113600,77.906,79.676,79.733,31.393,-0.691,-0.246,-0.444,79.676,82.868,76.485
2021-11-29,76.22,76.55,74.8,75.18,5835000,77.454,79.432,79.733,31.229,-0.926,-0.382,-0.543,79.432,83.194,75.669
2021-11-30,74.44,74.78,72.77,73.35,7966000,76.388,79.109,79.696,26.636,-1.245,-0.555,-0.69,79.109,83.743,74.475
2021-12-01,74.46,74.46,71.61,71.65,8499000,74.89,78.736,79.631,23.219,-1.617,-0.767,-0.85,78.736,84.445,73.026
2021-12-02,72.56,74.54,72.07,74.02,6409100,73.888,78.441,79.575,35.617,-1.701,-0.954,-0.747,78.441,84.493,72.389
2021-12-03,73.98,74.44,72.62,73.52,6038900,73.544,78.149,79.482,34.357,-1.787,-1.12,-0.666,78.149,84.567,71.731
2021-12-06,74.56,76.5,74.03,75.92,4964200,73.692,77.836,79.429,44.508,-1.642,-1.225,-0.418,77.836,84.035,71.638
2021-12-07,76.53,77.77,76.19,77.06,5102900,74.434,77.602,79.396,48.576,-1.42,-1.264,-0.156,77.602,83.528,71.677
2021-12-08,77.81,79.45,77.77,78.41,6749500,75.786,77.423,79.399,52.973,-1.121,-1.235,0.114,77.423,82.994,71.852
2021-12-09,77.95,78.47,77.52,78.1,4241900,76.602,77.264,79.393,51.876,-0.9,-1.168,0.269,77.264,82.548,71.981
2021-12-10,78.78,78.84,77.68,78.1,3294400,77.518,77.157,79.406,51.876,-0.716,-1.078,0.362,77.157,82.269,72.045
2021-12-13,77.46,77.9,76.18,76.44,4173900,77.622,76.975,79.358,45.965,-0.696,-1.001,0.306,76.975,81.905,72.045
2021-12-14,75.81,76.81,75.44,75.69,6144700,77.348,76.734,79.292,43.551,-0.732,-0.947,0.215,76.734,81.398,72.069
2021-12-15,75.65,75.89,74.39,75.62,5388300,76.79,76.509,79.205,43.322,-0.758,-0.909,0.152,76.509,80.915,72.103
2021-12-16,76.38,76.61,74.75,74.96,4546300,76.162,76.316,79.095,41.129,-0.822,-0.892,0.07,76.316,80.634,71.999
2021-12-17,74.96,75.25,73.58,74.58,8892600,75.458,76.106,78.962,39.878,-0.893,-0.892,-0.001,76.106,80.327,71.886
2021-12-20,73.45,73.74,72.23,73.45,5828400,74.86,75.907,78.798,36.336,-1.029,-0.919,-0.109,75.907,80.238,71.576
2021-12-21,74.03,76.07,74.03,75.85,7301900,74.892,75.766,78.695,47.085,-0.932,-0.922,-0.01,75.766,79.896,71.635
2021-12-22,75.67,76.82,75.62,76.21,3852800,75.01,75.619,78.602,48.489,-0.817,-0.901,0.084,75.619,79.441,71.797
2021-12-23,76.65,77.23,76.61,76.96,2650000,75.41,75.516,78.525,51.385,-0.657,-0.852,0.195,75.516,79.05,71.981
2021-12-27,76.79,77.41,76.36,77.27,2743700,75.948,75.617,78.463,52.572,-0.5,-0.782,0.282,75.617,79.234,72.0
2021-12-28,77.11,78.27,76.85,77.97,3220100,76.852,75.756,78.384,55.23,-0.316,-0.688,0.373,75.756,79.515,71.998
2021-12-29,77.57,78.02,77.25,77.85,2085300,77.252,75.982,78.304,54.664,-0.177,-0.586,0.409,75.982,79.672,72.291
2021-12-30,77.99,78.41,77.68,77.77,2459400,77.564,76.288,78.215,54.265,-0.073,-0.483,0.411,76.288,79.441,73.134
