Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,336.33,337.29,330.15,335.8,443900,,,,,0.0,0.0,0.0,,,
2021-09-08,336.64,339.84,334.08,338.94,402400,,,,,0.25,0.05,0.2,,,
2021-09-09,339.22,339.22,330.65,330.73,692600,,,,,-0.211,-0.002,-0.209,,,
2021-09-10,332.0,332.09,323.23,324.45,749200,,,,,-1.071,-0.216,-0.855,,,
2021-09-13,328.15,329.14,322.96,324.3,498900,330.844,,,,-1.745,-0.522,-1.223,,,
2021-09-14,326.5,330.9,324.38,327.9,542100,329.264,,,,-1.966,-0.811,-1.155,,,
2021-09-15,327.0,328.42,324.15,326.88,385500,326.852,,,,-2.198,-1.088,-1.11,,,
2021-09-16,327.46,328.27,324.15,326.85,325600,326.076,,,,-2.357,-1.342,-1.015,,,
2021-09-17,324.11,327.07,321.88,324.34,825800,326.054,,,,-2.655,-1.604,-1.05,,,
2021-09-20,323.06,327.98,321.56,325.01,521500,326.196,,,,-2.804,-1.844,-0.96,,,
2021-09-21,325.63,330.15,324.47,325.86,358000,325.788,,,,-2.822,-2.04,-0.782,,,
2021-09-22,327.16,331.79,324.35,329.65,355400,326.342,,,,-2.501,-2.132,-0.369,,,
2021-09-23,328.93,329.61,322.49,325.21,402500,326.014,,,,-2.576,-2.221,-0.355,,,
2021-09-24,323.62,325.15,316.0,317.19,683700,324.584,,,,-3.244,-2.425,-0.819,,,
2021-09-27,316.91,316.91,308.84,308.98,584000,321.378,,,20.455,-4.386,-2.818,-1.569,,,
2021-09-28,306.42,308.34,303.07,304.94,623700,317.194,,,18.198,-5.553,-3.365,-2.188,,,
2021-09-29,306.74,308.56,305.0,306.02,442300,312.468,,,20.717,-6.318,-3.955,-2.363,,,
2021-09-30,307.38,308.47,303.96,303.99,472200,308.224,,,19.501,-7.007,-4.566,-2.441,,,
2021-10-01,304.55,309.17,302.34,306.75,429300,306.136,,,25.87,-7.247,-5.102,-2.145,,,
2021-10-04,305.62,308.3,303.18,307.29,457900,305.798,321.054,,27.085,-7.309,-5.543,-1.766,321.054,342.769,299.339
2021-10-05,307.29,308.12,302.7,304.16,490200,305.642,319.472,,24.57,-7.525,-5.94,-1.585,319.472,341.273,297.671
