Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,198.34,200.3,197.61,199.28,309300,,,,,0.0,0.0,0.0,,,
2021-07-13,198.95,199.21,195.65,196.15,233000,,,,,-0.25,-0.05,-0.2,,,
2021-07-14,196.19,198.0,195.88,197.42,228800,,,,,-0.341,-0.108,-0.233,,,
2021-07-15,197.46,198.58,195.04,196.25,523800,,,,,-0.502,-0.187,-0.315,,,
2021-07-16,197.11,198.16,192.27,192.9,364500,196.4,,,,-0.89,-0.328,-0.562,,,
2021-07-19,191.74,191.86,187.58,189.89,371300,194.522,,,,-1.424,-0.547,-0.877,,,
2021-07-20,190.11,196.68,190.11,195.93,524300,194.478,,,,-1.344,-0.706,-0.638,,,
2021-07-21,197.6,199.5,194.47,196.61,562100,194.316,,,,-1.212,-0.807,-0.404,,,
2021-07-22,196.61,198.81,192.98,194.46,631900,193.958,,,,-1.266,-0.899,-0.367,,,
2021-07-23,195.73,199.26,194.67,197.1,478500,194.798,,,,-1.083,-0.936,-0.147,,,
2021-07-26,197.5,198.92,192.91,193.19,533400,195.458,,,,-1.24,-0.997,-0.243,,,
2021-07-27,192.24,194.27,189.82,193.46,519100,194.964,,,,-1.327,-1.063,-0.264,,,
2021-07-28,195.01,196.28,191.8,193.33,357400,194.308,,,,-1.39,-1.128,-0.262,,,
2021-07-29,195.07,195.55,192.92,193.98,290000,194.212,,,,-1.372,-1.177,-0.195,,,
2021-07-30,193.64,195.59,190.55,191.3,362600,193.052,,,36.667,-1.556,-1.253,-0.303,,,
2021-08-02,192.55,196.42,191.69,192.39,364200,192.892,,,40.382,-1.596,-1.321,-0.274,,,
2021-08-03,192.94,196.37,190.89,195.94,247500,193.388,,,50.554,-1.325,-1.322,-0.003,,,
2021-08-04,194.95,196.79,194.3,194.37,372200,193.596,,,46.755,-1.224,-1.302,0.079,,,
