Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2024-03-26,91.05,96.05,79.1,80.0,353600.0,,,,,0.0,0.0,0.0,,,
2024-03-27,80.0,80.0,74.18,75.0,454600.0,,,,,-0.399,-0.08,-0.319,,,
2024-03-28,78.0,78.0,69.0,69.55,2869600.0,,,,,-1.142,-0.292,-0.849,,,
2024-04-01,69.15,72.4,65.0,69.1,14094900.0,,,,,-1.746,-0.583,-1.163,,,
2024-04-02,67.67,68.59,64.46,66.9,9446900.0,72.11,,,,-2.376,-0.942,-1.434,,,
2024-04-03,65.53,67.77,63.86,63.89,5177200.0,68.888,,,,-3.082,-1.37,-1.712,,,
2024-04-04,63.05,68.17,62.33,67.0,5239700.0,67.288,,,,-3.352,-1.766,-1.586,,,
2024-04-05,65.97,70.15,65.18,70.06,4216600.0,67.39,,,,-3.281,-2.069,-1.212,,,
2024-04-08,70.06,71.65,66.25,67.01,4467600.0,66.972,,,,-3.432,-2.342,-1.09,,,
2024-04-09,65.48,68.0,65.01,65.52,2894600.0,66.696,,,,-3.629,-2.599,-1.03,,,
2024-04-10,64.68,64.93,63.59,63.89,2114800.0,66.696,,,,-3.873,-2.854,-1.019,,,
2024-04-11,63.57,64.3,62.3,63.17,2396500.0,65.93,,,,-4.077,-3.099,-0.979,,,
2024-04-12,62.5,63.25,61.87,62.75,1795400.0,64.468,,,,-4.224,-3.324,-0.9,,,
2024-04-15,62.1,63.79,61.56,61.69,2043100.0,63.404,,,,-4.376,-3.534,-0.842,,,
2024-04-16,62.0,62.99,61.66,61.95,1583200.0,62.69,,,22.543,-4.424,-3.712,-0.712,,,
2024-04-17,61.82,62.67,61.5,61.75,1849700.0,62.262,,,22.258,-4.427,-3.855,-0.572,,,
2024-04-18,61.84,64.11,61.38,64.03,2070500.0,62.434,,,32.683,-4.197,-3.923,-0.274,,,
2024-04-19,63.58,64.06,61.99,62.2,1469200.0,62.324,,,29.288,-4.115,-3.962,-0.154,,,
2024-04-22,62.25,62.76,61.83,62.07,1380400.0,62.4,,,29.057,-4.015,-3.972,-0.042,,,
2024-04-23,62.03,64.19,61.85,63.5,1505800.0,62.71,66.052,,35.117,-3.776,-3.933,0.157,66.052,75.668,56.435
2024-04-24,62.85,64.18,62.78,63.54,1055100.0,63.068,65.228,,35.284,-3.543,-3.855,0.312,65.228,72.299,58.158
2024-04-25,62.75,63.07,60.72,61.83,2938500.0,62.628,64.57,,31.555,-3.456,-3.775,0.319,64.57,70.092,59.048
2024-04-26,61.46,64.69,61.32,64.43,1641200.0,63.074,64.314,,41.651,-3.141,-3.648,0.507,64.314,69.314,59.314
2024-04-29,63.49,66.67,63.04,65.91,2163600.0,63.842,64.154,,46.489,-2.741,-3.467,0.726,64.154,68.694,59.615
2024-04-30,65.21,65.86,63.75,65.01,2132500.0,64.144,64.06,,44.095,-2.468,-3.267,0.799,64.06,68.434,59.686
2024-05-01,64.95,66.85,64.29,65.15,1612400.0,64.466,64.123,,44.573,-2.214,-3.057,0.842,64.123,68.523,59.723
2024-05-02,65.0,66.23,64.7,65.14,1697500.0,65.128,64.03,,44.544,-1.991,-2.844,0.852,64.03,68.249,59.811
2024-05-03,65.43,65.56,63.8,64.65,1725000.0,65.172,63.76,,43.05,-1.833,-2.641,0.808,63.76,66.909,60.61
2024-05-06,64.7,65.11,64.3,64.69,1200300.0,64.928,63.644,,43.217,-1.685,-2.45,0.765,63.644,66.44,60.847
