Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,99.41,101.1,98.4,100.52,1843600,,,,,0.0,0.0,0.0,,,
2021-09-14,100.78,101.19,98.65,99.33,1291700,,,,,-0.095,-0.019,-0.076,,,
2021-09-15,99.27,101.17,98.66,100.55,1560900,,,,,-0.071,-0.029,-0.042,,,
2021-09-16,101.09,102.56,100.55,101.71,1297600,,,,,0.041,-0.015,0.057,,,
2021-09-17,101.37,102.19,100.55,100.64,3153700,100.55,,,,0.043,-0.004,0.047,,,
2021-09-20,98.25,99.94,97.42,99.3,2525600,100.306,,,,-0.062,-0.015,-0.047,,,
2021-09-21,100.23,101.66,99.93,99.96,1616300,100.432,,,,-0.092,-0.031,-0.061,,,
2021-09-22,101.5,103.42,101.08,102.46,1955500,100.814,,,,0.085,-0.007,0.093,,,
2021-09-23,103.11,104.62,102.98,103.59,2364000,101.19,,,,0.314,0.057,0.257,,,
2021-09-24,103.23,104.46,102.59,102.62,1362200,101.586,,,,0.411,0.128,0.284,,,
2021-09-27,103.23,105.22,102.74,102.85,1960700,102.296,,,,0.502,0.202,0.299,,,
2021-09-28,102.79,103.59,102.11,102.51,1641200,102.806,,,,0.539,0.27,0.27,,,
2021-09-29,102.75,103.12,102.12,102.62,1086100,102.838,,,,0.572,0.33,0.242,,,
2021-09-30,103.11,103.11,99.22,99.64,3053500,102.048,,,,0.353,0.335,0.018,,,
2021-10-01,100.86,102.85,99.78,102.07,2160400,101.938,,,53.979,0.371,0.342,0.029,,,
2021-10-04,101.73,102.73,100.88,101.39,1487600,101.646,,,50.787,0.327,0.339,-0.012,,,
2021-10-05,101.38,101.4,99.99,100.73,1499700,101.29,,,47.83,0.236,0.318,-0.082,,,
2021-10-06,99.87,101.7,98.59,101.67,2199100,101.1,,,52.107,0.237,0.302,-0.065,,,
2021-10-07,101.98,104.42,101.93,102.74,1798500,101.72,,,56.48,0.321,0.306,0.015,,,
2021-10-08,102.72,103.57,101.01,101.26,1715200,101.558,101.408,,49.717,0.264,0.298,-0.033,101.408,103.965,98.851
2021-10-11,101.01,102.49,100.45,101.67,1081800,101.614,101.465,,51.452,0.25,0.288,-0.038,101.465,103.99,98.941
2021-10-12,101.41,103.69,100.68,103.32,1324400,102.132,101.665,,57.765,0.367,0.304,0.063,101.665,104.108,99.222
2021-10-13,103.5,105.46,102.9,105.15,2994100,102.828,101.895,,63.443,0.601,0.363,0.238,101.895,104.731,99.059
2021-10-14,105.99,107.25,105.42,106.82,2281500,103.644,102.15,,67.71,0.911,0.473,0.438,102.15,105.737,98.564
2021-10-15,107.33,108.6,106.82,107.5,2443400,104.892,102.494,,69.282,1.197,0.618,0.579,102.494,106.726,98.261
2021-10-18,107.55,111.0,107.25,110.8,3335500,106.718,103.068,,75.512,1.671,0.828,0.843,103.068,108.444,97.693
2021-10-19,111.16,111.17,109.39,109.51,1709400,107.956,103.546,,69.572,1.92,1.047,0.874,103.546,109.432,97.66
2021-10-20,109.02,111.15,108.92,111.13,1543800,109.152,103.98,,72.498,2.223,1.282,0.941,103.98,110.741,97.218
2021-10-21,110.78,111.19,109.92,110.37,1367500,109.862,104.318,,69.139,2.374,1.501,0.874,104.318,111.653,96.984
2021-10-22,111.0,111.62,110.4,111.27,1217800,110.616,104.751,,70.861,2.538,1.708,0.83,104.751,112.661,96.841
2021-10-25,111.16,112.62,110.21,112.57,1537200,110.97,105.237,,73.188,2.74,1.914,0.826,105.237,113.821,96.653
2021-10-26,112.7,113.29,111.53,112.21,1973700,111.51,105.722,,71.485,2.839,2.099,0.74,105.722,114.742,96.702
2021-10-27,112.2,112.28,110.17,110.34,1178000,111.352,106.108,,63.254,2.735,2.227,0.509,106.108,115.23,96.986
2021-10-28,110.82,112.87,110.27,112.79,1627900,111.836,106.766,,68.39,2.818,2.345,0.473,106.766,115.82,97.711
2021-10-29,112.28,113.26,111.69,112.38,2778300,112.058,107.281,,66.709,2.818,2.439,0.378,107.281,116.383,98.179
2021-11-01,113.01,114.55,112.84,114.51,2605400,112.446,107.937,,70.732,2.956,2.543,0.413,107.937,117.142,98.732
2021-11-02,120.36,122.64,118.41,121.89,5642000,114.382,108.995,,79.828,3.619,2.758,0.861,108.995,119.487,98.503
2021-11-03,121.85,127.87,121.7,127.45,4226300,117.804,110.284,,83.89,4.54,3.114,1.426,110.284,123.07,97.498
2021-11-04,127.6,128.54,126.13,127.04,2282800,120.654,111.499,,82.569,5.178,3.527,1.651,111.499,125.796,97.202
2021-11-05,129.13,131.03,128.24,130.71,2501600,124.32,112.971,,84.866,5.911,4.004,1.907,112.971,128.811,97.132
2021-11-08,130.83,131.1,127.46,128.33,1642700,127.084,114.304,,77.716,6.229,4.449,1.78,114.304,130.62,97.989
2021-11-09,128.28,128.48,126.91,128.41,1383600,128.388,115.559,,77.783,6.413,4.842,1.571,115.559,132.173,98.945
2021-11-10,127.79,128.56,125.56,125.71,1824700,128.04,116.587,,70.043,6.269,5.127,1.141,116.587,133.033,100.141
2021-11-11,126.11,127.5,125.66,126.83,1175700,127.998,117.588,,71.318,6.173,5.336,0.837,117.588,133.966,101.209
2021-11-12,127.46,127.69,125.65,126.34,1182600,127.124,118.529,,69.916,5.989,5.467,0.522,118.529,134.63,102.429
2021-11-15,126.63,127.51,125.91,127.49,1677300,126.956,119.364,,71.34,5.869,5.547,0.321,119.364,135.508,103.22
2021-11-16,127.07,127.49,125.99,126.4,1221100,126.554,120.208,,68.052,5.62,5.562,0.058,120.208,135.944,104.473
2021-11-17,125.91,128.7,124.84,128.41,1503100,127.094,121.072,,70.731,5.522,5.554,-0.032,121.072,136.605,105.54
2021-11-18,129.67,131.19,128.31,129.86,2459400,127.7,122.047,,72.521,5.498,5.543,-0.045,122.047,137.193,106.901
2021-11-19,128.73,129.17,127.16,127.83,1816500,127.998,122.875,111.264,66.398,5.254,5.485,-0.231,122.875,137.336,108.414
2021-11-22,128.9,130.83,128.04,128.79,2039300,128.258,123.686,111.829,67.783,5.08,5.404,-0.324,123.686,137.519,109.853
2021-11-23,128.71,130.87,128.18,129.59,1392500,128.896,124.555,112.435,68.933,4.95,5.313,-0.364,124.555,137.508,111.602
2021-11-24,128.81,129.75,127.75,129.59,1358800,129.132,125.518,113.015,68.933,4.791,5.209,-0.418,125.518,136.773,114.262
2021-11-26,122.91,124.81,121.35,123.03,2875400,127.766,126.03,113.442,51.469,4.089,4.985,-0.896,126.03,135.662,116.397
2021-11-29,125.63,126.25,120.7,122.62,2890700,126.724,126.542,113.881,50.606,3.459,4.68,-1.22,126.542,133.951,119.132
2021-11-30,120.86,120.99,116.34,117.17,4264900,124.4,126.675,114.239,40.811,2.492,4.242,-1.75,126.675,133.22,120.129
2021-12-01,120.03,121.77,113.19,113.25,3711400,121.132,126.242,114.505,35.491,1.393,3.672,-2.279,126.242,134.913,117.572
2021-12-02,114.95,118.05,113.75,116.42,4506500,118.498,125.691,114.784,42.068,0.769,3.092,-2.323,125.691,135.381,116.001
2021-12-03,116.53,117.14,112.97,114.38,3639600,116.768,125.058,115.0,39.292,0.108,2.495,-2.387,125.058,135.956,114.16
2021-12-06,116.63,119.22,116.16,116.99,2858400,115.642,124.372,115.287,44.352,-0.202,1.956,-2.158,124.372,135.497,113.247
2021-12-07,119.42,121.67,118.79,119.79,2650100,116.166,123.945,115.626,49.241,-0.22,1.521,-1.74,123.945,135.086,112.804
2021-12-08,119.79,121.47,119.12,120.71,2681300,117.658,123.56,115.99,50.771,-0.157,1.185,-1.342,123.56,134.583,112.537
2021-12-09,120.04,120.54,117.92,117.95,1946600,117.964,123.172,116.296,46.265,-0.327,0.883,-1.21,123.172,134.42,111.924
2021-12-10,118.91,119.04,116.25,118.09,1378300,118.706,122.735,116.665,46.524,-0.445,0.617,-1.062,122.735,134.063,111.407
2021-12-13,117.44,117.82,114.31,117.07,2416900,118.722,122.272,116.965,44.827,-0.614,0.371,-0.985,122.272,133.737,110.806
2021-12-14,117.06,117.93,116.1,116.94,2000300,118.152,121.744,117.276,44.604,-0.75,0.147,-0.896,121.744,133.169,110.319
2021-12-15,117.33,117.91,114.05,117.8,2121800,117.57,121.314,117.618,46.502,-0.779,-0.038,-0.74,121.314,132.648,109.98
2021-12-16,118.35,119.97,117.02,117.5,2750900,117.48,120.768,117.934,45.911,-0.817,-0.194,-0.623,120.768,131.708,109.829
2021-12-17,117.39,118.43,115.0,116.78,4124800,117.218,120.114,118.215,44.451,-0.894,-0.334,-0.56,120.114,130.304,109.925
2021-12-20,114.4,115.2,111.28,113.33,2665000,116.47,119.39,118.457,38.183,-1.22,-0.511,-0.709,119.39,129.327,109.452
2021-12-21,114.82,120.0,114.72,119.68,2011200,117.018,118.934,118.817,51.686,-0.955,-0.6,-0.355,118.934,127.839,110.029
2021-12-22,119.24,120.87,118.95,120.5,1077500,117.558,118.479,119.16,53.111,-0.671,-0.614,-0.057,118.479,125.899,111.06
2021-12-23,121.25,121.93,120.29,120.45,2259900,118.148,118.023,119.466,53.008,-0.445,-0.581,0.135,118.023,123.407,112.638
2021-12-27,120.44,122.79,119.69,122.75,994400,119.342,118.008,119.785,57.113,-0.079,-0.48,0.401,118.008,123.339,112.678
2021-12-28,122.07,123.38,121.45,122.24,966400,121.124,117.989,120.08,55.946,0.167,-0.351,0.518,117.989,123.253,112.726
2021-12-29,122.41,123.42,121.46,123.0,953000,121.788,118.281,120.324,57.345,0.419,-0.197,0.616,118.281,123.981,112.581
2021-12-30,123.0,125.41,122.83,123.99,1085400,122.486,118.818,120.613,59.164,0.691,-0.019,0.71,118.818,124.546,113.09
2021-12-31,123.96,125.27,123.58,123.78,1194700,123.152,119.186,120.866,58.593,0.879,0.161,0.719,119.186,125.204,113.168
2022-01-03,124.33,125.98,123.09,124.2,2128100,123.442,119.677,121.143,59.436,1.05,0.338,0.712,119.677,125.646,113.708
2022-01-04,125.69,126.97,125.36,126.27,1834100,124.248,120.141,121.443,63.391,1.337,0.538,0.799,120.141,126.649,113.633
2022-01-05,126.95,128.48,124.71,124.76,2324400,124.6,120.39,121.687,58.881,1.427,0.716,0.711,120.39,127.213,113.566
2022-01-06,125.38,127.47,124.55,126.41,1715700,125.084,120.675,121.971,62.058,1.612,0.895,0.717,120.675,128.011,113.338
2022-01-07,126.16,126.98,124.78,124.95,1457100,125.318,121.024,122.263,57.802,1.622,1.041,0.582,121.024,128.481,113.568
2022-01-10,124.2,124.73,121.71,124.64,1753600,125.406,121.352,122.5,56.91,1.587,1.15,0.437,121.352,128.841,113.863
2022-01-11,124.66,125.99,122.47,125.38,1267700,125.228,121.768,122.76,58.555,1.6,1.24,0.361,121.768,129.178,114.357
2022-01-12,125.97,126.79,125.33,125.46,931100,125.368,122.194,122.979,58.738,1.599,1.312,0.287,122.194,129.413,114.974
2022-01-13,125.85,127.25,125.71,126.28,1246800,125.342,122.617,123.067,60.66,1.645,1.378,0.267,122.617,129.746,115.489
2022-01-14,125.58,125.58,118.14,120.63,2539700,124.478,122.774,122.93,45.082,1.212,1.345,-0.133,122.774,129.558,115.99
2022-01-18,119.54,119.55,116.88,119.23,2753000,123.396,122.896,122.774,42.191,0.747,1.226,-0.479,122.896,129.303,116.49
2022-01-19,120.0,120.0,115.08,115.12,2198900,121.344,122.986,122.462,35.079,0.046,0.99,-0.943,122.986,128.857,117.115
2022-01-20,116.6,118.35,114.04,114.22,1976000,119.096,122.713,122.18,33.738,-0.575,0.677,-1.252,122.713,129.644,115.782
2022-01-21,114.01,114.31,112.0,113.86,2515300,116.612,122.381,121.889,33.191,-1.084,0.325,-1.409,122.381,130.321,114.441
2022-01-24,110.7,113.29,106.72,113.19,3755400,115.124,122.018,121.639,32.147,-1.524,-0.045,-1.479,122.018,130.933,113.103
2022-01-25,110.56,115.41,109.12,113.72,2614100,114.022,121.566,121.377,33.918,-1.809,-0.398,-1.411,121.566,131.211,111.922
