Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,76.2,77.04,75.61,76.65,1384200,,,,,0.0,0.0,0.0,,,
2021-07-13,75.82,76.93,75.41,76.24,1584100,,,,,-0.033,-0.007,-0.026,,,
2021-07-14,77.1,77.82,76.53,77.21,1500100,,,,,0.019,-0.001,0.021,,,
2021-07-15,78.02,78.15,73.62,74.22,2136300,,,,,-0.178,-0.037,-0.142,,,
2021-07-16,74.42,74.94,72.42,72.76,1611900,75.416,,,,-0.448,-0.119,-0.329,,,
2021-07-19,71.55,72.74,70.75,72.61,1938100,74.608,,,,-0.666,-0.228,-0.438,,,
2021-07-20,72.58,74.1,72.42,73.65,2470500,74.09,,,,-0.746,-0.332,-0.414,,,
2021-07-21,70.43,72.36,67.94,71.16,6407600,72.88,,,,-0.999,-0.465,-0.534,,,
2021-07-22,71.05,72.22,70.61,71.62,2309900,72.36,,,,-1.149,-0.602,-0.547,,,
2021-07-23,71.68,73.74,71.65,73.64,2723200,72.536,,,,-1.093,-0.7,-0.392,,,
2021-07-26,73.85,75.21,73.85,74.32,2467300,72.878,,,,-0.982,-0.757,-0.225,,,
2021-07-27,74.07,74.14,71.61,73.38,2111700,72.824,,,,-0.958,-0.797,-0.162,,,
2021-07-28,73.41,75.0,73.32,74.6,1436900,73.512,,,,-0.832,-0.804,-0.028,,,
2021-07-29,75.58,75.58,73.87,75.12,1011200,74.212,,,,-0.682,-0.78,0.098,,,
2021-07-30,74.73,76.63,74.53,75.72,3085100,74.628,,,54.167,-0.509,-0.725,0.217,,,
2021-08-02,76.37,76.9,75.65,76.24,2174100,75.012,,,56.646,-0.326,-0.646,0.32,,,
2021-08-03,76.38,78.48,75.96,77.89,1962200,75.914,,,63.411,-0.047,-0.526,0.479,,,
2021-08-04,77.48,77.86,76.68,76.95,1617100,76.384,,,57.871,0.097,-0.401,0.498,,,
2021-08-05,77.36,78.49,77.11,78.31,1784000,77.022,,,62.919,0.317,-0.258,0.575,,,
2021-08-06,78.7,80.27,78.69,79.38,1472100,77.754,75.084,,66.336,0.571,-0.092,0.663,75.084,79.621,70.546
2021-08-09,79.12,80.23,78.69,79.7,1044400,78.446,75.236,,67.307,0.789,0.084,0.705,75.236,80.182,70.29
2021-08-10,80.0,80.79,79.47,79.92,1547200,78.852,75.42,,67.99,0.969,0.261,0.708,75.42,80.78,70.06
2021-08-11,79.94,81.23,79.08,81.09,1704500,79.68,75.614,,71.411,1.192,0.447,0.744,75.614,81.501,69.727
2021-08-12,81.39,81.39,77.49,78.25,2058700,79.668,75.816,,55.816,1.126,0.583,0.543,75.816,81.777,69.854
