Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,207.1,207.64,206.23,207.21,673900,,,,,0.0,0.0,0.0,,,
2021-07-13,207.71,209.29,206.09,206.29,844800,,,,,-0.073,-0.015,-0.059,,,
2021-07-14,206.72,207.49,205.47,206.59,580600,,,,,-0.106,-0.033,-0.073,,,
2021-07-15,206.07,206.18,204.19,205.84,631800,,,,,-0.19,-0.064,-0.126,,,
2021-07-16,207.34,207.35,204.57,204.97,563800,206.18,,,,-0.324,-0.116,-0.207,,,
2021-07-19,202.17,204.03,201.09,203.15,1087900,205.368,,,,-0.57,-0.207,-0.363,,,
2021-07-20,203.63,207.49,203.37,206.03,913500,205.316,,,,-0.526,-0.271,-0.255,,,
2021-07-21,207.03,208.77,206.12,206.65,636900,205.328,,,,-0.436,-0.304,-0.132,,,
2021-07-22,206.79,206.79,203.6,204.81,583900,205.122,,,,-0.508,-0.345,-0.163,,,
2021-07-23,203.95,206.19,203.13,205.49,843000,205.226,,,,-0.504,-0.377,-0.127,,,
2021-07-26,205.24,206.55,203.86,205.71,913900,205.738,,,,-0.478,-0.397,-0.081,,,
2021-07-27,205.4,207.25,203.79,207.12,1176200,205.956,,,,-0.339,-0.385,0.046,,,
2021-07-28,206.42,207.87,206.42,207.17,731500,206.06,,,,-0.223,-0.353,0.13,,,
2021-07-29,208.38,208.53,205.19,205.48,938300,206.194,,,,-0.264,-0.335,0.071,,,
2021-07-30,205.25,206.75,204.26,205.27,744900,206.15,,,43.799,-0.31,-0.33,0.02,,,
2021-08-02,205.79,206.15,203.33,203.85,765400,205.778,,,37.364,-0.455,-0.355,-0.1,,,
2021-08-03,203.86,204.58,201.59,202.53,1077100,204.86,,,32.574,-0.67,-0.418,-0.252,,,
2021-08-04,201.84,202.52,200.44,200.74,1167800,203.574,,,27.436,-0.973,-0.529,-0.444,,,
2021-08-05,201.86,203.15,200.23,200.85,1087700,202.648,,,28.186,-1.19,-0.661,-0.529,,,
2021-08-06,200.82,202.21,199.2,200.2,1392800,201.634,204.797,,26.447,-1.399,-0.809,-0.59,204.797,209.205,200.39
2021-08-09,200.33,201.9,199.26,199.42,936800,200.748,204.408,,24.495,-1.609,-0.969,-0.64,204.408,209.271,199.545
2021-08-10,199.69,201.58,199.47,200.22,1292000,200.286,204.104,,30.188,-1.691,-1.113,-0.578,204.104,209.224,198.985
2021-08-11,199.68,200.41,195.35,195.94,2648900,199.326,203.572,,21.046,-2.078,-1.306,-0.772,203.572,209.716,197.428
2021-08-12,196.36,197.57,193.76,194.6,1579300,198.076,203.01,,19.096,-2.464,-1.538,-0.926,203.01,210.241,195.779
2021-08-13,195.59,197.13,194.66,196.16,1111000,197.268,202.57,,27.515,-2.614,-1.753,-0.861,202.57,210.35,194.789
2021-08-16,195.57,197.37,195.54,196.54,1021600,196.692,202.239,,29.441,-2.671,-1.936,-0.735,202.239,210.465,194.013
2021-08-17,195.99,197.41,195.51,195.86,1423600,195.82,201.73,,28.007,-2.74,-2.097,-0.643,201.73,210.222,193.239
2021-08-18,195.23,198.54,194.97,196.89,1150800,196.01,201.242,,33.307,-2.68,-2.214,-0.467,201.242,209.666,192.819
2021-08-19,194.97,197.67,194.41,196.38,896500,196.366,200.821,,32.049,-2.644,-2.3,-0.344,200.821,209.336,192.306
2021-08-20,196.09,197.6,195.68,196.34,960800,196.402,200.364,,31.947,-2.588,-2.358,-0.231,200.364,208.805,191.922
2021-08-23,197.25,199.3,196.5,198.34,999200,196.762,199.995,,41.897,-2.356,-2.357,0.001,199.995,208.09,191.9
2021-08-24,198.73,200.19,197.66,199.09,1334900,197.408,199.594,,45.136,-2.087,-2.303,0.216,199.594,206.965,192.222
2021-08-25,198.96,198.96,195.3,197.39,1177700,197.508,199.104,,39.729,-1.988,-2.24,0.252,199.104,205.606,192.603
2021-08-26,197.11,197.25,195.07,196.81,712400,197.594,198.671,,38.054,-1.934,-2.179,0.245,198.671,204.504,192.838
2021-08-27,196.17,196.77,194.9,195.04,1402600,197.334,198.159,,33.424,-2.011,-2.145,0.134,198.159,203.31,193.009
2021-08-30,194.84,195.51,194.07,194.46,754800,196.558,197.69,,32.047,-2.095,-2.135,0.04,197.69,202.345,193.035
2021-08-31,194.01,194.88,193.34,193.87,1762500,195.514,197.257,,30.664,-2.184,-2.145,-0.039,197.257,201.618,192.896
2021-09-01,195.46,198.01,193.44,197.33,1154900,195.502,197.086,,45.516,-1.952,-2.107,0.154,197.086,201.129,193.044
2021-09-02,197.76,198.17,194.46,195.08,1190000,195.156,196.798,,39.579,-1.928,-2.071,0.143,196.798,200.52,193.076
2021-09-03,194.56,195.24,193.7,194.5,699600,195.048,196.513,,38.196,-1.934,-2.043,0.11,196.513,200.004,193.022
2021-09-07,193.66,193.92,190.39,192.16,1223600,194.588,196.15,,33.161,-2.103,-2.055,-0.047,196.15,199.871,192.429
2021-09-08,192.16,199.74,191.99,199.22,1583000,195.658,196.1,,53.204,-1.648,-1.974,0.326,196.1,199.612,192.588
2021-09-09,197.46,198.73,196.61,198.34,1204400,195.86,196.22,,51.145,-1.343,-1.848,0.505,196.22,199.87,192.57
2021-09-10,199.7,199.7,196.41,196.41,661400,196.126,196.31,,46.862,-1.243,-1.727,0.484,196.31,199.88,192.741
2021-09-13,197.81,198.4,196.13,197.32,911100,196.69,196.368,,49.029,-1.077,-1.597,0.519,196.368,199.965,192.772
2021-09-14,197.93,198.26,196.57,197.95,826900,197.848,196.439,,50.534,-0.885,-1.455,0.569,196.439,200.105,192.773
2021-09-15,197.61,201.15,197.23,200.62,1108500,198.128,196.677,,56.405,-0.512,-1.266,0.754,196.677,200.777,192.577
2021-09-16,198.98,200.38,196.75,197.82,1701500,198.024,196.724,,49.738,-0.437,-1.1,0.663,196.724,200.854,192.593
2021-09-17,196.62,197.81,196.52,197.27,1754800,198.196,196.768,,48.524,-0.417,-0.963,0.547,196.768,200.903,192.633
2021-09-20,194.19,195.09,190.85,192.94,1347200,197.32,196.598,199.925,40.208,-0.742,-0.919,0.177,196.598,201.072,192.124
2021-09-21,194.0,195.59,191.55,191.98,1070700,196.126,196.28,199.621,38.627,-1.065,-0.948,-0.116,196.28,201.122,191.438
