Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,164.61,165.95,163.38,165.53,853100,,,,,0.0,0.0,0.0,,,
2021-07-13,164.94,165.4,163.33,164.13,776100,,,,,-0.112,-0.022,-0.089,,,
2021-07-14,168.3,171.07,165.06,165.85,2282900,,,,,-0.061,-0.03,-0.031,,,
2021-07-15,165.97,166.52,162.89,164.91,1657100,,,,,-0.095,-0.043,-0.052,,,
2021-07-16,165.27,166.95,162.52,162.86,1116700,164.656,,,,-0.284,-0.091,-0.193,,,
2021-07-19,160.46,162.17,159.27,162.03,1597600,163.956,,,,-0.496,-0.172,-0.324,,,
2021-07-20,162.46,165.1,160.74,163.99,1242900,163.928,,,,-0.499,-0.238,-0.262,,,
2021-07-21,164.02,167.13,164.01,167.09,1153900,164.176,,,,-0.249,-0.24,-0.009,,,
2021-07-22,165.91,166.66,164.61,165.4,1186500,164.274,,,,-0.185,-0.229,0.044,,,
2021-07-23,166.42,167.46,165.05,166.8,1340800,165.062,,,,-0.021,-0.187,0.166,,,
2021-07-26,166.46,167.43,164.77,166.91,917200,166.038,,,,0.116,-0.127,0.243,,,
2021-07-27,167.83,167.91,159.77,162.9,1897000,165.82,,,,-0.097,-0.121,0.024,,,
2021-07-28,163.89,166.75,163.14,166.29,1175300,165.66,,,,0.007,-0.095,0.102,,,
2021-07-29,166.23,171.09,166.23,170.27,2190500,166.634,,,,0.406,0.005,0.401,,,
2021-07-30,159.84,160.96,153.82,159.74,7405100,165.222,,,39.686,-0.126,-0.021,-0.105,,,
2021-08-02,160.11,163.42,159.75,162.18,2643400,164.276,,,44.781,-0.346,-0.086,-0.26,,,
2021-08-03,163.37,164.22,160.63,162.93,1716500,164.282,,,46.283,-0.456,-0.16,-0.296,,,
2021-08-04,162.41,163.29,160.53,161.72,1428900,163.368,,,44.194,-0.632,-0.254,-0.378,,,
2021-08-05,161.68,162.71,159.76,160.85,1544700,161.484,,,42.702,-0.833,-0.37,-0.463,,,
2021-08-06,159.52,161.64,159.21,161.06,1222800,161.748,164.172,,43.201,-0.964,-0.489,-0.475,164.172,169.427,158.917
2021-08-09,161.29,161.62,159.55,160.77,837100,161.466,163.934,,42.649,-1.079,-0.607,-0.472,163.934,169.358,158.51
2021-08-10,161.37,161.87,158.56,160.01,1072900,160.882,163.728,,41.165,-1.217,-0.729,-0.488,163.728,169.427,158.029
2021-08-11,161.11,161.15,158.6,159.98,979400,160.534,163.434,,41.104,-1.314,-0.846,-0.468,163.434,169.276,157.593
2021-08-12,159.43,159.54,157.18,158.68,936400,160.1,163.123,,38.454,-1.479,-0.973,-0.506,163.123,169.289,156.957
2021-08-13,158.97,159.3,158.01,158.77,912200,159.642,162.918,,38.748,-1.584,-1.095,-0.489,162.918,169.385,156.452
2021-08-16,158.05,158.31,156.37,157.76,974300,159.04,162.705,,36.63,-1.728,-1.222,-0.507,162.705,169.565,155.845
2021-08-17,156.75,156.75,153.87,155.15,1331700,158.068,162.263,,31.793,-2.03,-1.383,-0.647,162.263,169.872,154.654
2021-08-18,154.2,155.61,151.96,152.19,1733500,156.51,161.518,,27.378,-2.48,-1.603,-0.877,161.518,170.005,153.031
2021-08-19,151.37,154.58,150.5,153.91,1303100,155.556,160.944,,33.185,-2.667,-1.815,-0.851,160.944,169.868,152.019
2021-08-20,154.02,155.57,153.71,155.34,1022700,154.87,160.37,,37.648,-2.668,-1.986,-0.682,160.37,169.183,151.558
2021-08-23,156.31,157.46,155.12,157.11,1297400,154.74,159.88,,42.746,-2.498,-2.088,-0.41,159.88,168.24,151.521
2021-08-24,157.77,158.83,157.46,158.11,892000,155.332,159.641,,45.46,-2.257,-2.122,-0.135,159.641,167.91,151.372
2021-08-25,158.33,159.0,156.64,157.25,1009400,156.344,159.189,,43.548,-2.11,-2.12,0.009,159.189,166.897,151.481
2021-08-26,156.97,157.81,156.02,157.11,874800,156.984,158.531,,43.23,-1.983,-2.092,0.11,158.531,164.245,152.817
2021-08-27,157.03,159.94,156.8,159.31,995400,157.778,158.51,,49.485,-1.685,-2.011,0.326,158.51,164.207,152.812
2021-08-30,160.37,162.1,159.59,161.61,1610100,158.678,158.481,,55.06,-1.248,-1.858,0.61,158.481,164.107,152.855
2021-08-31,162.28,162.28,158.23,159.32,1577200,158.92,158.3,,49.234,-1.075,-1.702,0.626,158.3,163.544,153.057
2021-09-01,160.43,160.43,157.7,157.76,1434500,159.022,158.102,,45.687,-1.052,-1.572,0.52,158.102,163.095,153.11
2021-09-02,158.17,159.17,156.83,159.15,934300,159.43,158.017,,49.199,-0.91,-1.439,0.529,158.017,162.869,153.166
2021-09-03,159.15,161.03,158.76,158.93,828300,159.354,157.911,,48.663,-0.807,-1.313,0.506,157.911,162.571,153.251
2021-09-07,159.21,159.53,156.89,157.57,827600,158.546,157.751,,45.37,-0.825,-1.215,0.39,157.751,162.214,153.288
2021-09-08,156.97,157.08,153.18,154.33,1204800,157.548,157.467,,38.66,-1.088,-1.19,0.102,157.467,162.046,152.888
2021-09-09,154.14,156.34,153.92,154.08,799200,156.812,157.172,,38.19,-1.302,-1.212,-0.09,157.172,161.829,152.515
2021-09-10,154.97,156.96,153.8,154.0,1076800,155.782,156.938,,38.031,-1.461,-1.262,-0.199,156.938,161.743,152.133
2021-09-13,155.13,157.42,153.8,157.37,1246400,155.47,156.868,,47.882,-1.3,-1.27,-0.031,156.868,161.601,152.135
2021-09-14,158.23,158.26,154.32,154.69,1528200,154.894,156.715,,42.145,-1.373,-1.29,-0.083,156.715,161.525,151.904
