Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,44.83,45.02,44.49,44.99,1187600,,,,,0.0,0.0,0.0,,,
2021-07-13,45.07,45.26,43.89,44.0,1605600,,,,,-0.079,-0.016,-0.063,,,
2021-07-14,44.16,44.42,43.8,43.88,1336300,,,,,-0.15,-0.043,-0.107,,,
2021-07-15,43.84,44.06,43.12,43.45,1322900,,,,,-0.237,-0.082,-0.156,,,
2021-07-16,43.71,44.51,42.87,42.98,1760900,43.86,,,,-0.341,-0.133,-0.208,,,
2021-07-19,42.57,43.07,42.1,42.87,2703800,43.436,,,,-0.427,-0.192,-0.235,,,
2021-07-20,42.87,43.81,42.51,43.36,1704100,43.308,,,,-0.451,-0.244,-0.207,,,
2021-07-21,43.68,43.94,42.98,43.07,1420900,43.146,,,,-0.487,-0.292,-0.195,,,
2021-07-22,42.99,43.02,42.18,42.95,1784700,43.046,,,,-0.52,-0.338,-0.182,,,
2021-07-23,42.9,42.93,41.88,42.31,3023600,42.912,,,,-0.59,-0.388,-0.202,,,
2021-07-26,42.34,43.07,42.15,42.98,1832400,42.934,,,,-0.585,-0.428,-0.158,,,
2021-07-27,42.82,43.04,42.39,42.57,1413700,42.776,,,,-0.608,-0.464,-0.144,,,
2021-07-28,42.3,42.47,41.82,42.16,2032900,42.594,,,,-0.651,-0.501,-0.15,,,
2021-07-29,42.57,42.98,41.22,42.06,3191800,42.416,,,,-0.685,-0.538,-0.147,,,
2021-07-30,42.31,42.69,41.54,41.62,1704500,42.278,,,21.523,-0.739,-0.578,-0.161,,,
2021-08-02,41.62,43.05,41.62,41.93,1934500,42.068,,,28.229,-0.749,-0.612,-0.136,,,
2021-08-03,42.1,42.1,41.2,41.82,2020500,41.918,,,27.336,-0.756,-0.641,-0.115,,,
2021-08-04,41.49,41.88,40.86,40.88,1531100,41.662,,,21.174,-0.829,-0.679,-0.15,,,
2021-08-05,41.11,41.37,40.97,41.12,1220100,41.474,,,25.775,-0.857,-0.714,-0.142,,,
2021-08-06,41.42,42.21,41.25,41.8,1351800,41.51,42.64,,36.995,-0.815,-0.734,-0.08,42.64,44.674,40.606
2021-08-09,41.71,42.27,41.62,42.0,1045700,41.524,42.49,,39.874,-0.757,-0.739,-0.018,42.49,44.213,40.768
2021-08-10,42.07,43.72,42.06,43.59,2366000,41.878,42.47,,56.781,-0.575,-0.706,0.131,42.47,44.126,40.814
2021-08-11,43.78,44.4,43.54,44.31,2334800,42.564,42.492,,61.993,-0.37,-0.639,0.269,42.492,44.233,40.75
2021-08-12,44.4,44.4,42.86,42.88,1300100,42.916,42.463,,49.281,-0.318,-0.575,0.256,42.463,44.157,40.769
2021-08-13,43.03,43.58,42.85,43.02,1110500,43.16,42.465,,50.355,-0.263,-0.512,0.249,42.465,44.161,40.769
2021-08-16,43.04,43.43,42.45,42.89,945500,43.338,42.466,,49.311,-0.227,-0.455,0.228,42.466,44.163,40.769
2021-08-17,42.62,43.03,42.05,42.28,1065300,43.076,42.412,,44.637,-0.245,-0.413,0.168,42.412,44.058,40.766
2021-08-18,42.3,42.4,41.59,41.61,1097700,42.536,42.339,,40.137,-0.31,-0.393,0.083,42.339,43.991,40.687
2021-08-19,41.58,41.78,40.75,40.91,1309700,42.142,42.237,,36.048,-0.413,-0.397,-0.016,42.237,43.98,40.494
2021-08-20,40.79,40.97,40.53,40.68,1531600,41.674,42.156,,34.793,-0.508,-0.419,-0.089,42.156,44.031,40.28
2021-08-23,40.86,41.36,40.55,40.89,1252500,41.274,42.051,,36.951,-0.559,-0.447,-0.112,42.051,43.966,40.136
2021-08-24,41.02,41.42,40.9,41.25,1019000,41.068,41.985,,40.58,-0.564,-0.471,-0.094,41.985,43.915,40.055
2021-08-25,41.18,41.18,40.63,40.79,1078400,40.904,41.916,,37.601,-0.599,-0.496,-0.102,41.916,43.917,39.916
2021-08-26,40.49,40.7,39.89,40.16,1757500,40.754,41.822,,33.929,-0.669,-0.531,-0.138,41.822,43.968,39.675
2021-08-27,40.28,41.0,40.1,40.74,940800,40.766,41.777,,39.762,-0.67,-0.559,-0.112,41.777,43.977,39.578
2021-08-30,40.73,40.89,40.04,40.08,1230100,40.604,41.685,,35.88,-0.716,-0.59,-0.126,41.685,44.01,39.36
2021-08-31,40.1,41.0,39.92,40.76,2218400,40.506,41.632,,42.147,-0.69,-0.61,-0.08,41.632,43.992,39.272
2021-09-01,40.93,41.01,40.32,40.53,981700,40.454,41.614,,40.698,-0.68,-0.624,-0.056,41.614,44.003,39.226
2021-09-02,40.59,40.87,40.15,40.38,781500,40.498,41.578,,39.739,-0.676,-0.634,-0.041,41.578,44.02,39.135
2021-09-03,40.41,40.5,40.03,40.28,842600,40.406,41.502,,39.077,-0.673,-0.642,-0.031,41.502,44.009,38.994
2021-09-07,40.1,40.17,39.25,39.29,1730700,40.248,41.366,,33.188,-0.742,-0.662,-0.08,41.366,44.047,38.685
2021-09-08,39.31,39.86,38.95,39.68,1348000,40.032,41.17,,37.203,-0.757,-0.681,-0.076,41.17,43.736,38.605
2021-09-09,39.14,39.63,38.6,39.49,2282900,39.824,40.93,,36.066,-0.775,-0.7,-0.075,40.93,43.134,38.725
2021-09-10,39.92,40.13,39.05,39.08,1530900,39.564,40.74,,33.674,-0.813,-0.722,-0.09,40.74,42.89,38.589
2021-09-13,39.43,40.81,39.3,40.25,1531300,39.558,40.601,,44.903,-0.74,-0.726,-0.014,40.601,42.472,38.73
2021-09-14,40.17,40.22,39.59,39.94,1485800,39.688,40.454,,42.834,-0.699,-0.721,0.021,40.454,42.002,38.905
2021-09-15,39.89,40.07,39.4,39.93,1391500,39.738,40.336,,42.766,-0.66,-0.709,0.048,40.336,41.638,39.034
2021-09-16,39.85,40.09,39.62,39.77,1360600,39.794,40.244,,41.619,-0.635,-0.694,0.059,40.244,41.421,39.067
2021-09-17,39.62,39.75,38.95,39.27,3053100,39.832,40.162,,38.176,-0.648,-0.685,0.037,40.162,41.371,38.953
2021-09-20,38.62,38.93,38.15,38.67,1821100,39.516,40.062,41.564,34.488,-0.698,-0.687,-0.011,40.062,41.415,38.708
2021-09-21,38.83,39.25,38.26,38.42,1586500,39.212,39.938,41.433,33.055,-0.75,-0.7,-0.05,39.938,41.418,38.458
2021-09-22,38.77,39.5,38.58,39.13,1668200,39.052,39.832,41.335,40.602,-0.725,-0.705,-0.02,39.832,41.217,38.447
2021-09-23,39.26,39.93,39.24,39.75,1509000,39.048,39.78,41.253,46.296,-0.648,-0.693,0.046,39.78,41.09,38.47
2021-09-24,39.79,40.08,39.65,39.88,1073500,39.17,39.766,41.181,47.434,-0.569,-0.669,0.099,39.766,41.065,38.467
2021-09-27,40.3,42.45,40.22,41.85,2615600,39.806,39.822,41.159,60.939,-0.345,-0.604,0.259,39.822,41.367,38.276
2021-09-28,41.74,41.95,40.68,40.72,1970000,40.266,39.854,41.116,52.592,-0.255,-0.534,0.279,39.854,41.447,38.26
2021-09-29,40.59,41.0,40.4,40.58,1362000,40.556,39.844,41.06,51.648,-0.192,-0.466,0.273,39.844,41.418,38.271
2021-09-30,40.67,40.76,39.62,39.77,1826000,40.56,39.807,40.994,46.454,-0.206,-0.414,0.208,39.807,41.347,38.266
2021-10-01,40.0,40.47,39.62,40.41,1192500,40.666,39.808,40.943,50.675,-0.163,-0.364,0.2,39.808,41.351,38.265
2021-10-04,40.49,41.35,40.35,40.82,1523000,40.46,39.835,40.913,53.219,-0.095,-0.31,0.215,39.835,41.431,38.239
2021-10-05,40.89,41.53,40.59,41.37,1141200,40.59,39.939,40.881,56.464,0.003,-0.247,0.25,39.939,41.652,38.226
2021-10-06,40.88,41.12,39.68,40.58,2261200,40.59,39.984,40.841,50.993,0.017,-0.194,0.211,39.984,41.716,38.252
2021-10-07,40.93,41.4,40.32,40.46,1535100,40.728,40.033,40.807,50.198,0.018,-0.152,0.17,40.033,41.76,38.305
2021-10-08,40.52,40.52,39.99,40.1,1415400,40.666,40.084,40.768,47.789,-0.01,-0.124,0.114,40.084,41.752,38.415
2021-10-11,39.92,40.25,39.25,39.32,1574100,40.366,40.037,40.722,42.977,-0.094,-0.118,0.024,40.037,41.737,38.337
2021-10-12,39.33,39.96,39.2,39.25,1073700,39.942,40.002,40.669,42.563,-0.164,-0.127,-0.037,40.002,41.739,38.266
2021-10-13,39.24,39.47,38.63,39.26,1080200,39.678,39.969,40.617,42.648,-0.217,-0.145,-0.072,39.969,41.737,38.201
2021-10-14,39.55,39.95,39.39,39.73,977700,39.532,39.967,40.594,46.646,-0.218,-0.16,-0.058,39.967,41.736,38.198
2021-10-15,39.7,39.97,38.84,39.12,1823100,39.336,39.96,40.554,42.505,-0.265,-0.181,-0.084,39.96,41.742,38.177
2021-10-18,38.47,38.85,37.88,38.56,1687000,39.184,39.954,40.49,39.075,-0.344,-0.213,-0.13,39.954,41.754,38.154
2021-10-19,38.55,38.63,37.95,38.55,1608900,39.044,39.96,40.421,39.014,-0.402,-0.251,-0.151,39.96,41.738,38.183
2021-10-20,38.78,39.3,38.76,38.88,1302000,38.968,39.948,40.326,42.197,-0.417,-0.284,-0.133,39.948,41.753,38.143
2021-10-21,38.66,38.85,37.75,38.12,1634900,38.646,39.866,40.203,37.361,-0.484,-0.324,-0.16,39.866,41.848,37.885
2021-10-22,37.96,38.21,37.7,38.11,1216700,38.444,39.778,40.107,37.3,-0.533,-0.366,-0.167,39.778,41.909,37.647
2021-10-25,38.06,38.37,37.32,37.52,1915200,38.236,39.562,39.997,33.817,-0.611,-0.415,-0.196,39.562,41.686,37.437
2021-10-26,37.52,37.77,36.97,37.34,1576700,37.994,39.392,39.886,32.81,-0.68,-0.468,-0.212,39.392,41.662,37.123
2021-10-27,37.49,37.65,36.77,37.4,3033300,37.698,39.234,39.789,33.52,-0.722,-0.519,-0.203,39.234,41.596,36.871
2021-10-28,37.71,37.78,36.41,37.61,3524800,37.596,39.126,39.709,36.068,-0.73,-0.561,-0.169,39.126,41.581,36.67
2021-10-29,37.46,38.59,37.46,37.81,3058800,37.536,38.996,39.647,38.487,-0.711,-0.591,-0.12,38.996,41.44,36.551
2021-11-01,37.82,38.87,37.61,38.74,1574900,37.78,38.892,39.608,48.283,-0.615,-0.596,-0.019,38.892,41.181,36.602
2021-11-02,38.63,39.26,38.31,39.11,1605300,38.134,38.778,39.572,51.586,-0.502,-0.577,0.075,38.778,40.755,36.802
2021-11-03,39.11,40.97,38.79,40.17,2855200,38.688,38.758,39.551,59.556,-0.324,-0.526,0.202,38.758,40.663,36.853
2021-11-04,40.01,40.22,38.87,39.62,1646200,39.09,38.716,39.527,54.539,-0.225,-0.466,0.241,38.716,40.495,36.937
2021-11-05,39.97,40.34,39.6,39.97,1360400,39.522,38.71,39.523,57.021,-0.116,-0.396,0.28,38.71,40.469,36.95
2021-11-08,40.02,40.18,39.27,39.52,1209600,39.678,38.72,39.499,53.014,-0.066,-0.33,0.264,38.72,40.495,36.944
2021-11-09,39.43,39.67,38.91,39.18,774400,39.692,38.716,39.481,50.147,-0.053,-0.275,0.222,38.716,40.488,36.944
2021-11-10,39.41,39.81,39.08,39.48,1106000,39.554,38.727,39.455,52.584,-0.018,-0.223,0.205,38.727,40.516,36.938
2021-11-11,39.44,40.75,39.34,40.59,1166400,39.748,38.77,39.457,60.313,0.098,-0.159,0.257,38.77,40.696,36.844
2021-11-12,40.59,41.07,40.1,40.82,1249800,39.918,38.855,39.465,61.706,0.206,-0.086,0.292,38.855,40.985,36.725
2021-11-15,41.06,42.31,40.86,42.2,1714400,40.454,39.037,39.504,68.785,0.398,0.011,0.388,39.037,41.632,36.442
2021-11-16,42.45,42.57,41.35,41.36,1379300,40.89,39.177,39.545,61.351,0.478,0.104,0.373,39.177,41.959,36.396
2021-11-17,41.15,41.24,40.64,40.92,1032200,41.178,39.28,39.57,57.825,0.499,0.183,0.316,39.28,42.163,36.396
2021-11-18,40.76,40.8,39.82,39.89,1565700,41.038,39.368,39.578,50.508,0.428,0.232,0.196,39.368,42.21,36.526
2021-11-19,39.69,39.85,39.06,39.37,1069200,40.748,39.431,39.584,47.257,0.326,0.251,0.075,39.431,42.211,36.651
2021-11-22,39.52,40.75,39.06,40.7,1764700,40.448,39.59,39.593,55.2,0.349,0.271,0.078,39.59,42.272,36.908
2021-11-23,41.12,41.3,40.49,40.93,1371200,40.362,39.77,39.613,56.422,0.381,0.293,0.088,39.77,42.293,37.246
2021-11-24,40.81,41.07,40.34,40.52,658000,40.282,39.926,39.624,53.614,0.369,0.308,0.061,39.926,42.207,37.644
2021-11-26,39.39,39.52,38.6,39.1,913000,40.124,40.0,39.611,45.22,0.242,0.295,-0.053,40.0,42.048,37.952
2021-11-29,39.35,39.53,38.35,38.87,1394400,40.024,40.053,39.603,44.018,0.121,0.26,-0.139,40.053,41.908,38.198
2021-11-30,38.3,38.63,37.8,38.11,3047500,39.506,40.022,39.592,40.214,-0.035,0.201,-0.236,40.022,41.989,38.054
2021-12-01,38.84,39.4,37.7,37.71,1541300,38.862,39.951,39.578,38.336,-0.189,0.123,-0.312,39.951,42.142,37.761
2021-12-02,38.29,39.43,37.72,39.22,2111600,38.602,39.904,39.579,48.175,-0.187,0.061,-0.248,39.904,42.116,37.692
2021-12-03,39.32,39.67,39.16,39.54,1509100,38.69,39.9,39.575,49.995,-0.158,0.017,-0.175,39.9,42.114,37.686
2021-12-06,40.09,41.62,40.04,40.48,1747500,39.012,39.926,39.587,54.997,-0.058,0.002,-0.06,39.926,42.155,37.696
2021-12-07,40.37,40.8,39.96,40.35,1177100,39.46,39.967,39.557,54.19,0.01,0.004,0.006,39.967,42.195,37.739
2021-12-08,40.17,40.59,39.71,39.85,1234300,39.888,40.0,39.54,51.084,0.023,0.008,0.016,40.0,42.199,37.802
2021-12-09,39.67,39.84,39.16,39.38,1293700,39.92,39.996,39.516,48.283,-0.004,0.005,-0.009,39.996,42.199,37.792
2021-12-10,39.75,40.13,39.69,39.95,1217400,40.002,39.963,39.519,51.739,0.021,0.008,0.012,39.963,42.15,37.777
2021-12-13,39.89,40.23,39.07,39.77,1192100,39.86,39.911,39.507,50.589,0.025,0.012,0.013,39.911,42.061,37.761
2021-12-14,39.95,40.42,39.56,39.64,1158700,39.718,39.783,39.483,49.73,0.018,0.013,0.005,39.783,41.644,37.922
