Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,544.18,547.0,540.11,543.28,256400,,,,,0.0,0.0,0.0,,,
2021-07-13,542.07,545.69,538.69,539.04,215800,,,,,-0.338,-0.068,-0.271,,,
2021-07-14,540.77,544.51,535.98,536.87,165600,,,,,-0.772,-0.209,-0.564,,,
2021-07-15,531.31,536.83,527.27,529.07,168600,,,,,-1.726,-0.512,-1.214,,,
2021-07-16,532.51,534.66,524.8,526.59,197100,534.97,,,,-2.651,-0.94,-1.711,,,
2021-07-19,513.93,513.93,493.55,505.05,485400,527.324,,,,-5.064,-1.765,-3.3,,,
2021-07-20,506.71,530.79,505.85,529.17,296300,525.35,,,,-4.973,-2.407,-2.567,,,
2021-07-21,534.81,541.31,528.78,539.29,144800,525.834,,,,-4.038,-2.733,-1.305,,,
2021-07-22,536.65,538.83,532.41,537.94,102500,527.608,,,,-3.367,-2.86,-0.507,,,
2021-07-23,544.39,544.39,536.55,538.28,131100,529.946,,,,-2.775,-2.843,0.068,,,
2021-07-26,538.16,540.89,534.22,540.77,132600,537.09,,,,-2.082,-2.69,0.609,,,
2021-07-27,537.71,541.06,534.99,539.0,110600,539.056,,,,-1.656,-2.483,0.828,,,
2021-07-28,543.57,545.3,537.5,539.01,148700,539.0,,,,-1.302,-2.247,0.945,,,
2021-07-29,543.45,547.85,539.03,544.31,128200,540.274,,,,-0.588,-1.915,1.328,,,
2021-07-30,540.53,542.74,530.66,532.84,173900,539.186,,,45.217,-0.936,-1.72,0.783,,,
2021-08-02,539.29,540.85,527.51,528.02,199600,536.636,,,41.521,-1.583,-1.692,0.109,,,
2021-08-03,528.95,528.95,517.76,525.25,207100,533.886,,,39.522,-2.293,-1.812,-0.48,,,
2021-08-04,518.89,522.37,511.6,512.07,174700,528.498,,,31.702,-3.874,-2.225,-1.649,,,
2021-08-05,513.96,523.73,513.96,519.09,163500,523.454,,,38.664,-4.509,-2.682,-1.827,,,
2021-08-06,523.88,528.87,521.46,522.88,164900,521.462,531.391,,42.095,-4.653,-3.076,-1.577,531.391,552.561,510.221
2021-08-09,520.29,526.35,514.38,522.38,259100,520.334,530.346,,41.763,-4.752,-3.411,-1.341,530.346,551.105,509.587
2021-08-10,525.0,529.31,515.52,516.14,279700,518.512,529.201,,37.761,-5.273,-3.783,-1.49,529.201,550.461,507.941
2021-08-11,516.45,520.94,508.56,518.67,434200,519.832,528.291,,40.261,-5.42,-4.111,-1.309,528.291,549.726,506.856
2021-08-12,519.5,521.84,502.5,510.63,241400,518.14,527.369,,35.395,-6.115,-4.512,-1.603,527.369,550.203,504.535
2021-08-13,510.1,511.56,502.88,503.65,159300,514.294,526.222,,31.802,-7.146,-5.038,-2.107,526.222,551.405,501.039
2021-08-16,500.32,504.81,496.68,501.88,209700,510.194,526.064,,30.944,-8.014,-5.633,-2.38,526.064,551.841,500.286
2021-08-17,496.35,501.83,494.82,501.55,145800,507.276,524.682,,30.778,-8.628,-6.232,-2.396,524.682,552.627,496.738
2021-08-18,501.3,506.79,495.7,501.31,192100,503.804,522.784,,30.648,-9.031,-6.792,-2.239,522.784,551.694,493.873
