Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,114.05,114.32,109.89,110.36,841200,,,,,0.0,0.0,0.0,,,
2021-07-13,110.25,111.47,109.87,110.85,546800,,,,,0.039,0.008,0.031,,,
2021-07-14,110.11,111.54,107.36,108.75,958000,,,,,-0.098,-0.013,-0.085,,,
2021-07-15,108.69,110.16,108.02,109.89,448800,,,,,-0.114,-0.033,-0.08,,,
2021-07-16,110.52,112.64,109.32,112.13,805600,110.396,,,,0.054,-0.016,0.07,,,
2021-07-19,110.98,112.79,110.28,111.33,517200,110.59,,,,0.121,0.011,0.11,,,
2021-07-20,111.9,114.71,111.9,114.17,909600,111.254,,,,0.399,0.089,0.31,,,
2021-07-21,114.13,114.73,111.32,113.22,449600,112.148,,,,0.536,0.178,0.358,,,
2021-07-22,113.23,115.13,113.22,114.69,297200,113.108,,,,0.755,0.294,0.461,,,
2021-07-23,115.03,117.1,115.03,115.97,469600,113.876,,,,1.02,0.439,0.581,,,
2021-07-26,115.74,116.51,114.85,115.42,236800,114.694,,,,1.172,0.585,0.586,,,
2021-07-27,115.64,116.03,113.95,115.78,288800,115.016,,,,1.306,0.729,0.577,,,
2021-07-28,115.2,116.82,115.11,116.55,566400,115.682,,,,1.458,0.875,0.583,,,
2021-07-29,117.03,119.09,116.35,118.1,252800,116.364,,,,1.684,1.037,0.647,,,
2021-07-30,117.53,119.35,117.53,117.89,304000,116.748,,,75.431,1.825,1.195,0.631,,,
2021-08-02,118.81,118.91,115.91,118.74,566000,117.412,,,77.49,1.983,1.352,0.63,,,
2021-08-03,118.64,118.75,116.14,117.65,618400,117.786,,,69.45,1.997,1.481,0.516,,,
2021-08-04,117.79,119.26,117.18,118.99,1246000,118.274,,,73.14,2.092,1.603,0.488,,,
2021-08-05,119.67,123.29,117.24,119.94,967200,118.642,,,75.408,2.218,1.726,0.492,,,
2021-08-06,119.78,119.78,115.14,117.78,851200,118.62,114.91,,62.49,2.119,1.805,0.315,114.91,121.724,108.096
2021-08-09,117.56,119.6,116.4,117.16,1038400,118.304,115.25,,59.347,1.969,1.838,0.131,115.25,121.781,108.719
2021-08-10,117.1,117.1,112.89,113.36,659200,117.446,115.375,,44.556,1.525,1.775,-0.25,115.375,121.642,109.109
2021-08-11,113.79,113.79,111.62,113.16,385600,116.28,115.596,,43.936,1.144,1.649,-0.505,115.596,121.151,110.041
2021-08-12,113.34,114.75,113.06,113.4,520800,114.972,115.772,,44.927,0.852,1.489,-0.638,115.772,120.76,110.783
2021-08-13,113.79,114.71,112.95,114.23,440000,114.262,115.876,,48.33,0.679,1.327,-0.648,115.876,120.625,111.128
2021-08-16,113.59,117.16,113.59,116.8,596400,114.19,116.15,,57.157,0.741,1.21,-0.469,116.15,120.4,111.9
2021-08-17,116.88,116.88,115.28,115.96,406800,114.71,116.239,,53.915,0.714,1.111,-0.397,116.239,120.388,112.091
2021-08-18,116.16,116.85,114.84,115.18,370000,115.114,116.338,,51.021,0.623,1.013,-0.39,116.338,120.273,112.402
2021-08-19,114.08,117.29,113.66,116.41,559600,115.716,116.424,,55.113,0.642,0.939,-0.297,116.424,120.282,112.565
2021-08-20,116.63,118.2,116.36,117.29,463600,116.328,116.489,,57.827,0.72,0.895,-0.175,116.489,120.36,112.619
2021-08-23,117.66,119.44,116.97,117.4,835200,116.448,116.588,,58.168,0.782,0.873,-0.091,116.588,120.445,112.732
2021-08-24,118.18,121.13,117.64,120.48,932800,117.352,116.824,,66.359,1.067,0.912,0.156,116.824,121.03,112.617
2021-08-25,121.3,123.1,120.08,122.37,3044400,118.79,117.114,,70.213,1.429,1.015,0.414,117.114,121.993,112.236
2021-08-26,121.68,123.28,120.14,120.65,2018000,119.638,117.242,,63.125,1.56,1.124,0.435,117.242,122.356,112.128
2021-08-27,120.51,121.34,118.77,121.09,32906000,120.398,117.402,,64.123,1.679,1.235,0.444,117.402,122.794,112.01
2021-08-30,122.62,125.06,121.63,123.74,1269600,121.666,117.652,,69.479,1.965,1.381,0.584,117.652,123.726,111.578
2021-08-31,124.55,124.55,121.04,122.1,1356000,121.99,117.875,,63.191,2.035,1.512,0.523,117.875,124.266,111.483
2021-09-01,122.31,124.16,121.22,123.62,775200,122.24,118.106,,66.241,2.189,1.647,0.541,118.106,124.984,111.228
2021-09-02,124.74,125.58,123.77,124.95,1004000,123.1,118.357,,68.686,2.39,1.796,0.594,118.357,125.853,110.86
2021-09-03,124.69,127.56,124.13,125.52,650400,123.986,118.744,,69.698,2.566,1.95,0.616,118.744,126.886,110.601
2021-09-07,126.07,126.07,124.03,125.78,916400,124.394,119.174,,70.172,2.695,2.099,0.596,119.174,127.859,110.49
2021-09-08,124.39,126.31,123.61,124.21,498800,124.816,119.717,,63.695,2.641,2.207,0.433,119.717,128.226,111.208
2021-09-09,125.0,125.38,124.06,124.31,661200,124.954,120.274,,63.923,2.576,2.281,0.295,120.274,128.428,112.121
2021-09-10,125.26,126.7,124.05,126.42,893600,125.248,120.926,,68.436,2.664,2.358,0.306,120.926,128.844,113.007
2021-09-13,127.39,127.82,121.22,122.95,873200,124.734,121.362,,56.024,2.426,2.371,0.055,121.362,128.664,114.059
2021-09-14,124.0,126.3,123.9,124.73,759200,124.524,121.758,,60.029,2.354,2.368,-0.014,121.758,128.876,114.64
2021-09-15,127.01,130.37,125.03,129.56,1404000,125.594,122.438,,68.43,2.656,2.425,0.23,122.438,129.818,115.058
2021-09-16,128.69,129.73,127.6,129.52,640000,126.636,123.155,,68.302,2.859,2.512,0.347,123.155,130.35,115.96
2021-09-17,129.85,132.1,129.34,130.72,4243200,127.496,123.87,,70.109,3.081,2.626,0.455,123.87,131.087,116.654
2021-09-20,128.49,131.03,126.73,129.36,1605200,128.778,124.474,118.813,65.549,3.111,2.723,0.389,124.474,131.386,117.562
2021-09-21,130.04,131.12,128.39,129.7,1021600,129.772,125.089,119.199,66.142,3.127,2.804,0.323,125.089,131.523,118.655
2021-09-22,129.42,130.5,127.66,130.39,1345600,129.938,125.584,119.59,67.369,3.159,2.875,0.284,125.584,132.05,119.119
2021-09-23,131.41,133.04,130.93,131.34,784400,130.302,126.033,120.042,69.033,3.223,2.944,0.279,126.033,132.797,119.269
2021-09-24,130.26,132.21,129.55,131.82,630400,130.522,126.592,120.481,69.87,3.275,3.011,0.265,126.592,133.329,119.854
2021-09-27,130.98,130.98,124.45,125.11,852400,129.672,126.792,120.74,49.674,2.744,2.957,-0.214,126.792,133.062,120.523
2021-09-28,123.1,123.31,119.18,119.59,1013200,127.65,126.585,120.905,39.547,1.855,2.737,-0.881,126.585,133.52,119.65
2021-09-29,121.17,122.29,119.77,120.0,887200,125.572,126.48,121.022,40.517,1.171,2.424,-1.253,126.48,133.756,119.204
2021-09-30,120.95,122.81,118.4,118.54,1076400,123.012,126.226,121.128,38.168,0.505,2.04,-1.535,126.226,134.239,118.213
2021-10-01,118.76,121.39,115.41,120.8,866000,120.808,126.018,121.251,43.617,0.158,1.663,-1.506,126.018,134.379,117.658
2021-10-04,119.87,119.89,116.18,117.72,584000,119.33,125.628,121.286,38.622,-0.362,1.258,-1.62,125.628,134.777,116.48
2021-10-05,118.47,120.38,117.18,118.26,572800,119.064,125.253,121.342,39.921,-0.722,0.862,-1.584,125.253,134.975,115.53
2021-10-06,117.14,118.47,116.03,118.29,575200,118.722,124.956,121.393,39.997,-0.993,0.491,-1.484,124.956,135.161,114.752
2021-10-07,118.87,121.27,118.87,119.48,870400,118.91,124.715,121.451,43.072,-1.099,0.173,-1.272,124.715,135.209,114.221
2021-10-08,119.81,119.81,117.03,117.33,339200,118.216,124.261,121.436,39.167,-1.342,-0.13,-1.212,124.261,135.22,113.301
2021-10-11,117.36,118.16,116.4,116.98,399600,118.068,123.962,121.418,38.554,-1.544,-0.413,-1.131,123.962,135.387,112.537
2021-10-12,118.4,118.79,115.02,116.93,628400,117.802,123.572,121.381,38.461,-1.689,-0.668,-1.021,123.572,135.412,111.732
2021-10-13,118.0,118.22,116.49,118.15,408400,117.774,123.002,121.391,42.114,-1.686,-0.872,-0.815,123.002,134.725,111.278
2021-10-14,119.46,122.04,119.43,121.79,688800,118.236,122.615,121.447,51.387,-1.374,-0.972,-0.402,122.615,133.937,111.293
