Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,42.8,43.88,42.51,43.78,4026600,,,,,0.0,0.0,0.0,,,
2021-07-13,43.57,43.76,42.93,43.08,4636800,,,,,-0.056,-0.011,-0.045,,,
2021-07-14,43.09,43.67,42.35,42.86,6275800,,,,,-0.117,-0.032,-0.084,,,
2021-07-15,42.52,44.28,42.34,43.98,6293500,,,,,-0.073,-0.04,-0.033,,,
2021-07-16,44.25,44.28,42.69,42.83,5342900,43.306,,,,-0.13,-0.058,-0.072,,,
2021-07-19,42.12,42.35,40.84,41.09,7131800,42.768,,,,-0.313,-0.109,-0.203,,,
2021-07-20,41.02,43.25,40.89,42.57,6274900,42.666,,,,-0.334,-0.154,-0.179,,,
2021-07-21,43.04,43.88,42.91,43.53,4352200,42.8,,,,-0.27,-0.177,-0.092,,,
2021-07-22,43.32,43.42,42.57,42.78,3307700,42.56,,,,-0.276,-0.197,-0.079,,,
2021-07-23,43.24,43.5,42.65,42.88,3186400,42.57,,,,-0.27,-0.212,-0.059,,,
2021-07-26,43.0,43.45,42.92,43.23,3488800,42.998,,,,-0.235,-0.216,-0.018,,,
2021-07-27,42.68,43.57,42.42,43.27,5234700,43.138,,,,-0.201,-0.213,0.012,,,
2021-07-28,43.75,43.8,42.71,43.37,4884300,43.106,,,,-0.164,-0.203,0.039,,,
2021-07-29,43.74,43.96,43.17,43.56,3248100,43.262,,,,-0.118,-0.186,0.068,,,
2021-07-30,43.38,43.98,42.77,42.86,5808400,43.258,,,45.715,-0.137,-0.177,0.04,,,
2021-08-02,43.09,44.07,42.61,42.63,4496800,43.138,,,43.741,-0.168,-0.175,0.007,,,
2021-08-03,42.91,43.69,41.93,43.55,4018200,43.194,,,52.564,-0.118,-0.163,0.046,,,
2021-08-04,42.95,43.65,42.76,42.98,4028900,43.116,,,47.585,-0.122,-0.155,0.033,,,
2021-08-05,43.44,43.78,43.31,43.74,3526300,43.152,,,53.861,-0.063,-0.137,0.073,,,
2021-08-06,44.38,44.99,44.15,44.57,4179300,43.494,43.157,,59.556,0.049,-0.1,0.149,43.157,44.56,41.754
2021-08-09,44.42,45.04,43.97,44.66,3892400,43.9,43.201,,60.131,0.144,-0.051,0.195,43.201,44.736,41.666
2021-08-10,44.51,45.65,44.42,45.64,5999800,44.318,43.329,,65.826,0.295,0.018,0.277,43.329,45.209,41.449
2021-08-11,45.63,46.41,45.13,46.35,6605700,44.992,43.503,,69.252,0.467,0.108,0.359,43.503,45.802,41.205
2021-08-12,46.33,46.7,46.0,46.45,4436000,45.534,43.627,,69.713,0.604,0.207,0.397,43.627,46.272,40.982
2021-08-13,46.55,46.73,45.47,45.55,4773200,45.73,43.763,,60.874,0.633,0.292,0.34,43.763,46.513,41.013
2021-08-16,45.25,45.33,44.51,45.31,3415700,45.86,43.974,,58.735,0.629,0.36,0.269,43.974,46.499,41.449
2021-08-17,44.85,45.19,44.04,44.61,3553400,45.654,44.076,,52.898,0.563,0.4,0.163,44.076,46.526,41.626
2021-08-18,44.36,44.98,44.06,44.11,3134500,45.206,44.105,,49.141,0.465,0.413,0.052,44.105,46.542,41.668
2021-08-19,43.46,44.12,43.23,43.69,4371800,44.654,44.15,,46.175,0.349,0.4,-0.051,44.15,46.516,41.785
2021-08-20,43.58,44.14,43.36,44.12,3354900,44.368,44.212,,49.534,0.289,0.378,-0.089,44.212,46.502,41.923
2021-08-23,44.46,44.75,44.39,44.52,2687300,44.21,44.277,,52.503,0.27,0.357,-0.086,44.277,46.522,42.032
2021-08-24,44.51,45.11,44.5,45.02,2409200,44.292,44.364,,55.989,0.293,0.344,-0.051,44.364,46.58,42.149
2021-08-25,45.25,46.1,45.01,45.7,2691000,44.61,44.481,,60.261,0.361,0.347,0.014,44.481,46.721,42.241
2021-08-26,45.74,45.96,45.18,45.23,3041300,44.918,44.564,,56.2,0.373,0.352,0.021,44.564,46.785,42.344
2021-08-27,45.37,46.12,45.27,46.02,3758400,45.298,44.723,,60.962,0.441,0.37,0.071,44.723,46.881,42.564
2021-08-30,46.04,46.12,45.02,45.08,3196500,45.41,44.845,,53.508,0.414,0.379,0.035,44.845,46.769,42.921
2021-08-31,45.23,45.51,44.8,45.3,5612900,45.466,44.932,,54.898,0.406,0.384,0.022,44.932,46.765,43.1
2021-09-01,45.57,45.57,44.43,44.63,5519900,45.252,45.015,,49.996,0.342,0.376,-0.034,45.015,46.611,43.419
2021-09-02,44.65,45.2,44.55,44.93,3529100,45.192,45.074,,52.06,0.311,0.363,-0.052,45.074,46.555,43.594
2021-09-03,44.96,45.12,44.55,44.81,2580600,44.95,45.086,,51.151,0.275,0.345,-0.071,45.086,46.553,43.62
2021-09-07,44.89,45.38,44.43,44.47,4190000,44.828,45.077,,48.562,0.215,0.319,-0.104,45.077,46.558,43.596
2021-09-08,44.32,44.61,43.91,44.17,2824400,44.602,45.004,,46.334,0.143,0.284,-0.141,45.004,46.513,43.494
2021-09-09,44.13,44.91,43.95,44.24,3379100,44.524,44.898,,46.945,0.09,0.245,-0.156,44.898,46.302,43.494
2021-09-10,44.6,44.61,43.77,43.82,3196800,44.302,44.766,,43.725,0.013,0.199,-0.185,44.766,46.046,43.487
2021-09-13,44.16,44.73,44.06,44.64,4310100,44.268,44.721,,50.819,0.019,0.163,-0.144,44.721,45.946,43.496
2021-09-14,44.63,44.86,43.15,43.37,6008600,44.048,44.624,,41.99,-0.078,0.115,-0.193,44.624,45.956,43.292
2021-09-15,43.39,44.35,43.39,44.12,4920300,44.038,44.6,,47.762,-0.093,0.073,-0.166,44.6,45.95,43.249
2021-09-16,44.42,44.67,43.8,43.89,5272100,43.968,44.588,,46.242,-0.123,0.034,-0.157,44.588,45.959,43.218
2021-09-17,43.78,44.52,43.75,43.92,19623700,43.988,44.6,,46.482,-0.142,-0.001,-0.141,44.6,45.943,43.257
2021-09-20,42.77,43.06,41.78,42.61,9463400,43.582,44.524,44.082,38.44,-0.26,-0.053,-0.207,44.524,46.126,42.923
2021-09-21,42.87,43.06,42.41,42.61,4029300,43.43,44.429,44.059,38.44,-0.349,-0.112,-0.237,44.429,46.245,42.613
2021-09-22,43.28,43.89,43.15,43.46,4933900,43.298,44.351,44.067,45.531,-0.347,-0.159,-0.188,44.351,46.194,42.508
2021-09-23,43.96,45.52,43.96,45.32,6262400,43.584,44.332,44.116,57.161,-0.194,-0.166,-0.028,44.332,46.123,42.541
2021-09-24,45.48,46.31,45.27,46.04,5608400,44.008,44.372,44.157,60.662,-0.014,-0.136,0.122,44.372,46.282,42.463
2021-09-27,46.68,48.05,46.58,47.75,5994300,45.036,44.459,44.255,67.464,0.264,-0.056,0.32,44.459,46.792,42.126
2021-09-28,47.89,48.22,46.83,46.99,6925400,45.912,44.554,44.373,62.307,0.418,0.039,0.379,44.554,47.138,41.971
2021-09-29,47.19,47.39,46.81,47.17,3820800,46.654,44.648,44.465,63.028,0.548,0.141,0.407,44.648,47.469,41.827
2021-09-30,47.5,47.69,46.53,46.56,6660800,46.902,44.744,44.526,58.917,0.595,0.232,0.363,44.744,47.692,41.797
2021-10-01,46.92,48.16,46.51,47.81,5106000,47.256,44.889,44.627,64.087,0.725,0.33,0.395,44.889,48.14,41.637
2021-10-04,47.83,48.55,47.5,47.67,4096300,47.24,45.032,44.722,63.128,0.807,0.426,0.381,45.032,48.512,41.551
2021-10-05,47.39,48.24,47.39,47.85,3988900,47.412,45.2,44.815,63.876,0.877,0.516,0.361,45.2,48.889,41.512
2021-10-06,47.57,47.78,46.66,47.74,3994000,47.526,45.379,44.904,63.035,0.913,0.595,0.317,45.379,49.2,41.558
2021-10-07,48.15,48.46,47.84,48.05,3370800,47.824,45.57,44.998,64.456,0.955,0.667,0.288,45.57,49.529,41.61
2021-10-08,48.12,48.54,47.78,48.29,2678400,47.92,45.793,45.092,65.56,0.996,0.733,0.263,45.793,49.84,41.746
2021-10-11,48.63,48.74,47.8,47.81,2844500,47.948,45.951,45.191,61.449,0.979,0.782,0.197,45.951,50.057,41.846
2021-10-12,47.63,48.02,47.39,47.81,2622500,47.94,46.174,45.295,61.449,0.955,0.817,0.138,46.174,50.17,42.177
2021-10-13,47.62,47.79,46.41,47.57,4692200,47.906,46.346,45.375,59.294,0.905,0.834,0.071,46.346,50.266,42.426
2021-10-14,48.11,48.14,47.36,48.14,4505200,47.924,46.558,45.479,62.645,0.902,0.848,0.054,46.558,50.377,42.74
2021-10-15,48.61,49.2,47.96,48.7,5277400,48.006,46.798,45.578,65.639,0.933,0.865,0.068,46.798,50.518,43.077
2021-10-18,48.65,49.59,48.61,49.03,6523500,48.25,47.118,45.667,67.301,0.974,0.887,0.087,47.118,50.4,43.837
2021-10-19,49.26,49.78,49.1,49.67,4086900,48.622,47.472,45.767,70.303,1.046,0.919,0.127,47.472,50.179,44.764
2021-10-20,49.52,50.72,49.38,50.71,4236000,49.25,47.834,45.869,74.413,1.173,0.969,0.203,47.834,50.2,45.468
2021-10-21,50.71,51.05,50.2,50.47,3704200,49.716,48.092,45.951,71.939,1.24,1.024,0.216,48.092,50.427,45.756
2021-10-22,50.65,51.43,50.65,51.16,4156900,50.208,48.348,46.045,74.558,1.334,1.086,0.248,48.348,50.852,45.843
2021-10-25,51.42,51.54,51.13,51.26,3360600,50.654,48.523,46.159,74.924,1.4,1.148,0.251,48.523,51.326,45.72
2021-10-26,51.34,51.53,50.98,51.16,4165000,50.952,48.732,46.276,73.783,1.427,1.204,0.223,48.732,51.671,45.792
2021-10-27,50.87,51.2,50.01,50.02,4640200,50.814,48.874,46.385,62.161,1.342,1.232,0.11,48.874,51.771,45.977
2021-10-28,50.31,50.81,50.27,50.72,4121800,50.864,49.082,46.517,65.73,1.316,1.249,0.067,49.082,51.875,46.289
2021-10-29,50.78,50.96,50.36,50.39,4994800,50.71,49.211,46.651,62.726,1.254,1.25,0.004,49.211,51.995,46.427
2021-11-01,50.81,51.28,50.67,51.15,3412200,50.688,49.385,46.791,66.521,1.251,1.25,0.002,49.385,52.198,46.572
2021-11-02,50.95,51.47,50.84,51.05,4159100,50.666,49.545,46.922,65.575,1.227,1.245,-0.018,49.545,52.354,46.736
