Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,62.92,63.54,62.71,63.43,6072800,,,,,0.0,0.0,0.0,,,
2021-07-13,63.22,63.53,62.73,62.89,3775000,,,,,-0.043,-0.009,-0.034,,,
2021-07-14,63.25,64.36,63.18,63.82,8748800,,,,,-0.002,-0.007,0.005,,,
2021-07-15,63.58,63.66,62.99,63.29,4905700,,,,,-0.012,-0.008,-0.004,,,
2021-07-16,63.61,63.78,62.46,62.68,7819900,63.222,,,,-0.069,-0.02,-0.048,,,
2021-07-19,61.52,61.95,60.09,60.46,8043800,62.628,,,,-0.289,-0.074,-0.215,,,
2021-07-20,60.25,62.16,59.91,61.83,5312000,62.416,,,,-0.35,-0.129,-0.22,,,
2021-07-21,62.36,63.14,62.11,62.74,3499500,62.2,,,,-0.32,-0.167,-0.153,,,
2021-07-22,62.87,62.97,62.09,62.55,2884500,62.052,,,,-0.309,-0.196,-0.113,,,
2021-07-23,62.99,63.61,62.58,63.39,4816900,62.194,,,,-0.229,-0.202,-0.027,,,
2021-07-26,63.18,64.08,63.06,63.89,4861200,62.88,,,,-0.124,-0.187,0.062,,,
2021-07-27,63.61,64.14,63.25,63.64,3789300,63.242,,,,-0.061,-0.162,0.101,,,
2021-07-28,63.64,63.92,62.94,63.11,3123800,63.316,,,,-0.053,-0.14,0.087,,,
2021-07-29,63.58,64.41,63.37,64.01,4318600,63.608,,,,0.026,-0.107,0.133,,,
2021-07-30,63.48,64.88,63.48,63.98,3668600,63.726,,,56.414,0.085,-0.068,0.154,,,
2021-08-02,64.33,64.33,62.99,63.18,5747600,63.584,,,49.481,0.067,-0.041,0.108,,,
2021-08-03,63.61,64.15,62.62,64.14,3832000,63.684,,,56.405,0.128,-0.007,0.136,,,
2021-08-04,63.54,64.02,62.51,62.53,6909000,63.568,,,45.213,0.046,0.003,0.043,,,
2021-08-05,62.66,63.83,62.53,63.76,4340400,63.518,,,52.902,0.08,0.019,0.061,,,
2021-08-06,64.23,64.71,63.95,64.44,3456900,63.61,63.188,,56.534,0.159,0.047,0.113,63.188,65.023,61.353
2021-08-09,64.16,64.45,63.56,64.09,3190100,63.792,63.221,,54.216,0.192,0.076,0.116,63.221,65.097,61.345
2021-08-10,64.27,66.79,64.27,66.41,7078200,64.246,63.397,,64.581,0.4,0.141,0.26,63.397,65.744,61.05
2021-08-11,66.73,66.99,66.14,66.92,4264900,65.124,63.552,,66.382,0.6,0.233,0.367,63.552,66.377,60.727
2021-08-12,67.0,67.13,66.07,66.77,4273300,65.726,63.726,,65.33,0.737,0.334,0.404,63.726,66.892,60.56
2021-08-13,66.51,66.72,65.59,65.78,5389000,65.994,63.881,,58.713,0.758,0.418,0.339,63.881,67.133,60.629
2021-08-16,65.62,65.7,64.68,65.65,4055600,66.306,64.14,,57.884,0.754,0.486,0.269,64.14,67.054,61.227
2021-08-17,65.36,65.36,63.9,64.53,8008300,65.93,64.275,,51.179,0.654,0.519,0.135,64.275,66.981,61.57
2021-08-18,64.1,68.75,63.36,68.12,14316300,66.17,64.544,,65.124,0.854,0.586,0.268,64.544,67.648,61.441
2021-08-19,66.56,68.93,66.53,68.67,11723200,66.55,64.85,,66.694,1.045,0.678,0.367,64.85,68.312,61.389
2021-08-20,68.22,69.44,67.78,69.09,7835600,67.212,65.136,,67.883,1.217,0.786,0.431,65.136,69.005,61.266
2021-08-23,69.35,71.02,69.35,70.11,9979400,68.104,65.446,,70.625,1.418,0.912,0.506,65.446,69.857,61.036
2021-08-24,70.24,71.07,70.08,70.28,7444800,69.254,65.779,,71.068,1.574,1.045,0.529,65.779,70.597,60.96
2021-08-25,69.88,70.99,69.74,70.74,5365200,69.778,66.16,,72.287,1.714,1.179,0.536,66.16,71.287,61.033
2021-08-26,70.17,70.17,68.48,68.91,6277300,69.826,66.405,,61.235,1.659,1.275,0.384,66.405,71.568,61.242
2021-08-27,69.16,69.37,68.49,68.72,5087100,69.752,66.642,,60.205,1.581,1.336,0.245,66.642,71.771,61.513
2021-08-30,68.76,68.9,67.84,67.93,4496600,69.316,66.88,,55.991,1.44,1.357,0.083,66.88,71.768,61.991
2021-08-31,67.71,68.04,67.23,67.86,5829800,68.832,67.066,,55.62,1.307,1.347,-0.04,67.066,71.796,62.335
2021-09-01,68.27,68.49,67.14,67.26,4103200,68.136,67.302,,52.41,1.14,1.305,-0.166,67.302,71.523,63.081
