Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,36.23,36.45,35.93,36.1,3987500,,,,,0.0,0.0,0.0,,,
2021-09-08,36.15,36.42,35.97,36.35,4012000,,,,,0.02,0.004,0.016,,,
2021-09-09,36.46,36.89,36.19,36.77,4080500,,,,,0.069,0.017,0.052,,,
2021-09-10,36.99,37.84,36.83,37.35,5247500,,,,,0.153,0.044,0.109,,,
2021-09-13,37.44,37.6,36.54,36.84,7475500,36.682,,,,0.176,0.07,0.105,,,
2021-09-14,37.0,37.54,36.85,37.42,3849000,36.946,,,,0.238,0.104,0.134,,,
2021-09-15,37.39,37.51,37.04,37.39,4522500,37.154,,,,0.282,0.14,0.143,,,
2021-09-16,37.38,38.31,37.26,38.18,3780500,37.436,,,,0.376,0.187,0.189,,,
2021-09-17,37.97,38.15,37.56,37.77,5973500,37.52,,,,0.413,0.232,0.181,,,
2021-09-20,37.32,37.6,37.05,37.48,4740000,37.648,,,,0.414,0.269,0.145,,,
2021-09-21,37.76,37.93,37.29,37.74,2492500,37.712,,,,0.431,0.301,0.13,,,
2021-09-22,37.99,38.68,37.68,38.63,3390500,37.96,,,,0.51,0.343,0.167,,,
2021-09-23,38.88,38.96,38.16,38.31,3604500,37.986,,,,0.541,0.382,0.158,,,
2021-09-24,38.32,38.47,37.94,38.42,2059500,38.116,,,,0.567,0.419,0.148,,,
2021-09-27,38.42,38.8,37.98,38.34,4461500,38.288,,,68.082,0.576,0.451,0.125,,,
2021-09-28,38.26,38.26,37.6,37.75,3969000,38.29,,,57.307,0.528,0.466,0.062,,,
2021-09-29,38.04,38.27,37.77,37.95,3263500,38.154,,,59.639,0.501,0.473,0.028,,,
2021-09-30,37.73,37.85,36.8,36.94,4296000,37.88,,,45.98,0.394,0.457,-0.064,,,
2021-10-01,37.21,37.21,36.35,36.71,4615500,37.538,,,43.535,0.286,0.423,-0.137,,,
2021-10-04,35.93,36.36,35.17,35.74,6981500,37.018,37.409,,35.066,0.122,0.363,-0.241,37.409,39.032,35.786
2021-10-05,35.74,36.21,35.71,36.02,3700500,36.672,37.405,,38.769,0.014,0.293,-0.279,37.405,39.041,35.769
2021-10-06,35.78,36.06,35.57,35.85,4019500,36.252,37.38,,37.375,-0.084,0.218,-0.302,37.38,39.098,35.662
2021-10-07,35.81,36.5,35.79,36.1,4854500,36.084,37.347,,40.748,-0.14,0.146,-0.286,37.347,39.139,35.554
2021-10-08,36.2,36.35,35.46,35.5,3380500,35.842,37.254,,35.769,-0.231,0.071,-0.301,37.254,39.227,35.281
2021-10-11,35.6,35.89,35.27,35.28,3910000,35.75,37.176,,34.122,-0.316,-0.007,-0.31,37.176,39.333,35.019
2021-10-12,35.31,35.6,35.08,35.24,2667000,35.594,37.067,,33.817,-0.383,-0.082,-0.301,37.067,39.386,34.748
2021-10-13,35.43,35.71,35.21,35.54,2962500,35.532,36.974,,38.271,-0.407,-0.147,-0.26,36.974,39.385,34.564
2021-10-14,35.86,36.28,35.68,35.97,2835500,35.506,36.864,,44.08,-0.387,-0.195,-0.192,36.864,39.245,34.483
2021-10-15,36.35,36.53,35.93,35.97,3399500,35.6,36.774,,44.08,-0.366,-0.229,-0.137,36.774,39.146,34.402
2021-10-18,35.9,37.41,35.82,37.28,5992500,36.0,36.764,,58.033,-0.242,-0.232,-0.01,36.764,39.126,34.402
2021-10-19,37.44,37.54,37.03,37.11,3056500,36.374,36.732,,56.078,-0.155,-0.216,0.061,36.732,39.056,34.409
2021-10-20,37.11,37.44,36.83,36.88,3985500,36.642,36.645,,53.453,-0.104,-0.194,0.09,36.645,38.792,34.498
2021-10-21,38.56,38.81,37.76,38.36,7499000,37.12,36.648,,64.852,0.056,-0.144,0.2,36.648,38.803,34.492
2021-10-22,38.74,39.06,37.95,37.96,3910000,37.518,36.624,,60.537,0.148,-0.086,0.234,36.624,38.709,34.54
2021-10-25,38.16,38.96,38.05,38.48,3816000,37.758,36.632,,63.9,0.26,-0.016,0.277,36.632,38.741,34.522
2021-10-26,38.61,38.67,37.7,37.71,4007500,37.878,36.63,,56.255,0.284,0.044,0.24,36.63,38.735,34.524
2021-10-27,37.83,38.05,37.54,37.72,3074000,38.046,36.618,,56.329,0.3,0.095,0.205,36.618,38.695,34.541
2021-10-28,37.76,38.49,37.72,38.3,3462000,38.034,36.686,,60.454,0.355,0.147,0.208,36.686,38.893,34.479
2021-10-29,38.22,39.7,38.22,39.59,5402500,38.36,36.83,,67.752,0.497,0.217,0.28,36.83,39.391,34.269
2021-11-01,39.81,39.88,38.89,38.99,3221000,38.462,36.992,,62.019,0.555,0.285,0.271,36.992,39.672,34.313
2021-11-02,39.08,39.48,39.08,39.32,2770500,38.784,37.158,,63.832,0.621,0.352,0.269,37.158,39.987,34.328
2021-11-03,39.35,39.59,38.89,39.34,2952000,39.108,37.332,,63.944,0.666,0.415,0.252,37.332,40.251,34.413
2021-11-04,39.45,40.04,39.26,39.76,2628000,39.4,37.515,,66.31,0.728,0.478,0.251,37.515,40.565,34.465
