Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,62.76,62.9,61.71,62.09,1624100,,,,,0.0,0.0,0.0,,,
2021-07-13,62.19,62.61,61.29,61.42,1518200,,,,,-0.053,-0.011,-0.043,,,
2021-07-14,61.5,61.62,60.49,60.91,2256900,,,,,-0.135,-0.036,-0.1,,,
2021-07-15,60.55,61.49,60.47,61.42,1478200,,,,,-0.157,-0.06,-0.097,,,
2021-07-16,61.7,61.83,61.01,61.11,1475200,61.39,,,,-0.198,-0.087,-0.11,,,
2021-07-19,60.52,61.06,59.99,60.7,1750100,61.112,,,,-0.259,-0.122,-0.138,,,
2021-07-20,60.76,61.77,60.61,61.06,1756900,61.04,,,,-0.276,-0.153,-0.124,,,
2021-07-21,61.42,61.53,61.0,61.17,1374100,61.092,,,,-0.278,-0.178,-0.1,,,
2021-07-22,60.94,60.95,59.81,60.53,1436000,60.914,,,,-0.326,-0.207,-0.119,,,
2021-07-23,60.66,61.24,60.38,61.04,1278100,60.9,,,,-0.32,-0.23,-0.09,,,
2021-07-26,60.82,61.35,60.75,60.98,1699800,60.956,,,,-0.317,-0.247,-0.069,,,
2021-07-27,60.84,61.61,60.69,61.42,2789100,61.028,,,,-0.275,-0.253,-0.022,,,
2021-07-28,61.53,61.58,60.53,61.29,1102600,61.052,,,,-0.25,-0.252,0.003,,,
2021-07-29,61.76,62.13,61.48,61.55,1238300,61.256,,,,-0.206,-0.243,0.037,,,
2021-07-30,61.59,61.91,61.11,61.16,1692700,61.28,,,44.646,-0.201,-0.235,0.034,,,
2021-08-02,61.42,62.08,61.08,61.41,1817100,61.366,,,48.921,-0.175,-0.223,0.048,,,
2021-08-03,61.49,61.84,60.93,61.37,1981400,61.356,,,48.279,-0.155,-0.209,0.054,,,
2021-08-04,60.97,61.05,59.99,60.22,1634500,61.142,,,34.322,-0.23,-0.213,-0.017,,,
2021-08-05,60.52,60.65,59.94,60.03,1426100,60.838,,,32.642,-0.301,-0.231,-0.07,,,
2021-08-06,60.42,61.07,60.34,60.87,1369300,60.78,61.088,,45.368,-0.286,-0.242,-0.044,61.088,62.029,60.146
2021-08-09,64.19,66.28,63.33,66.16,5240600,61.73,61.291,,76.052,0.15,-0.163,0.314,61.291,63.724,58.858
2021-08-10,66.4,68.28,66.37,68.08,3303400,63.072,61.624,,80.363,0.644,-0.002,0.646,61.624,65.516,57.732
2021-08-11,68.42,68.69,67.64,68.62,2132700,64.752,62.009,,81.378,1.067,0.212,0.855,62.009,66.982,57.037
2021-08-12,68.58,68.98,67.92,68.5,2207900,66.446,62.364,,80.383,1.376,0.445,0.931,62.364,68.107,56.62
2021-08-13,69.0,70.56,68.82,70.1,2690900,68.292,62.813,,83.312,1.73,0.702,1.029,62.813,69.477,56.149
2021-08-16,70.07,70.07,68.91,69.42,1651000,68.944,63.249,,77.983,1.934,0.948,0.986,63.249,70.45,56.048
2021-08-17,69.07,69.57,68.67,69.12,1183100,69.152,63.652,,75.683,2.047,1.168,0.879,63.652,71.23,56.074
2021-08-18,69.12,69.42,68.49,68.6,1998700,69.148,64.023,,71.734,2.072,1.349,0.723,64.023,71.814,56.233
2021-08-19,68.35,69.62,67.9,68.72,1609000,69.192,64.433,,72.096,2.076,1.494,0.582,64.433,72.311,56.555
2021-08-20,68.19,68.73,68.13,68.42,1453100,68.856,64.802,,69.694,2.033,1.602,0.431,64.802,72.702,56.902
