Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,50.33,51.02,49.44,50.62,11567200,,,,,0.0,0.0,0.0,,,
2021-07-13,49.76,50.04,48.38,48.5,14287200,,,,,-0.169,-0.034,-0.135,,,
2021-07-14,49.04,49.96,47.87,48.16,14949300,,,,,-0.327,-0.092,-0.234,,,
2021-07-15,47.9,48.63,46.96,47.71,12331800,,,,,-0.483,-0.17,-0.312,,,
2021-07-16,48.45,48.48,45.83,46.01,13760700,48.2,,,,-0.735,-0.283,-0.451,,,
2021-07-19,43.7,44.65,42.56,43.46,26444000,46.768,,,,-1.127,-0.452,-0.675,,,
2021-07-20,43.55,46.46,43.07,46.32,21894000,46.332,,,,-1.194,-0.6,-0.593,,,
2021-07-21,47.12,48.94,46.99,48.1,23048300,46.32,,,,-1.09,-0.698,-0.392,,,
2021-07-22,47.69,48.7,46.8,47.95,12922300,46.368,,,,-1.009,-0.761,-0.248,,,
2021-07-23,48.14,48.48,47.16,47.53,9491300,46.672,,,,-0.967,-0.802,-0.165,,,
2021-07-26,47.5,49.53,47.4,49.46,10775300,47.872,,,,-0.769,-0.795,0.026,,,
2021-07-27,49.11,49.57,48.09,48.65,10559900,48.338,,,,-0.67,-0.77,0.1,,,
2021-07-28,49.08,49.51,48.04,49.14,9772500,48.546,,,,-0.546,-0.725,0.18,,,
2021-07-29,49.58,49.6,48.46,48.49,7643600,48.654,,,,-0.494,-0.679,0.185,,,
2021-07-30,47.69,48.23,46.49,46.72,12123500,48.492,,,40.256,-0.589,-0.661,0.072,,,
2021-08-02,46.85,48.23,45.95,46.07,10995900,47.814,,,37.883,-0.709,-0.671,-0.038,,,
2021-08-03,46.12,46.57,44.61,46.54,12597000,47.392,,,40.61,-0.757,-0.688,-0.069,,,
2021-08-04,45.52,46.65,44.9,45.28,12205000,46.62,,,36.042,-0.886,-0.727,-0.159,,,
2021-08-05,45.52,47.67,45.38,47.24,12644600,46.37,,,46.182,-0.821,-0.746,-0.075,,,
2021-08-06,47.72,48.13,46.58,47.62,9919300,46.55,47.479,,47.907,-0.731,-0.743,0.012,47.479,50.694,44.263
