Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,376.5,381.43,375.85,381.1,2802600,,,,,0.0,0.0,0.0,,,
2021-07-13,381.41,384.44,380.79,383.39,2948900,,,,,0.183,0.037,0.146,,,
2021-07-14,385.43,387.04,378.63,379.9,3538700,,,,,0.045,0.038,0.007,,,
2021-07-15,377.31,386.31,373.0,384.77,3546500,,,,,0.326,0.096,0.23,,,
2021-07-16,385.97,386.82,382.56,384.45,2625400,382.722,,,,0.516,0.18,0.336,,,
2021-07-19,382.19,384.29,372.64,374.7,3611300,381.442,,,,-0.118,0.12,-0.239,,,
2021-07-20,376.48,382.64,376.12,378.28,3186700,380.42,,,,-0.329,0.03,-0.359,,,
2021-07-21,382.03,382.19,376.32,379.81,1863700,380.402,,,,-0.367,-0.049,-0.318,,,
2021-07-22,381.08,381.82,378.98,380.85,1421900,379.618,,,,-0.311,-0.101,-0.209,,,
2021-07-23,382.8,384.12,381.05,382.62,1611700,379.252,,,,-0.122,-0.105,-0.016,,,
2021-07-26,381.82,382.59,376.39,378.81,2232600,380.074,,,,-0.276,-0.14,-0.136,,,
2021-07-27,377.39,380.38,375.07,380.23,2630600,380.464,,,,-0.28,-0.168,-0.113,,,
2021-07-28,379.68,379.68,372.63,374.8,2446600,379.462,,,,-0.714,-0.277,-0.437,,,
2021-07-29,376.74,377.93,374.12,377.47,1597300,378.786,,,,-0.832,-0.388,-0.444,,,
2021-07-30,376.26,379.02,375.79,377.6,1864200,377.782,,,45.027,-0.905,-0.492,-0.414,,,
2021-08-02,378.83,381.46,378.14,380.66,1806500,378.152,,,51.284,-0.708,-0.535,-0.173,,,
2021-08-03,380.89,386.68,380.22,386.46,2496500,379.398,,,60.468,-0.083,-0.444,0.362,,,
2021-08-04,386.6,388.08,384.46,386.13,1995400,381.664,,,59.777,0.382,-0.279,0.661,,,
2021-08-05,386.61,386.78,373.63,376.65,3598600,381.5,,,44.172,-0.015,-0.226,0.211,,,
2021-08-06,377.4,381.76,377.4,380.25,1944000,382.03,380.446,,49.557,-0.038,-0.189,0.15,380.446,387.278,373.615
2021-08-09,380.1,381.27,375.88,376.36,1509800,381.17,380.21,,44.556,-0.367,-0.224,-0.142,380.21,387.27,373.149
2021-08-10,376.03,378.91,374.25,377.19,1441800,379.316,379.9,,45.812,-0.553,-0.29,-0.263,379.9,386.916,372.883
2021-08-11,378.34,379.16,373.28,373.49,1542600,376.788,379.579,,41.317,-0.989,-0.43,-0.559,379.579,387.159,371.999
2021-08-12,372.81,374.4,370.34,371.86,1939900,375.83,378.934,,39.479,-1.448,-0.634,-0.815,378.934,386.844,371.023
2021-08-13,372.89,375.61,371.83,375.26,1537800,374.832,378.474,,44.977,-1.521,-0.811,-0.71,378.474,386.097,370.851
2021-08-16,375.42,382.36,373.12,382.17,2377500,375.994,378.848,,54.103,-1.009,-0.851,-0.158,378.848,386.424,371.271
2021-08-17,382.07,387.01,381.64,386.35,2258000,377.826,379.251,,58.579,-0.263,-0.733,0.47,379.251,387.528,370.974
2021-08-18,385.96,386.18,382.06,382.27,3037000,379.582,379.374,,53.133,-0.001,-0.587,0.586,379.374,387.758,370.99
2021-08-19,380.49,392.37,377.76,391.95,3204500,383.6,379.929,,62.129,0.976,-0.274,1.25,379.929,390.02,369.838
2021-08-20,392.37,395.13,391.05,393.62,2401900,387.272,380.479,,63.433,1.864,0.154,1.711,380.479,392.247,368.711
2021-08-23,394.4,394.4,389.21,389.63,2375900,388.764,381.02,,58.27,2.22,0.567,1.653,381.02,393.442,368.598
2021-08-24,389.78,390.16,386.3,387.85,1619300,389.064,381.401,,56.077,2.332,0.92,1.412,381.401,394.183,368.619
2021-08-25,386.42,388.04,384.22,384.48,1939000,389.506,381.885,,52.081,2.124,1.161,0.963,381.885,394.344,369.426
2021-08-26,384.51,386.0,381.64,381.84,1385400,387.484,382.104,,49.128,1.726,1.274,0.453,382.104,394.388,369.819
2021-08-27,382.9,385.04,381.17,383.59,1621600,385.478,382.403,,51.107,1.535,1.326,0.209,382.403,394.516,370.29
2021-08-30,383.59,385.24,382.79,383.17,1284200,384.186,382.528,,50.598,1.334,1.328,0.006,382.528,394.618,370.439
2021-08-31,381.97,385.4,379.43,381.31,4249100,382.878,382.271,,48.305,1.012,1.265,-0.252,382.271,394.226,370.316
2021-09-01,381.55,384.6,376.7,382.3,2034400,382.442,382.08,,49.614,0.828,1.177,-0.349,382.08,393.897,370.262
2021-09-02,383.95,388.75,383.11,388.12,3137400,383.698,382.653,,56.576,1.139,1.17,-0.031,382.653,394.474,370.832
2021-09-03,386.49,388.39,385.28,387.34,1604800,384.448,383.008,,55.47,1.307,1.197,0.11,383.008,394.95,371.065
2021-09-07,385.0,386.79,382.51,385.86,1920300,384.986,383.482,,53.339,1.306,1.219,0.087,383.482,395.061,371.904
2021-09-08,385.81,387.35,379.41,380.5,2262500,384.824,383.648,,46.388,0.862,1.147,-0.285,383.648,394.939,372.357
2021-09-09,380.45,384.92,379.16,379.73,3508500,384.31,383.96,,45.471,0.444,1.007,-0.563,383.96,394.381,373.539
2021-09-10,381.99,382.4,370.07,371.28,4215800,380.942,383.931,,36.862,-0.564,0.693,-1.256,383.931,394.496,373.366
2021-09-13,375.02,383.14,373.62,381.04,3068200,379.682,384.22,,48.897,-0.568,0.441,-1.008,384.22,394.079,374.361
2021-09-14,383.86,383.86,378.14,379.22,2879800,378.354,384.072,,47.094,-0.71,0.211,-0.92,384.072,394.146,373.999
2021-09-15,379.2,387.38,376.42,383.79,3180600,379.012,383.944,,51.891,-0.448,0.079,-0.527,383.944,393.961,373.928
2021-09-16,385.77,389.2,381.44,383.17,2262700,379.7,383.99,,51.212,-0.288,0.005,-0.293,383.99,393.983,373.996
2021-09-17,381.45,387.08,381.45,386.22,4534200,382.688,383.703,,54.372,0.085,0.021,0.063,383.703,393.042,374.364
