Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,186.77,187.22,183.35,184.71,3209600,,,,,0.0,0.0,0.0,,,
2021-09-14,185.38,185.38,181.02,181.73,4362800,,,,,-0.238,-0.048,-0.19,,,
2021-09-15,181.75,182.84,181.02,182.48,5225600,,,,,-0.361,-0.11,-0.251,,,
2021-09-16,183.15,183.96,181.46,181.76,3481900,,,,,-0.512,-0.191,-0.321,,,
2021-09-17,181.25,182.77,179.43,180.0,7702800,182.136,,,,-0.764,-0.305,-0.459,,,
2021-09-20,177.67,178.61,174.82,176.78,4370600,180.55,,,,-1.21,-0.486,-0.724,,,
2021-09-21,177.9,178.31,175.26,175.66,3730300,179.336,,,,-1.635,-0.716,-0.919,,,
2021-09-22,177.25,178.84,176.62,176.96,2907200,178.232,,,,-1.845,-0.942,-0.903,,,
2021-09-23,178.06,181.64,177.95,180.22,3553500,177.924,,,,-1.729,-1.099,-0.63,,,
2021-09-24,179.72,183.03,179.67,182.08,2908500,178.34,,,,-1.47,-1.173,-0.297,,,
2021-09-27,181.89,184.48,181.86,182.22,2449600,179.428,,,,-1.239,-1.186,-0.053,,,
2021-09-28,180.07,181.15,178.42,179.68,3792800,180.232,,,,-1.247,-1.198,-0.048,,,
2021-09-29,179.85,181.03,179.51,180.18,3448800,180.876,,,,-1.198,-1.198,0.0,,,
2021-09-30,180.69,180.75,175.05,175.12,4098900,179.856,,,,-1.551,-1.269,-0.282,,,
2021-10-01,176.71,181.29,176.26,180.24,3468600,179.488,,,47.227,-1.401,-1.295,-0.105,,,
2021-10-04,182.21,184.6,181.9,183.61,5531900,179.766,,,54.876,-0.998,-1.236,0.238,,,
2021-10-05,183.27,189.38,183.27,187.59,4177300,181.348,,,61.9,-0.354,-1.06,0.705,,,
2021-10-06,185.69,190.25,184.54,189.8,3074400,183.272,,,65.144,0.331,-0.781,1.112,,,
2021-10-07,191.68,192.49,188.78,189.3,2655200,186.108,,,63.82,0.824,-0.46,1.284,,,
2021-10-08,192.24,193.62,191.61,193.41,3352100,188.742,182.176,,69.337,1.529,-0.063,1.591,182.176,191.849,172.504
2021-10-11,193.75,194.83,191.97,192.0,2312000,190.42,182.541,,65.639,1.951,0.34,1.611,182.541,193.123,171.959
2021-10-12,191.77,192.41,190.3,190.66,1975500,191.034,182.988,,62.242,2.153,0.703,1.45,182.988,194.162,171.813
2021-10-13,190.98,193.5,190.52,192.84,2206100,191.642,183.506,,65.381,2.46,1.054,1.406,183.506,195.511,171.5
2021-10-14,194.57,197.97,194.33,197.75,2559400,193.332,184.305,,71.191,3.065,1.456,1.608,184.305,197.851,170.759
2021-10-15,199.18,201.64,198.29,201.16,2747400,194.882,185.363,,74.404,3.775,1.92,1.855,185.363,200.683,170.043
2021-10-18,200.13,202.4,199.14,201.85,2287000,196.852,186.616,,75.011,4.344,2.405,1.939,186.616,203.042,170.191
2021-10-19,203.07,203.24,200.9,201.7,1933300,199.06,187.919,,74.597,4.728,2.869,1.859,187.919,204.809,171.028
2021-10-20,202.05,204.07,200.32,203.71,3454200,201.234,189.256,,76.472,5.136,3.323,1.813,189.256,206.719,171.793
2021-10-21,205.04,207.35,202.75,206.63,3361500,203.01,190.576,,78.908,5.629,3.784,1.845,190.576,209.123,172.03
2021-10-22,208.26,214.11,207.68,212.27,3809000,205.232,192.086,,82.646,6.402,4.308,2.094,192.086,212.538,171.634
2021-10-25,212.9,215.47,211.9,214.67,3158000,207.796,193.709,,83.949,7.126,4.871,2.254,193.709,215.936,171.481
2021-10-26,216.13,217.91,214.22,215.06,2409700,210.468,195.478,,84.158,7.643,5.425,2.217,195.478,218.617,172.338
2021-10-27,214.92,217.34,213.81,213.87,2886300,212.5,197.162,,80.717,7.866,5.914,1.952,197.162,220.517,173.807
2021-10-28,214.73,216.6,214.51,216.48,1998200,214.47,199.23,,82.415,8.159,6.363,1.796,199.23,221.674,176.786
2021-10-29,214.8,217.0,213.88,215.67,2387000,215.15,201.002,,80.058,8.231,6.736,1.495,201.002,222.715,179.288
2021-11-01,216.35,216.45,212.32,213.94,2547300,215.004,202.518,,75.118,8.056,7.0,1.056,202.518,223.336,181.7
2021-11-02,214.67,216.6,213.29,214.81,1933200,214.954,203.879,,75.923,7.896,7.179,0.717,203.879,224.139,183.619
2021-11-03,214.26,215.14,211.78,213.94,2535600,214.968,205.086,,73.368,7.612,7.266,0.346,205.086,224.68,185.492
2021-11-04,214.21,214.32,210.85,211.92,3007800,214.056,206.217,,67.673,7.141,7.241,-0.1,206.217,224.544,187.89
2021-11-05,213.53,214.67,212.59,213.38,2313900,213.598,207.215,,69.515,6.807,7.154,-0.347,207.215,224.765,189.666
2021-11-08,214.42,214.42,212.27,213.93,1612900,213.596,208.312,,70.203,6.512,7.026,-0.514,208.312,224.55,192.074
2021-11-09,213.55,215.4,212.96,215.31,1778800,213.696,209.545,,71.918,6.316,6.884,-0.567,209.545,223.756,195.333
2021-11-10,215.88,216.65,214.84,215.8,1613800,214.068,210.692,,72.522,6.13,6.733,-0.603,210.692,222.772,198.613
2021-11-11,215.31,215.43,213.54,214.92,1443600,214.668,211.551,,69.623,5.845,6.555,-0.711,211.551,222.101,201.001
2021-11-12,215.32,218.03,214.3,216.6,1803800,215.312,212.323,,71.93,5.688,6.382,-0.694,212.323,221.885,202.761
2021-11-15,216.67,217.13,215.2,215.72,1633800,215.67,213.016,,68.976,5.431,6.192,-0.761,213.016,221.308,204.725
2021-11-16,216.22,218.3,215.3,215.74,1986100,215.756,213.718,,69.007,5.168,5.987,-0.819,213.718,220.143,207.294
2021-11-17,215.64,216.17,213.24,214.2,3023200,215.436,214.243,,63.701,4.781,5.746,-0.965,214.243,218.611,209.875
2021-11-18,214.01,215.79,212.66,214.64,2754200,215.38,214.644,,64.54,4.459,5.488,-1.03,214.644,217.141,212.146
