Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,23.94,24.38,23.87,24.29,2702600,,,,,0.0,0.0,0.0,,,
2021-07-13,24.33,24.33,23.86,23.86,2432000,,,,,-0.034,-0.007,-0.027,,,
2021-07-14,23.87,24.03,23.75,23.84,3757500,,,,,-0.062,-0.018,-0.044,,,
2021-07-15,23.7,24.0,23.64,23.92,3388900,,,,,-0.077,-0.03,-0.047,,,
2021-07-16,23.99,24.04,23.75,23.75,2297400,23.932,,,,-0.102,-0.044,-0.057,,,
2021-07-19,23.41,23.45,22.94,23.17,3212600,23.708,,,,-0.166,-0.069,-0.097,,,
2021-07-20,23.22,24.28,23.2,24.15,3103700,23.766,,,,-0.136,-0.082,-0.054,,,
2021-07-21,24.23,24.62,24.21,24.42,2122100,23.882,,,,-0.09,-0.084,-0.006,,,
2021-07-22,24.4,24.4,24.03,24.09,1600900,23.916,,,,-0.079,-0.083,0.004,,,
2021-07-23,24.34,24.4,24.2,24.37,1840000,24.04,,,,-0.047,-0.075,0.029,,,
2021-07-26,24.29,24.53,24.04,24.06,3167600,24.218,,,,-0.046,-0.069,0.024,,,
2021-07-27,24.02,24.25,23.91,24.2,3222400,24.228,,,,-0.034,-0.062,0.029,,,
2021-07-28,24.25,24.3,23.78,24.0,2499100,24.144,,,,-0.04,-0.058,0.018,,,
2021-07-29,23.88,24.27,23.6,23.63,2767200,24.052,,,,-0.073,-0.061,-0.012,,,
2021-07-30,23.68,24.03,23.68,23.78,2700000,23.934,,,44.156,-0.087,-0.066,-0.021,,,
2021-08-02,23.96,24.23,23.37,23.4,2878500,23.802,,,38.348,-0.127,-0.078,-0.049,,,
2021-08-03,23.41,23.52,22.81,23.07,3347200,23.576,,,34.148,-0.183,-0.099,-0.084,,,
2021-08-04,22.96,23.1,22.31,23.01,21477200,23.378,,,33.431,-0.23,-0.125,-0.104,,,
2021-08-05,23.07,23.46,23.0,23.36,8753400,23.324,,,41.188,-0.236,-0.147,-0.088,,,
2021-08-06,23.37,23.55,22.98,23.17,8179400,23.202,23.777,,38.561,-0.253,-0.169,-0.085,23.777,24.668,22.886
2021-08-09,23.15,23.17,22.83,23.04,5468800,23.13,23.714,,36.83,-0.274,-0.19,-0.084,23.714,24.629,22.8
2021-08-10,23.07,23.35,22.69,22.72,5335000,23.06,23.658,,32.914,-0.313,-0.214,-0.099,23.658,24.67,22.645
2021-08-11,22.78,23.28,22.58,23.14,3260400,23.086,23.622,,41.68,-0.306,-0.233,-0.074,23.622,24.657,22.588
2021-08-12,23.2,23.23,22.9,23.04,2618500,23.022,23.578,,40.329,-0.306,-0.247,-0.058,23.578,24.634,22.523
2021-08-13,23.1,23.15,22.89,22.9,2274300,22.968,23.536,,38.449,-0.313,-0.26,-0.052,23.536,24.631,22.441
2021-08-16,22.91,22.98,22.78,22.91,3636200,22.942,23.523,,38.669,-0.314,-0.271,-0.043,23.523,24.642,22.404
2021-08-17,22.86,22.92,22.61,22.79,4199200,22.956,23.455,,36.963,-0.321,-0.281,-0.04,23.455,24.579,22.331
2021-08-18,22.82,22.87,22.6,22.65,4449700,22.858,23.367,,35.022,-0.334,-0.292,-0.042,23.367,24.448,22.285
2021-08-19,22.57,22.7,22.18,22.32,4779500,22.714,23.278,,30.902,-0.367,-0.307,-0.06,23.278,24.399,22.157
2021-08-20,22.27,22.48,22.08,22.34,5617800,22.602,23.176,,31.428,-0.386,-0.323,-0.064,23.176,24.248,22.105
2021-08-23,22.4,22.69,22.38,22.43,4794200,22.506,23.095,,33.87,-0.39,-0.336,-0.054,23.095,24.131,22.059
2021-08-24,22.43,22.53,22.32,22.47,3536300,22.442,23.008,,34.978,-0.386,-0.346,-0.04,23.008,23.939,22.078
2021-08-25,22.69,22.78,22.4,22.65,4533100,22.442,22.941,,39.863,-0.363,-0.349,-0.014,22.941,23.758,22.124
2021-08-26,22.64,22.9,22.48,22.9,6214300,22.558,22.904,,45.937,-0.322,-0.344,0.022,22.904,23.654,22.155
2021-08-27,22.91,23.47,22.9,23.27,7001200,22.744,22.879,,53.433,-0.256,-0.326,0.07,22.879,23.532,22.226
2021-08-30,23.23,23.45,23.08,23.45,4270800,22.948,22.882,,56.587,-0.187,-0.299,0.111,22.882,23.543,22.22
2021-08-31,23.37,23.58,23.26,23.57,6408800,23.168,22.906,,58.6,-0.122,-0.263,0.141,22.906,23.633,22.18
2021-09-01,23.68,24.02,23.58,23.91,5298300,23.42,22.952,,63.731,-0.042,-0.219,0.177,22.952,23.805,22.098
2021-09-02,23.88,24.16,23.78,24.16,4606000,23.672,22.992,,66.973,0.041,-0.167,0.208,22.992,23.989,21.994
2021-09-03,24.2,24.48,23.99,24.42,3391700,23.902,23.054,,69.978,0.127,-0.108,0.235,23.054,24.238,21.87
2021-09-07,24.45,24.47,24.03,24.08,3467100,24.028,23.106,,62.03,0.165,-0.054,0.218,23.106,24.375,21.837
2021-09-08,24.02,24.24,23.93,24.21,2569300,24.156,23.18,,63.726,0.203,-0.002,0.206,23.18,24.527,21.834
2021-09-09,23.36,23.74,22.71,22.78,15489800,23.93,23.162,,41.67,0.117,0.022,0.095,23.162,24.521,21.804
2021-09-10,22.54,23.17,22.46,22.67,46362600,23.632,23.144,,40.508,0.039,0.025,0.014,23.144,24.519,21.769
2021-09-13,23.01,23.06,22.68,22.84,11769400,23.316,23.141,,43.146,-0.008,0.018,-0.027,23.141,24.519,21.763
2021-09-14,22.95,23.09,22.58,22.81,14805200,23.062,23.136,,42.785,-0.048,0.005,-0.053,23.136,24.518,21.754
2021-09-15,22.8,23.11,22.69,22.98,13484300,22.816,23.146,,45.561,-0.065,-0.009,-0.056,23.146,24.52,21.771
2021-09-16,22.98,23.14,22.81,22.88,4743300,22.836,23.157,,44.203,-0.086,-0.024,-0.061,23.157,24.518,21.796
2021-09-17,22.79,23.04,22.44,22.55,13418200,22.812,23.168,,39.968,-0.127,-0.045,-0.082,23.168,24.503,21.834
