Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-08-16,55.77,56.1,54.72,55.29,2993300,,,,,0.0,0.0,0.0,,,
2021-08-17,54.65,55.35,53.89,54.4,3256700,,,,,-0.071,-0.014,-0.057,,,
2021-08-18,54.15,55.39,53.26,53.32,3082600,,,,,-0.212,-0.054,-0.158,,,
2021-08-19,52.25,52.6,50.82,51.6,5267900,,,,,-0.457,-0.134,-0.323,,,
2021-08-20,51.34,51.77,50.41,51.57,4871000,53.236,,,,-0.647,-0.237,-0.41,,,
2021-08-23,52.96,54.12,52.95,54.06,4826300,52.99,,,,-0.589,-0.307,-0.282,,,
2021-08-24,54.66,56.13,54.48,55.88,3833700,53.286,,,,-0.392,-0.324,-0.068,,,
2021-08-25,55.83,57.26,55.61,56.83,3064500,53.988,,,,-0.157,-0.291,0.134,,,
2021-08-26,56.34,57.03,55.95,56.07,2726000,54.882,,,,-0.032,-0.239,0.207,,,
2021-08-27,56.54,58.26,56.54,57.49,3200300,56.066,,,,0.179,-0.155,0.335,,,
2021-08-30,58.16,58.24,56.52,56.55,2653300,56.564,,,,0.268,-0.071,0.339,,,
2021-08-31,56.38,57.44,55.88,56.8,6113200,56.748,,,,0.355,0.014,0.34,,,
2021-09-01,56.62,57.1,54.16,54.78,5186900,56.338,,,,0.257,0.063,0.194,,,
2021-09-02,55.42,56.53,54.75,55.85,3503400,56.294,,,,0.263,0.103,0.16,,,
2021-09-03,55.79,56.46,54.89,55.42,2091900,55.88,,,50.537,0.231,0.129,0.102,,,
2021-09-07,55.52,56.9,55.47,56.13,3021900,55.796,,,54.07,0.259,0.155,0.104,,,
2021-09-08,56.53,56.81,54.54,54.57,3396800,55.35,,,46.253,0.154,0.155,-0.0,,,
2021-09-09,54.1,55.8,53.8,54.43,2827900,55.28,,,45.616,0.059,0.135,-0.077,,,
2021-09-10,55.02,55.14,53.71,54.32,3212100,54.974,,,45.09,-0.025,0.103,-0.129,,,
2021-09-13,55.08,57.15,54.91,56.69,4432800,55.228,55.102,,56.676,0.098,0.102,-0.004,55.102,58.361,51.844
2021-09-14,57.38,57.54,55.23,55.42,2956300,55.086,55.109,,50.524,0.093,0.1,-0.008,55.109,58.369,51.849
2021-09-15,56.13,57.14,55.78,56.97,4032000,55.566,55.238,,56.701,0.211,0.122,0.088,55.238,58.582,51.893
2021-09-16,56.98,57.1,55.98,56.07,2307900,55.894,55.375,,52.595,0.229,0.144,0.085,55.375,58.612,52.138
2021-09-17,55.93,56.96,55.71,56.19,4780400,56.268,55.605,,53.083,0.25,0.165,0.085,55.605,58.324,52.885
2021-09-20,54.44,54.98,52.99,53.94,3801900,55.718,55.723,,43.95,0.085,0.149,-0.064,55.723,57.842,53.604
2021-09-21,54.68,54.94,53.34,54.24,3019400,55.482,55.732,,45.301,-0.022,0.115,-0.137,55.732,57.823,53.641
2021-09-22,55.0,57.09,55.0,55.95,4729300,55.278,55.736,,52.353,0.031,0.098,-0.067,55.736,57.828,53.643
2021-09-23,56.07,57.68,55.83,57.54,3373800,55.572,55.771,,57.8,0.199,0.118,0.081,55.771,57.963,53.579
2021-09-24,56.93,58.23,56.85,57.93,2297900,55.92,55.864,,59.038,0.359,0.166,0.193,55.864,58.258,53.47
2021-09-27,59.2,61.48,59.0,60.63,5049600,57.258,56.021,,66.385,0.696,0.272,0.424,56.021,59.16,52.882
2021-09-28,61.63,62.47,60.81,60.97,4656700,58.604,56.242,,67.183,0.98,0.414,0.566,56.242,60.082,52.402
2021-09-29,60.89,60.91,59.67,60.23,2821000,59.46,56.414,,63.641,1.131,0.557,0.574,56.414,60.645,52.182
2021-09-30,60.25,61.2,59.45,60.45,4083300,60.042,56.697,,64.244,1.255,0.697,0.558,56.697,61.217,52.177
2021-10-01,60.73,63.39,60.64,63.06,5098800,61.068,57.058,,70.501,1.546,0.867,0.679,57.058,62.373,51.742
2021-10-04,63.59,64.88,63.12,64.26,4074500,61.794,57.5,,72.853,1.851,1.064,0.788,57.5,63.647,51.352
2021-10-05,65.22,65.86,62.46,63.65,4785300,62.33,57.876,,69.806,2.021,1.255,0.766,57.876,64.566,51.185
2021-10-06,62.34,64.96,61.96,64.56,4529400,63.196,58.375,,71.707,2.204,1.445,0.759,58.375,65.504,51.246
2021-10-07,64.87,66.02,64.72,65.02,3904400,64.11,58.905,,72.645,2.359,1.628,0.731,58.905,66.365,51.444
2021-10-08,65.57,67.52,65.52,67.33,3476800,64.964,59.555,,76.802,2.637,1.83,0.808,59.555,67.58,51.53
2021-10-11,68.53,68.69,66.62,66.64,4028900,65.44,60.052,,73.222,2.77,2.018,0.753,60.052,68.549,51.556
