Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-10,170.23,173.82,170.19,170.76,667700,,,,,0.0,0.0,0.0,,,
2021-09-13,171.93,173.32,169.81,170.99,863200,,,,,0.018,0.004,0.015,,,
2021-09-14,170.95,170.95,168.24,168.88,794300,,,,,-0.136,-0.024,-0.112,,,
2021-09-15,168.88,169.34,167.65,168.16,1155100,,,,,-0.312,-0.082,-0.231,,,
2021-09-16,167.91,168.3,165.7,165.8,921000,168.918,,,,-0.636,-0.193,-0.443,,,
2021-09-17,164.9,166.07,162.98,163.25,1262500,167.416,,,,-1.085,-0.371,-0.714,,,
2021-09-20,160.55,163.81,159.82,162.81,1092000,165.78,,,,-1.46,-0.589,-0.871,,,
2021-09-21,163.85,166.19,161.56,164.87,1468000,164.978,,,,-1.572,-0.786,-0.787,,,
2021-09-22,166.58,168.01,166.41,167.45,1185400,164.836,,,,-1.437,-0.916,-0.521,,,
2021-09-23,168.4,173.76,167.5,171.74,1000900,166.024,,,,-0.972,-0.927,-0.045,,,
2021-09-24,171.08,172.31,168.8,169.19,620300,167.212,,,,-0.8,-0.902,0.101,,,
2021-09-27,169.51,173.18,169.51,171.28,658700,168.906,,,,-0.49,-0.819,0.329,,,
2021-09-28,171.36,172.72,169.43,170.1,1059400,169.952,,,,-0.335,-0.723,0.387,,,
2021-09-29,169.82,169.82,166.61,166.98,1008200,169.858,,,,-0.459,-0.67,0.211,,,
2021-09-30,167.44,167.44,162.19,162.56,1550200,168.022,,,35.043,-0.904,-0.717,-0.187,,,
2021-10-01,162.41,166.97,160.72,166.19,1236700,167.422,,,44.96,-0.952,-0.764,-0.188,,,
2021-10-04,165.45,167.03,164.01,164.8,1432800,166.126,,,42.297,-1.09,-0.829,-0.261,,,
2021-10-05,164.73,164.83,161.58,162.68,1475100,164.642,,,38.547,-1.355,-0.934,-0.421,,,
2021-10-06,164.3,167.96,164.27,167.9,1060200,164.826,,,50.245,-1.13,-0.973,-0.157,,,
2021-10-07,169.17,172.31,168.73,169.75,924900,166.264,167.307,,53.615,-0.794,-0.937,0.144,167.307,173.434,161.18
2021-10-08,170.06,171.32,168.44,168.6,658400,166.746,167.199,,51.289,-0.613,-0.873,0.259,167.199,173.143,161.255
2021-10-11,168.17,169.23,165.08,165.18,531800,166.822,166.908,,45.033,-0.737,-0.845,0.108,166.908,172.636,161.181
2021-10-12,164.12,165.66,163.79,164.17,524100,167.12,166.673,,43.352,-0.907,-0.858,-0.049,166.673,172.446,160.9
2021-10-13,164.57,165.64,162.27,163.83,542200,166.306,166.456,,42.773,-1.056,-0.897,-0.159,166.456,172.319,160.594
2021-10-14,165.0,169.6,164.81,169.4,670700,166.236,166.636,,53.686,-0.717,-0.861,0.144,166.636,172.634,160.639
2021-10-15,171.0,171.3,169.45,170.03,363300,166.522,166.975,,54.738,-0.393,-0.768,0.375,166.975,172.933,161.018
2021-10-18,170.96,174.26,170.13,173.5,828300,168.186,167.51,,60.109,0.142,-0.586,0.728,167.51,173.803,161.217
