Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,230.21,231.05,225.4,225.74,349200,,,,,0.0,0.0,0.0,,,
2021-07-13,225.59,226.33,224.0,225.08,434900,,,,,-0.053,-0.011,-0.042,,,
2021-07-14,225.51,227.43,225.4,227.19,528000,,,,,0.075,0.007,0.068,,,
2021-07-15,227.74,227.9,225.08,225.78,315000,,,,,0.062,0.018,0.044,,,
2021-07-16,226.43,228.51,225.64,226.31,354500,226.02,,,,0.093,0.033,0.06,,,
2021-07-19,226.44,227.13,224.2,225.13,425400,225.898,,,,0.022,0.031,-0.008,,,
2021-07-20,225.27,227.11,224.44,226.0,360300,226.082,,,,0.036,0.032,0.004,,,
2021-07-21,225.78,226.76,223.71,226.69,357200,225.982,,,,0.101,0.045,0.056,,,
2021-07-22,227.06,230.2,226.69,230.04,550000,226.834,,,,0.418,0.12,0.298,,,
2021-07-23,221.37,222.35,213.28,219.21,1355700,225.414,,,,-0.202,0.056,-0.257,,,
2021-07-26,217.8,221.01,216.2,219.63,538400,224.314,,,,-0.652,-0.086,-0.566,,,
2021-07-27,219.94,220.4,214.62,215.89,552000,222.292,,,,-1.295,-0.328,-0.968,,,
2021-07-28,215.66,216.87,212.36,213.01,539500,219.556,,,,-2.014,-0.665,-1.349,,,
2021-07-29,212.54,215.97,212.39,212.81,373100,216.11,,,,-2.571,-1.046,-1.525,,,
2021-07-30,211.47,213.34,211.34,213.14,342100,214.896,,,24.719,-2.951,-1.427,-1.524,,,
2021-08-02,214.09,214.72,211.47,213.21,311900,213.612,,,25.01,-3.21,-1.784,-1.426,,,
2021-08-03,213.2,213.84,211.49,212.55,272500,212.944,,,24.065,-3.429,-2.113,-1.316,,,
2021-08-04,212.06,212.61,208.46,210.68,305400,212.478,,,21.578,-3.71,-2.432,-1.278,,,
2021-08-05,210.59,212.56,210.11,211.66,468200,212.248,,,25.9,-3.81,-2.708,-1.103,,,
2021-08-06,210.92,211.78,208.43,210.71,460600,211.762,219.523,,24.491,-3.921,-2.951,-0.971,219.523,233.262,205.784
2021-08-09,211.17,211.73,209.89,211.19,331300,211.358,218.796,,26.662,-3.925,-3.145,-0.78,218.796,232.688,204.903
2021-08-10,211.27,211.54,208.27,208.79,290500,210.606,217.981,,23.088,-4.075,-3.331,-0.743,217.981,232.228,203.734
2021-08-11,208.95,209.67,207.41,208.58,259800,210.186,217.05,,22.8,-4.162,-3.498,-0.665,217.05,231.196,202.905
2021-08-12,208.83,209.18,206.79,207.16,288500,209.286,216.12,,20.901,-4.297,-3.657,-0.639,216.12,230.296,201.943
2021-08-13,206.69,207.27,205.59,206.31,583900,208.406,215.119,,19.836,-4.421,-3.81,-0.611,215.119,229.09,201.149
2021-08-16,205.9,207.52,204.55,207.45,491200,207.658,214.236,,25.331,-4.377,-3.924,-0.454,214.236,227.769,200.702
2021-08-17,207.48,209.02,205.61,208.39,344100,207.578,213.355,,29.615,-4.218,-3.982,-0.235,213.355,225.923,200.787
2021-08-18,207.56,208.0,205.47,205.59,519600,206.98,212.3,,25.012,-4.268,-4.04,-0.229,212.3,223.637,200.963
2021-08-19,205.5,209.31,205.07,208.67,520500,207.282,211.232,,36.673,-4.013,-4.034,0.021,211.232,218.993,203.47
2021-08-20,209.28,210.93,208.04,209.86,528400,207.992,210.764,,40.521,-3.673,-3.962,0.289,210.764,217.57,203.958
2021-08-23,210.33,212.16,208.81,211.48,438400,208.798,210.356,,45.387,-3.235,-3.817,0.581,210.356,215.758,204.955
2021-08-24,211.92,212.5,209.83,210.17,318400,209.154,210.07,,42.369,-2.96,-3.645,0.685,210.07,214.803,205.338
2021-08-25,210.66,210.78,208.14,208.79,351300,209.794,209.86,,39.396,-2.821,-3.48,0.66,209.86,214.413,205.306
2021-08-26,208.02,210.03,207.78,209.55,360700,209.97,209.696,,41.817,-2.619,-3.308,0.689,209.696,214.033,205.36
2021-08-27,209.29,211.89,208.86,211.45,342500,210.288,209.612,,47.467,-2.279,-3.102,0.823,209.612,213.727,205.497
2021-08-30,211.92,213.77,211.67,212.92,287200,210.576,209.598,,51.399,-1.87,-2.856,0.986,209.598,213.66,205.535
2021-08-31,213.43,213.83,211.78,213.03,524300,211.148,209.622,,51.69,-1.519,-2.588,1.069,209.622,213.763,205.48
2021-09-01,213.56,216.55,213.34,215.24,467400,212.438,209.849,,57.237,-1.051,-2.281,1.23,209.849,214.681,205.018
2021-09-02,215.65,217.47,214.24,217.2,395900,213.968,210.126,,61.464,-0.515,-1.928,1.412,210.126,215.932,204.321
2021-09-03,216.67,218.77,216.24,216.94,347000,215.066,210.438,,60.608,-0.111,-1.564,1.454,210.438,216.995,203.881
2021-09-07,217.11,217.64,215.03,216.96,280300,215.874,210.726,,60.653,0.209,-1.21,1.419,210.726,217.902,203.551
2021-09-08,217.7,219.94,216.45,219.39,384800,217.146,211.257,,65.807,0.651,-0.838,1.489,211.257,219.338,203.175
2021-09-09,220.09,221.51,218.19,218.58,390900,217.814,211.757,,62.852,0.925,-0.485,1.41,211.757,220.361,203.152
2021-09-10,219.34,220.15,217.06,217.86,424900,217.946,212.291,,60.261,1.072,-0.173,1.246,212.291,221.023,203.56
2021-09-13,219.35,220.39,216.76,217.78,413700,218.114,212.865,,59.966,1.169,0.095,1.074,212.865,221.447,204.283
2021-09-14,217.78,219.5,216.3,218.63,462900,218.448,213.424,,62.094,1.299,0.336,0.963,213.424,221.978,204.87
2021-09-15,218.87,221.6,218.13,220.92,396000,218.754,214.05,,67.161,1.569,0.582,0.986,214.05,222.883,205.218
2021-09-16,220.96,221.87,219.91,221.37,376500,219.312,214.84,,68.064,1.798,0.826,0.973,214.84,223.301,206.378
2021-09-17,221.02,221.16,214.25,215.5,1188100,218.84,215.181,,49.094,1.489,0.958,0.531,215.181,223.13,207.232
