Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,27.2,27.45,27.1,27.3,1312600,,,,,0.0,0.0,0.0,,,
2021-07-13,27.27,27.5,27.09,27.12,1237600,,,,,-0.014,-0.003,-0.011,,,
2021-07-14,27.29,27.4,26.31,26.53,2081100,,,,,-0.073,-0.017,-0.056,,,
2021-07-15,26.41,26.79,26.2,26.36,2480600,,,,,-0.131,-0.04,-0.091,,,
2021-07-16,26.63,26.72,26.35,26.43,1848900,26.748,,,,-0.169,-0.066,-0.104,,,
2021-07-19,26.07,26.5,25.92,26.5,2177200,26.588,,,,-0.192,-0.091,-0.101,,,
2021-07-20,26.57,27.25,26.57,27.03,2200600,26.57,,,,-0.165,-0.106,-0.06,,,
2021-07-21,27.02,27.6,27.02,27.53,2594000,26.77,,,,-0.103,-0.105,0.002,,,
2021-07-22,27.58,27.62,27.08,27.31,1822700,26.96,,,,-0.07,-0.098,0.028,,,
2021-07-23,27.19,27.67,27.19,27.61,970300,27.196,,,,-0.02,-0.082,0.063,,,
2021-07-26,27.66,27.81,27.33,27.38,1184900,27.372,,,,0.002,-0.066,0.067,,,
2021-07-27,27.37,27.57,27.1,27.54,2186600,27.474,,,,0.031,-0.046,0.077,,,
2021-07-28,27.19,27.65,26.3,27.48,2797600,27.464,,,,0.049,-0.027,0.076,,,
2021-07-29,27.81,28.31,27.64,28.0,2570800,27.602,,,,0.104,-0.001,0.105,,,
2021-07-30,28.06,28.21,27.88,27.91,2066600,27.662,,,63.757,0.139,0.027,0.112,,,
2021-08-02,27.95,28.04,27.55,27.6,2362500,27.706,,,55.731,0.14,0.049,0.09,,,
2021-08-03,27.72,28.13,27.47,27.87,2921600,27.772,,,60.406,0.16,0.072,0.089,,,
2021-08-04,27.83,28.11,27.44,27.49,1626100,27.774,,,52.071,0.144,0.086,0.058,,,
2021-08-05,27.39,27.49,27.01,27.22,2566600,27.618,,,47.098,0.109,0.091,0.018,,,
2021-08-06,27.27,27.53,27.06,27.13,2168200,27.462,27.267,,45.537,0.072,0.087,-0.015,27.267,28.246,26.288
2021-08-09,27.08,27.43,26.89,27.39,2363500,27.42,27.272,,50.628,0.064,0.082,-0.019,27.272,28.252,26.291
2021-08-10,27.41,27.54,26.83,26.9,2207800,27.226,27.26,,42.555,0.017,0.069,-0.052,27.26,28.253,26.268
2021-08-11,26.84,27.01,26.22,26.89,3030900,27.106,27.278,,42.406,-0.02,0.051,-0.072,27.278,28.227,26.33
2021-08-12,26.94,27.41,26.8,27.33,2756500,27.128,27.327,,50.584,-0.014,0.038,-0.053,27.327,28.171,26.483
2021-08-13,27.3,27.34,26.88,27.02,1027400,27.106,27.356,,45.664,-0.034,0.024,-0.058,27.356,28.105,26.608
2021-08-16,27.08,27.12,26.71,26.79,1590800,26.986,27.371,,42.372,-0.068,0.005,-0.073,27.371,28.058,26.684
2021-08-17,26.62,26.87,26.5,26.83,1616300,26.972,27.361,,43.14,-0.09,-0.014,-0.076,27.361,28.074,26.648
2021-08-18,26.85,27.22,26.67,26.82,1424600,26.958,27.325,,42.985,-0.107,-0.032,-0.075,27.325,28.073,26.578
2021-08-19,26.65,26.95,26.45,26.46,1458600,26.784,27.283,,37.753,-0.148,-0.056,-0.093,27.283,28.125,26.441
2021-08-20,26.42,27.01,26.42,26.95,1584300,26.77,27.25,,47.178,-0.14,-0.072,-0.067,27.25,28.09,26.41
2021-08-23,27.16,27.29,27.01,27.16,1690000,26.844,27.239,,50.628,-0.115,-0.081,-0.034,27.239,28.077,26.401
2021-08-24,27.26,27.58,27.24,27.39,1252000,26.956,27.232,,54.159,-0.075,-0.08,0.004,27.232,28.061,26.402
2021-08-25,27.34,27.64,27.25,27.54,1671000,27.1,27.234,,56.352,-0.032,-0.07,0.039,27.234,28.068,26.401
2021-08-26,27.61,27.8,27.52,27.77,1085500,27.362,27.223,,59.547,0.021,-0.052,0.073,27.223,28.018,26.428
2021-08-27,27.87,28.38,27.75,28.16,856300,27.604,27.236,,64.317,0.094,-0.023,0.116,27.236,28.082,26.389
2021-08-30,28.24,28.63,28.19,28.41,1116000,27.854,27.276,,67.003,0.169,0.016,0.154,27.276,28.262,26.29
2021-08-31,28.41,28.58,27.97,28.04,889900,27.984,27.284,,59.826,0.197,0.052,0.145,27.284,28.295,26.274
2021-09-01,28.14,28.28,27.92,28.23,1011500,28.122,27.321,,62.072,0.232,0.088,0.144,27.321,28.414,26.229
2021-09-02,28.37,28.66,28.31,28.45,961100,28.258,27.383,,64.545,0.274,0.125,0.149,27.383,28.585,26.181
2021-09-03,28.38,28.58,27.98,28.06,730000,28.238,27.429,,57.401,0.272,0.154,0.118,27.429,28.662,26.197
2021-09-07,28.05,28.16,27.85,27.91,1030500,28.138,27.456,,54.885,0.256,0.175,0.081,27.456,28.706,26.205
2021-09-08,26.57,26.88,25.59,25.87,5216800,27.704,27.404,,33.425,0.078,0.155,-0.077,27.404,28.824,25.984
2021-09-09,25.56,25.8,24.71,24.95,5095000,27.048,27.307,,28.091,-0.136,0.097,-0.233,27.307,29.093,25.521
2021-09-10,25.05,25.17,24.38,24.41,3810000,26.24,27.161,,25.517,-0.345,0.009,-0.354,27.161,29.367,24.955
2021-09-13,23.89,24.37,23.54,23.86,4860100,25.4,27.003,,23.186,-0.549,-0.103,-0.446,27.003,29.658,24.348
2021-09-14,23.91,23.96,23.38,23.53,3141700,24.524,26.84,,21.894,-0.729,-0.228,-0.501,26.84,29.917,23.763
2021-09-15,23.46,23.63,23.29,23.44,3112300,24.038,26.67,,21.542,-0.868,-0.356,-0.512,26.67,30.103,23.238
2021-09-16,23.45,23.98,23.39,23.89,2947800,23.826,26.524,,27.802,-0.932,-0.471,-0.461,26.524,30.173,22.875
2021-09-17,23.91,24.08,23.53,23.62,4570500,23.668,26.382,,26.439,-0.993,-0.576,-0.417,26.382,30.255,22.509
2021-09-20,23.21,23.75,22.98,23.75,2993200,23.646,26.222,26.783,28.263,-1.019,-0.664,-0.355,26.222,30.258,22.186
2021-09-21,23.89,23.92,23.45,23.58,2078600,23.656,26.043,26.709,27.309,-1.041,-0.74,-0.301,26.043,30.219,21.867
2021-09-22,23.63,23.99,23.56,23.89,1708100,23.746,25.868,26.644,31.826,-1.022,-0.796,-0.226,25.868,30.099,21.637
2021-09-23,23.98,24.38,23.89,24.0,3519200,23.768,25.691,26.594,33.407,-0.986,-0.834,-0.152,25.691,29.924,21.458
2021-09-24,23.89,23.96,23.63,23.72,2126100,23.788,25.488,26.541,31.41,-0.97,-0.861,-0.109,25.488,29.69,21.287
2021-09-27,23.62,24.06,23.58,24.04,3350000,23.846,25.282,26.493,36.111,-0.92,-0.873,-0.047,25.282,29.333,21.232
2021-09-28,23.89,24.03,23.29,23.57,2479400,23.844,25.04,26.434,32.579,-0.908,-0.88,-0.028,25.04,28.877,21.204
2021-09-29,23.65,24.35,23.59,24.16,3017900,23.898,24.846,26.377,40.452,-0.842,-0.872,0.031,24.846,28.429,21.264
2021-09-30,24.2,24.44,23.96,23.98,4069800,23.894,24.634,26.306,38.957,-0.794,-0.857,0.063,24.634,27.857,21.411
2021-10-01,23.98,24.5,23.58,24.42,3352600,24.034,24.432,26.248,44.368,-0.713,-0.828,0.115,24.432,27.109,21.756
2021-10-04,24.65,24.68,23.41,23.65,3431500,23.956,24.212,26.169,38.017,-0.702,-0.803,0.101,24.212,26.29,22.134
2021-10-05,23.64,23.75,22.99,23.02,3387300,23.846,23.968,26.082,33.759,-0.736,-0.789,0.053,23.968,25.186,22.749
2021-10-06,22.89,23.04,22.69,22.96,1911300,23.606,23.822,25.99,33.376,-0.759,-0.783,0.024,23.822,24.743,22.901
2021-10-07,22.98,23.34,22.92,23.01,1660900,23.412,23.725,25.901,34.048,-0.765,-0.78,0.015,23.725,24.55,22.9
2021-10-08,23.09,23.09,22.3,22.32,2343500,22.992,23.62,25.787,29.608,-0.815,-0.787,-0.029,23.62,24.596,22.645
2021-10-11,22.21,22.35,21.96,22.16,2803400,22.694,23.536,25.672,28.675,-0.859,-0.801,-0.057,23.536,24.7,22.371
2021-10-12,22.17,22.38,21.47,21.61,3381300,22.412,23.44,25.552,25.677,-0.926,-0.826,-0.1,23.44,24.888,21.991
2021-10-13,21.7,21.88,21.23,21.76,4905500,22.172,23.356,25.43,27.891,-0.957,-0.852,-0.105,23.356,24.987,21.724
2021-10-14,21.94,22.88,21.9,22.75,3530900,22.12,23.298,25.335,40.491,-0.891,-0.86,-0.031,23.298,24.931,21.666
2021-10-15,22.97,23.29,22.67,22.81,1928700,22.218,23.258,25.247,41.162,-0.825,-0.853,0.028,23.258,24.898,21.618
2021-10-18,22.71,23.34,22.7,23.11,2785600,22.408,23.226,25.167,44.53,-0.739,-0.83,0.091,23.226,24.85,21.602
2021-10-19,23.26,23.56,23.07,23.27,1703700,22.74,23.21,25.084,46.295,-0.651,-0.794,0.143,23.21,24.826,21.595
2021-10-20,23.49,23.49,23.08,23.36,1218000,23.06,23.184,25.014,47.311,-0.567,-0.749,0.182,23.184,24.77,21.598
2021-10-21,23.24,23.71,23.17,23.69,1465200,23.248,23.168,24.95,50.973,-0.469,-0.693,0.224,23.168,24.727,21.61
2021-10-22,23.82,24.17,23.69,23.96,2415300,23.478,23.18,24.882,53.803,-0.365,-0.627,0.262,23.18,24.76,21.601
2021-10-25,23.92,24.23,23.71,24.09,1751600,23.674,23.183,24.824,55.145,-0.269,-0.556,0.287,23.183,24.768,21.598
2021-10-26,24.3,24.37,23.92,23.94,1876300,23.808,23.202,24.767,53.223,-0.203,-0.485,0.282,23.202,24.814,21.589
2021-10-27,24.24,25.07,23.87,24.57,4845700,24.05,23.222,24.721,59.592,-0.098,-0.408,0.309,23.222,24.895,21.549
2021-10-28,24.93,26.1,24.42,25.58,3870600,24.428,23.302,24.697,67.282,0.065,-0.313,0.378,23.302,25.257,21.347
2021-10-29,25.37,25.66,25.2,25.56,2092100,24.748,23.359,24.679,67.01,0.191,-0.212,0.403,23.359,25.508,21.21
2021-11-01,25.7,26.02,25.2,25.93,5267900,25.116,23.473,24.658,69.469,0.317,-0.107,0.423,23.473,25.91,21.036
2021-11-02,24.79,25.27,24.56,25.03,13370900,25.334,23.574,24.616,58.122,0.34,-0.017,0.357,23.574,26.096,21.051
2021-11-03,25.05,25.83,24.72,25.69,7516400,25.558,23.71,24.582,62.907,0.407,0.068,0.339,23.71,26.384,21.036
2021-11-04,25.83,27.12,25.73,26.82,4065100,25.806,23.9,24.567,69.361,0.545,0.163,0.382,23.9,26.889,20.912
2021-11-05,26.95,27.54,26.8,27.5,5864200,26.194,24.16,24.562,72.466,0.701,0.271,0.43,24.16,27.453,20.866
2021-11-08,27.64,27.84,27.33,27.41,3972700,26.49,24.422,24.547,71.435,0.808,0.378,0.43,24.422,27.878,20.966
2021-11-09,27.39,27.42,26.67,26.84,1638100,26.852,24.684,24.515,65.111,0.838,0.47,0.368,24.684,28.033,21.334
2021-11-10,26.8,27.21,26.33,26.53,1580700,27.02,24.922,24.485,61.902,0.826,0.541,0.285,24.922,28.068,21.776
2021-11-11,26.66,26.98,26.45,26.57,1647400,26.97,25.113,24.452,62.161,0.811,0.595,0.216,25.113,28.166,22.06
2021-11-12,26.58,26.71,26.24,26.58,2112900,26.786,25.302,24.415,62.23,0.791,0.634,0.156,25.302,28.219,22.384
2021-11-15,26.92,27.16,26.65,26.79,2419700,26.662,25.486,24.389,63.73,0.783,0.664,0.119,25.486,28.282,22.689
2021-11-16,26.68,26.98,26.62,26.71,2365600,26.636,25.658,24.365,62.708,0.761,0.684,0.078,25.658,28.3,23.015
2021-11-17,26.7,26.79,26.49,26.63,908400,26.656,25.821,24.38,61.644,0.729,0.693,0.036,25.821,28.261,23.381
2021-11-18,26.67,26.71,26.15,26.46,5429400,26.634,25.96,24.411,59.34,0.682,0.691,-0.008,25.96,28.197,23.722
2021-11-19,26.42,27.1,26.28,26.85,2201100,26.688,26.104,24.459,62.777,0.669,0.686,-0.018,26.104,28.164,24.044
2021-11-22,27.08,27.2,26.17,26.46,2552400,26.622,26.223,24.511,57.539,0.619,0.673,-0.053,26.223,28.054,24.391
2021-11-23,26.23,26.39,25.02,25.5,5577000,26.38,26.3,24.551,47.117,0.497,0.638,-0.141,26.3,27.831,24.77
2021-11-24,26.11,26.15,25.36,26.12,1777600,26.278,26.378,24.604,53.034,0.445,0.599,-0.154,26.378,27.68,25.076
2021-11-26,25.71,25.98,25.37,25.66,1458200,26.118,26.382,24.64,48.681,0.363,0.552,-0.189,26.382,27.674,25.09
2021-11-29,26.06,26.14,25.45,25.87,1388400,25.922,26.398,24.685,50.672,0.311,0.504,-0.193,26.398,27.655,25.14
2021-11-30,25.72,25.88,25.1,25.53,2968000,25.736,26.377,24.72,47.462,0.239,0.451,-0.212,26.377,27.678,25.077
2021-12-01,25.81,26.08,24.53,24.59,3421100,25.554,26.356,24.741,39.932,0.105,0.382,-0.276,26.356,27.763,24.948
2021-12-02,24.79,25.53,24.66,25.53,3097100,25.436,26.347,24.773,48.698,0.075,0.32,-0.246,26.347,27.772,24.923
2021-12-03,25.66,25.92,25.12,25.4,1476100,25.384,26.276,24.801,47.662,0.039,0.264,-0.225,26.276,27.743,24.81
2021-12-06,25.38,25.77,24.55,25.72,2578600,25.354,26.188,24.841,50.456,0.036,0.218,-0.182,26.188,27.554,24.821
2021-12-07,26.17,26.78,26.04,26.44,3742700,25.536,26.139,24.889,56.13,0.091,0.193,-0.102,26.139,27.386,24.892
2021-12-08,26.6,26.92,26.35,26.64,1648400,25.946,26.129,24.951,57.583,0.149,0.184,-0.035,26.129,27.356,24.902
2021-12-09,26.46,26.64,25.79,25.88,2272600,26.016,26.097,24.985,50.709,0.132,0.174,-0.042,26.097,27.313,24.88
2021-12-10,25.94,26.13,25.33,25.67,1405400,26.07,26.051,25.019,48.969,0.101,0.159,-0.058,26.051,27.261,24.842
2021-12-13,25.59,25.85,25.29,25.34,1558200,25.994,25.99,25.037,46.283,0.049,0.137,-0.089,25.99,27.212,24.767
2021-12-14,24.69,24.79,23.72,24.23,3494300,25.552,25.862,25.049,38.609,-0.081,0.093,-0.175,25.862,27.255,24.468
2021-12-15,24.29,25.0,24.17,24.91,1504700,25.206,25.771,25.087,44.662,-0.128,0.049,-0.177,25.771,27.167,24.376
2021-12-16,25.18,25.4,23.75,23.91,1907200,24.812,25.636,25.106,38.63,-0.243,-0.009,-0.234,25.636,27.199,24.072
2021-12-17,23.72,24.25,23.05,23.85,3752600,24.448,25.505,25.123,38.296,-0.335,-0.074,-0.261,25.505,27.208,23.802
2021-12-20,23.42,23.73,23.23,23.69,2400100,24.118,25.347,25.15,37.367,-0.416,-0.143,-0.273,25.347,27.11,23.584
2021-12-21,23.89,24.17,23.65,24.08,1101100,24.088,25.228,25.188,41.115,-0.444,-0.203,-0.241,25.228,26.996,23.46
2021-12-22,24.05,24.16,23.6,23.88,1619100,23.882,25.147,25.234,39.8,-0.476,-0.258,-0.219,25.147,27.008,23.286
2021-12-23,24.03,24.84,23.88,24.75,1208700,24.05,25.078,25.294,47.645,-0.427,-0.291,-0.135,25.078,26.889,23.268
2021-12-27,24.79,24.95,24.44,24.87,1398500,24.254,25.039,25.336,48.639,-0.374,-0.308,-0.066,25.039,26.83,23.248
2021-12-28,24.83,24.87,24.31,24.59,1282300,24.434,24.975,25.372,46.424,-0.35,-0.316,-0.034,24.975,26.733,23.217
