Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,198.0,198.46,197.2,198.34,2074900,,,,,0.0,0.0,0.0,,,
2021-07-13,198.16,200.44,197.36,198.33,1685900,,,,,-0.001,-0.0,-0.001,,,
2021-07-14,197.51,199.02,195.75,197.89,1655000,,,,,-0.037,-0.007,-0.029,,,
2021-07-15,196.79,200.16,195.85,200.09,2452800,,,,,0.111,0.016,0.095,,,
2021-07-16,200.6,204.46,199.26,202.28,3066500,199.386,,,,0.401,0.093,0.308,,,
2021-07-19,202.16,204.26,198.33,199.24,1897500,199.566,,,,0.38,0.151,0.23,,,
2021-07-20,195.0,196.99,193.88,196.55,3487800,199.21,,,,0.145,0.15,-0.004,,,
2021-07-21,196.08,197.21,194.45,196.27,1382600,198.886,,,,-0.063,0.107,-0.17,,,
2021-07-22,195.4,196.57,195.0,196.02,1295100,198.072,,,,-0.245,0.037,-0.282,,,
2021-07-23,196.72,203.52,195.5,200.5,2887400,197.716,,,,-0.027,0.024,-0.051,,,
2021-07-26,199.43,202.41,198.26,198.93,4010700,197.654,,,,0.018,0.023,-0.005,,,
2021-07-27,199.85,203.1,198.66,202.85,1822500,198.914,,,,0.366,0.091,0.275,,,
2021-07-28,202.85,204.88,201.05,202.24,1258500,200.108,,,,0.586,0.19,0.396,,,
2021-07-29,202.73,202.94,198.83,200.38,1397000,200.98,,,,0.603,0.273,0.33,,,
2021-07-30,201.54,203.46,197.31,201.58,2132900,201.196,,,57.517,0.706,0.359,0.346,,,
2021-08-02,200.65,201.27,197.45,198.32,2809600,201.074,,,47.389,0.518,0.391,0.127,,,
2021-08-03,198.59,200.71,198.03,200.05,2060100,200.514,,,52.199,0.502,0.413,0.089,,,
2021-08-04,200.0,202.0,199.11,199.59,2612200,199.984,,,50.868,0.448,0.42,0.028,,,
2021-08-05,200.26,203.13,199.73,202.99,1975500,200.506,,,59.161,0.672,0.471,0.201,,,
2021-08-06,202.99,204.0,200.53,200.67,1542200,200.324,199.656,,52.632,0.654,0.507,0.147,199.656,203.876,195.435
2021-08-09,201.38,201.54,198.63,200.4,2314400,200.74,199.758,,51.914,0.612,0.528,0.083,199.758,203.944,195.573
2021-08-10,200.5,200.66,195.34,196.46,2891700,200.022,199.665,,42.75,0.257,0.474,-0.217,199.665,204.063,195.267
2021-08-11,196.82,199.28,194.53,195.25,4204300,199.154,199.533,,40.391,-0.121,0.355,-0.476,199.533,204.299,194.767
2021-08-12,195.72,196.35,193.88,194.81,3580200,197.518,199.269,,39.537,-0.45,0.194,-0.644,199.269,204.47,194.068
2021-08-13,195.0,195.71,193.7,194.36,3231900,196.256,198.873,,38.637,-0.739,0.007,-0.746,198.873,204.309,193.437
2021-08-16,194.67,194.95,189.61,190.97,3548900,194.37,198.46,,32.615,-1.227,-0.239,-0.988,198.46,204.937,191.982
2021-08-17,189.47,198.59,188.84,198.44,2082200,194.766,198.554,,50.81,-1.0,-0.392,-0.608,198.554,204.969,192.139
2021-08-18,198.72,198.72,194.68,194.77,1120200,194.67,198.479,,44.458,-1.103,-0.534,-0.569,198.479,205.04,191.918
2021-08-19,194.3,197.92,194.3,195.04,1140900,194.716,198.43,,45.003,-1.15,-0.657,-0.493,198.43,205.082,191.778
2021-08-20,195.6,198.61,194.3,195.85,974700,195.014,198.198,,46.692,-1.109,-0.747,-0.361,198.198,204.87,191.525
2021-08-23,197.27,200.5,196.14,198.4,1125800,196.5,198.171,,51.719,-0.861,-0.77,-0.091,198.171,204.835,191.507
2021-08-24,198.82,200.16,196.68,199.73,880100,196.758,198.015,,54.148,-0.55,-0.726,0.176,198.015,204.357,191.673
2021-08-25,199.59,202.17,198.09,201.33,1192700,198.07,197.969,,56.953,-0.173,-0.616,0.442,197.969,204.195,191.744
2021-08-26,200.94,202.74,197.91,198.25,1134700,198.712,197.863,,50.542,-0.122,-0.517,0.395,197.863,203.987,191.739
2021-08-27,198.15,202.77,195.85,199.92,1290000,199.526,197.78,,53.592,0.054,-0.403,0.456,197.78,203.735,191.825
2021-08-30,199.3,201.56,198.7,199.49,1119600,199.744,197.838,,52.691,0.156,-0.291,0.447,197.838,203.839,191.838
2021-08-31,200.21,200.35,198.15,200.29,1889700,199.856,197.85,,54.233,0.298,-0.173,0.471,197.85,203.87,191.831
2021-09-01,200.62,202.55,196.35,197.14,1450700,199.018,197.728,,47.649,0.155,-0.108,0.262,197.728,203.698,191.758
2021-09-02,198.06,199.8,196.6,199.22,1240100,199.212,197.54,,51.809,0.207,-0.045,0.251,197.54,203.029,192.05
2021-09-03,198.5,199.18,196.66,198.05,985400,198.838,197.408,,49.43,0.152,-0.005,0.157,197.408,202.705,192.112
2021-09-07,196.2,197.05,192.0,192.2,1714000,197.38,196.998,,39.628,-0.36,-0.076,-0.284,196.998,202.581,191.416
2021-09-08,191.81,193.4,191.06,191.37,940300,195.596,196.744,,38.463,-0.823,-0.226,-0.597,196.744,202.868,190.62
2021-09-09,189.42,190.2,188.05,188.09,1449900,193.786,196.386,,34.185,-1.438,-0.468,-0.97,196.386,203.615,189.157
2021-09-10,188.17,190.15,186.15,188.57,1375500,191.656,196.074,,35.319,-1.865,-0.747,-1.117,196.074,204.086,188.062
2021-09-13,190.07,193.25,189.61,190.72,972700,190.19,195.892,,40.281,-2.007,-0.999,-1.007,195.892,204.227,187.557
2021-09-14,190.86,191.75,188.21,188.41,960700,189.432,195.764,,36.997,-2.279,-1.255,-1.024,195.764,204.487,187.041
2021-09-15,188.47,190.6,188.42,188.86,1599100,188.93,195.285,,38.056,-2.431,-1.49,-0.94,195.285,204.431,186.139
2021-09-16,188.85,189.54,185.44,187.1,1548200,188.732,194.902,,35.539,-2.662,-1.725,-0.938,194.902,204.754,185.049
2021-09-17,186.24,188.54,184.78,188.3,2214200,188.678,194.564,,38.525,-2.718,-1.923,-0.794,194.564,204.849,184.28
2021-09-20,186.89,188.89,185.07,185.67,1874400,187.668,194.056,196.611,34.728,-2.94,-2.127,-0.813,194.056,205.055,183.056
2021-09-21,186.17,187.49,185.11,185.8,913500,187.146,193.426,196.361,35.069,-3.07,-2.315,-0.755,193.426,204.813,182.038
2021-09-22,186.12,186.44,182.6,184.27,1376000,186.228,192.652,196.079,32.893,-3.259,-2.504,-0.755,192.652,204.334,180.971
2021-09-23,184.62,186.5,184.5,185.09,1076300,185.826,191.84,195.823,35.213,-3.305,-2.664,-0.64,191.84,203.236,180.445
2021-09-24,185.3,185.3,181.98,183.61,1159800,184.888,191.108,195.494,32.996,-3.421,-2.816,-0.605,191.108,202.65,179.567
2021-09-27,183.2,184.05,181.45,183.41,1469900,184.436,190.283,195.116,32.696,-3.489,-2.95,-0.539,190.283,201.529,179.037
2021-09-28,182.4,183.32,180.02,181.6,1589100,183.596,189.388,194.764,30.038,-3.647,-3.089,-0.557,189.388,200.395,178.382
2021-09-29,182.17,184.25,181.96,182.22,1100800,183.186,188.485,194.477,32.075,-3.679,-3.207,-0.472,188.485,198.658,178.312
2021-09-30,182.48,184.21,181.37,181.39,1322100,182.446,187.698,194.179,30.783,-3.729,-3.312,-0.417,187.698,197.481,177.914
2021-10-01,180.16,181.15,178.35,180.35,1355800,181.794,186.754,193.866,29.195,-3.809,-3.411,-0.398,186.754,195.436,178.072
2021-10-04,179.0,181.0,177.04,177.4,1647900,180.592,185.722,193.404,25.223,-4.063,-3.542,-0.521,185.722,193.624,177.819
2021-10-05,177.5,179.4,176.92,177.01,1802600,179.674,184.962,192.966,24.743,-4.247,-3.683,-0.564,184.962,193.157,176.767
2021-10-06,177.01,182.58,176.36,180.91,1723000,179.412,184.439,192.527,37.529,-4.032,-3.752,-0.279,184.439,192.238,176.64
2021-10-07,180.91,182.0,179.72,180.02,1287300,179.138,184.036,192.082,36.025,-3.888,-3.779,-0.108,184.036,191.874,176.197
2021-10-08,180.27,181.02,178.58,178.94,1157800,178.856,183.554,191.654,34.232,-3.817,-3.787,-0.03,183.554,191.403,175.705
2021-10-11,179.23,181.02,178.21,179.58,1533000,179.292,182.997,191.214,36.257,-3.667,-3.763,0.096,182.997,190.264,175.73
2021-10-12,181.51,181.51,179.31,180.21,1425000,179.932,182.587,190.851,38.271,-3.458,-3.702,0.244,182.587,189.484,175.69
2021-10-13,180.22,182.5,180.22,181.34,1088900,180.018,182.211,190.477,41.823,-3.164,-3.594,0.43,182.211,188.457,175.965
2021-10-14,182.14,184.19,181.33,181.9,1913400,180.394,181.951,190.123,43.556,-2.853,-3.446,0.593,181.951,187.758,176.144
2021-10-15,182.48,183.15,181.0,181.77,1409200,180.96,181.624,189.699,43.234,-2.587,-3.274,0.687,181.624,186.604,176.645
2021-10-18,182.5,182.7,177.71,180.8,2335900,181.204,181.381,189.302,40.81,-2.427,-3.105,0.678,181.381,185.99,176.772
2021-10-19,182.06,185.6,181.11,185.41,2011200,182.244,181.362,189.002,54.009,-1.906,-2.865,0.959,181.362,185.894,176.829
2021-10-20,185.99,187.88,185.08,185.49,1623500,183.074,181.422,188.782,54.2,-1.47,-2.586,1.116,181.422,186.149,176.696
2021-10-21,185.54,187.2,184.34,187.09,1629100,184.112,181.522,188.619,57.958,-0.984,-2.266,1.282,181.522,186.644,176.401
2021-10-22,186.77,187.15,182.88,183.52,1945200,184.462,181.518,188.393,48.413,-0.876,-1.988,1.111,181.518,186.632,176.404
2021-10-25,183.52,186.14,182.51,184.99,982600,185.3,181.597,188.206,51.924,-0.665,-1.723,1.058,181.597,186.88,176.314
2021-10-26,185.02,186.58,183.95,184.07,1003400,185.032,181.721,188.068,49.646,-0.565,-1.492,0.926,181.721,187.118,176.323
2021-10-27,184.39,184.96,180.4,180.94,1217100,184.122,181.656,187.718,42.773,-0.73,-1.339,0.609,181.656,187.059,176.254
2021-10-28,181.19,183.83,181.01,182.0,1356700,183.104,181.687,187.463,45.523,-0.767,-1.225,0.458,181.687,187.09,176.284
2021-10-29,181.93,185.91,180.67,184.93,1567900,183.386,181.916,187.26,52.343,-0.553,-1.09,0.538,181.916,187.467,176.365
2021-11-01,184.18,186.74,183.41,185.4,1172700,183.468,182.316,187.051,53.351,-0.341,-0.941,0.599,182.316,187.645,176.987
2021-11-02,185.66,185.66,180.71,181.4,2317300,182.934,182.536,186.711,44.683,-0.491,-0.851,0.36,182.536,187.273,177.798
2021-11-03,187.5,190.75,184.1,189.07,3917500,184.56,182.944,186.498,58.58,0.009,-0.679,0.688,182.944,188.437,177.45
2021-11-04,189.1,194.41,188.3,194.21,3469200,187.002,183.653,186.356,64.937,0.811,-0.381,1.192,183.653,190.932,176.374
2021-11-05,193.76,195.23,191.48,192.85,2231700,188.586,184.348,186.248,62.216,1.322,-0.04,1.362,184.348,192.353,176.344
2021-11-08,192.99,194.46,190.64,192.23,1345700,189.952,184.981,186.094,60.962,1.657,0.299,1.358,184.981,193.388,176.574
2021-11-09,192.23,193.41,190.31,191.09,1727500,191.89,185.525,185.926,58.622,1.81,0.601,1.209,185.525,194.04,177.01
2021-11-10,191.01,192.61,187.51,187.91,1340200,191.658,185.854,185.678,52.562,1.656,0.812,0.843,185.854,194.194,177.513
2021-11-11,188.0,188.15,185.1,185.87,1146200,189.99,186.052,185.453,49.058,1.353,0.92,0.433,186.052,194.182,177.922
2021-11-12,187.01,187.79,186.03,187.29,940200,188.878,186.328,185.214,51.483,1.214,0.979,0.235,186.328,194.217,178.439
2021-11-15,187.29,187.92,186.11,186.86,1003200,187.804,186.631,184.991,50.696,1.057,0.995,0.062,186.631,194.08,179.182
2021-11-16,186.45,188.87,185.58,188.33,1372000,187.252,186.777,184.913,53.322,1.039,1.003,0.035,186.777,194.239,179.315
2021-11-17,188.63,198.53,187.12,188.25,2691200,187.32,186.915,184.851,53.156,1.006,1.004,0.002,186.915,194.379,179.451
2021-11-18,188.25,189.48,184.89,185.41,1594400,187.228,186.831,184.797,47.504,0.743,0.952,-0.209,186.831,194.325,179.337
2021-11-19,184.82,185.22,181.02,182.88,1587700,186.346,186.799,184.683,43.107,0.326,0.827,-0.5,186.799,194.357,179.241
2021-11-22,182.65,183.65,180.15,181.5,1173700,185.274,186.624,184.499,40.884,-0.114,0.639,-0.752,186.624,194.513,178.736
2021-11-23,181.05,187.07,179.96,186.85,2159400,184.978,186.764,184.468,51.357,-0.031,0.505,-0.535,186.764,194.56,178.967
2021-11-24,187.26,188.33,184.71,186.24,3086800,184.576,187.028,184.415,50.264,-0.014,0.401,-0.415,187.028,194.336,179.721
2021-11-26,187.33,189.8,182.66,183.59,1127400,184.212,187.108,184.345,45.71,-0.212,0.279,-0.49,187.108,194.217,179.999
2021-11-29,187.45,192.36,185.46,190.11,2802000,185.658,187.367,184.381,56.219,0.156,0.254,-0.098,187.367,194.519,180.215
