Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,29.23,29.72,28.86,29.65,3267300,,,,,0.0,0.0,0.0,,,
2021-07-13,29.43,29.73,28.95,29.1,6415800,,,,,-0.044,-0.009,-0.035,,,
2021-07-14,29.21,29.33,28.55,28.74,5500000,,,,,-0.106,-0.028,-0.078,,,
2021-07-15,28.6,29.16,28.34,28.46,5218700,,,,,-0.177,-0.058,-0.119,,,
2021-07-16,28.54,29.08,28.05,28.18,6284300,28.826,,,,-0.252,-0.097,-0.155,,,
2021-07-19,27.77,28.21,27.08,27.82,7095500,28.46,,,,-0.337,-0.145,-0.192,,,
2021-07-20,27.88,28.22,27.52,28.13,3534400,28.266,,,,-0.375,-0.191,-0.184,,,
2021-07-21,28.21,29.05,28.21,28.79,4030400,28.276,,,,-0.347,-0.222,-0.125,,,
2021-07-22,28.85,28.93,27.87,28.48,4515400,28.28,,,,-0.347,-0.247,-0.1,,,
2021-07-23,28.63,28.68,27.86,28.47,3030300,28.338,,,,-0.343,-0.266,-0.077,,,
2021-07-26,28.43,31.4,28.35,29.34,16584200,28.642,,,,-0.267,-0.266,-0.001,,,
2021-07-27,29.02,29.58,28.75,28.83,6553000,28.782,,,,-0.245,-0.262,0.017,,,
2021-07-28,28.9,29.93,27.34,29.39,15471800,28.902,,,,-0.18,-0.246,0.065,,,
2021-07-29,29.4,31.0,29.32,30.18,9316000,29.242,,,,-0.065,-0.21,0.145,,,
2021-07-30,29.92,30.16,28.89,29.01,4100900,29.35,,,48.439,-0.067,-0.181,0.114,,,
2021-08-02,29.23,29.59,28.93,29.09,4114900,29.3,,,49.31,-0.061,-0.157,0.096,,,
2021-08-03,29.18,29.28,26.85,27.87,13105300,29.108,,,38.597,-0.153,-0.156,0.003,,,
2021-08-04,27.81,28.58,27.43,28.34,6219500,28.898,,,43.674,-0.186,-0.162,-0.024,,,
2021-08-05,28.43,29.4,28.28,29.2,4563400,28.702,,,51.566,-0.141,-0.158,0.017,,,
2021-08-06,29.24,29.72,28.87,29.04,6595500,28.708,28.806,,50.158,-0.117,-0.15,0.033,28.806,30.011,27.6
2021-08-09,29.03,29.31,28.77,29.23,2507300,28.736,28.784,,51.84,-0.082,-0.136,0.054,28.784,29.942,27.627
2021-08-10,29.13,29.5,28.82,29.44,4487000,29.05,28.801,,53.699,-0.037,-0.116,0.08,28.801,29.988,27.615
2021-08-11,29.44,29.61,29.05,29.45,2966400,29.272,28.837,,53.791,0.0,-0.093,0.093,28.837,30.058,27.616
2021-08-12,29.62,29.73,28.71,28.9,3949500,29.212,28.859,,48.154,-0.015,-0.077,0.062,28.859,30.067,27.651
2021-08-13,29.11,29.21,28.36,28.42,3278600,29.088,28.871,,43.837,-0.065,-0.075,0.01,28.871,30.055,27.687
2021-08-16,28.26,28.73,27.8,28.34,5022200,28.91,28.897,,43.143,-0.11,-0.082,-0.028,28.897,30.004,27.79
2021-08-17,28.0,28.67,27.8,28.61,3813000,28.744,28.921,,46.237,-0.122,-0.09,-0.032,28.921,29.978,27.864
2021-08-18,28.72,29.23,28.41,28.45,4637300,28.544,28.904,,44.685,-0.143,-0.1,-0.042,28.904,29.98,27.828
2021-08-19,28.41,28.43,27.69,27.74,5425000,28.312,28.867,,38.508,-0.214,-0.123,-0.091,28.867,30.05,27.684
2021-08-20,27.66,28.13,27.38,28.07,4089300,28.242,28.847,,42.488,-0.242,-0.147,-0.095,28.847,30.071,27.623
2021-08-23,28.31,28.69,28.05,28.44,3286700,28.262,28.802,,46.656,-0.231,-0.164,-0.067,28.802,30.016,27.588
2021-08-24,28.48,28.96,28.45,28.7,3403800,28.28,28.795,,49.43,-0.199,-0.171,-0.028,28.795,30.011,27.58
2021-08-25,28.71,29.08,28.45,28.74,2704100,28.338,28.763,,49.862,-0.168,-0.17,0.002,28.763,29.945,27.581
2021-08-26,28.92,28.93,27.77,27.89,4019900,28.368,28.649,,41.709,-0.21,-0.178,-0.032,28.649,29.688,27.609
2021-08-27,27.9,28.38,27.66,28.28,4009400,28.41,28.612,,46.066,-0.21,-0.185,-0.025,28.612,29.649,27.575
2021-08-30,28.48,28.48,27.69,27.85,3084900,28.292,28.55,,42.311,-0.241,-0.196,-0.045,28.55,29.615,27.485
2021-08-31,27.8,28.97,27.79,28.84,5288900,28.32,28.598,,52.011,-0.184,-0.193,0.009,28.598,29.62,27.577
