Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,241.54,242.46,235.48,236.39,980400,,,,,0.0,0.0,0.0,,,
2021-07-13,233.41,237.56,232.83,232.99,1113500,,,,,-0.271,-0.054,-0.217,,,
2021-07-14,234.54,235.72,231.24,232.03,980900,,,,,-0.557,-0.155,-0.402,,,
2021-07-15,231.34,232.04,226.16,228.7,1812600,,,,,-1.041,-0.332,-0.709,,,
2021-07-16,230.0,231.0,226.85,227.53,1224400,231.528,,,,-1.501,-0.566,-0.935,,,
2021-07-19,225.71,227.87,223.69,226.15,1255400,229.48,,,,-1.954,-0.843,-1.111,,,
2021-07-20,227.2,233.58,225.55,230.83,1534800,229.048,,,,-1.914,-1.058,-0.856,,,
2021-07-21,228.61,237.62,228.12,237.36,1259600,230.114,,,,-1.34,-1.114,-0.226,,,
2021-07-22,237.0,239.35,237.0,237.92,932700,231.958,,,,-0.83,-1.057,0.227,,,
2021-07-23,238.81,242.06,237.73,240.4,1107700,234.532,,,,-0.223,-0.89,0.667,,,
2021-07-26,240.55,240.55,237.94,238.61,870200,237.024,,,,0.112,-0.69,0.802,,,
2021-07-27,238.9,239.31,220.01,230.66,7730300,236.99,,,,-0.261,-0.604,0.343,,,
2021-07-28,232.0,235.54,231.26,234.39,1651400,236.396,,,,-0.252,-0.534,0.281,,,
2021-07-29,235.21,237.44,234.25,235.25,1296800,235.862,,,,-0.174,-0.462,0.287,,,
2021-07-30,233.33,235.36,233.01,234.4,921700,234.662,,,49.182,-0.179,-0.405,0.226,,,
2021-08-02,235.1,236.32,232.42,233.65,706700,233.67,,,47.674,-0.241,-0.372,0.132,,,
2021-08-03,238.26,238.31,231.35,235.36,2229600,234.61,,,51.337,-0.15,-0.328,0.178,,,
2021-08-04,235.17,235.79,231.75,232.23,1063000,234.178,,,45.112,-0.326,-0.327,0.001,,,
2021-08-05,231.78,236.96,230.32,236.0,2520700,234.328,,,52.572,-0.16,-0.294,0.134,,,
2021-08-06,234.62,237.1,233.4,235.72,1031000,234.592,233.828,,52.007,-0.051,-0.245,0.195,233.828,241.306,226.351
2021-08-09,236.58,236.58,233.93,234.19,1424200,234.7,233.718,,48.911,-0.086,-0.214,0.127,233.718,241.102,226.335
2021-08-10,237.61,238.0,230.05,230.7,842000,233.768,233.604,,42.672,-0.392,-0.249,-0.142,233.604,241.105,226.103
2021-08-11,231.89,232.8,229.01,231.37,830800,233.596,233.571,,44.145,-0.573,-0.314,-0.259,233.571,241.107,226.035
2021-08-12,230.58,236.92,230.58,235.33,997500,233.462,233.902,,51.996,-0.393,-0.33,-0.063,233.902,241.112,226.693
2021-08-13,235.39,238.98,234.58,236.68,743600,233.654,234.36,,54.352,-0.139,-0.291,0.152,234.36,241.006,227.714
2021-08-16,236.08,236.08,230.72,232.58,1141300,233.332,234.682,,46.835,-0.266,-0.286,0.02,234.682,240.179,229.184
2021-08-17,230.43,232.62,228.07,231.36,1049400,233.464,234.708,,44.847,-0.46,-0.321,-0.139,234.708,240.131,229.285
2021-08-18,231.63,233.64,230.6,231.58,1638300,233.506,234.419,,45.298,-0.589,-0.375,-0.214,234.419,239.863,228.975
2021-08-19,231.16,233.14,228.59,231.9,1313400,232.82,234.118,,45.99,-0.657,-0.431,-0.226,234.118,239.411,228.825
2021-08-20,232.31,238.71,232.31,235.95,1553900,232.674,233.896,,53.928,-0.381,-0.421,0.04,233.896,238.391,229.4
2021-08-23,235.95,242.82,235.62,242.62,1662000,234.682,234.096,,63.455,0.372,-0.262,0.635,234.096,239.698,228.494
2021-08-24,245.33,245.9,242.21,245.81,1258700,237.572,234.854,,66.973,1.213,0.033,1.18,234.854,242.294,227.413
2021-08-25,245.36,246.79,244.2,246.11,989200,240.478,235.44,,67.291,1.881,0.402,1.479,235.44,244.415,226.464
2021-08-26,247.0,248.46,245.0,246.76,3036300,243.45,236.015,,68.012,2.435,0.809,1.626,236.015,246.317,225.713
2021-08-27,265.03,274.94,263.27,269.28,7411600,250.116,237.759,,82.443,4.638,1.575,3.063,237.759,255.807,219.711
2021-08-30,270.88,273.64,268.63,271.37,1904600,255.866,239.645,,83.201,6.478,2.555,3.923,239.645,262.991,216.299
2021-08-31,271.3,275.71,269.66,273.16,2074900,261.336,241.535,,83.844,7.988,3.642,4.346,241.535,269.15,213.92
