Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,52.94,53.5,52.46,53.34,4005383,,,,,0.0,0.0,0.0,,,
2021-07-13,52.89,53.41,52.29,52.73,3337003,,,,,-0.049,-0.01,-0.039,,,
2021-07-14,53.71,54.29,52.38,52.68,4292474,,,,,-0.09,-0.026,-0.064,,,
2021-07-15,52.45,52.61,50.16,50.34,6231462,,,,,-0.308,-0.082,-0.226,,,
2021-07-16,50.29,50.64,48.1,48.3,5320312,51.478,,,,-0.639,-0.194,-0.445,,,
2021-07-19,47.33,47.64,46.73,47.39,5393077,50.288,,,,-0.963,-0.347,-0.615,,,
2021-07-20,47.25,48.79,46.92,48.64,4712791,49.47,,,,-1.106,-0.499,-0.607,,,
2021-07-21,48.49,49.04,46.27,48.49,8825601,48.632,,,,-1.217,-0.643,-0.575,,,
2021-07-22,48.46,48.46,46.85,47.44,5594041,48.052,,,,-1.375,-0.789,-0.585,,,
2021-07-23,47.74,48.05,47.01,47.97,3585065,47.986,,,,-1.44,-0.919,-0.521,,,
2021-07-26,47.94,49.25,47.82,48.36,2915627,48.18,,,,-1.443,-1.024,-0.419,,,
2021-07-27,47.55,47.88,45.81,46.92,5195024,47.836,,,,-1.545,-1.128,-0.417,,,
2021-07-28,47.02,48.28,47.02,47.79,3537834,47.696,,,,-1.537,-1.21,-0.327,,,
2021-07-29,48.13,49.06,47.79,48.5,3454750,47.908,,,,-1.457,-1.259,-0.198,,,
2021-07-30,47.91,49.19,47.84,48.85,3211583,48.084,,,40.081,-1.35,-1.277,-0.072,,,
2021-08-02,49.37,50.24,48.58,48.67,3493249,48.146,,,39.103,-1.264,-1.275,0.01,,,
2021-08-03,48.91,49.84,48.08,49.76,3899807,48.714,,,47.464,-1.096,-1.239,0.143,,,
2021-08-04,49.06,49.81,48.79,48.86,6621615,48.928,,,42.3,-1.024,-1.196,0.172,,,
