Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,46.65,46.71,46.05,46.11,25345200,,,,,0.0,0.0,0.0,,,
2021-09-08,46.01,46.44,45.94,46.17,19508400,,,,,0.005,0.001,0.004,,,
2021-09-09,46.17,46.22,45.67,45.85,22328700,,,,,-0.017,-0.003,-0.014,,,
2021-09-10,46.09,46.1,45.54,45.68,15775200,,,,,-0.048,-0.012,-0.036,,,
2021-09-13,45.88,46.08,45.29,45.42,19529400,45.846,,,,-0.092,-0.028,-0.064,,,
2021-09-14,45.55,45.68,45.06,45.18,16533900,45.66,,,,-0.144,-0.051,-0.093,,,
2021-09-15,45.11,45.32,45.02,45.26,14850000,45.478,,,,-0.177,-0.076,-0.101,,,
2021-09-16,45.23,45.5,44.99,45.41,18428400,45.39,,,,-0.189,-0.099,-0.091,,,
2021-09-17,45.13,45.77,45.1,45.32,73032600,45.318,,,,-0.204,-0.12,-0.084,,,
2021-09-20,44.93,45.46,44.34,44.7,25054500,45.174,,,,-0.262,-0.148,-0.114,,,
2021-09-21,44.68,45.27,44.67,44.78,17437500,45.094,,,,-0.299,-0.178,-0.12,,,
2021-09-22,44.92,44.96,44.55,44.68,15044400,44.978,,,,-0.332,-0.209,-0.123,,,
2021-09-23,44.85,44.97,44.6,44.7,15585300,44.836,,,,-0.352,-0.238,-0.115,,,
2021-09-24,44.62,44.99,44.62,44.83,13360500,44.738,,,,-0.354,-0.261,-0.093,,,
2021-09-27,44.74,44.95,44.41,44.54,21250800,44.706,,,21.271,-0.375,-0.284,-0.091,,,
2021-09-28,44.43,44.49,43.83,43.99,20580900,44.548,,,15.686,-0.43,-0.313,-0.117,,,
2021-09-29,44.04,44.41,43.94,43.98,21375600,44.408,,,15.606,-0.47,-0.344,-0.125,,,
2021-09-30,44.04,44.38,43.6,43.64,22457700,44.196,,,13.144,-0.522,-0.38,-0.142,,,
2021-10-01,43.61,43.72,42.56,42.91,30014400,43.812,,,9.631,-0.616,-0.427,-0.189,,,
2021-10-04,42.93,43.28,42.18,42.5,29970300,43.404,44.782,,8.291,-0.715,-0.485,-0.23,44.782,46.755,42.81
2021-10-05,42.57,43.12,42.55,42.78,20597400,43.162,44.616,,16.805,-0.762,-0.54,-0.222,44.616,46.677,42.555
2021-10-06,42.66,43.15,42.63,43.09,19376700,42.984,44.462,,25.097,-0.766,-0.585,-0.18,44.462,46.494,42.43
2021-10-07,43.46,44.06,43.45,43.6,21068100,42.976,44.35,,36.338,-0.719,-0.612,-0.107,44.35,46.306,42.393
2021-10-08,43.73,43.87,43.53,43.73,13847400,43.14,44.252,,38.857,-0.664,-0.622,-0.041,44.252,46.122,42.382
2021-10-11,43.69,44.08,43.66,43.69,13048200,43.378,44.165,,38.354,-0.616,-0.621,0.005,44.165,45.967,42.364
2021-10-12,43.63,43.97,43.55,43.64,15789300,43.55,44.088,,37.697,-0.576,-0.612,0.036,44.088,45.838,42.339
2021-10-13,43.68,43.84,43.25,43.33,17937900,43.598,43.992,,33.83,-0.562,-0.602,0.04,43.992,45.681,42.303
2021-10-14,43.37,43.86,43.37,43.8,19783500,43.638,43.912,,43.324,-0.508,-0.583,0.075,43.912,45.464,42.359
2021-10-15,44.03,44.18,43.82,44.01,20737200,43.694,43.846,,46.984,-0.443,-0.555,0.112,43.846,45.252,42.44
2021-10-18,43.84,44.47,43.78,44.36,19887000,43.828,43.829,,52.491,-0.359,-0.516,0.157,43.829,45.199,42.459
2021-10-19,45.29,45.59,44.98,45.31,33444300,44.162,43.856,,63.557,-0.213,-0.455,0.242,43.856,45.32,42.391
2021-10-20,45.37,45.87,45.37,45.72,17453700,44.64,43.908,,67.116,-0.064,-0.377,0.313,43.908,45.558,42.257
2021-10-21,45.9,46.0,45.66,45.97,13954500,45.074,43.971,,69.098,0.074,-0.287,0.361,43.971,45.834,42.108
2021-10-22,46.06,46.87,46.06,46.45,21195600,45.562,44.052,,72.523,0.219,-0.186,0.405,44.052,46.192,41.912
2021-10-25,46.59,47.13,46.35,46.99,19287900,46.088,44.174,,75.775,0.374,-0.074,0.447,44.174,46.681,41.668
2021-10-26,46.97,47.14,46.49,46.58,17418600,46.342,44.304,,69.089,0.458,0.032,0.425,44.304,47.029,41.579
2021-10-27,46.64,46.66,46.15,46.2,14565600,46.438,44.415,,63.496,0.488,0.124,0.364,44.415,47.262,41.568
2021-10-28,46.45,46.65,46.25,46.48,12598500,46.54,44.557,,65.699,0.528,0.204,0.324,44.557,47.522,41.592
2021-10-29,46.31,47.0,46.2,46.79,22022700,46.608,44.751,,68.002,0.579,0.279,0.299,44.751,47.77,41.732
2021-11-01,46.96,47.2,46.77,46.9,12549600,46.59,44.971,,68.802,0.62,0.348,0.273,44.971,47.94,42.002
2021-11-02,46.96,47.03,46.74,46.88,13638900,46.65,45.176,,68.467,0.644,0.407,0.238,45.176,48.074,42.278
2021-11-03,46.84,47.06,46.66,47.03,14209500,46.816,45.373,,69.661,0.668,0.459,0.209,45.373,48.208,42.538
2021-11-04,47.03,47.55,46.92,47.37,15149100,46.994,45.562,,72.229,0.706,0.508,0.197,45.562,48.402,42.721
2021-11-05,47.59,47.59,46.85,47.04,15081900,47.044,45.727,,66.359,0.701,0.547,0.154,45.727,48.503,42.951
2021-11-08,47.04,47.13,46.57,46.74,15373200,47.012,45.88,,61.468,0.665,0.571,0.095,45.88,48.516,43.243
2021-11-09,46.82,46.93,46.61,46.9,15001800,47.016,46.043,,63.033,0.643,0.585,0.058,46.043,48.493,43.592
2021-11-10,46.57,46.85,46.34,46.48,16803600,46.906,46.2,,56.542,0.584,0.585,-0.001,46.2,48.295,44.105
2021-11-11,46.58,46.65,46.4,46.5,13603200,46.732,46.335,,56.77,0.533,0.575,-0.041,46.335,48.101,44.569
2021-11-12,46.66,46.73,46.2,46.27,18313800,46.578,46.448,,53.302,0.469,0.553,-0.085,46.448,47.837,45.059
2021-11-15,46.39,46.48,45.84,46.0,28896000,46.43,46.53,45.246,49.481,0.391,0.521,-0.13,46.53,47.542,45.518
2021-11-16,45.43,45.93,44.56,44.83,73986600,46.016,46.506,45.22,37.077,0.233,0.463,-0.23,46.506,47.654,45.358
2021-11-17,44.83,45.32,44.41,44.44,33116100,45.608,46.442,45.185,34.016,0.075,0.386,-0.311,46.442,47.88,45.004
2021-11-18,44.51,44.87,44.11,44.83,24394200,45.274,46.385,45.165,39.404,-0.018,0.305,-0.323,46.385,47.983,44.787
2021-11-19,44.97,45.09,44.44,44.59,28119300,44.938,46.292,45.143,37.381,-0.11,0.222,-0.332,46.292,48.08,44.504
2021-11-22,44.67,45.52,44.46,45.33,29126400,44.804,46.209,45.141,46.5,-0.122,0.153,-0.275,46.209,48.014,44.404
2021-11-23,45.17,45.71,44.86,45.66,29907900,44.97,46.163,45.151,49.997,-0.104,0.102,-0.206,46.163,47.975,44.351
2021-11-24,45.63,46.05,45.6,45.89,18089400,45.26,46.148,45.164,52.336,-0.07,0.067,-0.137,46.148,47.964,44.331
2021-11-26,45.85,46.3,45.22,45.37,21039600,45.368,46.092,45.163,46.986,-0.084,0.037,-0.121,46.092,47.933,44.251
2021-11-29,45.4,45.48,44.54,44.66,33039600,45.382,45.986,45.15,40.846,-0.151,-0.0,-0.15,45.986,47.902,44.069
2021-11-30,44.3,44.62,43.84,44.03,64818900,45.122,45.842,45.136,36.311,-0.251,-0.051,-0.201,45.842,47.895,43.789
2021-12-01,44.0,44.06,42.91,42.94,36621300,44.578,45.645,45.099,30.088,-0.415,-0.123,-0.291,45.645,48.011,43.279
2021-12-02,43.1,43.35,42.35,42.42,39805800,43.884,45.414,45.054,27.653,-0.579,-0.215,-0.365,45.414,48.09,42.739
2021-12-03,42.54,43.17,42.36,43.06,44142600,43.422,45.199,45.021,34.661,-0.65,-0.302,-0.349,45.199,47.905,42.493
2021-12-06,43.07,43.64,42.93,43.52,32589300,43.194,45.023,44.995,39.219,-0.662,-0.374,-0.288,45.023,47.683,42.363
2021-12-07,43.71,43.78,43.24,43.38,37739100,43.064,44.855,44.972,38.342,-0.675,-0.434,-0.241,44.855,47.482,42.228
2021-12-08,43.23,43.37,42.59,42.95,34496400,43.066,44.658,44.951,35.703,-0.711,-0.489,-0.222,44.658,47.231,42.084
2021-12-09,42.95,43.56,42.67,43.54,32351700,43.29,44.51,44.942,41.64,-0.685,-0.529,-0.156,44.51,46.979,42.042
2021-12-10,43.49,44.42,43.25,44.34,38575500,43.546,44.402,44.956,48.573,-0.593,-0.541,-0.051,44.402,46.687,42.118
2021-12-13,44.09,45.19,44.02,45.14,54039300,43.87,44.346,45.001,54.407,-0.45,-0.523,0.073,44.346,46.487,42.205
2021-12-14,45.05,45.67,44.69,45.57,46721400,44.308,44.324,45.062,57.216,-0.298,-0.478,0.18,44.324,46.404,42.245
2021-12-15,45.65,46.05,45.08,45.83,33489900,44.884,44.374,45.123,58.866,-0.156,-0.414,0.258,44.374,46.551,42.198
2021-12-16,45.83,46.07,44.92,45.06,39069600,45.188,44.406,45.163,52.418,-0.103,-0.352,0.248,44.406,46.603,42.208
2021-12-17,44.88,45.26,43.51,43.62,78581100,45.044,44.345,45.163,42.943,-0.176,-0.316,0.14,44.345,46.56,42.13
2021-12-20,43.42,43.94,43.26,43.76,31017900,44.768,44.304,45.164,44.003,-0.22,-0.297,0.077,44.304,46.53,42.077
2021-12-21,43.67,43.97,43.39,43.89,24620400,44.432,44.232,45.168,45.024,-0.241,-0.286,0.045,44.232,46.411,42.052
2021-12-22,43.98,44.01,43.55,43.95,17028000,44.056,44.146,45.174,45.518,-0.251,-0.279,0.028,44.146,46.221,42.071
2021-12-23,43.95,44.06,43.65,43.85,17592600,43.814,44.044,45.184,44.796,-0.263,-0.276,0.013,44.044,45.952,42.136
2021-12-27,43.89,44.29,43.88,44.25,16040700,43.94,43.988,45.193,48.327,-0.238,-0.268,0.03,43.988,45.796,42.18
2021-12-28,44.2,44.95,44.2,44.89,15783000,44.166,44.0,45.211,53.457,-0.164,-0.247,0.083,44.0,45.828,42.171
2021-12-29,44.85,45.12,44.74,44.87,13045200,44.362,44.042,45.221,53.279,-0.107,-0.219,0.113,44.042,45.911,42.172
2021-12-30,45.04,45.18,44.79,45.01,14949000,44.574,44.145,45.215,54.424,-0.049,-0.185,0.136,44.145,45.987,42.303
2021-12-31,45.02,45.6,44.93,45.49,17947800,44.902,44.299,45.211,58.203,0.035,-0.141,0.176,44.299,46.044,42.553
2022-01-03,45.27,45.52,44.96,45.48,20706600,45.148,44.42,45.201,58.095,0.1,-0.093,0.193,44.42,46.139,42.7
2022-01-04,45.28,45.63,44.57,44.64,33930000,45.098,44.476,45.165,49.739,0.082,-0.058,0.14,44.476,46.144,42.807
2022-01-05,44.91,45.88,44.88,45.25,35418000,45.174,44.569,45.13,54.821,0.116,-0.023,0.139,44.569,46.188,42.95
2022-01-06,45.15,45.47,44.77,45.12,21828900,45.196,44.678,45.101,53.578,0.131,0.008,0.124,44.678,46.121,43.234
2022-01-07,45.11,45.7,44.94,45.55,19723500,45.208,44.778,45.088,57.048,0.176,0.041,0.134,44.778,46.166,43.39
2022-01-10,45.72,45.77,44.99,45.46,22731600,45.204,44.834,45.067,56.102,0.202,0.073,0.128,44.834,46.238,43.43
2022-01-11,45.34,45.47,45.01,45.33,21668700,45.342,44.843,45.038,54.693,0.209,0.101,0.108,44.843,46.259,43.428
2022-01-12,45.17,45.26,44.96,45.1,18946800,45.312,44.82,45.002,52.194,0.194,0.119,0.075,44.82,46.2,43.44
2022-01-13,45.09,45.8,44.99,45.73,24252600,45.434,44.815,44.979,57.872,0.231,0.142,0.089,44.815,46.18,43.45
2022-01-14,45.34,46.1,45.34,45.6,26867400,45.444,44.842,44.95,56.384,0.246,0.162,0.084,44.842,46.248,43.436
2022-01-18,45.4,45.49,44.68,44.81,21123900,45.314,44.902,44.899,48.262,0.192,0.168,0.024,44.902,46.186,43.617
2022-01-19,44.81,45.58,44.62,45.25,22674000,45.298,44.976,44.863,52.377,0.183,0.171,0.012,44.976,46.149,43.803
2022-01-20,44.75,45.42,44.35,44.4,22387200,45.158,45.002,44.817,44.941,0.106,0.158,-0.052,45.002,46.095,43.908
2022-01-21,44.4,44.72,44.03,44.07,27508200,44.826,45.008,44.76,42.423,0.018,0.13,-0.112,45.008,46.078,43.937
2022-01-24,43.72,44.18,43.17,44.08,28699200,44.522,45.019,44.712,42.528,-0.05,0.094,-0.144,45.019,46.041,43.997
2022-01-25,44.01,44.13,43.01,43.12,29479500,44.184,44.962,44.644,35.778,-0.179,0.04,-0.219,44.962,46.253,43.672
2022-01-26,43.18,43.63,42.49,42.68,26185500,43.67,44.852,44.573,33.178,-0.314,-0.031,-0.283,44.852,46.498,43.206
2022-01-27,43.05,43.72,42.56,42.71,27759000,43.332,44.744,44.507,33.533,-0.413,-0.108,-0.306,44.744,46.648,42.84
2022-01-28,42.76,43.25,42.11,43.23,25131900,43.164,44.655,44.475,39.523,-0.445,-0.175,-0.27,44.655,46.67,42.64
2022-01-31,43.1,44.03,42.98,43.95,20193600,43.138,44.578,44.465,46.688,-0.407,-0.222,-0.186,44.578,46.576,42.58
2022-02-01,43.77,44.38,43.7,44.3,20323200,43.374,44.519,44.454,49.802,-0.345,-0.246,-0.099,44.519,46.474,42.564
2022-02-02,44.33,44.53,44.06,44.28,18149700,43.694,44.501,44.448,49.623,-0.294,-0.256,-0.038,44.501,46.458,42.544
2022-02-03,44.1,44.64,43.94,44.33,20741100,44.018,44.455,44.428,50.104,-0.247,-0.254,0.007,44.455,46.381,42.529
2022-02-04,44.29,44.33,43.5,43.8,22036500,44.132,44.389,44.391,45.18,-0.25,-0.253,0.004,44.389,46.31,42.468
2022-02-07,44.03,44.04,43.26,43.37,20010300,44.016,44.28,44.341,41.606,-0.283,-0.259,-0.024,44.28,46.17,42.39
2022-02-08,43.49,43.77,43.23,43.38,19458900,43.832,44.176,44.301,41.722,-0.305,-0.268,-0.037,44.176,46.021,42.331
2022-02-09,43.54,43.63,43.22,43.29,21473700,43.634,44.074,44.273,40.938,-0.326,-0.28,-0.046,44.074,45.876,42.272
2022-02-10,42.93,43.07,42.59,42.78,27810600,43.324,43.958,44.248,36.724,-0.379,-0.3,-0.08,43.958,45.78,42.136
2022-02-11,43.01,43.13,42.18,42.55,23733300,43.074,43.799,44.241,34.976,-0.435,-0.327,-0.108,43.799,45.523,42.075
2022-02-14,42.55,42.74,41.72,42.11,29363400,42.822,43.624,44.234,31.852,-0.509,-0.363,-0.146,43.624,45.286,41.963
2022-02-15,42.36,42.65,42.06,42.24,21824400,42.594,43.496,44.218,33.735,-0.551,-0.401,-0.15,43.496,45.169,41.823
2022-02-16,42.23,42.4,41.72,41.98,28490700,42.332,43.332,44.187,31.84,-0.598,-0.44,-0.158,43.332,44.921,41.744
2022-02-17,42.13,43.85,42.06,43.66,53831400,42.508,43.296,44.193,50.996,-0.494,-0.451,-0.043,43.296,44.812,41.779
