Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-27,29.12,29.32,28.98,29.0,886950,,,,,0.0,0.0,0.0,,,
2021-09-28,28.93,29.06,28.59,28.64,1471725,,,,,-0.029,-0.006,-0.023,,,
2021-09-29,28.63,29.12,28.53,28.99,1244475,,,,,-0.023,-0.009,-0.014,,,
2021-09-30,29.2,29.32,28.87,28.88,2137275,,,,,-0.027,-0.013,-0.014,,,
2021-10-01,29.0,29.6,28.57,29.37,1384875,28.976,,,,0.009,-0.008,0.018,,,
2021-10-04,29.36,29.77,29.1,29.19,1541025,29.014,,,,0.023,-0.002,0.025,,,
2021-10-05,29.28,29.87,29.11,29.7,998100,29.226,,,,0.075,0.013,0.061,,,
2021-10-06,29.48,30.27,29.36,30.24,1579500,29.476,,,,0.157,0.042,0.115,,,
2021-10-07,30.37,30.95,30.37,30.57,1561050,29.814,,,,0.246,0.083,0.163,,,
2021-10-08,30.53,30.78,30.39,30.44,1315575,30.028,,,,0.303,0.127,0.176,,,
2021-10-11,30.55,30.78,30.2,30.21,920025,30.232,,,,0.325,0.167,0.159,,,
2021-10-12,30.21,30.53,30.14,30.17,1026225,30.326,,,,0.336,0.2,0.136,,,
2021-10-13,30.06,30.1,29.56,30.03,1249650,30.284,,,,0.33,0.226,0.103,,,
2021-10-14,30.21,30.6,30.13,30.58,1050750,30.286,,,,0.365,0.254,0.111,,,
2021-10-15,30.84,30.91,30.67,30.69,978525,30.336,,,72.377,0.397,0.283,0.114,,,
2021-10-18,30.58,30.6,30.09,30.15,1222650,30.324,,,58.74,0.374,0.301,0.073,,,
2021-10-19,30.57,30.68,30.44,30.57,1157850,30.404,,,64.364,0.386,0.318,0.068,,,
2021-10-20,30.43,31.01,30.43,30.97,1030500,30.592,,,68.735,0.422,0.339,0.084,,,
2021-10-21,30.92,31.28,30.81,31.13,1171350,30.702,,,70.304,0.459,0.363,0.096,,,
2021-10-22,31.79,32.65,31.53,32.46,3039750,31.056,30.099,,79.509,0.589,0.408,0.181,30.099,31.943,28.255
2021-10-25,32.59,32.66,32.19,32.33,2263725,31.492,30.265,,76.997,0.673,0.461,0.212,30.265,32.285,28.246
2021-10-26,32.39,32.47,32.2,32.3,885825,31.838,30.449,,76.397,0.729,0.515,0.215,30.449,32.51,28.387
2021-10-27,32.35,32.45,31.66,31.67,1526850,31.978,30.582,,64.951,0.715,0.555,0.16,30.582,32.593,28.572
2021-10-28,31.83,32.09,31.68,31.94,835200,32.14,30.736,,67.218,0.716,0.587,0.129,30.736,32.664,28.807
2021-10-29,31.96,31.98,31.3,31.41,1351125,31.93,30.838,,59.134,0.668,0.603,0.064,30.838,32.676,28.999
2021-11-01,31.48,31.6,31.27,31.59,1046700,31.782,30.958,,60.856,0.636,0.61,0.026,30.958,32.651,29.264
2021-11-02,31.7,32.27,31.6,32.21,1161225,31.764,31.083,,66.147,0.653,0.618,0.035,31.083,32.756,29.41
2021-11-03,32.21,32.51,32.04,32.2,1243350,31.87,31.181,,65.992,0.659,0.627,0.032,31.181,32.875,29.487
2021-11-04,32.08,32.09,31.21,31.33,1347750,31.748,31.219,,54.115,0.586,0.618,-0.032,31.219,32.89,29.548
2021-11-05,31.56,31.95,31.43,31.8,1140750,31.826,31.287,,58.464,0.56,0.607,-0.047,31.287,32.935,29.639
2021-11-08,32.08,32.23,31.86,32.13,1134675,31.934,31.383,,61.242,0.56,0.597,-0.038,31.383,32.99,29.776
2021-11-09,32.0,32.18,31.75,32.09,1010925,31.91,31.479,,60.712,0.55,0.588,-0.038,31.479,33.008,29.95
2021-11-10,32.13,32.33,32.02,32.1,1126125,31.89,31.583,,60.803,0.536,0.578,-0.041,31.583,32.973,30.192
2021-11-11,32.06,32.22,31.86,32.08,780525,32.04,31.658,,60.5,0.518,0.566,-0.047,31.658,32.98,30.335
2021-11-12,32.06,32.22,31.76,32.05,1303650,32.09,31.726,,60.017,0.496,0.552,-0.056,31.726,32.977,30.474
