Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,74.38,75.71,73.85,75.32,1165200,,,,,0.0,0.0,0.0,,,
2021-07-13,74.86,75.23,74.04,74.36,1746600,,,,,-0.077,-0.015,-0.061,,,
2021-07-14,74.74,75.31,72.97,73.13,1176000,,,,,-0.234,-0.059,-0.175,,,
2021-07-15,72.69,73.48,71.44,71.82,1054800,,,,,-0.459,-0.139,-0.32,,,
2021-07-16,71.77,72.38,70.06,70.11,1092400,72.948,,,,-0.766,-0.264,-0.502,,,
2021-07-19,69.47,70.54,68.67,70.3,1903400,71.944,,,,-0.983,-0.408,-0.575,,,
2021-07-20,70.79,72.8,70.09,72.3,1480200,71.532,,,,-0.983,-0.523,-0.46,,,
2021-07-21,72.22,73.36,71.94,72.27,979400,71.36,,,,-0.973,-0.613,-0.36,,,
2021-07-22,69.36,70.62,69.04,70.47,3391000,71.09,,,,-1.098,-0.71,-0.388,,,
2021-07-23,70.86,71.81,70.12,71.69,1006800,71.406,,,,-1.087,-0.786,-0.301,,,
2021-07-26,71.04,72.08,70.73,71.36,747200,71.618,,,,-1.091,-0.847,-0.245,,,
2021-07-27,71.26,71.3,69.11,70.29,1195400,71.216,,,,-1.168,-0.911,-0.257,,,
2021-07-28,70.53,71.77,70.18,71.46,2190200,71.054,,,,-1.121,-0.953,-0.168,,,
2021-07-29,72.04,73.01,71.63,71.73,1288000,71.306,,,,-1.051,-0.973,-0.078,,,
2021-07-30,70.73,71.88,69.09,69.24,1350200,70.816,,,31.976,-1.182,-1.014,-0.167,,,
2021-08-02,69.7,71.4,68.99,70.67,1683600,70.678,,,40.798,-1.157,-1.043,-0.114,,,
2021-08-03,70.67,72.98,70.49,72.44,1297400,71.108,,,49.523,-0.983,-1.031,0.048,,,
2021-08-04,72.62,73.84,71.28,71.44,1169400,71.104,,,45.448,-0.915,-1.008,0.092,,,
2021-08-05,71.18,72.46,71.18,72.08,1240800,71.174,,,48.376,-0.801,-0.966,0.165,,,
2021-08-06,72.23,72.43,70.46,70.59,999800,71.444,71.654,,42.638,-0.821,-0.937,0.116,71.654,74.561,68.746
2021-08-09,70.37,71.25,69.68,69.76,1136000,71.262,71.376,,39.806,-0.894,-0.929,0.035,71.376,73.835,68.916
2021-08-10,69.76,72.56,69.64,72.48,1198400,71.27,71.282,,51.238,-0.723,-0.888,0.164,71.282,73.378,69.185
2021-08-11,72.48,74.7,72.09,74.67,1411800,71.916,71.358,,58.132,-0.407,-0.791,0.384,71.358,73.822,68.895
2021-08-12,74.71,76.34,74.15,74.63,1177200,72.426,71.499,,57.971,-0.158,-0.665,0.507,71.499,74.362,68.636
2021-08-13,74.69,75.48,72.35,72.72,2609400,72.852,71.63,,50.735,-0.113,-0.554,0.441,71.63,74.463,68.796
2021-08-16,72.29,75.31,71.83,75.03,1519400,73.906,71.866,,57.624,0.108,-0.422,0.53,71.866,75.006,68.726
2021-08-17,74.0,74.7,71.55,73.55,2209600,74.12,71.929,,52.554,0.161,-0.305,0.467,71.929,75.153,68.704
2021-08-18,73.49,75.69,73.17,74.31,2365000,74.048,72.03,,54.755,0.262,-0.192,0.454,72.03,75.425,68.636
2021-08-19,73.03,74.44,71.92,72.41,1355000,73.604,72.128,,48.674,0.186,-0.116,0.303,72.128,75.444,68.811
2021-08-20,72.4,74.69,72.4,74.64,1497000,73.988,72.275,,54.992,0.303,-0.032,0.335,72.275,75.768,68.782
2021-08-23,75.37,75.37,73.93,73.99,1792400,73.78,72.407,,52.946,0.339,0.042,0.297,72.407,75.952,68.861
2021-08-24,74.08,77.56,73.98,77.39,2224400,74.548,72.761,,61.099,0.635,0.16,0.474,72.761,76.802,68.721
2021-08-25,77.93,80.61,77.61,77.93,4132400,75.272,73.085,,62.218,0.902,0.309,0.593,73.085,77.684,68.486
2021-08-26,91.12,93.3,84.03,85.21,10824400,77.832,73.759,,73.353,1.682,0.583,1.099,73.759,80.816,66.702
2021-08-27,84.82,84.82,81.94,83.92,2989000,79.688,74.493,,69.447,2.171,0.901,1.27,74.493,82.553,66.433
2021-08-30,84.89,86.27,84.53,84.82,1706400,81.854,75.2,,70.622,2.601,1.241,1.36,75.2,84.269,66.132
2021-08-31,84.81,85.34,83.47,85.22,1923400,83.42,75.84,,71.154,2.94,1.581,1.36,75.84,85.842,65.837
2021-09-01,85.72,85.72,82.55,83.64,1743800,84.562,76.45,,66.072,3.047,1.874,1.173,76.45,86.804,66.095
2021-09-02,83.53,83.72,81.86,83.08,1876400,84.136,77.0,,64.319,3.051,2.109,0.941,77.0,87.544,66.455
2021-09-03,83.04,83.58,81.73,81.8,1203400,83.712,77.56,,60.376,2.917,2.271,0.646,77.56,87.859,67.261
2021-09-07,81.73,82.06,78.95,78.99,2015600,82.546,78.022,,52.733,2.555,2.328,0.227,78.022,87.654,68.389
2021-09-08,78.97,80.02,78.01,79.97,1874600,81.496,78.396,,54.878,2.32,2.326,-0.006,78.396,87.698,69.094
2021-09-09,80.81,83.38,80.19,82.59,2919000,81.286,78.792,,60.093,2.318,2.324,-0.006,78.792,88.101,69.483
2021-09-10,82.78,83.89,81.83,81.89,1669200,81.048,79.155,,58.159,2.235,2.307,-0.072,79.155,88.346,69.964
2021-09-13,82.46,82.52,80.33,81.28,1349000,80.944,79.583,,56.454,2.096,2.264,-0.169,79.583,88.297,70.869
2021-09-14,81.61,81.87,80.78,81.43,1239000,81.432,79.903,,56.789,1.975,2.206,-0.232,79.903,88.38,71.426
2021-09-15,82.17,84.19,81.2,84.1,1761200,82.258,80.43,,62.35,2.07,2.179,-0.109,80.43,88.548,72.313
2021-09-16,83.39,86.48,83.39,85.94,2626800,82.928,81.012,,65.632,2.268,2.197,0.071,81.012,88.947,73.077
2021-09-17,85.36,85.63,82.67,84.61,4104800,83.472,81.622,,61.461,2.291,2.216,0.076,81.622,88.59,74.654
2021-09-20,82.96,83.52,81.83,83.49,1759400,83.914,82.064,76.171,58.112,2.194,2.212,-0.017,82.064,88.245,75.884
2021-09-21,84.35,85.12,82.1,84.32,1212000,84.492,82.581,76.351,59.858,2.159,2.201,-0.042,82.581,87.523,77.639
2021-09-22,84.76,87.01,84.31,86.68,1297200,85.008,83.046,76.598,64.401,2.295,2.22,0.075,83.046,87.669,78.422
2021-09-23,87.04,87.79,85.98,86.04,1070800,85.028,83.451,76.856,62.34,2.325,2.241,0.084,83.451,87.582,79.32
2021-09-24,86.05,87.81,84.94,87.29,1156200,85.564,83.555,77.165,64.715,2.421,2.277,0.144,83.555,87.968,79.142
2021-09-27,86.95,89.05,86.86,88.76,1239400,86.618,83.797,77.538,67.324,2.586,2.339,0.248,83.797,88.787,78.807
2021-09-28,87.81,88.9,86.51,87.53,1755800,87.26,83.932,77.883,63.118,2.588,2.389,0.2,83.932,89.18,78.685
2021-09-29,87.91,88.76,86.97,87.48,1765200,87.42,84.045,78.186,62.946,2.556,2.422,0.134,84.045,89.503,78.588
2021-09-30,84.06,84.22,80.36,80.94,4420400,86.4,83.91,78.36,45.475,1.98,2.334,-0.354,83.91,89.541,78.28
2021-10-01,80.58,80.97,78.01,79.83,2724400,84.908,83.748,78.547,43.28,1.418,2.151,-0.733,83.748,89.66,77.836
2021-10-04,79.41,79.59,77.14,77.64,2527200,82.684,83.54,78.666,39.253,0.786,1.878,-1.091,83.54,90.007,77.073
2021-10-05,77.59,78.58,77.03,77.48,1950600,80.674,83.464,78.788,38.968,0.27,1.556,-1.286,83.464,90.186,76.743
