Date,Open,High,Low,Close,Volume
2021-07-13,2855.36,2865.42,2849.49,2858.71,1548600
2021-07-14,2844.45,2910.7,2844.45,2900.64,2083800
2021-07-15,2914.9,2916.57,2867.94,2874.64,1713000
2021-07-16,2853.68,2881.35,2835.23,2849.49,1994400
2021-07-19,2831.04,2841.94,2810.91,2823.49,1236200
2021-07-20,2784.92,2799.17,2759.76,2777.37,1101500
2021-07-21,2834.39,2869.61,2815.94,2829.36,1240500
2021-07-26,2924.96,2924.96,2832.72,2845.29,2124600
2021-07-27,2862.9,2875.48,2854.52,2867.1,794000
2021-07-28,2849.49,2882.19,2843.62,2864.58,1034700
2021-07-29,2870.45,2886.38,2839.42,2851.16,1077000
2021-07-30,2831.04,2852.84,2802.53,2805.04,1782200
2021-08-02,2833.55,2876.32,2832.71,2871.29,946700
2021-08-03,2850.33,2876.32,2840.26,2859.55,666700
2021-08-04,2863.74,2864.58,2841.1,2846.97,715200
2021-08-05,2845.29,2869.61,2833.55,2847.81,784900
2021-08-06,2826.85,2851.16,2815.94,2843.62,937400
2021-08-10,2859.55,2870.45,2687.64,2732.92,3636700
2021-08-11,2867.1,2905.67,2820.98,2852.0,2523700
2021-08-12,2884.71,2903.16,2863.74,2867.94,1446900
2021-08-13,2867.1,2869.61,2846.97,2848.65,1153800
2021-08-16,2828.52,2831.88,2770.66,2787.43,923300
2021-08-17,2794.98,2810.91,2758.92,2768.14,822600
2021-08-18,2754.73,2784.08,2753.05,2764.79,801900
2021-08-19,2754.73,2790.79,2753.05,2768.14,1235400
2021-08-20,2765.63,2805.88,2765.63,2779.05,1164900
2021-08-23,2815.94,2846.97,2810.07,2811.75,1120700
2021-08-24,2799.17,2827.68,2774.85,2776.53,1278900
2021-08-25,2783.24,2802.53,2777.37,2785.75,1422500
2021-08-26,2792.46,2808.4,2788.27,2789.11,1024800
2021-08-27,2767.31,2792.46,2765.63,2789.11,885700
2021-08-30,2809.23,2825.17,2790.79,2825.17,1398700
2021-08-31,2800.85,2831.04,2783.24,2814.27,2459900
2021-09-01,2843.62,2891.42,2826.85,2878.84,1508000
2021-09-02,2867.94,2892.25,2867.94,2886.38,881000
2021-09-03,2887.22,2924.96,2876.32,2923.28,1569600
2021-09-06,2950.12,2978.63,2935.02,2968.56,1401300
2021-09-07,3002.11,3018.04,2992.04,3006.3,1291800
2021-09-08,2976.95,3067.52,2968.56,3061.65,2093800
2021-09-09,3054.1,3076.74,3044.88,3065.84,1688500
2021-09-10,3097.71,3151.37,3081.77,3146.34,2587800
2021-09-13,3184.92,3230.2,3169.82,3187.43,2280100
2021-09-14,3227.68,3241.1,3206.72,3228.52,1862900
2021-09-15,3219.3,3250.33,3199.17,3216.78,2416800
2021-09-16,3219.3,3246.13,3199.17,3233.55,1635600
2021-09-17,3249.49,3270.45,3232.72,3267.1,2986100
2021-09-21,3210.91,3222.65,3186.59,3186.59,1473400
2021-09-22,3187.43,3208.4,3162.28,3183.24,1217500
2021-09-24,3196.66,3208.4,3170.66,3203.37,2174500
2021-09-27,3197.5,3227.69,3194.14,3218.46,1307900
2021-09-28,3186.59,3254.52,3178.21,3246.97,1673900
2021-09-29,3230.81,3245.27,3168.71,3209.54,1731900
2021-09-30,3184.87,3219.75,3172.97,3180.62,2313900
2021-10-01,3132.98,3141.49,3058.13,3073.44,1466900
2021-10-04,3104.06,3126.18,3075.99,3091.3,1079500
2021-10-05,3060.68,3105.76,3048.77,3073.44,1405100
