Date,Open,High,Low,Close,Volume
2021-07-13,1117.54,1146.19,1117.54,1139.03,442500
2021-07-14,1135.45,1155.15,1130.08,1149.78,253500
2021-07-15,1160.52,1165.89,1147.99,1147.99,285000
2021-07-16,1146.19,1158.73,1140.82,1146.19,249500
2021-07-19,1146.19,1158.73,1146.19,1153.36,252000
2021-07-20,1149.78,1160.52,1140.82,1156.94,235000
2021-07-21,1164.1,1182.01,1156.94,1176.64,312000
2021-07-26,1192.76,1196.34,1187.39,1192.76,247000
2021-07-27,1198.13,1205.29,1196.34,1201.71,283500
2021-07-28,1187.39,1192.76,1176.64,1185.59,214000
2021-07-29,1185.59,1185.59,1171.27,1176.64,155500
2021-07-30,1178.43,1189.18,1176.64,1182.01,183000
2021-08-02,1194.55,1212.46,1190.97,1208.88,299000
2021-08-03,1201.71,1212.46,1196.34,1210.67,137000
2021-08-04,1207.09,1208.88,1192.76,1198.13,180500
2021-08-05,1183.8,1208.88,1183.8,1207.09,152000
2021-08-06,1201.71,1214.25,1199.92,1207.09,217500
2021-08-10,1216.04,1221.41,1198.13,1199.92,296500
2021-08-11,1226.79,1242.9,1221.41,1233.95,375500
2021-08-12,1235.74,1241.11,1226.79,1232.16,200500
2021-08-13,1223.2,1241.11,1223.2,1233.95,174500
2021-08-16,1228.58,1230.37,1217.83,1217.83,147500
2021-08-17,1230.37,1250.07,1230.37,1244.7,261500
2021-08-18,1226.79,1269.77,1226.79,1262.6,342500
2021-08-19,1242.9,1273.35,1233.95,1260.81,303500
2021-08-20,1264.4,1293.05,1264.4,1285.89,605000
2021-08-23,1298.42,1303.8,1287.68,1294.84,289500
2021-08-24,1303.8,1312.75,1271.56,1276.93,532000
2021-08-25,1275.14,1285.89,1266.19,1266.19,509000
2021-08-26,1267.98,1289.47,1267.98,1287.68,199000
2021-08-27,1287.68,1298.42,1276.93,1284.1,207500
2021-08-30,1298.42,1298.42,1275.14,1282.3,247000
2021-08-31,1280.51,1293.05,1273.35,1280.51,276500
2021-09-01,1289.47,1298.42,1284.1,1289.47,229000
2021-09-02,1285.89,1305.59,1285.89,1303.8,270500
2021-09-03,1289.47,1310.96,1287.68,1309.17,287000
2021-09-06,1294.84,1305.59,1293.05,1300.21,274500
2021-09-07,1305.59,1323.5,1305.59,1321.71,266500
2021-09-08,1325.29,1334.24,1302.01,1309.17,522000
2021-09-09,1310.96,1318.12,1303.8,1309.17,223500
2021-09-10,1316.33,1325.29,1314.54,1321.71,330500
