Date,Open,High,Low,Close,Volume
2021-07-12,286.25,286.56,285.23,286.0,1456900.0
2021-07-13,285.67,288.15,284.61,286.98,1570600.0
2021-07-14,288.17,290.45,287.7,289.41,1743800.0
2021-07-15,288.94,290.42,288.4,289.91,1927800.0
2021-07-16,291.92,291.92,286.56,287.12,2666100.0
2021-07-19,283.53,285.17,281.92,284.61,1851600.0
2021-07-20,285.37,289.21,284.44,287.26,1448700.0
2021-07-21,287.77,289.09,287.16,288.84,1180300.0
2021-07-22,289.76,289.97,287.92,289.29,1274800.0
2021-07-23,290.89,293.47,290.47,293.33,1221000.0
2021-07-26,293.47,294.33,291.67,293.63,1345800.0
2021-07-27,292.62,294.66,290.71,294.47,1641000.0
2021-07-28,295.35,295.49,291.0,291.17,2006300.0
2021-07-29,292.56,293.78,291.01,293.05,1863800.0
2021-07-30,292.46,293.82,291.72,292.44,2305400.0
2021-08-02,293.9,294.1,290.43,290.96,1507200.0
2021-08-03,292.52,294.2,290.43,293.21,1979600.0
2021-08-04,292.75,293.83,290.75,291.6,1448300.0
2021-08-05,292.65,295.09,291.85,294.86,1952400.0
2021-08-06,295.49,296.75,293.19,296.26,1392600.0
2021-08-09,296.42,296.65,294.0,294.13,1225100.0
2021-08-10,294.54,296.47,293.71,294.74,918900.0
2021-08-11,295.14,295.36,291.88,294.38,1841600.0
2021-08-12,294.3,296.26,293.32,296.19,910900.0
2021-08-13,296.59,298.29,296.03,297.75,970300.0
2021-08-16,298.25,302.4,297.46,302.17,1781000.0
2021-08-17,301.57,303.73,300.8,303.13,1531700.0
2021-08-18,301.36,303.02,298.6,298.76,1636800.0
2021-08-19,297.16,302.86,296.83,302.17,1294200.0
2021-08-20,303.6,307.04,302.24,306.22,1726800.0
2021-08-23,307.68,308.27,306.29,306.47,2017900.0
2021-08-24,306.67,307.46,304.47,304.61,1451300.0
2021-08-25,305.56,308.0,304.82,306.94,1613600.0
2021-08-26,307.89,307.89,304.92,306.75,1702300.0
2021-08-27,307.54,309.22,306.86,308.99,1126200.0
2021-08-30,308.38,311.74,306.47,310.22,973800.0
