Date,Open,High,Low,Close,Volume
2021-07-12,153.0,154.01,152.22,153.94,2074000
2021-07-13,153.46,154.69,152.5,153.68,2127100
2021-07-14,154.97,156.19,152.4,152.67,2012800
2021-07-15,152.44,152.44,149.14,150.37,3505900
2021-07-16,150.67,151.37,147.24,147.41,2284100
2021-07-19,145.83,146.65,143.84,146.07,2772000
2021-07-20,146.4,148.67,145.1,147.84,2831100
2021-07-21,148.19,151.45,147.72,151.45,2076000
2021-07-22,149.08,149.79,147.77,148.86,3250900
2021-07-23,149.97,150.53,148.54,150.27,2178700
2021-07-26,148.17,150.99,148.17,150.59,1733600
2021-07-27,150.23,150.45,146.58,149.39,4077700
2021-07-28,150.06,151.28,149.62,150.72,3632400
2021-07-29,151.4,153.58,151.18,153.01,3164400
2021-07-30,152.13,154.54,151.73,153.82,2678800
2021-08-02,154.94,157.42,153.78,154.01,2822000
2021-08-03,154.7,155.29,152.14,154.98,3271200
2021-08-04,155.04,161.02,154.91,158.56,10201100
2021-08-05,159.46,159.66,155.12,156.13,3468300
2021-08-06,155.12,157.93,154.7,157.23,3164200
2021-08-09,157.17,158.52,155.63,157.4,2580800
2021-08-10,157.4,157.7,155.28,157.11,1943800
2021-08-11,158.07,158.11,154.98,156.62,1946400
2021-08-12,155.73,155.93,153.03,154.89,2562100
2021-08-13,155.6,156.9,154.71,156.27,2040700
2021-08-16,155.85,157.63,155.71,157.18,2163200
2021-08-17,156.32,156.32,152.21,152.79,4593000
2021-08-18,151.51,154.39,148.19,152.32,5452700
2021-08-19,151.71,153.41,150.27,153.24,3451100
2021-08-20,153.32,154.52,151.66,153.11,2913000
2021-08-23,156.41,158.77,152.57,155.85,13465500
2021-08-24,156.05,156.52,151.37,152.38,8137000
2021-08-25,152.62,154.29,149.84,150.68,19156400
2021-08-26,152.24,155.45,151.03,154.42,7306300
2021-08-27,154.36,156.68,153.32,153.61,9136200
2021-08-30,154.06,155.26,153.76,154.07,4901600
2021-08-31,153.3,153.64,148.86,150.35,9136300
2021-09-01,151.11,151.5,148.59,148.65,6513600
