Date,Open,High,Low,Close,Volume
2021-07-12,52.55,52.61,51.89,52.11,2049300
2021-07-13,52.02,52.29,51.32,51.45,1821800
2021-07-14,51.3,51.86,50.95,51.05,1522700
2021-07-15,50.87,51.36,50.83,51.26,1433500
2021-07-16,51.45,51.56,50.38,50.56,1788600
2021-07-19,50.04,50.38,49.43,49.9,2593300
2021-07-20,49.96,50.98,49.74,50.4,2322000
2021-07-21,50.61,51.04,50.31,50.46,3063200
2021-07-22,50.34,50.37,49.47,49.86,2263500
2021-07-23,50.0,50.5,49.76,50.38,1897100
2021-07-26,50.57,51.11,50.57,50.76,3221100
2021-07-27,51.29,51.96,49.97,51.11,3993700
2021-07-28,50.98,51.26,50.06,50.93,3210200
2021-07-29,51.5,51.89,51.21,51.76,2023300
2021-07-30,51.91,52.58,51.79,51.87,3612000
2021-08-02,52.05,52.72,51.53,51.56,2152400
2021-08-03,51.57,52.03,50.83,51.93,1481300
2021-08-04,51.74,51.74,50.82,51.03,2232700
2021-08-05,51.36,51.55,51.01,51.07,2330900
2021-08-06,51.41,52.49,51.41,52.36,3110000
2021-08-09,52.35,52.8,52.0,52.6,2585400
2021-08-10,52.63,53.36,52.55,53.34,2726800
2021-08-11,53.54,53.75,53.2,53.41,1882700
2021-08-12,53.41,53.78,53.11,53.69,1563100
2021-08-13,53.9,54.22,53.67,54.2,2472400
2021-08-16,54.04,54.53,53.78,54.44,2759600
2021-08-17,54.26,54.67,53.48,53.71,1962100
2021-08-18,53.4,53.91,53.18,53.21,1604600
2021-08-19,52.82,53.06,51.64,51.83,2244600
2021-08-20,51.7,51.87,51.11,51.49,4539600
2021-08-23,51.7,52.21,51.27,51.82,2008600
2021-08-24,51.83,52.39,51.62,52.08,1972800
2021-08-25,52.07,52.84,51.84,52.68,1381400
2021-08-26,52.66,52.67,52.04,52.19,1717300
2021-08-27,52.19,52.98,52.12,52.92,1443300
2021-08-30,52.89,52.99,52.46,52.48,1266900
2021-08-31,52.57,52.6,52.12,52.42,2889000
2021-09-01,52.6,52.6,51.51,52.12,1544100
2021-09-02,52.15,52.85,52.12,52.62,2027800
2021-09-03,52.62,52.73,52.15,52.6,1160600
2021-09-07,52.39,52.61,51.73,51.85,2386100
2021-09-08,51.71,52.39,51.06,52.31,2621100
2021-09-09,52.12,52.95,52.04,52.12,2103200
2021-09-10,52.29,52.71,52.07,52.32,2041500
2021-09-13,52.81,53.54,52.75,53.43,3271000
2021-09-14,53.65,53.87,52.71,52.75,2354700
2021-09-15,52.87,54.69,52.65,54.62,3194100
2021-09-16,54.61,55.27,54.24,55.04,3129400
2021-09-17,54.72,54.82,54.2,54.51,6143900
2021-09-20,53.43,53.85,52.2,52.88,3836500
2021-09-21,53.09,53.14,52.08,52.44,2601800
2021-09-22,52.98,53.17,51.2,51.54,4012300
2021-09-23,51.79,52.98,51.62,52.67,1797800
2021-09-24,52.41,52.92,52.16,52.21,2374300
2021-09-27,52.59,53.43,52.46,53.09,2542900
2021-09-28,53.27,53.83,52.87,52.92,2756900
2021-09-29,53.01,53.35,52.88,53.1,1962900
2021-09-30,53.31,53.4,52.41,52.43,2835200
2021-10-01,52.66,53.36,51.91,53.12,2240900
2021-10-04,53.23,54.18,53.18,53.43,2383500
2021-10-05,53.6,54.61,53.15,54.41,2128000
2021-10-06,54.16,54.47,53.2,54.43,1827800
2021-10-07,54.87,55.51,54.48,55.06,1925200
2021-10-08,55.31,55.72,54.88,55.3,2103500
2021-10-11,55.52,56.31,55.26,55.89,1955300
