Date,Open,High,Low,Close,Volume
2021-07-12,21.09,21.34,20.88,21.33,6083600
2021-07-13,21.3,21.35,20.45,20.48,6107600
2021-07-14,20.56,20.88,20.5,20.51,3645300
2021-07-15,20.32,20.46,20.05,20.2,5489000
2021-07-16,20.28,20.41,19.9,20.02,6356800
2021-07-19,19.65,19.77,19.26,19.38,7643800
2021-07-20,19.45,19.95,19.4,19.81,6737400
2021-07-21,19.95,20.15,19.89,20.02,4619000
2021-07-22,20.12,20.13,19.68,19.74,5477000
2021-07-23,19.83,19.94,19.45,19.64,5729500
2021-07-26,19.65,19.87,19.59,19.72,4904300
2021-07-27,19.62,19.98,19.46,19.98,5488400
2021-07-28,20.09,20.13,19.74,19.91,2984300
2021-07-29,20.0,20.11,19.9,19.95,3328000
2021-07-30,19.76,20.03,19.56,19.6,5208900
2021-08-02,19.78,19.78,19.45,19.49,5567500
2021-08-03,19.56,19.95,19.45,19.78,10843600
2021-08-04,19.63,19.77,19.39,19.55,4894500
2021-08-05,20.1,20.89,19.71,20.55,10640800
2021-08-06,20.78,21.07,20.31,20.34,7489800
2021-08-09,20.3,20.34,19.98,19.99,5950600
2021-08-10,20.02,20.46,19.93,20.13,4612800
2021-08-11,20.15,20.62,20.15,20.58,4700600
2021-08-12,20.49,20.84,20.49,20.77,4353900
2021-08-13,20.68,20.83,20.47,20.5,3286100
2021-08-16,20.39,20.49,20.15,20.15,2679900
2021-08-17,20.0,20.05,19.63,19.92,3452300
2021-08-18,19.98,20.01,19.63,19.65,4970600
2021-08-19,19.52,19.8,19.45,19.55,5192600
2021-08-20,19.5,20.15,19.46,20.11,5292600
2021-08-23,20.18,20.25,19.85,20.05,5704300
2021-08-24,20.2,20.2,19.86,20.01,5848600
2021-08-25,20.0,20.28,19.91,20.06,6158300
2021-08-26,20.01,20.06,19.73,19.74,3919800
2021-08-27,19.65,20.01,19.61,20.01,4578700
2021-08-30,20.1,20.12,19.91,19.93,2120000
2021-08-31,19.98,20.04,19.66,19.74,6436300
2021-09-01,19.91,20.21,19.87,19.95,3941600
2021-09-02,19.96,20.29,19.94,20.29,3283600
2021-09-03,20.25,20.45,20.18,20.38,7178600
2021-09-07,20.24,20.34,20.08,20.22,7112100
2021-09-08,20.21,20.31,19.95,19.97,4804900
2021-09-09,20.01,20.09,19.84,19.9,4377700
2021-09-10,19.99,20.01,19.65,19.66,3686800
2021-09-13,19.85,19.88,19.61,19.74,5941400
2021-09-14,19.87,19.96,19.6,19.7,4703200
2021-09-15,19.67,20.0,19.57,19.94,4909500
2021-09-16,19.97,20.15,19.86,20.08,5230700
2021-09-17,20.28,20.55,20.25,20.34,10357800
2021-09-20,20.01,20.2,19.46,19.78,5734000
2021-09-21,19.91,19.98,19.72,19.78,4272000
2021-09-22,19.87,19.99,19.53,19.58,3426600
2021-09-23,19.71,19.9,19.41,19.47,3411200
2021-09-24,19.47,19.59,19.33,19.38,5970300
2021-09-27,19.32,19.79,19.29,19.39,3741900
2021-09-28,19.45,19.62,19.05,19.07,5135500
2021-09-29,19.13,19.15,18.88,18.97,3551000
2021-09-30,19.01,19.05,18.69,18.88,5642000
2021-10-01,19.05,19.19,18.78,18.94,4779600
2021-10-04,18.86,19.03,18.75,18.89,4485700
2021-10-05,18.96,19.38,18.77,19.34,5162200
2021-10-06,19.15,19.38,18.88,19.37,4515300
2021-10-07,19.44,20.13,19.38,19.92,10589200
2021-10-08,19.89,20.23,19.78,19.91,9921100
2021-10-11,19.86,20.01,19.72,19.85,7662500
2021-10-12,19.86,20.01,19.77,19.86,6733400
2021-10-13,19.92,20.03,19.7,19.81,5890200
2021-10-14,19.96,20.1,19.78,20.08,3200600
2021-10-15,20.25,20.39,20.1,20.19,3537800
2021-10-18,19.92,20.04,19.68,19.72,3269100
2021-10-19,19.88,20.09,19.78,19.97,3291600
2021-10-20,20.0,20.75,20.0,20.7,6982600
2021-10-21,20.61,20.71,20.29,20.5,4068600
2021-10-22,20.63,20.78,20.51,20.62,3740200
2021-10-25,20.58,20.89,20.54,20.82,3834200
2021-10-26,20.96,21.25,20.82,20.98,6284900
2021-10-27,21.01,21.43,20.96,21.22,5546200
2021-10-28,21.3,21.75,21.06,21.15,5746400
2021-10-29,21.03,21.14,20.62,20.78,5021400
2021-11-01,20.84,21.27,20.75,21.11,3070500
2021-11-02,21.11,21.21,20.91,21.11,4968700
2021-11-03,21.15,21.25,20.78,21.05,5918100
2021-11-04,21.51,21.59,20.57,20.9,5778400
2021-11-05,21.0,21.12,20.75,20.79,6858600
2021-11-08,20.81,20.88,19.78,19.89,7360300
2021-11-09,19.99,20.08,19.69,19.88,5107700
2021-11-10,19.82,20.18,19.82,20.05,3500000
2021-11-11,20.18,20.82,20.13,20.7,7503900
2021-11-12,20.67,20.68,20.28,20.57,4154500
2021-11-15,20.8,20.87,20.53,20.83,3207600
2021-11-16,20.8,20.86,20.58,20.85,2730000
2021-11-17,20.55,20.72,20.29,20.59,4116100
2021-11-18,20.56,20.66,20.07,20.36,2918700
2021-11-19,20.26,20.49,20.18,20.45,4313600
2021-11-22,20.54,20.92,20.4,20.75,4611800
2021-11-23,20.78,20.79,20.44,20.48,2536800
2021-11-24,20.41,20.73,20.18,20.57,4134900
2021-11-26,20.16,20.19,19.76,19.83,2500100
2021-11-29,20.05,20.06,19.59,19.65,4307000
2021-11-30,19.64,19.85,19.22,19.45,10330900
2021-12-01,19.74,20.35,19.58,19.62,9058000
2021-12-02,19.56,20.2,19.26,20.03,5494800
2021-12-03,20.13,20.25,19.59,19.77,6167800
2021-12-06,20.01,20.52,19.84,20.27,5585100
2021-12-07,20.49,20.83,20.44,20.65,3693500
2021-12-08,20.68,20.84,20.51,20.7,3044100
2021-12-09,20.69,20.78,20.41,20.43,4454000
2021-12-10,20.56,20.63,20.19,20.32,3414800
2021-12-13,20.26,20.26,19.79,19.9,5358800
2021-12-14,19.8,20.0,19.56,19.64,5302500
2021-12-15,19.59,20.1,19.54,20.08,3671000
2021-12-16,20.09,20.55,20.02,20.02,4556000
2021-12-17,19.86,20.23,19.63,20.04,6214300
2021-12-20,19.72,19.77,18.92,19.32,5578900
2021-12-21,19.48,19.97,19.45,19.73,4944800
2021-12-22,19.62,19.77,19.53,19.61,3587000
2021-12-23,19.69,19.74,19.56,19.59,3790700
2021-12-27,19.59,19.75,19.5,19.69,2798500
2021-12-28,19.76,19.98,19.68,19.75,1908700
2021-12-29,19.7,19.89,19.65,19.79,2611100
2021-12-30,19.88,20.21,19.82,20.11,3201700
2021-12-31,20.03,20.33,19.98,20.22,2491100
2022-01-03,20.31,20.55,20.0,20.28,2741200
2022-01-04,20.33,20.52,20.19,20.34,4105000
2022-01-05,20.26,20.37,19.4,19.41,6392500
2022-01-06,19.42,19.72,19.27,19.34,6035900
2022-01-07,19.34,19.53,19.12,19.22,4655400
2022-01-10,19.26,19.39,18.87,19.1,7277100
2022-01-11,19.14,19.46,19.14,19.42,3959500
2022-01-12,19.5,19.72,19.34,19.49,3596600
2022-01-13,19.5,19.7,19.32,19.36,3049000
2022-01-14,19.29,19.34,18.99,19.19,4467700
2022-01-18,18.97,19.09,18.69,18.79,4523800
2022-01-19,18.8,19.34,18.78,19.19,5725900
2022-01-20,19.35,20.01,19.3,19.46,7856900
2022-01-21,19.39,19.54,19.04,19.09,5997300
2022-01-24,18.72,18.83,17.92,18.79,10357800
2022-01-25,18.4,18.57,18.11,18.45,9369900
2022-01-26,18.75,19.2,18.46,18.65,7061000
2022-01-27,18.98,19.16,18.34,18.36,6652600
2022-01-28,18.22,18.45,17.99,18.43,4187800
2022-01-31,18.23,18.62,18.1,18.59,9913700
2022-02-01,18.62,18.7,18.36,18.57,6924800
2022-02-02,18.51,18.74,18.31,18.7,5703500
2022-02-03,18.47,18.65,18.19,18.23,5251400
2022-02-04,18.13,18.51,18.02,18.36,6201000
2022-02-07,18.32,18.49,18.1,18.27,5478400
2022-02-08,18.35,18.9,18.28,18.85,8517400
