Date,Open,High,Low,Close,Volume
2021-07-12,47.56,48.14,47.07,47.9,5018600
2021-07-13,47.85,48.14,47.14,47.38,3557700
2021-07-14,47.34,47.9,47.07,47.55,2663100
2021-07-15,47.21,47.97,47.1,47.82,2996200
2021-07-16,47.92,47.99,47.26,47.4,7477900
2021-07-19,46.53,46.83,45.83,46.15,4665300
2021-07-20,46.05,47.68,45.94,47.28,3507800
2021-07-21,47.82,48.57,47.56,48.08,2888000
2021-07-22,48.11,48.26,47.26,47.39,2717900
2021-07-23,47.62,47.98,47.44,47.63,2171800
2021-07-26,47.58,48.09,47.45,47.92,1829000
2021-07-27,47.56,48.16,47.23,48.01,2573000
2021-07-28,48.19,48.43,47.55,48.0,2784900
2021-07-29,49.66,50.15,48.97,49.63,4449000
2021-07-30,49.55,49.89,49.04,49.08,3435000
2021-08-02,49.36,50.07,48.76,48.82,3199000
2021-08-03,49.23,49.65,48.44,49.62,2726500
2021-08-04,49.06,49.59,48.87,49.03,3475300
2021-08-05,49.53,49.96,49.23,49.59,2106100
2021-08-06,49.98,50.34,49.89,50.19,3162900
2021-08-09,50.1,50.32,49.62,50.07,2191000
2021-08-10,50.0,50.83,49.71,50.6,3123200
2021-08-11,50.72,51.04,50.38,50.82,3142700
2021-08-12,50.99,51.25,50.73,51.19,1911600
2021-08-13,51.32,51.43,50.99,51.1,1681600
2021-08-16,50.87,51.44,50.58,51.33,2482800
2021-08-17,51.02,51.52,50.82,51.26,2408900
2021-08-18,50.93,51.35,50.57,50.59,2550500
2021-08-19,49.97,50.59,49.82,50.19,2414500
2021-08-20,50.13,50.71,49.81,50.59,1796700
2021-08-23,50.89,51.38,50.35,50.9,2334700
2021-08-24,51.03,51.19,50.72,50.9,1901100
2021-08-25,51.02,51.65,50.72,51.26,2609900
2021-08-26,51.35,51.37,50.58,50.62,1925700
2021-08-27,50.79,51.45,50.61,51.24,1667600
2021-08-30,51.22,51.24,50.58,50.65,1908400
2021-08-31,50.57,51.2,50.39,50.87,3378600
2021-09-01,51.03,51.03,50.41,50.57,2359900
2021-09-02,50.79,50.79,50.11,50.25,2416800
2021-09-03,50.18,50.34,49.85,50.0,1832500
2021-09-07,49.99,50.17,49.56,49.59,2444700
2021-09-08,49.46,49.67,49.19,49.52,2490700
2021-09-09,49.49,50.2,49.38,49.49,2518300
2021-09-10,49.81,49.85,49.05,49.06,2126800
2021-09-13,49.55,49.76,49.2,49.57,2171600
2021-09-14,49.83,49.83,48.62,48.73,2553700
2021-09-15,48.81,49.46,48.7,49.06,2437600
2021-09-16,49.07,49.32,48.73,48.97,2216100
2021-09-17,48.83,49.28,48.42,48.46,7984600
2021-09-20,47.48,47.57,46.03,46.74,4414000
2021-09-21,47.05,47.12,46.04,46.09,3548800
2021-09-22,46.68,46.93,46.4,46.56,4131600
2021-09-23,46.82,47.61,46.82,47.02,3059100
2021-09-24,47.04,47.59,46.94,47.24,2167300
2021-09-27,47.7,48.39,47.32,47.93,2519800
2021-09-28,47.92,48.22,47.35,47.42,3030900
2021-09-29,47.45,47.79,47.3,47.34,2210300
2021-09-30,47.6,47.6,46.71,46.79,3316800
2021-10-01,46.92,47.83,46.81,47.52,2284200
2021-10-04,47.53,48.38,47.18,47.36,3071400
