Date,Open,High,Low,Close,Volume
2021-07-12,41.37,42.6,41.03,42.34,3450700
2021-07-13,42.3,42.44,41.66,41.71,2983400
2021-07-14,41.85,42.26,41.07,41.42,2792200
2021-07-15,42.39,43.02,41.97,42.9,7698900
2021-07-16,43.02,43.06,41.63,41.86,4384800
2021-07-19,40.61,40.86,39.75,40.1,5465300
2021-07-20,40.14,42.42,40.05,42.15,5131200
2021-07-21,42.53,43.71,42.53,43.1,3970900
2021-07-22,42.93,42.93,42.16,42.45,2815300
2021-07-23,42.81,43.15,42.06,42.22,3029600
2021-07-26,42.2,42.85,42.11,42.58,3026800
2021-07-27,42.02,42.67,41.75,42.32,2347700
2021-07-28,42.46,42.62,41.22,41.9,2956000
2021-07-29,42.46,42.83,41.96,42.72,3492500
2021-07-30,42.39,43.09,42.07,42.26,4695600
2021-08-02,42.72,43.59,42.2,42.28,2779100
2021-08-03,42.58,42.66,41.45,42.61,2346500
2021-08-04,41.98,42.52,41.74,42.03,3592100
2021-08-05,42.48,43.51,42.48,43.43,4686400
2021-08-06,44.85,45.86,44.63,45.47,4807600
2021-08-09,45.22,46.54,44.97,46.28,4388700
2021-08-10,46.29,47.67,46.29,47.43,7491300
2021-08-11,47.69,48.3,47.11,48.27,5623200
2021-08-12,48.42,48.71,47.86,48.09,3647700
2021-08-13,48.36,49.03,48.1,48.74,4675500
2021-08-16,48.41,48.94,47.95,48.74,4648600
2021-08-17,48.42,49.05,48.03,48.2,4490900
2021-08-18,47.97,49.0,47.78,47.98,5002900
2021-08-19,47.25,48.11,46.89,47.27,7291400
2021-08-20,47.34,48.04,47.05,47.81,4040800
2021-08-23,48.26,48.87,48.2,48.34,3738400
2021-08-24,48.34,48.81,48.1,48.52,3797600
2021-08-25,48.68,49.53,48.39,49.03,4019300
2021-08-26,49.16,49.2,48.19,48.21,3308100
2021-08-27,48.5,49.19,48.33,49.1,3485500
2021-08-30,49.13,49.13,48.2,48.21,3711400
2021-08-31,48.06,48.93,48.06,48.69,5703900
2021-09-01,48.81,48.93,48.38,48.71,4014300
2021-09-02,48.88,49.44,48.78,49.29,5228000
2021-09-03,49.22,49.46,48.72,49.18,4556800
2021-09-07,49.28,49.78,48.78,48.79,4783000
2021-09-08,48.64,49.1,48.46,48.92,3349300
2021-09-09,48.91,49.79,48.73,48.81,4669900
2021-09-10,49.24,49.43,48.55,48.59,3221700
2021-09-13,49.19,49.38,48.74,49.19,4962000
2021-09-14,49.39,49.44,48.44,48.58,5109600
2021-09-15,48.66,49.16,48.36,48.88,4194300
2021-09-16,48.9,49.43,48.53,48.79,3423200
2021-09-17,48.56,49.41,48.11,48.31,7278400
2021-09-20,46.89,47.86,46.68,47.79,7959300
2021-09-21,48.22,48.33,47.49,47.55,5580500
2021-09-22,48.33,48.61,48.0,48.22,4876600
2021-09-23,48.45,49.4,48.45,48.95,4444700
2021-09-24,49.04,49.57,48.77,49.21,5669300
2021-09-27,49.71,51.36,49.71,51.2,5232800
2021-09-28,51.25,51.66,50.16,50.27,5511600
2021-09-29,50.47,50.69,50.08,50.13,3289600
2021-09-30,50.26,50.38,49.27,49.28,4202000
2021-10-01,49.51,50.18,49.21,49.81,5871800
2021-10-04,49.72,50.9,49.67,50.11,5557000
2021-10-05,50.53,51.84,49.95,51.58,4845500
2021-10-06,51.11,51.58,50.34,51.46,3484300
2021-10-07,51.74,52.17,51.32,51.35,3749900
2021-10-08,51.27,52.06,51.27,51.72,2217200
2021-10-11,51.85,52.84,51.69,51.97,3104700
2021-10-12,51.89,52.46,51.42,51.53,2678600
2021-10-13,51.37,51.42,49.81,50.46,4125000
2021-10-14,51.21,51.87,50.7,51.86,4857000
2021-10-15,52.35,52.81,52.14,52.32,3931900
2021-10-18,52.28,52.52,51.72,51.97,3299000
2021-10-19,52.56,53.13,52.37,52.65,3217200
2021-10-20,52.39,53.65,52.19,53.52,3205000
2021-10-21,53.29,53.82,52.89,53.2,2794600
2021-10-22,53.54,54.01,53.26,53.88,3734100
2021-10-25,53.87,54.18,53.15,53.54,3157100
2021-10-26,53.62,53.87,53.12,53.18,2497400
2021-10-27,53.0,53.88,52.46,52.57,3984800
2021-10-28,52.81,53.82,52.81,53.78,2668200
2021-10-29,53.87,54.69,53.02,53.05,4668700
2021-11-01,53.61,54.2,53.53,54.04,2732100
2021-11-02,53.87,54.2,53.69,53.85,3318100
2021-11-03,53.6,55.48,53.57,54.84,4537700
2021-11-04,54.5,54.61,53.55,54.22,4685900
2021-11-05,55.66,56.15,52.71,52.93,6787500
2021-11-08,53.02,53.75,52.61,53.11,5118300
2021-11-09,52.79,53.44,52.31,52.75,3097700
2021-11-10,52.65,53.32,52.33,52.84,3645500
2021-11-11,52.8,53.23,52.76,52.84,3113300
2021-11-12,52.74,53.02,52.16,52.26,3538100
2021-11-15,52.42,52.6,51.95,52.15,3819900
2021-11-16,52.48,52.68,51.32,51.34,3772300
2021-11-17,51.16,51.46,50.81,51.13,4567200
2021-11-18,51.16,51.4,50.1,50.38,4568000
2021-11-19,49.56,50.02,49.12,49.33,4864300
2021-11-22,49.83,51.87,49.65,51.12,6027000
2021-11-23,51.67,53.27,51.65,52.88,7055100
2021-11-24,52.66,53.09,51.82,51.97,5072800
2021-11-26,49.66,50.75,48.35,50.32,4009600
2021-11-29,50.96,51.05,49.32,49.33,4800300
2021-11-30,48.77,48.77,47.01,47.22,10816400
2021-12-01,48.21,48.67,46.41,46.43,5845600
2021-12-02,46.86,48.7,46.86,48.44,6570900
2021-12-03,48.4,48.65,47.64,47.87,5056200
2021-12-06,48.66,49.82,48.56,49.17,6051100
2021-12-07,49.51,50.23,49.29,49.55,4852800
2021-12-08,49.71,49.96,49.19,49.35,4018600
2021-12-09,49.06,49.7,48.9,49.21,3716400
2021-12-10,49.46,49.56,48.6,48.83,4023500
2021-12-13,48.73,48.76,47.81,48.34,4304600
2021-12-14,48.26,49.46,48.17,49.07,5066200
2021-12-15,49.29,49.29,48.28,49.09,4523900
2021-12-16,49.61,50.41,49.33,49.92,6340200
2021-12-17,49.74,49.79,48.36,48.86,11164300
2021-12-20,48.05,48.06,46.82,47.78,4458400
2021-12-21,48.41,50.21,48.4,49.8,6431000
2021-12-22,49.67,50.23,49.58,49.91,4694000
2021-12-23,50.22,51.25,50.21,51.09,3980700
2021-12-27,51.17,51.51,50.81,51.38,2079300
2021-12-28,51.29,52.02,51.11,51.18,2449500
2021-12-29,51.15,51.6,51.08,51.28,1977500
2021-12-30,51.38,51.78,51.21,51.24,2144300
2021-12-31,51.2,51.68,51.16,51.35,2075300
2022-01-03,51.64,52.45,51.59,51.83,3376300
2022-01-04,52.6,53.71,52.4,53.28,5281300
2022-01-05,53.4,53.91,52.51,52.55,4639400
2022-01-06,53.5,53.75,52.19,53.45,6331600
2022-01-07,53.82,55.06,53.56,54.85,5318900
2022-01-10,55.2,55.59,54.03,55.46,7913200
2022-01-11,55.57,55.78,54.96,55.78,6091500
2022-01-12,55.52,56.09,54.64,55.42,6150500
2022-01-13,55.8,56.22,55.58,55.87,3476900
2022-01-14,55.03,56.15,54.93,55.91,4465100
2022-01-18,55.99,56.15,54.85,55.0,4265200
2022-01-19,55.25,55.63,53.05,53.14,6354800
2022-01-20,53.31,54.94,52.91,53.14,5861700
2022-01-21,53.01,53.16,51.53,51.76,6608800
2022-01-24,51.17,52.08,49.12,51.89,7420100
2022-01-25,51.23,53.11,49.98,52.57,6163500
2022-01-26,53.15,53.73,51.28,52.04,6090700
2022-01-27,52.63,53.5,50.76,50.95,5398600
2022-01-28,50.57,51.51,50.18,51.44,5248600
2022-01-31,51.02,52.21,50.43,52.15,4187800
2022-02-01,52.22,53.52,51.93,53.38,3674700
2022-02-02,53.12,54.48,53.08,54.41,4796500
2022-02-03,54.45,54.9,53.6,53.72,3381600
2022-02-04,53.59,55.64,53.59,55.08,4165800
2022-02-07,55.2,56.36,55.2,55.8,3968100
2022-02-08,56.44,56.99,56.19,56.62,5242000
2022-02-09,56.76,57.38,56.31,56.36,4460100
2022-02-10,55.58,57.34,55.57,56.19,4926500
2022-02-11,56.19,56.83,54.27,54.85,7241100
2022-02-14,54.84,55.16,52.86,53.27,7294400
2022-02-15,53.95,54.84,53.52,54.53,4189300
2022-02-16,53.99,54.98,53.99,54.49,3416800
2022-02-17,54.14,55.85,53.79,55.43,6154900
2022-02-18,54.53,56.21,54.53,55.75,5488200
2022-02-22,55.99,56.78,55.27,55.64,5749500
2022-02-23,56.11,56.75,55.24,55.57,5102400
2022-02-24,53.6,54.72,52.54,54.53,6276600
2022-02-25,54.9,57.05,54.75,57.04,8694700
2022-02-28,55.31,56.21,54.82,55.3,7596600
2022-03-01,54.69,54.79,51.7,52.28,6478100
2022-03-02,53.06,55.38,53.06,55.12,6545000
2022-03-03,54.91,55.53,54.04,54.55,4260700
2022-03-04,53.29,53.36,51.23,51.91,7364100
2022-03-07,51.17,51.57,49.36,49.37,7982000
2022-03-08,50.08,51.85,49.58,50.08,7034500
2022-03-09,52.37,53.55,52.26,52.63,5984800
2022-03-10,51.75,52.71,50.9,51.46,5247400
2022-03-11,52.18,52.8,51.38,51.47,3423600
2022-03-14,52.45,53.3,51.59,51.94,3734300
2022-03-15,52.43,53.2,51.7,52.87,3901300
2022-03-16,53.66,54.81,53.27,54.28,4346600
2022-03-17,53.66,55.34,53.56,55.34,4991100
2022-03-18,55.1,55.49,54.24,55.42,6258900
2022-03-21,55.88,56.34,55.35,56.06,6074000
2022-03-22,56.65,57.91,56.62,56.92,4486500
2022-03-23,56.62,57.11,56.13,56.16,3071200
2022-03-24,56.52,57.48,56.28,57.35,3185800
2022-03-25,57.43,58.6,57.36,58.55,3712200
2022-03-28,58.07,58.26,57.51,57.87,3486500
2022-03-29,58.64,58.93,56.73,57.25,4393200
2022-03-30,57.22,58.18,57.22,57.65,4424500
2022-03-31,57.42,58.22,57.0,57.0,4589800
2022-04-01,57.5,58.23,57.25,57.92,3802800
2022-04-04,57.61,57.81,56.5,56.79,2960800
2022-04-05,56.61,57.62,56.61,56.71,2906300
2022-04-06,56.58,57.24,56.0,56.13,3528000
2022-04-07,55.89,56.27,55.1,55.99,3506800
2022-04-08,56.57,57.63,56.29,57.33,3140900
2022-04-11,57.33,58.38,56.72,56.82,3398200
2022-04-12,57.05,57.77,56.44,56.71,3518300
2022-04-13,56.49,57.25,56.12,57.19,3386400
2022-04-14,57.13,58.04,57.02,57.23,4399900
2022-04-18,56.94,58.21,56.94,58.02,2088700
2022-04-19,58.24,58.69,57.38,57.76,5089100
2022-04-20,58.07,59.17,58.06,58.49,3432500
2022-04-21,59.07,59.68,57.24,57.32,4244300
2022-04-22,57.21,57.21,54.79,54.88,4865200
2022-04-25,54.49,54.49,52.57,54.19,6587500
2022-04-26,53.43,54.15,52.32,52.36,4261100
2022-04-27,52.55,54.02,52.18,53.68,4989600
2022-04-28,54.27,54.89,53.11,54.52,4623700
2022-04-29,54.25,54.6,52.97,53.13,5789500
2022-05-02,53.55,53.98,52.37,53.63,4276900
2022-05-03,54.08,54.75,52.97,54.06,8013100
2022-05-04,54.55,58.16,54.3,58.06,7814600
2022-05-05,57.14,57.86,55.79,56.41,6021000
2022-05-06,56.4,56.77,55.56,56.51,5885500
2022-05-09,55.94,56.6,53.81,54.13,6605600
2022-05-10,54.69,55.8,52.32,53.29,6476600
2022-05-11,53.33,55.18,53.13,53.22,4809500
2022-05-12,53.04,53.61,51.98,53.04,4914400
2022-05-13,53.59,54.07,52.86,53.17,6119400
2022-05-16,53.27,53.73,52.55,53.25,4838900
2022-05-17,54.39,54.94,54.03,54.74,3910900
2022-05-18,54.24,54.61,52.74,52.94,5678800
2022-05-19,52.21,53.44,52.17,52.57,4576300
2022-05-20,52.79,53.15,48.88,50.5,8977100
2022-05-23,51.36,52.26,50.92,51.69,7948900
2022-05-24,51.48,51.59,49.67,51.31,5889400
2022-05-25,51.14,52.33,51.0,51.46,5805900
2022-05-26,52.28,52.81,51.87,52.42,6122600
2022-05-27,52.53,53.57,52.33,53.57,3891100
2022-05-31,53.26,54.26,52.82,53.28,5639200
2022-06-01,53.52,53.74,51.84,52.52,6103000
2022-06-02,52.59,52.85,51.86,52.82,3987500
2022-06-03,52.45,52.88,51.84,52.02,4809200
2022-06-06,52.49,53.91,52.12,53.56,4094300
2022-06-07,53.18,54.22,52.72,53.95,4555900
2022-06-08,53.55,53.77,52.25,52.43,3908000
2022-06-09,52.43,52.43,50.73,50.74,6573800
