Date,Open,High,Low,Close,Volume
2021-07-12,166.51,181.65,165.85,176.67,3652500
2021-07-13,175.17,178.09,173.43,174.19,1098900
2021-07-14,174.8,179.54,170.88,171.99,1126600
2021-07-15,172.11,179.34,172.11,175.11,1478700
2021-07-16,176.21,178.04,169.11,170.24,978100
2021-07-19,164.15,169.28,160.42,167.81,1756500
2021-07-20,168.67,177.82,168.27,176.45,1268200
2021-07-21,182.81,186.89,178.31,179.24,1826100
2021-07-22,180.87,183.12,178.37,181.64,811300
2021-07-23,180.99,182.5,175.5,179.37,905500
2021-07-26,179.98,183.67,179.53,183.6,1038200
2021-07-27,180.52,180.91,174.28,178.09,1197000
2021-07-28,179.05,184.22,178.45,183.32,774900
2021-07-29,185.81,198.83,184.51,191.12,2550000
2021-07-30,191.12,195.61,189.88,194.15,1556400
2021-08-02,196.34,196.9,192.82,194.96,1109900
2021-08-03,192.97,195.82,189.92,195.04,1046900
2021-08-04,197.04,199.81,194.18,194.91,1153700
2021-08-05,197.75,213.17,196.29,206.01,2505200
2021-08-06,208.25,214.27,202.61,213.63,1651300
2021-08-09,211.74,219.11,207.38,218.03,1425200
2021-08-10,218.9,228.05,218.9,225.24,1977900
2021-08-11,226.15,228.1,214.6,222.37,1916300
2021-08-12,222.02,223.85,217.13,222.89,1089600
2021-08-13,224.23,226.11,219.7,221.65,849200
2021-08-16,219.04,219.04,208.58,212.87,2147800
2021-08-17,208.61,210.84,198.6,203.96,2133000
2021-08-18,204.77,208.89,202.74,205.17,946100
2021-08-19,198.92,204.55,198.37,201.04,1361800
2021-08-20,201.48,207.79,201.4,207.0,1116800
2021-08-23,212.14,216.96,209.73,214.79,1550100
2021-08-24,214.97,216.07,209.24,215.98,1208600
2021-08-25,216.31,226.66,214.37,220.66,1834600
2021-08-26,219.46,222.76,217.15,217.39,908400
2021-08-27,219.26,224.13,219.26,223.0,985000
2021-08-30,226.82,230.33,223.21,223.31,1119600
2021-08-31,223.33,223.42,217.28,223.08,833100
2021-09-01,223.08,227.38,220.18,225.4,924000
2021-09-02,226.15,234.36,226.15,229.95,1092800
2021-09-03,229.41,231.37,225.83,227.9,860500
2021-09-07,227.09,227.91,224.4,225.0,1042300
2021-09-08,229.69,229.69,221.76,225.47,1203200
2021-09-09,224.27,233.62,224.01,229.37,1172100
2021-09-10,235.42,238.5,227.07,227.25,1536200
2021-09-13,228.91,229.21,209.61,215.91,2522900
2021-09-14,218.8,221.44,215.54,217.17,1322400
2021-09-15,217.26,222.95,217.12,220.48,1469300
2021-09-16,219.26,219.51,212.7,218.27,1323100
2021-09-17,215.62,217.09,211.19,214.12,2097300
2021-09-20,204.49,205.76,198.44,203.39,2246600
2021-09-21,206.37,207.98,201.55,204.34,1008900
2021-09-22,207.37,213.92,204.84,210.75,904500
2021-09-23,214.16,219.21,214.16,216.29,1055100
2021-09-24,215.1,216.78,212.11,213.69,704200
2021-09-27,213.31,213.96,207.68,209.78,843700
2021-09-28,206.72,207.6,202.99,204.3,984200
2021-09-29,206.53,208.52,204.25,206.68,740400
2021-09-30,211.09,216.01,206.56,206.68,1019700
2021-10-01,207.15,209.19,198.68,206.6,1116200
2021-10-04,206.71,207.7,200.68,203.13,1015800
2021-10-05,204.84,211.26,203.07,209.91,1049600
2021-10-06,207.65,210.27,202.52,209.89,1005800
2021-10-07,213.32,214.2,209.45,209.82,641000
2021-10-08,209.52,210.26,201.57,202.99,1260600
2021-10-11,203.03,206.88,201.89,202.14,743100
2021-10-12,205.73,206.66,202.81,204.7,707300
2021-10-13,206.24,213.52,205.67,211.11,1016400
2021-10-14,212.42,219.34,212.41,218.35,1127900
2021-10-15,220.48,221.38,215.79,215.93,908300
2021-10-18,215.05,224.52,214.77,223.61,1223100
2021-10-19,230.09,230.65,219.99,222.71,1069900
2021-10-20,225.01,225.58,219.57,221.97,911700
2021-10-21,220.79,222.57,217.47,221.02,656500
2021-10-22,222.26,224.35,217.97,218.52,761800
2021-10-25,221.72,229.36,219.11,226.0,1600500
2021-10-26,226.0,228.56,220.87,222.91,1121200
2021-10-27,223.42,225.25,217.69,218.74,1140400
2021-10-28,220.17,232.39,219.69,232.39,1569900
2021-10-29,226.29,237.67,222.84,236.41,4261200
2021-11-01,241.63,244.63,235.58,241.51,1638100
2021-11-02,241.63,246.34,237.43,245.43,1631500
2021-11-03,243.98,248.71,241.15,247.25,1172500
2021-11-04,258.4,260.51,249.23,257.36,1841800
2021-11-05,258.42,259.56,252.47,257.22,990800
2021-11-08,260.32,264.24,257.32,262.89,1234600
2021-11-09,264.28,266.99,255.86,259.16,1051000
2021-11-10,254.74,258.7,248.78,250.83,1331100
2021-11-11,251.61,258.04,249.15,257.03,785700
