Date,Open,High,Low,Close,Volume
2021-09-13,117.85,118.6,117.2,118.4,1603600
2021-09-14,118.76,119.18,116.96,117.39,2118900
2021-09-15,117.41,118.71,116.39,117.0,1914200
2021-09-16,116.82,117.55,116.18,116.81,1515600
2021-09-17,116.14,117.33,115.64,116.41,3401200
2021-09-20,114.71,115.26,113.47,115.13,2009400
2021-09-21,115.61,116.41,114.76,115.14,1631400
2021-09-22,116.13,116.78,115.76,115.82,1476100
2021-09-23,116.45,117.54,116.08,116.22,1237000
2021-09-24,116.2,116.97,115.88,115.94,1162900
2021-09-27,116.41,117.26,115.82,115.85,1156100
2021-09-28,115.83,116.59,113.51,113.71,1453600
2021-09-29,113.75,115.59,113.75,114.9,908600
2021-09-30,115.47,115.82,113.05,113.11,1463500
2021-10-01,113.27,114.56,112.4,113.47,1553200
2021-10-04,113.51,114.9,112.3,112.48,1539600
2021-10-05,112.68,114.51,111.84,113.83,1864200
2021-10-06,113.13,113.72,111.76,113.27,1247200
2021-10-07,113.83,114.87,112.99,113.13,1309500
2021-10-08,113.31,113.66,112.24,112.72,970000
2021-10-11,113.23,115.55,113.23,113.68,1265000
2021-10-12,113.84,114.47,112.39,112.66,1443900
2021-10-13,112.58,112.66,110.34,111.68,1277100
2021-10-14,112.17,112.75,111.23,112.66,1358200
2021-10-15,113.2,113.76,112.29,112.62,1378100
2021-10-18,112.17,112.52,111.25,111.99,1057300
2021-10-19,112.46,112.63,111.3,112.39,1419100
2021-10-20,112.31,114.13,112.2,114.02,1347400
2021-10-21,113.99,113.99,111.46,112.63,1379800
2021-10-22,113.06,114.13,112.35,113.72,1837600
2021-10-25,114.03,114.77,113.53,114.61,1355600
2021-10-26,114.71,115.49,113.99,114.0,1179300
2021-10-27,114.05,114.2,110.88,110.96,1260000
2021-10-28,111.32,112.31,110.89,112.14,1418400
2021-10-29,112.06,112.1,109.22,109.87,2162900
2021-11-01,110.32,111.12,108.98,109.73,2072200
2021-11-02,109.73,111.42,108.39,111.21,2097300
2021-11-03,111.21,113.58,111.05,112.05,1693000
2021-11-04,107.5,108.33,102.33,104.03,4434500
2021-11-05,104.61,105.55,101.86,104.09,2580200
2021-11-08,104.83,105.27,103.4,104.0,1610500
2021-11-09,103.33,104.67,102.23,102.34,1558000
2021-11-10,101.35,102.72,101.2,101.38,2113700
2021-11-11,101.39,102.25,100.19,101.87,1534500
2021-11-12,101.85,103.01,101.62,101.91,2372900
2021-11-15,102.3,102.56,101.66,101.99,1774100
2021-11-16,102.37,103.64,101.9,102.48,3627700
2021-11-17,102.23,102.41,100.53,100.6,2592700
2021-11-18,100.73,101.07,99.05,100.45,2445300
2021-11-19,100.2,100.93,99.38,99.45,2084100
2021-11-22,99.73,101.44,99.07,100.88,2216400
2021-11-23,99.79,102.9,99.62,102.08,3013000
2021-11-24,102.3,102.96,101.64,101.9,2676600
2021-11-26,99.43,102.6,98.88,102.28,1929900
2021-11-29,102.43,102.6,100.58,101.23,2656200
2021-11-30,100.3,100.48,96.81,97.27,8377100
2021-12-01,98.07,99.42,95.84,95.85,2690200
2021-12-02,96.84,99.0,96.24,98.13,2201400
2021-12-03,98.21,99.14,96.39,96.92,2814700
2021-12-06,98.0,99.77,97.75,98.22,2334700
2021-12-07,98.2,99.31,97.5,98.63,2660100
2021-12-08,98.55,98.85,96.82,97.54,2176700
2021-12-09,95.27,97.02,94.94,96.33,2155600
2021-12-10,97.22,97.22,96.1,96.65,1392100
2021-12-13,96.53,97.18,95.22,96.81,1705200
2021-12-14,97.06,99.79,96.67,99.05,2208900
2021-12-15,99.49,102.01,98.92,101.57,2988000
2021-12-16,102.16,104.0,102.06,103.63,2556100
2021-12-17,103.22,103.51,101.86,102.12,4978400
2021-12-20,101.14,101.69,99.73,100.49,1979500
2021-12-21,101.09,102.73,101.09,101.39,1365000
2021-12-22,101.26,101.95,101.0,101.48,1092000
2021-12-23,102.05,103.07,101.77,102.11,1063100
2021-12-27,102.14,103.9,101.78,103.86,1116300
2021-12-28,103.72,105.09,103.71,104.76,1311100
2021-12-29,104.85,105.95,104.64,105.53,1511300
2021-12-30,106.02,106.45,105.2,105.29,1251900
2021-12-31,105.2,106.17,105.2,105.26,1144000
2022-01-03,105.35,107.11,105.01,105.82,1924600
2022-01-04,106.84,108.7,106.47,108.38,1878400
2022-01-05,108.97,110.05,108.24,108.28,1840100
2022-01-06,109.99,110.74,108.46,109.51,1510900
2022-01-07,109.88,112.91,109.29,112.69,2314100
2022-01-10,113.19,113.84,110.07,110.53,2672400
2022-01-11,111.27,111.57,109.02,110.78,2019000
2022-01-12,110.41,111.18,109.6,110.76,1593100
2022-01-13,111.22,112.23,110.83,111.09,1723900
2022-01-14,110.86,111.37,109.6,111.02,1991100
2022-01-18,110.62,111.21,108.36,110.25,2362000
2022-01-19,110.68,110.68,107.72,108.2,1845800
2022-01-20,108.55,110.02,106.75,106.91,2436000
2022-01-21,107.19,108.54,106.51,106.84,3810400
2022-01-24,107.08,109.4,105.53,109.08,2780400
2022-01-25,107.55,109.91,106.1,109.09,2202000
2022-01-26,108.6,109.46,106.68,107.64,2634200
2022-01-27,108.3,110.55,106.88,107.59,2184200
2022-01-28,107.37,108.23,105.82,108.14,1981000
2022-01-31,106.8,108.33,105.74,107.97,3607800
2022-02-01,106.68,106.92,104.15,106.22,3367300
2022-02-02,106.19,107.14,104.85,105.3,5549600
2022-02-03,105.53,109.25,103.44,108.86,5012100
2022-02-04,107.76,110.28,107.76,109.26,2637300
2022-02-07,110.03,112.59,109.48,111.63,3108700
2022-02-08,112.36,114.11,112.2,113.79,2871000
2022-02-09,113.6,113.84,111.44,111.55,1983400
2022-02-10,111.0,112.67,110.01,110.3,2199600
2022-02-11,109.84,111.38,109.18,110.39,2841600
2022-02-14,112.12,113.02,110.12,111.66,3268800
2022-02-15,112.13,112.84,110.49,111.13,2209800
2022-02-16,110.68,111.75,110.34,110.48,1796800
2022-02-17,109.76,110.23,108.46,109.73,1801900
2022-02-18,109.61,112.98,109.42,112.64,5359400
2022-02-22,112.27,112.91,111.07,111.92,2961300
2022-02-23,112.44,112.88,110.1,110.3,2100100
2022-02-24,107.84,108.49,105.13,108.1,3220300
2022-02-25,108.94,112.0,108.77,111.88,1787900
2022-02-28,109.13,110.94,108.83,110.25,2648700
2022-03-01,110.14,110.79,106.94,108.0,1757500
2022-03-02,109.35,111.97,109.34,111.62,1843300
2022-03-03,111.6,113.61,110.55,113.25,2447200
2022-03-04,111.33,114.98,111.15,114.93,2862400
2022-03-07,113.9,115.85,112.71,112.79,2605800
2022-03-08,113.25,113.78,109.93,109.96,2356200
2022-03-09,111.4,111.85,109.43,110.31,1918700
2022-03-10,110.24,111.23,109.5,110.75,1563500
2022-03-11,111.22,112.75,110.63,111.17,1475900
2022-03-14,113.16,114.59,112.14,113.43,1974600
2022-03-15,114.2,114.75,112.71,114.55,1699600
2022-03-16,114.89,115.04,111.76,113.98,1940600
2022-03-17,114.07,117.99,113.98,117.97,2343800
2022-03-18,119.34,120.55,117.21,120.29,6081800
2022-03-21,120.62,121.55,118.91,121.22,2523600
2022-03-22,121.64,123.88,121.28,123.48,2475700
2022-03-23,123.37,124.4,122.42,123.49,2855500
2022-03-24,123.22,125.09,123.18,125.02,1653300
2022-03-25,125.12,127.79,125.02,127.77,1897900
2022-03-28,127.34,127.5,126.0,126.69,2542900
2022-03-29,126.92,126.97,124.68,125.78,1627000
2022-03-30,126.15,127.22,125.82,126.5,1310500
2022-03-31,126.57,127.56,124.78,124.81,2346400
2022-04-01,125.72,126.17,124.64,125.73,1276300
2022-04-04,125.45,125.73,123.29,123.53,1815800
2022-04-05,123.48,125.3,123.45,123.66,1394800
2022-04-06,123.55,126.23,122.83,125.27,1610500
