Date,Open,High,Low,Close,Volume
2021-07-12,128.97,129.58,128.33,129.12,506900
2021-07-13,128.65,128.96,125.28,125.3,780200
2021-07-14,125.77,127.66,125.28,127.01,758500
2021-07-15,126.29,128.56,126.23,128.37,1088400
2021-07-16,129.18,129.86,128.92,129.47,1083200
2021-07-19,127.14,128.01,125.93,127.05,1012800
2021-07-20,127.75,132.98,127.58,132.14,1070500
2021-07-21,131.34,132.13,128.96,131.31,1212500
2021-07-22,130.3,130.87,125.95,127.11,1260700
2021-07-23,128.88,130.54,128.15,130.11,710200
2021-07-26,129.96,131.0,128.96,129.05,1442400
2021-07-27,128.01,129.58,126.43,127.79,676900
2021-07-28,127.89,128.55,126.71,126.75,702900
2021-07-29,127.72,128.85,126.49,126.67,576900
2021-07-30,126.47,128.14,126.47,127.7,571800
2021-08-02,128.12,129.54,126.86,127.01,747500
2021-08-03,127.58,128.91,126.46,128.83,424600
2021-08-04,127.82,128.8,126.61,126.64,564000
2021-08-05,127.43,128.41,126.26,128.35,612400
2021-08-06,129.23,130.0,128.2,128.58,487400
2021-08-09,128.01,128.46,126.46,127.47,439600
2021-08-10,127.33,129.02,127.28,127.58,447400
2021-08-11,127.74,128.83,127.33,128.23,364300
2021-08-12,128.39,129.01,127.88,128.16,346000
2021-08-13,127.97,129.23,127.9,129.01,370300
2021-08-16,129.09,131.12,127.94,130.85,427000
2021-08-17,130.3,131.02,129.12,130.96,903800
2021-08-18,130.58,132.99,130.58,130.84,822000
2021-08-19,129.48,131.58,129.33,131.08,431800
2021-08-20,131.16,131.39,129.45,129.55,657500
2021-08-23,130.26,130.62,129.62,130.02,1083600
2021-08-24,130.45,131.34,130.01,131.25,546000
2021-08-25,131.64,132.6,130.88,131.94,395200
2021-08-26,131.96,132.0,130.39,130.91,589900
2021-08-27,131.73,132.89,131.73,132.27,355200
2021-08-30,132.69,134.47,131.97,133.75,658500
2021-08-31,133.68,135.31,133.59,134.6,1046700
2021-09-01,135.41,135.82,134.45,135.13,529800
2021-09-02,135.67,138.22,135.45,138.08,575100
2021-09-03,137.68,139.01,137.23,138.48,1141500
2021-09-07,138.15,138.38,133.35,133.82,1496500
2021-09-08,133.38,135.58,132.06,135.41,844700
2021-09-09,135.59,136.13,133.55,133.94,1017300
2021-09-10,137.88,138.66,134.99,135.14,1018300
2021-09-13,136.21,136.21,132.43,133.0,857100
2021-09-14,133.22,133.22,129.96,130.46,1120800
2021-09-15,129.93,133.53,129.84,132.35,998100
2021-09-16,132.71,133.37,132.01,132.34,602100
2021-09-17,132.35,133.06,129.45,129.75,1796700
2021-09-20,127.54,129.24,127.05,128.65,559600
2021-09-21,129.27,129.27,126.27,126.82,569100
2021-09-22,127.8,128.82,127.21,127.81,501400
2021-09-23,128.47,130.79,128.47,129.92,523100
2021-09-24,129.63,130.74,128.53,128.72,409100
2021-09-27,128.4,129.5,128.09,128.3,539000
2021-09-28,127.47,128.94,125.48,126.14,509200
2021-09-29,126.54,127.6,126.21,126.73,484900
2021-09-30,127.54,128.04,123.78,123.88,916300
2021-10-01,124.05,125.06,121.2,124.16,1031100
2021-10-04,123.33,124.69,121.08,122.08,1058100
2021-10-05,121.93,123.9,121.31,121.55,952100
2021-10-06,119.71,121.44,119.16,121.2,727200
2021-10-07,122.3,124.47,121.65,123.28,694800
2021-10-08,123.1,123.82,122.17,123.2,655100
2021-10-11,122.75,123.7,120.97,121.0,510500
2021-10-12,121.28,122.4,119.96,120.3,534000
2021-10-13,120.62,121.89,119.84,120.83,590700
2021-10-14,121.93,124.27,120.64,124.05,472200
2021-10-15,125.17,126.05,124.69,125.68,519900
2021-10-18,124.52,126.66,124.32,126.37,421800
2021-10-19,127.32,127.32,125.3,126.26,707400
2021-10-20,126.76,129.0,126.59,128.26,625400
2021-10-21,122.16,125.81,121.09,123.27,1246300
2021-10-22,123.82,126.53,123.82,125.14,865500
2021-10-25,125.16,125.16,122.52,122.88,794400
