Date,Open,High,Low,Close,Volume
2021-09-07,131.11,131.61,128.33,130.96,5550400
2021-09-08,130.2,130.43,126.41,128.15,7440600
2021-09-09,127.64,130.35,127.53,129.53,6808600
2021-09-10,132.68,135.09,131.07,131.3,9054700
2021-09-13,133.1,135.57,131.99,133.79,8507600
2021-09-14,132.51,136.05,132.32,134.46,8073200
2021-09-15,134.32,135.61,131.87,135.51,6103200
2021-09-16,134.67,138.77,133.53,138.25,8467300
2021-09-17,137.21,137.21,133.73,135.09,10884400
2021-09-20,131.03,131.15,128.14,130.04,8822500
2021-09-21,131.57,131.68,128.04,129.7,5782200
2021-09-22,130.67,133.18,130.06,132.5,6344300
2021-09-23,133.68,136.39,133.09,135.39,5620700
2021-09-24,133.76,136.6,133.52,136.17,3729900
2021-09-27,133.94,137.46,133.89,136.96,5248600
2021-09-28,132.03,133.92,127.16,127.51,12873900
2021-09-29,127.42,128.61,122.85,123.07,10730100
2021-09-30,124.14,125.55,123.3,123.51,7329800
2021-10-01,124.02,124.35,121.3,123.9,6459200
2021-10-04,122.49,122.64,118.18,120.13,9549500
2021-10-05,122.31,123.96,120.32,122.88,7330400
2021-10-06,121.18,122.99,120.63,121.39,7388700
2021-10-07,123.44,124.68,122.3,122.7,5761300
2021-10-08,123.1,123.57,120.77,121.11,6300500
2021-10-11,120.61,123.96,120.57,122.33,5472000
2021-10-12,123.54,123.61,119.88,121.62,7637900
2021-10-13,123.56,124.23,122.33,123.01,4950600
2021-10-14,126.29,126.89,124.4,126.72,7947600
2021-10-15,126.9,127.52,125.93,126.26,4826600
2021-10-18,125.08,127.99,124.58,127.88,4208500
2021-10-19,127.93,129.86,127.24,129.15,3694300
2021-10-20,128.54,129.72,127.95,128.55,4619000
2021-10-21,126.33,128.1,125.22,127.94,5611000
2021-10-22,129.73,135.82,129.06,130.42,10744900
2021-10-25,130.73,132.33,129.82,130.26,4005600
2021-10-26,131.72,131.83,126.34,126.65,7864600
2021-10-27,127.88,128.84,126.09,126.8,7837600
2021-10-28,129.12,132.26,129.07,130.51,6391700
2021-10-29,129.33,131.7,129.1,131.11,5715300
2021-11-01,131.43,134.01,130.89,133.86,5329000
2021-11-02,133.85,135.74,133.26,135.49,4822900
2021-11-03,135.71,137.54,134.21,136.97,4117500
2021-11-04,137.46,144.39,136.73,144.05,9272800
2021-11-05,144.18,147.5,142.76,147.08,7706800
2021-11-08,148.58,148.61,145.1,146.76,5878500
2021-11-09,146.78,150.33,145.28,149.96,7274600
2021-11-10,147.04,148.72,144.18,144.31,7149500
2021-11-11,146.06,147.93,145.17,147.66,5061000
2021-11-12,148.4,151.03,147.87,150.47,5778600
2021-11-15,150.6,151.73,148.91,149.94,7304300
2021-11-16,149.08,152.56,147.33,151.46,6200700
2021-11-17,151.51,152.09,149.57,149.66,5759200
2021-11-18,152.08,152.54,148.47,152.31,9929500
2021-11-19,144.85,150.11,143.67,143.95,16028700
2021-11-22,144.88,146.78,141.39,141.57,9029100
2021-11-23,142.68,143.87,139.22,142.89,7254500
2021-11-24,142.61,143.32,140.13,143.2,6185900
2021-11-26,139.94,141.44,136.68,137.71,7334100
2021-11-29,141.05,145.65,139.83,145.33,9932300
2021-11-30,145.22,146.06,140.75,141.45,13505800
2021-12-01,145.36,150.48,144.0,145.76,14372000
2021-12-02,142.23,144.06,138.14,140.78,9573200
2021-12-03,142.72,144.87,137.74,140.15,7768000
2021-12-06,140.1,142.58,135.52,141.64,8579700
2021-12-07,145.12,151.84,144.28,150.78,10514900
2021-12-08,150.75,151.71,149.1,151.16,6582400
2021-12-09,149.77,152.17,146.44,146.7,5420000
2021-12-10,150.03,150.78,144.78,146.78,5291900
2021-12-13,148.08,148.45,141.0,141.37,6202500
2021-12-14,139.33,142.42,138.9,141.97,5691500
2021-12-15,142.18,147.89,139.5,147.67,6883000
2021-12-16,148.38,149.3,140.56,140.98,7155900
2021-12-17,139.63,143.17,138.6,140.45,9334700
2021-12-20,138.2,141.06,137.67,139.36,4653400
2021-12-21,143.54,145.61,141.29,145.52,5986900
2021-12-22,144.13,146.5,143.12,146.38,4293700
2021-12-23,147.1,150.44,147.04,149.43,4625500
2021-12-27,150.1,156.46,150.1,156.38,6416500
2021-12-28,156.5,156.64,152.56,153.42,5834300
2021-12-29,153.67,156.67,153.33,154.71,4654400
2021-12-30,154.42,154.65,151.49,151.82,4171400
2021-12-31,151.98,153.45,150.92,151.23,3594300
2022-01-03,151.59,154.51,150.59,153.7,5363900
2022-01-04,153.75,155.53,148.49,152.19,6947000
2022-01-05,151.88,152.7,147.52,147.75,6840100
2022-01-06,147.31,151.27,145.92,150.25,6576000
2022-01-07,149.06,151.25,144.77,144.93,6335700
2022-01-10,141.96,144.06,137.69,143.76,9683900
2022-01-11,142.6,146.71,140.57,146.51,6824400
2022-01-12,148.7,153.52,148.59,153.33,10379800
2022-01-13,157.61,160.04,150.4,151.05,12553600
2022-01-14,149.71,160.55,149.54,160.49,11437300
2022-01-18,158.92,159.42,145.61,146.42,12417000
2022-01-19,148.41,149.75,137.35,137.49,12929000
2022-01-20,140.01,141.58,133.16,133.73,10573800
2022-01-21,132.16,136.37,129.4,129.8,12408200
2022-01-24,126.38,134.01,124.64,133.86,13204800
2022-01-25,129.55,131.09,126.25,127.81,11800000
2022-01-26,132.34,136.06,127.66,130.3,11852600
2022-01-27,129.01,130.17,124.26,125.08,13539100
2022-01-28,124.55,127.34,119.02,127.29,13292900
2022-01-31,127.74,132.98,126.5,132.79,8588900
2022-02-01,132.84,133.85,128.17,133.21,8151400
2022-02-02,135.22,135.89,131.86,135.27,8134100
