Date,Open,High,Low,Close,Volume
2021-09-10,49.05,49.93,49.05,49.37,1429760
2021-09-13,49.77,49.81,49.13,49.37,980480
2021-09-14,49.53,49.69,49.21,49.45,1030040
2021-09-15,49.57,49.89,49.33,49.77,1219240
2021-09-16,49.53,49.69,48.69,48.69,1002460
2021-09-17,48.81,49.17,47.48,47.56,1977920
2021-09-20,47.16,47.64,46.76,47.28,1429200
2021-09-21,47.48,47.6,46.88,46.92,992380
2021-09-22,47.36,47.52,47.04,47.12,746520
2021-09-23,47.12,47.85,47.12,47.44,691160
2021-09-24,47.24,47.72,47.12,47.32,798140
2021-09-27,47.2,47.93,47.04,47.64,866660
2021-09-28,47.72,47.8,46.76,46.96,1105760
2021-09-29,47.04,47.4,47.0,47.08,528840
2021-09-30,47.32,47.4,46.44,46.52,1173500
2021-10-01,47.0,47.32,46.12,46.92,1069420
2021-10-04,46.72,47.24,46.44,46.68,1041740
2021-10-05,46.92,47.56,46.56,47.36,860840
2021-10-06,46.84,47.2,46.32,47.16,1258060
2021-10-07,47.4,47.97,47.28,47.52,658620
2021-10-08,47.28,47.52,46.92,47.0,824140
2021-10-11,47.04,47.44,46.6,46.64,507800
2021-10-12,46.6,46.96,46.44,46.72,696040
2021-10-13,46.92,46.96,46.2,46.84,718880
2021-10-14,47.12,47.97,46.96,47.8,760040
2021-10-15,48.05,48.57,47.64,47.97,1049580
2021-10-18,47.6,48.01,47.4,47.8,620920
2021-10-19,47.97,48.29,47.64,48.25,658480
2021-10-20,48.09,48.61,48.09,48.33,1250580
2021-10-21,48.37,48.49,47.85,48.29,874220
2021-10-22,48.45,49.09,48.37,48.81,534560
2021-10-25,48.85,49.05,48.41,48.49,882520
2021-10-26,48.45,48.65,48.05,48.21,1346580
2021-10-27,48.53,48.69,47.97,48.29,1339540
2021-10-28,48.33,48.85,48.21,48.77,1039800
2021-10-29,48.77,48.93,48.25,48.45,2156520
2021-11-01,48.69,49.05,47.85,47.93,1509160
2021-11-02,48.17,48.77,47.85,48.49,1754880
2021-11-03,49.09,50.13,48.61,49.37,1927440
2021-11-04,49.37,49.69,48.69,48.81,925280
2021-11-05,49.09,49.21,48.37,48.73,1175580
2021-11-08,48.53,49.01,48.21,48.97,933820
2021-11-09,48.89,49.61,48.81,49.41,864520
2021-11-10,49.69,50.01,49.25,49.53,1118520
2021-11-11,49.53,49.65,49.21,49.61,565740
2021-11-12,49.61,49.97,49.49,49.69,847640
2021-11-15,49.69,49.97,49.49,49.73,573820
2021-11-16,49.65,50.13,49.29,49.41,1393660
2021-11-17,49.17,49.37,48.09,48.77,1516660
2021-11-18,48.73,49.01,47.89,48.25,1012400
2021-11-19,48.33,48.69,47.72,47.76,893780
2021-11-22,47.89,48.29,47.85,48.01,1140720
2021-11-23,48.05,48.41,47.52,47.72,1241780
2021-11-24,47.44,47.56,47.19,47.28,831660
2021-11-26,46.14,47.15,46.14,46.79,1195820
2021-11-29,47.4,47.48,46.91,46.95,1572680
2021-11-30,46.75,46.87,45.82,45.9,2215320
2021-12-01,46.75,47.36,45.61,45.65,2095800
2021-12-02,45.86,46.95,45.86,46.55,1451260
2021-12-03,46.18,46.91,45.61,45.86,1804040
2021-12-06,46.55,47.24,46.42,46.91,1369060
2021-12-07,47.19,47.44,46.91,46.99,1236920
2021-12-08,47.07,47.4,46.71,47.11,1627120
2021-12-09,46.91,47.15,46.55,46.87,2439160
2021-12-10,47.15,47.32,46.75,47.03,758140
2021-12-13,46.87,47.48,46.83,47.32,1457380
2021-12-14,47.48,48.09,47.24,47.32,1347840
2021-12-15,48.61,48.74,47.6,48.45,1192680
2021-12-16,48.69,49.14,48.61,48.82,1218000
2021-12-17,48.94,49.02,47.72,47.8,2597500
2021-12-20,47.15,47.44,46.34,47.03,1246480
2021-12-21,47.48,47.92,47.24,47.6,1166400
2021-12-22,47.32,47.76,46.99,47.07,1006620
2021-12-23,47.11,47.6,47.11,47.28,1451440
2021-12-27,47.56,47.92,47.28,47.88,990360
2021-12-28,48.05,48.21,47.92,48.09,651300
2021-12-29,48.13,48.65,48.13,48.45,692300
2021-12-30,48.65,48.9,48.33,48.49,484740
2021-12-31,48.33,48.86,48.33,48.69,571980
2022-01-03,48.74,48.82,47.84,48.17,793280
2022-01-04,48.41,49.55,48.29,48.94,1243100
2022-01-05,49.3,49.99,49.02,49.02,1352580
2022-01-06,49.42,49.51,48.53,48.61,1052060
2022-01-07,48.61,49.42,48.37,49.14,938460
2022-01-10,49.38,49.47,48.74,49.26,1046540
2022-01-11,49.1,49.3,48.98,49.1,975140
2022-01-12,49.26,49.34,48.9,49.22,1188580
2022-01-13,49.34,49.79,49.34,49.79,1194660
2022-01-14,49.51,50.24,49.22,50.15,1671560
2022-01-18,50.07,50.2,49.3,49.79,1231000
2022-01-19,50.11,50.68,49.71,50.32,1127400
2022-01-20,50.48,50.56,49.1,49.18,1141620
2022-01-21,49.18,49.3,48.25,48.45,1400420
2022-01-24,47.84,48.53,47.32,48.33,2053440
2022-01-25,47.76,48.21,46.67,47.8,1664260
2022-01-26,48.17,48.65,47.28,47.68,1301440
2022-01-27,48.17,49.02,47.24,47.84,2026840
2022-01-28,47.48,48.45,47.03,48.41,1806320
2022-01-31,47.6,48.9,47.6,48.69,3355020
2022-02-01,48.74,49.63,48.69,49.47,1726620
2022-02-02,48.37,49.67,48.21,49.18,2264300
2022-02-03,48.74,48.94,47.52,47.68,1965920
2022-02-04,47.24,47.52,46.42,46.87,2024720
2022-02-07,47.11,47.19,46.51,46.59,1725140
2022-02-08,46.59,47.44,46.51,47.11,1474620
2022-02-09,47.52,47.88,47.44,47.76,1361640
2022-02-10,47.32,48.01,46.75,47.11,1159580
2022-02-11,47.15,47.64,46.75,46.99,1737040
2022-02-14,47.11,47.24,46.42,46.91,1444140
2022-02-15,47.52,48.21,47.52,47.88,1467320
2022-02-16,47.84,48.33,47.44,47.72,1346840
2022-02-17,47.64,48.21,47.64,47.8,1984780
2022-02-18,47.97,48.78,47.84,48.17,5551560
2022-02-22,48.41,48.5,47.47,47.92,2034260
2022-02-23,48.21,48.25,47.55,47.64,2027360
2022-02-24,46.73,47.27,45.87,47.02,2461860
2022-02-25,47.06,48.5,46.9,48.33,1962340
2022-02-28,47.27,47.92,46.98,47.64,2095820
2022-03-01,47.39,47.8,45.87,46.12,1945020
2022-03-02,46.12,47.02,46.04,46.78,1381360
2022-03-03,46.94,47.23,46.28,46.49,2213000
2022-03-04,45.87,46.32,45.46,46.24,1190240
2022-03-07,45.75,45.87,44.19,44.19,2228020
2022-03-08,44.36,46.04,43.66,44.81,2804200
2022-03-09,45.71,45.87,45.14,45.42,1315160
2022-03-10,44.73,45.22,43.99,44.65,1727440
2022-03-11,44.93,45.22,44.56,44.65,1626940
2022-03-14,45.26,47.27,45.14,46.24,2201340
2022-03-15,46.2,46.37,45.59,46.04,1411940
2022-03-16,46.24,47.14,45.92,46.94,1562980
2022-03-17,46.78,47.8,46.61,47.55,1394360
2022-03-18,47.68,47.88,46.82,47.8,3095520
2022-03-21,47.92,48.09,46.65,46.94,1334860
2022-03-22,47.23,47.59,46.73,46.9,1583420
2022-03-23,46.57,46.73,45.92,45.96,1090000
2022-03-24,45.96,46.28,45.67,46.2,815220
2022-03-25,46.04,46.86,46.04,46.45,1434340
2022-03-28,46.45,46.57,45.79,46.49,1618580
2022-03-29,47.02,47.55,46.65,47.39,1432060
2022-03-30,47.39,47.43,46.94,47.23,958520
2022-03-31,47.27,47.47,46.37,46.41,1531820
2022-04-01,46.9,47.27,46.45,47.27,1596180
2022-04-04,46.94,47.18,46.41,47.02,1130600
2022-04-05,47.06,47.59,46.82,47.02,988160
2022-04-06,46.65,47.27,46.49,47.1,1252260
2022-04-07,47.02,47.47,46.53,47.23,1208700
2022-04-08,47.47,48.29,47.14,48.0,1180160
2022-04-11,48.17,48.62,47.96,48.04,954020
2022-04-12,48.13,48.45,47.47,47.76,608460
2022-04-13,47.88,48.09,47.51,47.92,842400
2022-04-14,48.04,48.33,47.8,47.8,669040
2022-04-18,47.59,48.0,47.14,47.23,642260
2022-04-19,47.06,48.33,47.06,48.17,821480
2022-04-20,48.5,49.4,48.33,49.19,1388180
2022-04-21,49.48,49.64,48.74,48.86,1121960
2022-04-22,48.7,48.7,47.39,47.43,948820
2022-04-25,47.35,47.76,46.49,47.72,1624420
2022-04-26,47.59,47.96,47.06,47.55,4020780
2022-04-27,47.51,49.48,47.39,49.23,5627260
2022-04-28,49.27,49.97,48.33,49.72,2916020
2022-04-29,49.93,50.3,48.37,48.58,3533340
2022-05-02,48.58,48.95,47.18,47.92,2510480
2022-05-03,48.13,49.4,47.8,49.03,2273140
2022-05-04,51.9,53.98,50.67,53.74,5784740
2022-05-05,52.76,52.76,51.2,51.77,4510500
2022-05-06,51.73,52.92,51.16,52.47,3335080
2022-05-09,51.98,52.47,51.53,51.65,3490580
2022-05-10,52.14,52.35,50.79,51.44,3139300
2022-05-11,51.12,52.43,50.95,51.24,3847440
2022-05-12,51.2,51.85,50.87,51.49,2645520
2022-05-13,51.9,52.71,51.65,52.3,2552520
2022-05-16,52.06,53.29,52.02,53.0,2317560
2022-05-17,53.9,54.76,53.41,54.6,2708160
2022-05-18,54.11,54.11,51.9,52.14,2588420
2022-05-19,51.69,53.53,51.65,53.08,2812160
2022-05-20,53.57,53.74,51.94,52.96,3302800
2022-05-23,53.57,54.23,53.08,53.45,2552880
2022-05-24,53.29,53.66,52.46,53.58,2036520
2022-05-25,53.49,53.91,53.04,53.62,2025180
2022-05-26,53.99,54.73,53.91,54.15,2015800
2022-05-27,54.53,55.02,54.24,55.02,1706280
2022-05-31,54.44,54.82,53.78,54.15,7153820
2022-06-01,53.95,55.02,53.86,54.53,2301400
2022-06-02,54.9,55.64,54.36,55.6,1337520
2022-06-03,55.19,55.81,55.06,55.35,1449640
2022-06-06,55.6,56.26,55.31,55.77,1043140
2022-06-07,55.39,55.85,54.73,55.73,1946180
2022-06-08,55.06,55.44,54.94,55.19,1173100
2022-06-09,54.98,55.23,54.32,54.44,1988800
2022-06-10,53.45,53.58,52.25,52.75,1697840
2022-06-13,51.8,51.96,50.64,50.81,1873440
2022-06-14,50.85,51.18,49.61,49.98,2459900
2022-06-15,50.52,50.6,48.82,50.02,2485440
2022-06-16,49.03,49.4,48.08,48.41,2154440
2022-06-17,48.41,48.86,47.91,48.45,3384960
2022-06-21,48.95,49.44,48.74,49.28,1774680
2022-06-22,48.74,49.65,48.53,49.03,1515520
2022-06-23,49.03,49.4,48.57,49.36,1908800
2022-06-24,49.77,51.34,49.57,51.3,2598060
2022-06-27,51.18,51.59,50.93,51.14,2770260
2022-06-28,51.34,51.84,50.76,50.97,1791020
2022-06-29,51.55,52.21,51.01,51.88,2118300
2022-06-30,51.26,51.88,50.93,51.38,1795520
2022-07-01,51.1,51.88,50.31,51.8,1991120
2022-07-05,51.05,51.43,50.06,51.43,1456860
2022-07-06,51.55,52.34,50.93,52.29,2301140
2022-07-07,52.5,52.83,52.0,52.34,1599120
2022-07-08,52.42,52.5,51.26,51.43,1335280
2022-07-11,50.64,52.67,50.52,52.09,1962900
2022-07-12,51.84,52.17,51.34,51.51,1888200
2022-07-13,50.6,51.38,50.56,51.18,1304740
2022-07-14,50.23,51.26,50.1,51.22,1799580
2022-07-15,52.0,52.05,51.14,51.59,1333440
2022-07-18,51.88,51.92,50.68,50.97,1131920
2022-07-19,51.84,52.46,51.8,52.21,1253680
2022-07-20,52.0,52.05,50.93,51.59,2471120
2022-07-21,51.18,52.29,51.18,52.25,1750800
2022-07-22,52.42,52.71,51.96,52.09,1425500
2022-07-25,52.09,52.71,51.92,52.67,1113360
2022-07-26,52.62,53.37,52.25,53.33,1710440
2022-07-27,53.29,53.58,52.09,53.24,1906080
2022-07-28,53.58,53.95,52.5,53.91,2034420
2022-07-29,53.99,53.99,53.24,53.53,6630980
2022-08-01,53.45,54.65,53.33,53.91,1594620
2022-08-02,53.7,54.15,52.5,52.71,1464800
2022-08-03,53.0,53.0,52.05,52.58,1324120
2022-08-04,52.5,52.96,52.0,52.05,1585140
2022-08-05,51.47,51.59,50.27,50.72,1393780
2022-08-08,51.22,51.38,50.85,51.22,1082140
2022-08-09,51.3,51.59,50.93,51.26,1616320
2022-08-10,52.05,52.91,51.96,52.54,1275360
2022-08-11,52.83,52.96,52.13,52.21,1293460
2022-08-12,52.46,53.04,52.42,52.96,1012300
2022-08-15,52.54,54.03,52.5,53.86,2435160
