Date,Open,High,Low,Close,Volume
2021-07-12,130.27,132.31,129.83,131.94,1111300
2021-07-13,131.48,131.91,130.41,130.69,722500
2021-07-14,131.12,131.37,129.75,130.5,1089900
2021-07-15,129.71,131.74,129.71,131.39,876600
2021-07-16,131.69,132.81,131.07,131.87,2951000
2021-07-19,130.18,130.18,127.42,128.8,1268800
2021-07-20,129.35,132.91,128.93,132.35,1064800
2021-07-21,133.1,133.48,132.23,132.63,764000
2021-07-22,132.86,133.19,131.58,132.78,758600
2021-07-23,133.57,133.71,132.31,133.42,682700
2021-07-26,133.17,133.95,132.37,132.86,727700
2021-07-27,132.21,133.43,131.3,132.64,636700
2021-07-28,132.91,133.37,131.58,132.49,467200
2021-07-29,133.7,134.4,133.02,134.16,544200
2021-07-30,134.12,135.22,133.96,134.6,945600
2021-08-02,134.94,135.62,133.51,133.81,1013200
2021-08-03,133.47,135.33,132.62,134.33,928800
2021-08-04,134.69,135.25,132.06,132.34,1085300
2021-08-05,133.07,133.4,131.74,132.52,885800
2021-08-06,133.48,133.62,131.78,132.44,1174200
2021-08-09,132.54,132.54,131.45,131.7,694700
2021-08-10,131.74,132.77,131.65,132.42,1237100
2021-08-11,132.91,133.2,132.26,133.05,1282200
2021-08-12,133.16,133.4,132.51,132.86,545700
2021-08-13,132.81,132.91,131.88,132.85,393300
2021-08-16,132.76,133.26,131.74,133.21,682400
2021-08-17,132.52,132.89,130.86,131.91,577000
2021-08-18,131.3,132.1,130.56,130.68,636900
2021-08-19,129.58,131.11,129.32,130.07,676000
2021-08-20,129.98,131.43,129.58,130.46,584400
2021-08-23,131.27,131.7,130.62,130.96,503300
2021-08-24,131.19,132.23,131.15,131.72,423400
2021-08-25,131.88,132.4,131.05,132.27,713700
2021-08-26,132.24,132.24,131.47,131.63,458900
2021-08-27,132.18,132.98,132.04,132.46,505100
2021-08-30,133.12,133.53,132.35,132.73,564100
2021-08-31,132.66,132.83,131.34,131.62,934700
2021-09-01,132.0,132.0,129.61,129.88,1035900
2021-09-02,130.46,131.56,130.11,131.46,1238400
2021-09-03,131.23,131.54,130.52,131.07,697000
2021-09-07,130.27,130.5,128.85,128.87,1419700
2021-09-08,128.5,128.91,127.17,128.63,1264400
2021-09-09,128.48,129.15,127.29,127.54,1013000
2021-09-10,128.28,128.53,126.18,126.25,1297200
2021-09-13,127.39,127.48,125.12,126.57,1599900
2021-09-14,127.33,127.95,126.17,127.23,1614900
2021-09-15,127.3,128.63,126.73,127.42,1950100
2021-09-16,127.67,128.66,126.35,128.34,1349300
2021-09-17,127.63,127.92,126.04,126.17,1617800
2021-09-20,123.87,124.15,122.48,123.86,1867600
2021-09-21,124.65,124.66,122.44,123.55,1149600
2021-09-22,124.04,124.73,123.67,123.94,1183600
2021-09-23,124.67,126.08,124.33,125.3,862400
2021-09-24,124.77,126.18,124.62,125.65,1124500
2021-09-27,125.7,127.31,125.55,125.59,960200
2021-09-28,125.15,125.56,123.19,123.38,929100
2021-09-29,123.8,124.0,122.72,122.96,810500
2021-09-30,123.33,123.75,120.2,120.22,1171000
2021-10-01,120.64,121.87,118.76,121.15,1749900
2021-10-04,120.76,121.46,118.64,119.35,1079600
2021-10-05,119.77,122.25,119.25,121.58,1430700
2021-10-06,120.22,121.67,118.84,121.62,964000
2021-10-07,122.7,123.22,121.45,121.69,1378500
2021-10-08,121.77,122.65,121.12,122.34,924700
2021-10-11,122.36,123.12,120.64,120.66,816300
2021-10-12,120.74,121.19,119.31,119.63,1008800
2021-10-13,119.96,120.9,119.15,120.48,745500
2021-10-14,121.76,124.59,121.15,124.46,1030000
2021-10-15,125.37,126.29,124.25,124.41,925800
2021-10-18,123.39,125.24,123.15,125.03,737900
2021-10-19,125.69,126.51,125.15,126.17,637200
2021-10-20,126.5,127.0,125.61,126.31,700500
2021-10-21,125.66,126.56,124.47,126.54,820800
2021-10-22,127.08,127.76,126.6,127.14,850900
2021-10-25,127.21,127.67,125.52,126.51,712800
2021-10-26,126.71,127.55,126.23,126.65,555300
2021-10-27,126.91,127.22,125.85,125.92,619100
2021-10-28,126.13,128.1,126.13,127.96,587700
2021-10-29,127.65,129.44,127.21,128.36,1139800
2021-11-01,128.48,130.45,128.48,129.96,1813900
2021-11-02,130.88,135.96,130.16,135.58,2387900
2021-11-03,135.87,136.89,134.73,136.72,1581100
2021-11-04,137.43,137.55,135.4,136.11,979100
2021-11-05,137.38,138.85,136.28,136.64,1095600
2021-11-08,137.75,138.15,134.85,135.12,774400
2021-11-09,135.05,135.61,134.22,135.11,681700
2021-11-10,134.92,135.74,134.27,135.16,770400
2021-11-11,135.42,135.81,134.32,134.49,452700
2021-11-12,134.69,136.04,134.07,135.98,575700
2021-11-15,136.44,136.44,135.12,135.81,703500
2021-11-16,136.0,138.1,135.81,137.09,799100
2021-11-17,136.89,137.06,135.86,137.02,965900
2021-11-18,137.44,137.53,136.27,136.77,564100
2021-11-19,137.11,138.79,136.4,138.13,1289200
2021-11-22,138.18,139.09,137.61,137.65,718600
2021-11-23,138.27,138.77,136.81,138.74,953800
2021-11-24,138.37,139.17,137.47,138.74,908800
2021-11-26,135.89,136.83,134.36,134.84,1313600
2021-11-29,135.9,136.91,135.26,135.74,894700
2021-11-30,134.87,135.37,132.08,132.33,1714000
2021-12-01,134.58,135.77,131.57,131.65,864000
2021-12-02,132.22,135.55,131.86,134.63,840300
2021-12-03,135.04,135.82,132.81,134.89,1173700
2021-12-06,136.13,136.58,134.33,135.74,803800
2021-12-07,136.89,137.97,135.77,136.31,703900
2021-12-08,136.47,137.12,135.15,136.95,626700
2021-12-09,136.75,137.72,136.21,136.98,849000
2021-12-10,137.66,138.68,136.95,138.59,678200
2021-12-13,138.65,139.31,137.99,138.35,1153000
2021-12-14,139.05,139.51,136.38,137.03,1022400
2021-12-15,137.47,140.28,136.62,140.08,903700
2021-12-16,140.71,140.83,138.0,139.66,1122600
2021-12-17,138.98,139.54,135.12,135.76,1836400
2021-12-20,134.52,135.72,132.95,134.94,1285400
2021-12-21,136.04,137.08,134.97,136.5,671100
2021-12-22,136.46,137.56,136.1,136.94,540000
2021-12-23,137.31,139.11,137.31,138.42,584600
2021-12-27,139.15,141.38,138.81,141.1,514300
2021-12-28,141.28,142.37,141.26,142.1,687300
2021-12-29,142.24,143.76,141.91,143.11,454600
2021-12-30,143.43,143.6,142.11,142.2,353600
2021-12-31,142.09,143.47,141.91,142.76,408800
2022-01-03,142.96,143.11,138.6,139.48,850400
2022-01-04,140.29,142.25,139.74,141.83,774000
2022-01-05,142.31,143.22,139.11,139.25,1050900
2022-01-06,139.57,141.77,139.04,140.92,761100
