Date,Open,High,Low,Close,Volume
2021-09-13,16.37,17.33,16.37,17.32,7708200
2021-09-14,17.62,17.65,16.52,16.63,6397500
2021-09-15,17.04,17.73,17.04,17.72,7943700
2021-09-16,17.73,17.79,17.39,17.61,5479300
2021-09-17,17.49,17.82,17.18,17.31,6917600
2021-09-20,16.66,16.67,15.92,16.25,6853600
2021-09-21,16.56,16.63,15.94,16.13,6147400
2021-09-22,16.47,17.63,16.47,17.29,16377700
2021-09-23,17.34,18.63,17.14,18.51,14040800
2021-09-24,18.37,19.06,18.18,18.83,9071100
2021-09-27,19.52,20.07,19.48,19.99,17101300
2021-09-28,20.27,20.44,18.57,18.64,18722200
2021-09-29,18.33,18.58,17.87,18.28,10904300
2021-09-30,17.84,18.69,17.65,18.42,11279100
2021-10-01,18.69,19.1,18.34,18.74,10977100
2021-10-04,19.19,19.48,18.79,18.96,13521800
2021-10-05,19.41,19.88,18.84,19.09,13250900
2021-10-06,18.54,19.17,18.44,19.0,9744800
2021-10-07,19.17,19.89,18.88,19.6,16379600
2021-10-08,19.98,21.04,19.91,20.94,19303000
2021-10-11,21.57,21.77,20.91,20.99,13742200
2021-10-12,20.95,21.57,20.76,21.26,10049400
2021-10-13,20.84,21.47,20.46,21.15,9086600
2021-10-14,21.77,22.58,21.52,22.54,11682200
2021-10-15,22.91,23.22,22.6,22.67,11901800
2021-10-18,23.03,24.22,22.92,23.15,12258800
2021-10-19,23.45,23.7,22.96,23.09,8642800
2021-10-20,22.71,23.7,22.57,23.59,8128000
2021-10-21,23.55,23.78,22.96,23.27,8001600
2021-10-22,23.43,23.99,23.33,23.85,10649400
2021-10-25,24.36,24.79,24.05,24.31,9091200
2021-10-26,24.71,24.71,24.14,24.25,8633700
2021-10-27,23.69,24.22,23.04,23.17,11507100
2021-10-28,23.13,23.42,22.78,23.33,10173000
2021-10-29,23.31,23.32,22.32,22.58,7372000
2021-11-01,23.2,23.54,22.84,23.41,7418100
2021-11-02,23.17,23.68,23.0,23.51,6715400
2021-11-03,23.26,24.15,23.18,23.8,9250600
2021-11-04,24.42,25.82,24.22,25.05,17673100
2021-11-05,25.97,26.14,25.07,25.76,12499800
2021-11-08,26.13,26.83,25.95,26.41,8323000
2021-11-09,26.36,26.66,25.51,25.85,13452500
2021-11-10,25.72,25.99,24.49,24.75,8288500
2021-11-11,24.91,25.77,24.89,25.34,6266500
2021-11-12,25.11,25.57,24.92,25.37,6988700
2021-11-15,25.09,25.78,25.05,25.51,6317000
2021-11-16,25.7,26.14,25.41,25.52,9441000
2021-11-17,25.39,25.45,23.77,23.83,9608100
2021-11-18,23.76,24.41,23.21,23.76,10884400
2021-11-19,22.92,23.27,22.1,22.4,12427500
2021-11-22,22.45,23.57,22.33,22.86,11652900
2021-11-23,23.42,24.55,23.32,24.53,10602000
2021-11-24,24.1,25.16,24.1,24.65,8531600
2021-11-26,22.7,22.87,21.6,22.61,8469000
2021-11-29,23.63,23.85,22.7,23.11,9203200
2021-11-30,21.75,22.84,21.56,22.2,12519300
2021-12-01,23.14,23.41,21.71,21.75,11199800
2021-12-02,21.72,22.69,21.34,22.55,11459600
2021-12-03,23.01,23.23,21.78,22.04,14816300
2021-12-06,22.73,22.81,21.82,22.27,8350700
2021-12-07,22.76,23.66,22.66,23.17,7865500
2021-12-08,23.17,23.43,22.92,22.94,7695300
2021-12-09,22.6,22.82,22.36,22.42,10568200
2021-12-10,22.86,23.1,22.23,22.98,8941500
2021-12-13,22.69,22.9,21.67,21.78,10501600
2021-12-14,21.36,22.15,21.24,21.49,7080100
2021-12-15,21.42,21.74,20.39,21.62,7724600
2021-12-16,22.01,22.26,21.16,21.36,8682200
2021-12-17,20.94,21.48,20.62,21.0,16747400
2021-12-20,20.16,20.66,19.76,20.62,7124000
2021-12-21,21.11,21.88,21.1,21.83,5777100
2021-12-22,21.49,22.57,21.43,22.25,10304800
2021-12-23,22.31,22.77,22.3,22.46,4694400
2021-12-27,22.35,24.13,21.98,24.1,8832300
2021-12-28,24.36,24.66,23.89,24.06,6778600
2021-12-29,24.03,24.56,23.78,24.04,7091300
2021-12-30,24.04,24.29,23.27,23.31,5387900
2021-12-31,23.16,23.42,22.86,23.17,5037100
2022-01-03,23.33,24.24,23.24,24.17,9319700
2022-01-04,24.72,25.79,24.64,25.38,13218200
2022-01-05,25.84,25.92,24.44,24.47,9212700
2022-01-06,25.29,25.77,24.79,25.52,7626800
2022-01-07,25.72,26.1,25.34,25.56,8355400
2022-01-10,25.53,25.71,24.68,25.34,10408600
2022-01-11,25.64,27.69,25.41,27.57,12299200
2022-01-12,28.28,28.51,27.47,28.13,16272500
2022-01-13,28.14,28.7,27.52,27.64,8109000
2022-01-14,27.83,28.75,27.28,28.68,11022000
2022-01-18,29.38,29.63,27.97,28.4,9779200
2022-01-19,28.75,28.89,27.65,27.89,8146800
2022-01-20,27.48,28.43,26.94,27.03,8783800
2022-01-21,26.64,26.84,25.49,26.03,9839500
2022-01-24,25.07,26.54,24.2,26.41,10338600
2022-01-25,26.2,28.88,25.61,28.6,14303100
2022-01-26,29.01,29.65,27.96,28.63,12034100
2022-01-27,29.28,29.83,27.91,28.5,8766200
2022-01-28,28.6,29.39,27.75,28.69,7526800
2022-01-31,28.63,29.01,28.01,28.72,7038300
2022-02-01,28.56,30.26,28.2,30.02,9075600
2022-02-02,30.06,30.19,29.25,30.07,6537600
2022-02-03,29.73,30.4,29.32,29.87,6909200
2022-02-04,30.31,31.53,29.76,29.83,10324900
2022-02-07,29.56,30.08,28.78,29.48,7647000
2022-02-08,29.21,29.3,27.95,28.43,10434400
2022-02-09,28.31,29.33,28.28,28.91,7594000
2022-02-10,28.76,29.93,28.65,28.94,8841800
2022-02-11,29.09,29.8,28.85,29.52,12781100
2022-02-14,29.27,29.54,27.62,27.8,12322300
2022-02-15,26.85,28.0,26.72,27.87,6883700
2022-02-16,28.04,28.74,27.66,28.02,7334700
2022-02-17,27.91,28.75,27.76,28.01,6808500
2022-02-18,27.51,27.99,27.17,27.81,8774300
2022-02-22,28.56,28.75,26.32,26.84,14908200
2022-02-23,27.19,27.92,26.51,26.66,10600300
2022-02-24,26.92,28.06,25.9,27.94,14283800
2022-02-25,27.8,29.18,27.79,29.12,9284100
2022-02-28,28.93,30.85,28.81,30.81,12942500
2022-03-01,31.38,32.55,31.12,32.25,15356900
2022-03-02,32.86,33.87,32.18,32.75,12209000
2022-03-03,32.16,33.11,32.09,33.11,11157200
2022-03-04,33.24,34.36,32.78,34.14,14536200
2022-03-07,34.51,35.08,32.28,32.79,15962100
2022-03-08,33.84,35.63,32.4,33.41,16485200
2022-03-09,31.99,33.64,31.44,33.47,13634700
2022-03-10,33.78,34.77,33.07,34.63,10804000
2022-03-11,34.21,34.72,33.73,33.77,8395100
2022-03-14,32.87,33.29,31.51,32.5,11775900
2022-03-15,30.76,31.86,30.1,31.74,11132700
2022-03-16,31.83,32.11,31.04,31.87,10542400
2022-03-17,32.71,34.46,32.53,34.1,9280800
2022-03-18,33.85,34.06,33.42,33.82,11795000
2022-03-21,34.71,36.09,34.64,35.35,8093600
2022-03-22,35.18,35.7,34.46,35.04,7202900
2022-03-23,35.8,36.1,34.85,35.21,8012900
2022-03-24,35.28,36.09,34.9,35.27,5551700
2022-03-25,34.97,36.4,34.8,35.92,5891400
2022-03-28,35.03,35.03,33.67,34.46,7191100
2022-03-29,33.62,35.43,33.31,35.42,7534500
2022-03-30,35.85,36.63,35.18,35.63,9015800
2022-03-31,35.51,36.99,35.28,35.74,7934500
2022-04-01,35.82,36.92,35.82,36.51,5005400
2022-04-04,37.19,37.78,36.56,37.17,6937800
2022-04-05,37.39,37.95,35.96,36.05,7330100
2022-04-06,36.24,36.53,34.9,35.29,7368000
2022-04-07,35.95,36.24,34.04,35.46,8741500
2022-04-08,35.78,37.53,35.72,37.2,6951900
2022-04-11,36.63,36.7,35.22,35.52,9983100
2022-04-12,36.31,37.41,36.28,36.48,5817500
2022-04-13,37.06,38.04,36.43,37.71,6519500
2022-04-14,37.51,38.29,37.46,37.78,5864600
2022-04-18,38.15,38.91,37.59,38.03,10373400
2022-04-19,37.66,39.11,37.59,38.39,7131600
2022-04-20,38.42,39.05,38.01,38.34,8777200
2022-04-21,38.93,39.22,36.15,36.59,10374600
2022-04-22,36.23,37.02,35.1,35.31,8827500
2022-04-25,33.89,34.13,32.07,33.89,10373300
2022-04-26,34.0,34.66,33.38,33.49,9979700
2022-04-27,33.68,34.98,33.05,34.66,10210200
2022-04-28,35.11,36.41,33.75,35.95,7272700
2022-04-29,36.03,36.97,35.27,35.5,12974500
2022-05-02,34.96,35.64,33.98,35.22,10677800
2022-05-03,35.25,37.26,35.19,36.88,9096200
2022-05-04,38.14,39.26,36.61,39.2,10228600
2022-05-05,38.88,39.24,35.28,35.82,15617200
2022-05-06,36.41,38.31,35.67,38.26,9499800
2022-05-09,37.41,37.41,32.39,32.55,13347600
2022-05-10,33.14,34.24,31.33,32.42,11971800
2022-05-11,33.29,35.21,33.0,33.22,10243300
2022-05-12,32.85,33.85,31.98,32.98,10293600
2022-05-13,34.05,36.36,34.04,35.69,8755200
2022-05-16,35.87,37.62,35.78,36.78,9127800
2022-05-17,37.18,37.69,36.76,37.41,6472200
2022-05-18,37.65,37.71,34.5,35.08,8696400
2022-05-19,34.24,36.34,34.11,35.4,7227400
2022-05-20,35.63,36.69,34.89,36.13,8298500
2022-05-23,36.71,38.48,36.31,38.29,8510500
2022-05-24,37.65,38.56,37.35,37.83,7953400
2022-05-25,37.73,39.53,37.73,39.5,7895100
2022-05-26,39.95,40.67,39.53,39.76,9517700
2022-05-27,39.63,41.32,39.48,41.3,9157000
2022-05-31,43.13,43.76,40.07,40.77,37978500
