Date,Open,High,Low,Close,Volume
2021-09-24,45.98,46.27,45.85,46.22,10605000
2021-09-27,45.75,46.3,45.53,46.21,9831000
2021-09-28,45.49,45.9,44.9,44.95,20124000
2021-09-29,45.19,45.24,44.64,44.81,15783000
2021-09-30,45.27,45.27,44.35,44.39,15735000
2021-10-01,44.66,44.73,43.71,44.61,16052000
2021-10-04,44.39,44.54,43.28,43.57,20093000
2021-10-05,43.57,44.83,43.51,44.43,16557000
2021-10-06,44.23,44.79,43.91,44.74,12042000
2021-10-07,45.09,45.76,45.09,45.21,13261000
2021-10-08,45.48,45.59,44.97,45.11,10279000
2021-10-11,44.97,45.73,44.93,45.07,11186000
2021-10-12,45.39,45.47,44.12,44.42,20991000
2021-10-13,44.05,44.43,43.9,44.4,16424000
2021-10-14,45.02,45.69,44.93,45.55,19233000
2021-10-15,46.17,46.31,45.87,46.07,25103000
2021-10-18,45.81,46.13,45.65,46.08,16042000
2021-10-19,46.16,46.76,45.93,46.72,16383000
2021-10-20,46.78,47.0,46.54,46.63,13458000
2021-10-21,46.63,47.12,46.56,47.06,11787000
2021-10-22,47.12,47.73,46.96,47.18,15367000
2021-10-25,47.37,48.01,47.16,47.79,12416000
2021-10-26,48.08,48.97,47.97,48.87,24043000
2021-10-27,48.68,49.07,47.77,47.88,23500000
2021-10-28,47.98,48.51,47.91,48.48,11872000
2021-10-29,47.92,48.71,47.92,48.67,15564000
2021-11-01,48.55,48.75,48.05,48.34,16896000
2021-11-02,48.28,49.51,48.21,49.16,16262000
2021-11-03,49.34,49.78,48.86,49.65,14038000
2021-11-04,49.78,50.26,49.52,50.22,15956000
2021-11-05,50.35,51.23,50.33,51.16,18674000
2021-11-08,51.44,51.62,51.09,51.17,17231000
2021-11-09,51.19,51.44,50.82,51.06,15838000
2021-11-10,50.74,51.34,50.17,50.23,18450000
2021-11-11,50.59,51.0,50.24,50.84,14157000
2021-11-12,51.12,51.8,50.77,51.56,13592000
2021-11-15,51.97,51.97,51.25,51.79,13972000
2021-11-16,51.64,52.13,51.51,52.06,13194000
2021-11-17,52.01,52.3,51.64,52.14,12532000
2021-11-18,52.28,52.79,52.14,52.62,12712000
2021-11-19,52.75,52.84,51.8,52.06,19612000
2021-11-22,52.33,52.36,50.57,50.65,25898000
2021-11-23,50.57,50.88,50.21,50.82,17109000
2021-11-24,50.64,51.18,50.11,51.15,12084000
2021-11-26,50.51,51.01,49.73,50.03,14219000
2021-11-29,50.91,51.95,50.68,51.66,18703000
2021-11-30,51.56,51.72,50.53,50.68,22574000
2021-12-01,51.58,52.04,50.65,50.78,21980000
2021-12-02,49.99,51.18,49.8,50.57,22619000
2021-12-03,51.71,52.09,50.38,51.09,20305000
2021-12-06,51.69,52.03,50.89,51.72,22482000
2021-12-07,52.36,54.29,52.36,54.04,29562000
2021-12-08,54.09,54.09,53.31,53.88,17998000
2021-12-09,53.32,54.03,53.32,53.41,29080000
2021-12-10,57.12,59.02,56.62,57.82,57087000
2021-12-13,58.04,58.07,56.87,56.91,26898000
2021-12-14,56.56,56.63,55.44,56.29,35956000
2021-12-15,56.35,58.66,55.87,58.57,29092000
2021-12-16,58.34,58.65,55.98,56.82,42748000
2021-12-17,56.53,58.58,56.31,58.12,50661000
2021-12-20,57.33,59.14,57.22,59.05,32770000
2021-12-21,59.71,59.83,58.34,59.53,36534000
2021-12-22,59.27,60.54,58.89,60.36,28383000
2021-12-23,60.45,61.79,60.45,61.24,23596000
2021-12-27,61.24,62.3,61.21,62.12,19442000
2021-12-28,62.42,62.44,61.45,61.63,17247000
2021-12-29,61.7,62.37,61.64,61.96,14797000
2021-12-30,62.01,62.25,61.16,61.27,11473000
2021-12-31,61.44,61.84,61.1,61.3,12046000
2022-01-03,61.38,61.88,60.91,61.11,22591000
2022-01-04,61.07,61.93,60.55,61.81,21103000
2022-01-05,61.83,61.83,59.14,59.24,34961000
2022-01-06,58.97,59.76,58.45,58.69,28581000
2022-01-07,58.58,58.95,56.98,57.04,27832000
2022-01-10,56.09,57.31,55.6,57.22,29793000
2022-01-11,56.71,57.85,56.62,57.31,19037000
2022-01-12,57.81,58.13,57.09,57.3,18806000
2022-01-13,57.81,57.84,54.74,55.02,30048000
2022-01-14,54.89,55.31,54.54,54.94,25661000
2022-01-18,54.2,54.45,53.06,53.23,35825000
2022-01-19,53.58,53.87,51.9,51.96,22692000
2022-01-20,52.33,52.52,50.37,50.46,25225000
2022-01-21,50.36,51.17,48.95,49.12,38010000
2022-01-24,48.91,50.07,47.3,49.89,54256000
2022-01-25,48.64,50.24,48.29,49.21,38158000
2022-01-26,50.85,52.9,50.67,51.32,49715000
2022-01-27,52.49,52.53,49.84,49.96,34183000
2022-01-28,50.06,51.64,49.05,51.6,30254000
2022-01-31,51.53,54.02,51.22,53.97,40288000
2022-02-01,53.97,54.71,53.05,54.6,25719000
2022-02-02,55.18,55.72,54.69,55.59,24443000
2022-02-03,54.88,55.18,53.44,53.51,30602000
2022-02-04,53.1,54.95,53.08,54.37,20548000
2022-02-07,54.37,55.42,53.82,54.14,18671000
2022-02-08,54.2,55.45,54.08,55.29,14570000
2022-02-09,55.95,56.35,55.42,56.32,22004000
2022-02-10,54.84,56.62,54.22,54.48,24920000
2022-02-11,54.48,55.25,52.43,52.83,27281000
2022-02-14,52.97,53.69,52.52,53.3,19291000
2022-02-15,54.26,55.83,54.19,55.53,34284000
2022-02-16,54.73,55.35,54.1,55.02,22931000
2022-02-17,54.33,54.5,53.33,53.34,21424000
2022-02-18,53.52,54.15,52.81,53.43,19708000
2022-02-22,53.43,54.37,52.49,53.2,20204000
2022-02-23,53.45,53.9,52.03,52.07,22416000
2022-02-24,50.81,53.96,50.58,53.43,35316000
2022-02-25,53.42,54.3,52.88,54.17,22380000
2022-02-28,53.52,54.57,53.1,54.12,25005000
2022-03-01,53.87,54.13,52.08,52.52,24898000
2022-03-02,52.93,54.4,52.84,53.96,21771000
2022-03-03,54.69,54.69,52.91,53.3,26454000
2022-03-04,54.61,55.82,53.8,54.91,44757000
2022-03-07,55.01,55.16,52.51,52.58,26494000
2022-03-08,52.71,54.91,51.92,53.06,26993000
2022-03-09,54.24,55.43,54.08,55.0,22560000
2022-03-10,53.94,54.36,53.1,54.14,19323000
2022-03-11,54.54,54.76,53.17,53.23,19813000
2022-03-14,53.15,53.43,52.03,52.31,25234000
2022-03-15,53.18,54.98,52.98,54.61,28260000
2022-03-16,54.97,55.98,53.81,55.93,29454000
2022-03-17,55.71,55.92,55.06,55.52,18174000
2022-03-18,55.64,56.49,54.91,56.23,41538000
2022-03-21,56.17,56.17,54.62,55.77,25789000
2022-03-22,55.81,56.9,55.59,56.7,19262000
2022-03-23,56.39,56.7,55.57,55.59,13839000
2022-03-24,56.26,58.17,55.83,58.1,26016000
2022-03-25,58.16,58.47,57.51,58.33,14538000
2022-03-28,58.05,58.74,57.11,58.7,14427000
2022-03-29,59.36,59.85,58.43,59.49,23001000
2022-03-30,59.25,59.76,58.18,58.53,18626000
2022-03-31,58.48,59.27,58.25,58.4,21731000
2022-04-01,58.59,58.85,57.38,58.15,16267000
2022-04-04,58.1,59.05,57.92,58.88,16484000
2022-04-05,58.39,58.64,56.85,56.96,19778000
2022-04-06,55.84,56.72,55.07,55.83,23742000
2022-04-07,55.63,56.36,55.02,55.93,16583000
2022-04-08,55.41,55.52,54.35,54.44,20464000
2022-04-11,54.03,54.65,53.74,53.85,23512000
2022-04-12,54.64,55.52,53.99,54.26,17350000
2022-04-13,54.58,55.34,54.35,54.96,20266000
2022-04-14,55.18,55.38,53.13,53.22,27385000
2022-04-18,53.13,54.83,53.13,54.4,21375000
2022-04-19,53.73,55.53,53.73,55.43,16581000
2022-04-20,56.04,56.89,55.2,55.44,13920000
2022-04-21,56.16,57.12,54.78,54.97,20352000
2022-04-22,54.73,55.53,54.37,54.44,21064000
2022-04-25,53.93,54.61,52.97,54.52,26959000
2022-04-26,54.15,54.3,51.91,51.94,35809000
2022-04-27,51.55,52.87,51.47,51.9,19313000
2022-04-28,52.49,54.26,51.75,53.7,22334000
2022-04-29,53.11,53.63,51.33,51.42,26108000
2022-05-02,51.67,53.57,51.6,53.45,26725000
2022-05-03,53.42,54.42,53.03,53.9,17064000
2022-05-04,53.96,56.03,53.24,55.99,23896000
2022-05-05,55.11,55.45,53.26,53.79,32806000
2022-05-06,53.32,54.72,52.81,53.8,20745000
2022-05-09,53.13,53.61,51.96,52.21,30074000
2022-05-10,53.84,54.83,53.03,53.92,29271000
2022-05-11,53.29,54.23,52.48,52.6,26660000
2022-05-12,52.25,53.2,51.78,53.01,25518000
2022-05-13,53.52,54.87,53.19,54.56,19449000
2022-05-16,54.2,54.64,53.58,54.04,14189000
2022-05-17,55.23,56.48,55.06,56.4,24676000
2022-05-18,55.65,55.72,52.51,52.92,35024000
2022-05-19,51.75,52.01,49.99,50.66,34884000
2022-05-20,51.37,51.47,47.53,50.38,40281000
2022-05-23,48.6,49.67,47.7,48.82,58586000
2022-05-24,48.85,49.05,47.88,48.62,25060000
2022-05-25,48.59,49.85,48.59,49.31,17842000
2022-05-26,49.3,51.43,48.94,51.07,39743000
2022-05-27,52.13,54.3,51.94,54.1,37301000
2022-05-31,54.21,54.45,53.42,53.81,30009000
2022-06-01,54.5,54.81,52.72,53.2,18345000
2022-06-02,53.58,53.59,52.69,53.49,29488000
2022-06-03,52.76,52.83,52.03,52.25,20562000
2022-06-06,53.01,53.12,51.71,52.05,14557000
2022-06-07,51.99,53.29,51.71,53.14,15895000
2022-06-08,53.03,53.45,52.14,52.44,24004000
2022-06-09,52.05,53.2,51.56,51.59,18787000
2022-06-10,51.02,51.11,50.06,50.2,24018000
2022-06-13,48.86,49.43,47.86,48.01,31619000
