Date,Open,High,Low,Close,Volume
2021-07-12,191.22,194.22,190.72,192.66,483600
2021-07-13,191.77,192.37,189.92,190.64,569000
2021-07-14,190.99,192.31,190.13,190.48,349300
2021-07-15,189.29,191.53,188.93,190.32,296800
2021-07-16,190.89,190.97,185.46,186.12,465100
2021-07-19,183.74,184.96,180.3,182.05,732200
2021-07-20,182.22,186.8,181.73,183.8,907700
2021-07-21,184.77,186.82,184.68,185.94,664200
2021-07-22,186.09,186.09,183.49,183.92,376300
2021-07-23,184.32,185.65,182.88,185.17,399400
2021-07-26,185.22,188.49,185.14,187.96,445200
2021-07-27,186.96,189.67,185.14,187.73,683700
2021-07-28,189.61,196.52,188.99,192.26,1185400
2021-07-29,193.61,193.61,190.39,191.99,436900
2021-07-30,191.67,193.25,191.67,192.89,342000
2021-08-02,193.8,197.07,192.08,192.5,534300
2021-08-03,193.24,196.21,191.68,195.9,358100
2021-08-04,195.45,196.42,193.69,194.79,389700
2021-08-05,196.16,197.22,193.2,194.01,280800
2021-08-06,194.93,196.39,193.46,195.21,369500
2021-08-09,195.07,196.82,193.65,196.52,453400
2021-08-10,197.17,200.08,196.84,198.7,349900
2021-08-11,199.17,200.04,197.72,199.13,317700
2021-08-12,198.37,199.51,197.15,197.78,255500
2021-08-13,197.69,199.71,197.16,197.33,292600
2021-08-16,196.78,201.27,196.18,201.15,538400
2021-08-17,200.87,201.88,197.38,198.47,423900
2021-08-18,197.41,199.67,197.14,197.41,371500
2021-08-19,195.85,198.73,194.72,197.27,392000
2021-08-20,196.91,200.46,196.91,199.85,321800
2021-08-23,201.01,201.6,199.38,199.64,308800
2021-08-24,199.58,201.64,199.58,200.59,374200
2021-08-25,200.87,205.53,199.44,205.03,791600
2021-08-26,205.46,206.95,204.52,205.71,402400
2021-08-27,207.24,208.83,206.23,207.04,439300
2021-08-30,207.62,209.55,207.09,207.48,288900
2021-08-31,207.59,208.49,205.73,206.98,584100
2021-09-01,207.9,209.09,204.51,207.67,454400
2021-09-02,208.37,208.86,206.64,208.8,256400
2021-09-03,208.41,209.09,207.22,207.29,296600
2021-09-07,206.6,206.89,203.71,205.59,434500
2021-09-08,204.68,207.31,204.2,206.55,368300
2021-09-09,207.07,208.49,206.39,206.56,212100
2021-09-10,208.04,208.92,206.0,206.04,312200
2021-09-13,207.65,207.65,203.64,205.08,236200
2021-09-14,205.42,205.42,202.6,203.7,295700
2021-09-15,203.65,206.24,203.25,204.35,373200
2021-09-16,204.58,204.84,202.96,203.34,284300
2021-09-17,203.01,203.34,196.77,197.14,741900
2021-09-20,194.4,196.15,191.77,195.08,368200
2021-09-21,195.6,195.6,192.79,193.33,307100
2021-09-22,194.37,197.44,193.34,195.96,322600
2021-09-23,197.57,202.75,197.57,200.66,424100
2021-09-24,199.85,201.33,198.89,199.22,274600
2021-09-27,198.55,200.13,196.88,199.34,427400
2021-09-28,198.15,199.59,195.08,195.16,302600
2021-09-29,195.43,197.38,194.24,195.45,238800
2021-09-30,196.5,197.27,190.19,190.28,467300
2021-10-01,190.74,193.26,186.63,192.52,395500
2021-10-04,192.34,194.51,189.68,190.95,357900
2021-10-05,191.93,194.67,190.67,193.73,520400
2021-10-06,191.89,193.74,189.19,193.13,432900
2021-10-07,195.03,197.74,194.55,195.9,323800
2021-10-08,195.63,195.63,189.79,189.88,397200
2021-10-11,190.29,191.82,188.68,189.18,270100
2021-10-12,189.5,190.71,188.35,188.88,378800
2021-10-13,189.88,190.48,185.74,188.64,360600
2021-10-14,190.41,191.58,189.69,190.76,503200
2021-10-15,191.99,193.28,190.34,192.61,444300
2021-10-18,191.46,192.72,190.45,192.4,475200
2021-10-19,193.48,194.94,192.37,194.02,302800
2021-10-20,194.46,198.07,193.65,197.13,364500
2021-10-21,197.03,198.76,195.96,198.69,254000
2021-10-22,199.7,202.02,199.1,199.73,293500
2021-10-25,199.79,201.24,198.07,200.21,460600
2021-10-26,200.73,200.88,193.98,194.59,727900
2021-10-27,192.48,197.53,188.25,191.17,790100
2021-10-28,192.84,198.12,192.4,197.7,604800
2021-10-29,197.71,201.25,197.71,199.93,686100
2021-11-01,199.77,204.55,198.26,201.33,641300
