Date,Open,High,Low,Close,Volume
2021-09-07,74.64,75.93,74.33,75.56,5812300
2021-09-08,75.4,76.07,74.97,75.03,3050700
2021-09-09,75.18,75.18,73.78,74.09,3519800
2021-09-10,74.29,74.33,73.17,73.36,2512400
2021-09-13,74.55,74.58,72.83,73.1,2906600
2021-09-14,73.23,74.15,73.05,74.13,2867700
2021-09-15,74.15,76.31,73.84,75.76,5895700
2021-09-16,75.75,76.04,74.56,75.45,2691700
2021-09-17,75.19,75.82,74.98,75.8,4507900
2021-09-20,75.11,75.4,74.27,74.6,2811900
2021-09-21,75.11,75.45,74.26,74.29,2002700
2021-09-22,74.55,74.69,73.44,73.48,2445500
2021-09-23,73.57,73.8,73.19,73.24,2738500
2021-09-24,73.08,73.5,73.01,73.3,2008800
2021-09-27,72.92,73.31,72.43,73.04,2264200
2021-09-28,72.95,73.42,72.57,73.19,2932900
2021-09-29,73.24,74.6,73.22,74.17,2548300
2021-09-30,74.35,74.82,72.9,72.92,3095300
2021-10-01,73.04,74.03,72.31,73.7,2885000
2021-10-04,73.43,73.97,72.35,72.91,3158300
2021-10-05,73.23,74.51,72.97,73.31,2756300
2021-10-06,72.97,73.37,72.23,73.31,2949500
2021-10-07,73.57,74.25,72.96,73.05,3316000
2021-10-08,73.17,73.53,72.51,72.71,2641200
2021-10-11,72.45,72.62,71.47,71.55,2010500
2021-10-12,71.47,71.65,70.97,71.36,1394400
2021-10-13,71.37,71.86,71.14,71.44,1491100
2021-10-14,71.71,72.45,71.71,72.43,1754000
2021-10-15,72.53,72.85,72.24,72.25,1783600
2021-10-18,72.16,72.16,70.66,70.88,1822900
2021-10-19,71.11,72.28,71.07,72.24,2527800
2021-10-20,72.4,74.09,72.33,73.66,2270000
2021-10-21,74.07,74.14,73.24,73.85,1349100
2021-10-22,73.98,74.56,73.86,74.51,1348400
2021-10-25,74.68,74.88,73.65,73.76,2621100
2021-10-26,73.88,74.45,73.59,74.15,1557700
2021-10-27,74.55,74.69,74.13,74.29,2764000
2021-10-28,74.63,76.42,71.01,71.27,7344300
2021-10-29,70.81,71.99,70.31,71.58,7995500
2021-11-01,71.8,72.67,71.49,72.36,3375600
2021-11-02,72.68,73.27,71.93,72.79,2152200
2021-11-03,72.85,73.38,72.15,72.56,1648900
2021-11-04,72.61,72.74,70.58,70.99,2638900
2021-11-05,70.85,71.89,70.5,70.75,2606800
2021-11-08,71.0,71.7,70.55,71.38,1626400
2021-11-09,71.3,71.35,70.31,70.44,2476800
2021-11-10,70.52,72.14,70.52,71.64,2494400
2021-11-11,71.67,71.93,71.33,71.77,1776100
2021-11-12,72.14,72.26,71.63,72.04,1216200
2021-11-15,72.15,72.26,71.31,72.12,1609700
2021-11-16,71.91,72.48,71.79,71.9,1978100
2021-11-17,71.82,72.66,71.36,72.15,2249700
2021-11-18,72.53,72.55,71.7,71.72,2099000
2021-11-19,72.0,72.19,71.4,71.86,2381400
2021-11-22,71.98,72.46,71.43,71.85,1708000
2021-11-23,71.56,71.68,70.77,71.09,1707300
2021-11-24,71.1,71.38,70.17,70.37,1338800
2021-11-26,70.47,70.71,68.95,69.16,1281100
2021-11-29,69.19,69.78,68.89,68.93,2506600
2021-11-30,68.81,69.05,67.38,67.6,3440600
2021-12-01,67.86,69.45,67.56,68.07,2502400
2021-12-02,68.15,69.71,68.05,69.37,2726700
2021-12-03,69.75,71.11,69.58,71.02,2510300
2021-12-06,71.33,73.34,71.18,72.11,3046400
2021-12-07,72.36,73.65,72.29,72.69,2793600
2021-12-08,72.85,73.66,72.63,73.35,1886700
2021-12-09,73.23,73.95,72.64,73.31,1935500
2021-12-10,73.63,73.94,73.18,73.58,2131300
2021-12-13,73.68,76.23,73.18,75.71,3103800
2021-12-14,75.74,76.22,74.9,75.08,2662700
2021-12-15,75.32,75.69,74.2,75.25,2300500
2021-12-16,75.15,76.53,74.76,76.36,3076100
2021-12-17,76.76,77.43,75.75,76.1,4688100
2021-12-20,75.65,75.76,74.53,75.08,2631700
2021-12-21,75.3,76.77,75.16,76.32,2731000
2021-12-22,76.55,77.7,76.01,77.64,2301000
2021-12-23,77.85,78.33,77.65,77.85,2033700
2021-12-27,78.08,78.87,77.79,78.8,1220700
2021-12-28,78.83,79.26,78.63,78.94,1227800
2021-12-29,79.05,79.56,78.81,79.34,1280300
2021-12-30,79.54,79.63,78.59,78.67,1346600
2021-12-31,78.49,78.91,78.09,78.11,1788100
2022-01-03,77.82,79.1,77.52,79.05,1899800
2022-01-04,79.15,80.09,78.76,80.08,3346300
2022-01-05,80.09,80.91,79.85,79.95,2966500
2022-01-06,80.04,80.24,78.94,78.97,1507300
2022-01-07,79.45,80.09,79.29,79.58,1750600
2022-01-10,79.5,79.8,78.2,78.54,2912800
2022-01-11,78.52,78.79,77.18,78.59,2403300
2022-01-12,78.26,79.01,77.88,78.66,2169400
2022-01-13,78.59,78.89,77.78,78.16,2568400
2022-01-14,77.93,78.32,76.73,78.02,2246700
2022-01-18,77.88,78.56,77.51,78.13,2258900
2022-01-19,78.25,78.6,77.53,77.89,1827000
2022-01-20,78.04,79.69,77.99,78.25,2504900
2022-01-21,78.85,79.0,77.81,78.51,2348400
2022-01-24,77.52,78.3,76.47,78.22,3510600
2022-01-25,77.28,78.19,76.36,77.41,2697900
2022-01-26,77.16,77.84,76.37,76.68,3888000
2022-01-27,76.99,78.43,76.49,77.01,2665400
2022-01-28,77.28,77.67,75.68,77.61,2588600
2022-01-31,77.61,77.85,76.81,77.75,2568500
2022-02-01,77.88,77.88,76.25,77.28,3340700
2022-02-02,76.95,77.96,76.41,77.85,3203500
2022-02-03,77.75,78.45,77.31,78.35,4585100
2022-02-04,77.95,79.4,77.44,78.9,3673200
2022-02-07,79.15,79.47,78.31,79.05,2676200
2022-02-08,79.05,80.49,78.95,80.45,4744300
2022-02-09,80.84,81.62,80.62,81.4,2887900
2022-02-10,80.9,81.21,79.69,79.85,3295100
2022-02-11,79.49,79.79,78.09,78.18,3490000
2022-02-14,77.88,78.09,76.74,77.76,2384900
2022-02-15,78.47,78.82,77.58,77.88,1702200
2022-02-16,77.59,77.7,76.26,77.47,2879700
2022-02-17,73.53,76.25,72.4,75.35,5189300
2022-02-18,74.97,75.66,73.87,74.94,5029000
2022-02-22,75.07,77.13,74.56,76.86,3888300
2022-02-23,76.9,78.34,76.61,78.02,3153200
2022-02-24,77.53,77.68,76.15,77.28,5266900
2022-02-25,77.38,79.39,77.12,78.75,3174200
2022-02-28,77.83,78.92,77.04,77.57,4376200
2022-03-01,77.44,78.33,76.21,76.82,2961700
2022-03-02,77.19,78.68,77.03,77.81,2454000
2022-03-03,78.03,78.45,77.52,77.77,1540500
2022-03-04,76.82,78.65,76.78,78.53,1979600
2022-03-07,78.17,78.17,76.52,77.58,3204700
2022-03-08,77.16,77.26,73.44,73.45,3159800
2022-03-09,74.25,74.64,72.36,72.8,3453500
2022-03-10,72.0,72.63,70.93,72.11,2751000
2022-03-11,72.51,72.51,70.0,70.16,3833000
2022-03-14,70.71,71.95,70.48,71.2,2452700
2022-03-15,71.75,72.07,71.17,71.82,1720700
2022-03-16,72.25,72.76,71.19,72.09,2288900
2022-03-17,71.85,72.67,71.18,72.53,2662700
2022-03-18,72.6,72.7,71.02,72.23,3895600
2022-03-21,72.13,72.96,71.99,72.17,3016700
2022-03-22,72.36,72.37,71.22,71.22,4193000
2022-03-23,71.24,71.31,70.22,70.36,4620600
2022-03-24,70.64,71.21,70.17,70.92,7617400
2022-03-25,70.85,71.51,70.08,70.49,2990100
2022-03-28,70.62,72.06,70.07,72.05,3536600
2022-03-29,72.72,73.69,72.05,72.59,6771000
2022-03-30,72.69,73.07,71.76,72.47,2861100
2022-03-31,72.17,72.74,70.47,70.79,4662200
2022-04-01,70.92,71.78,70.24,71.74,3183400
2022-04-04,69.52,70.32,68.86,68.9,5406800
2022-04-05,68.76,71.21,68.76,69.83,4263500
2022-04-06,69.42,70.38,69.18,70.3,3513200
2022-04-07,69.96,71.45,69.89,71.22,2976400
2022-04-08,71.07,73.32,71.07,73.04,4260900
2022-04-11,73.04,73.57,71.76,71.91,3590700
2022-04-12,71.39,72.64,71.16,71.27,3045100
2022-04-13,71.26,71.94,70.84,71.61,2459100
2022-04-14,71.83,71.9,69.36,69.79,3843100
2022-04-18,69.61,69.72,68.11,68.44,1824000
2022-04-19,68.67,69.96,68.54,69.85,2523800
2022-04-20,69.83,71.88,69.28,71.72,2492200
2022-04-21,71.81,71.81,71.02,71.19,2224300
2022-04-22,70.66,70.66,66.55,66.72,4266500
2022-04-25,66.46,66.85,65.85,66.56,3140100
2022-04-26,65.95,66.33,64.36,64.39,2280900
2022-04-27,64.56,65.84,64.18,64.88,4639300
2022-04-28,64.97,68.15,63.8,64.64,8441000
2022-04-29,64.13,65.83,63.65,64.87,4019200
2022-05-02,65.12,66.13,63.65,64.46,3854700
2022-05-03,64.93,66.55,64.83,65.78,4496600
2022-05-04,65.69,67.22,65.41,66.83,3550800
2022-05-05,66.41,67.0,65.82,66.64,3029700
2022-05-06,66.2,66.82,65.54,66.45,3174400
2022-05-09,65.88,68.02,65.62,67.21,4362400
2022-05-10,67.43,67.76,65.93,66.15,3417400
2022-05-11,66.08,67.78,65.65,65.73,2543400
2022-05-12,65.84,66.47,65.07,66.33,2270600
2022-05-13,66.46,67.1,66.26,66.67,2069400
2022-05-16,66.7,67.36,66.23,67.28,2864000
2022-05-17,67.71,67.89,67.03,67.87,1981000
2022-05-18,67.47,67.7,65.57,65.84,1994300
2022-05-19,65.32,66.38,64.97,66.28,2580700
2022-05-20,66.77,66.92,65.8,66.86,1695500
2022-05-23,67.73,68.01,66.65,66.98,2322900
2022-05-24,67.09,67.52,66.58,67.47,3259600
2022-05-25,67.4,70.37,67.14,68.65,4050000
2022-05-26,68.64,69.66,68.21,69.16,1824200
2022-05-27,69.53,69.99,69.02,69.53,2576200
