Date,Open,High,Low,Close,Volume
2021-07-12,176.01,176.53,175.15,175.46,1162859
2021-07-13,174.85,175.79,174.33,174.78,683713
2021-07-14,174.61,175.09,172.27,172.94,1808631
2021-07-15,171.77,173.74,170.83,173.38,1250475
2021-07-16,173.83,175.26,172.98,174.4,1533790
2021-07-19,173.92,175.15,172.73,173.82,1593765
2021-07-20,174.76,175.88,173.28,173.64,1235481
2021-07-21,173.93,174.16,171.54,173.19,1408495
2021-07-22,173.8,175.54,172.72,175.3,1754002
2021-07-23,175.75,176.86,175.46,176.51,1576164
2021-07-26,175.79,176.71,174.8,175.35,905489
2021-07-27,175.58,180.29,175.54,179.05,1192325
2021-07-28,178.45,179.27,177.57,178.2,857118
2021-07-29,179.12,180.03,178.11,179.49,1206406
2021-07-30,179.42,180.55,178.46,179.8,1298715
2021-08-02,180.22,181.33,179.02,180.06,981240
2021-08-03,180.56,181.22,179.26,179.81,791798
2021-08-04,179.2,180.32,178.27,179.09,1353214
2021-08-05,168.92,172.27,168.72,170.89,3255197
2021-08-06,170.34,170.68,168.62,169.45,1825842
2021-08-09,169.52,170.34,166.99,167.7,1941489
2021-08-10,167.62,168.73,167.02,167.76,2235104
2021-08-11,167.92,170.34,167.87,169.19,1518014
2021-08-12,169.82,173.91,169.51,173.01,4996031
2021-08-13,173.01,173.92,172.24,173.5,1494807
2021-08-16,174.33,175.64,173.43,175.48,1631966
2021-08-17,175.54,178.66,175.02,178.2,3112953
2021-08-18,178.33,178.87,174.53,174.57,1982949
2021-08-19,174.97,175.89,173.74,174.26,1679555
2021-08-20,174.0,175.65,173.07,175.26,1544221
2021-08-23,175.75,176.42,175.1,175.65,1677078
2021-08-24,175.51,175.61,174.12,174.26,1165206
2021-08-25,173.48,174.29,171.94,173.64,1459734
2021-08-26,173.26,174.65,173.03,174.02,1479813
2021-08-27,174.48,175.77,173.96,174.7,1473164
2021-08-30,175.01,177.18,174.54,176.08,1300149
2021-08-31,176.01,177.31,175.31,176.95,1880210
2021-09-01,177.15,177.93,175.33,177.49,1525446
2021-09-02,178.27,179.54,177.6,179.36,1572383
2021-09-03,179.62,181.93,178.92,181.26,1801591
2021-09-07,181.26,181.97,179.2,181.26,2087384
2021-09-08,181.78,186.19,181.53,185.4,2430544
2021-09-09,184.42,185.68,183.28,183.48,1901723
2021-09-10,183.82,184.33,181.2,182.2,1574990
2021-09-13,183.0,183.76,182.13,182.39,1604587
2021-09-14,182.45,184.27,182.3,183.69,1692854
2021-09-15,184.21,186.01,183.19,184.56,2514639
2021-09-16,185.61,185.83,183.46,185.26,1519057
2021-09-17,184.78,185.44,183.66,184.75,3764983
2021-09-20,182.95,184.72,181.74,182.86,1816976
2021-09-21,183.37,184.94,182.66,182.67,1457648
2021-09-22,183.15,183.63,180.59,181.12,2077996
2021-09-23,181.53,182.22,178.76,179.01,2082429
2021-09-24,178.59,179.57,178.04,178.56,1210318
2021-09-27,177.85,178.14,176.01,177.33,1439265
2021-09-28,176.81,177.07,174.73,176.13,1819062
2021-09-29,176.26,178.03,176.26,177.58,1099234
2021-09-30,177.63,178.28,173.35,173.37,2666532
2021-10-01,173.8,173.8,169.92,172.57,2213722
2021-10-04,171.81,174.41,169.35,169.66,2924554
2021-10-05,169.66,172.89,169.66,171.43,2005375
2021-10-06,170.7,173.03,170.3,172.97,1618016
2021-10-07,173.61,175.06,170.05,170.5,1716062
2021-10-08,170.66,171.09,168.22,168.27,2037187
2021-10-11,168.14,168.27,166.21,166.33,1152038
2021-10-12,166.33,168.27,165.83,168.13,2060526
2021-10-13,168.25,170.45,167.74,169.16,1527923
2021-10-14,169.8,171.67,169.8,171.16,1314622
2021-10-15,171.32,172.07,169.4,170.09,1670298
2021-10-18,169.86,169.92,167.98,168.17,1136392
2021-10-19,168.92,171.36,168.68,171.19,1090629
2021-10-20,172.42,174.96,171.6,174.13,1329094
2021-10-21,174.87,175.25,173.08,173.83,807183
2021-10-22,173.92,174.46,173.25,174.27,1358429
2021-10-25,174.29,174.46,172.93,173.79,1055817
2021-10-26,174.06,174.42,173.4,173.75,1626230
2021-10-27,174.49,174.63,172.76,172.79,1537050
2021-10-28,172.79,174.16,167.93,168.32,1916847
2021-10-29,167.98,169.5,167.19,168.98,2394038
2021-11-01,169.22,171.78,168.77,171.42,1256081
2021-11-02,171.41,171.74,170.13,171.31,2300685
2021-11-03,171.07,174.45,170.89,174.23,2113981
2021-11-04,176.32,177.94,170.95,172.15,2706428
2021-11-05,169.91,173.03,168.85,171.88,2595214
2021-11-08,171.02,173.22,170.21,172.98,1332353
2021-11-09,172.29,173.09,171.25,171.85,2004984
2021-11-10,172.09,173.98,170.24,173.41,1384505
2021-11-11,173.24,174.01,170.62,172.79,1670168
2021-11-12,172.93,173.35,171.22,172.09,1970824
2021-11-15,172.58,172.79,171.28,171.86,1772777
2021-11-16,172.24,173.42,171.51,172.17,1719843
2021-11-17,172.83,176.4,172.09,176.22,2469528
2021-11-18,176.77,177.41,174.42,175.87,2100552
2021-11-19,177.0,178.02,175.31,175.34,1700677
2021-11-22,174.47,174.62,172.24,173.0,1652958
2021-11-23,172.63,174.3,172.09,173.91,1637182
2021-11-24,173.69,174.45,172.39,172.41,1188544
2021-11-26,172.82,175.46,172.31,172.86,1599893
2021-11-29,172.9,174.12,171.56,171.81,1656608
2021-11-30,172.74,172.74,166.45,167.25,5544409
2021-12-01,167.62,171.76,166.88,170.45,3083487
2021-12-02,170.52,173.51,169.94,170.64,2291950
2021-12-03,171.89,172.27,169.66,172.17,1663388
2021-12-06,173.01,175.81,172.65,173.6,1885556
2021-12-07,174.35,178.21,174.25,176.57,2273175
2021-12-08,171.1,174.83,169.33,173.82,1885816
2021-12-09,174.19,174.94,173.17,173.48,1545133
2021-12-10,173.89,174.71,172.61,173.39,1240696
2021-12-13,173.75,179.78,173.54,178.93,1990381
2021-12-14,178.4,178.59,175.31,175.49,1560649
2021-12-15,176.54,177.45,174.75,176.53,1768214
2021-12-16,176.21,182.23,175.26,182.05,2332107
2021-12-17,181.89,183.6,180.63,181.83,3307349
2021-12-20,181.39,181.39,178.3,178.65,2174869
2021-12-21,179.68,180.8,177.03,178.24,1467557
2021-12-22,178.42,178.56,174.11,175.42,1576425
2021-12-23,175.53,176.66,174.2,176.17,1258037
2021-12-27,176.95,177.95,175.76,177.88,791276
2021-12-28,177.73,177.91,176.05,177.09,732475
2021-12-29,177.51,179.43,176.68,178.92,1091932
2021-12-30,179.56,180.52,178.74,179.25,656333
2021-12-31,179.25,180.34,177.89,177.99,866375
2022-01-03,177.11,179.47,174.77,179.22,1300410
2022-01-04,178.73,179.19,176.39,178.21,1185154
2022-01-05,178.18,180.75,178.01,179.03,1206015
2022-01-06,178.13,179.17,176.7,176.75,1001188
2022-01-07,177.14,181.14,176.67,179.88,1804590
2022-01-10,179.22,183.94,178.7,183.44,2188689
2022-01-11,183.53,185.67,181.96,185.25,1948138
2022-01-12,184.73,187.21,183.69,185.38,1851135
2022-01-13,184.81,186.75,183.52,186.63,1931971
2022-01-14,186.31,186.64,184.56,185.88,1958699
2022-01-18,185.21,185.7,182.64,184.32,1945400
2022-01-19,184.71,187.53,184.04,186.76,2176824
2022-01-20,187.41,190.07,186.75,186.83,2095989
2022-01-21,188.39,188.73,186.05,187.3,2209680
2022-01-24,185.95,186.74,179.85,183.99,2294297
2022-01-25,183.12,183.98,179.33,182.68,1922844
2022-01-26,182.06,183.92,179.11,179.7,2568747
2022-01-27,180.04,183.35,177.44,177.79,2360530
2022-01-28,178.74,181.07,176.25,181.0,1927147
2022-01-31,180.12,180.73,178.36,179.88,2132104
2022-02-01,180.03,180.85,177.6,179.23,1472903
2022-02-02,179.14,181.81,178.4,181.67,1918542
2022-02-03,185.23,192.77,183.64,191.51,3989628
2022-02-04,188.98,192.08,187.97,190.29,2188819
2022-02-07,190.81,192.67,189.27,190.58,2076301
2022-02-08,190.36,196.0,190.14,195.69,2106159
2022-02-09,195.81,198.62,194.9,196.23,2424546
2022-02-10,195.09,195.09,191.41,192.47,1781903
2022-02-11,191.79,194.61,190.2,191.09,1440177
2022-02-14,190.46,191.48,188.74,190.32,1471729
2022-02-15,192.42,193.1,190.82,191.91,1256863
2022-02-16,191.15,192.48,189.08,191.9,1402367
2022-02-17,189.98,190.17,187.45,188.38,1691289
2022-02-18,188.71,189.78,185.99,186.88,1714497
2022-02-22,187.53,188.5,186.19,186.97,1876559
2022-02-23,187.37,190.94,186.91,190.15,2023237
2022-02-24,187.96,189.66,186.63,188.48,2062351
2022-02-25,189.45,193.39,188.65,193.03,1727013
2022-02-28,190.07,192.27,189.85,192.01,1501195
2022-03-01,191.81,193.54,190.64,192.08,1265338
2022-03-02,191.52,194.22,190.99,192.88,1217488
2022-03-03,193.4,194.55,191.97,193.11,1341219
2022-03-04,192.08,195.11,190.51,194.94,1739400
2022-03-07,193.69,195.69,190.93,195.38,2327022
2022-03-08,194.02,195.23,187.39,187.65,2193122
2022-03-09,188.98,190.52,187.09,188.07,1605760
2022-03-10,186.34,186.65,182.19,183.01,2595214
2022-03-11,183.17,183.91,180.49,180.73,1700677
2022-03-14,181.72,186.26,180.8,182.36,1734315
2022-03-15,183.22,184.04,181.41,183.7,1513060
2022-03-16,184.52,185.57,182.7,185.19,1535746
2022-03-17,185.15,187.29,182.92,186.26,1556216
2022-03-18,185.63,186.65,183.02,186.08,3571239
2022-03-21,185.61,190.38,185.35,190.03,1577468
2022-03-22,190.91,190.91,187.06,188.09,1574208
2022-03-23,188.69,189.21,185.28,186.03,1512278
2022-03-24,186.46,187.38,186.01,186.82,851251
2022-03-25,187.9,188.75,186.58,188.66,942387
2022-03-28,188.85,190.42,187.14,190.41,896754
2022-03-29,191.69,193.02,190.52,191.57,1821539
2022-03-30,191.01,193.28,190.21,191.44,1173811
2022-03-31,191.25,191.91,188.53,188.89,1526228
2022-04-01,189.65,191.94,187.89,191.06,1723051
2022-04-04,190.54,190.72,187.02,188.01,1346285
2022-04-05,187.63,194.05,187.61,191.38,1380247
2022-04-06,190.66,197.23,190.08,197.0,2026932
2022-04-07,196.27,199.78,195.67,199.09,1276198
2022-04-08,199.49,201.83,199.44,200.47,1777747
2022-04-11,200.61,200.88,195.48,196.53,1365365
2022-04-12,196.03,197.57,194.35,195.93,1002463
2022-04-13,195.85,197.57,194.85,197.21,845371
2022-04-14,198.14,199.53,196.63,197.75,1172402
2022-04-18,197.26,198.1,188.5,189.32,1277978
2022-04-19,188.82,192.07,188.68,191.79,1251012
2022-04-20,192.38,195.98,191.92,194.81,1814381
2022-04-21,197.25,197.52,192.54,192.8,1905456
2022-04-22,190.98,191.18,185.57,185.63,1466743
2022-04-25,185.39,188.65,183.89,188.12,1175455
2022-04-26,187.72,189.24,184.88,185.59,1679930
2022-04-27,186.06,186.99,183.63,184.11,1771514
2022-04-28,185.03,185.94,182.23,184.27,1220738
2022-04-29,183.32,184.08,179.28,179.92,1500960
2022-05-02,180.6,182.54,177.31,178.75,1268566
2022-05-03,179.61,182.5,179.21,181.11,1345776
2022-05-04,180.52,185.23,179.29,184.54,1664921
2022-05-05,182.7,189.89,181.11,188.98,3131410
2022-05-06,186.33,188.78,182.19,187.77,2669801
2022-05-09,185.61,186.01,183.1,183.57,1897951
2022-05-10,184.31,186.46,181.24,182.04,2313514
2022-05-11,181.29,186.14,180.97,181.23,1232695
2022-05-12,180.98,182.16,179.13,181.76,1485696
2022-05-13,182.72,182.92,179.0,180.83,1516351
2022-05-16,181.04,185.18,180.23,184.07,1432654
2022-05-17,184.98,186.53,183.87,186.52,1272763
2022-05-18,186.19,186.65,182.37,182.77,1143782
2022-05-19,181.66,183.79,179.11,182.8,1570411
2022-05-20,183.71,184.49,180.38,183.64,1158665
2022-05-23,186.21,187.64,184.38,187.06,1091376
2022-05-24,187.0,188.51,185.96,187.39,1226717
2022-05-25,188.91,188.91,180.74,183.54,1752562
2022-05-26,184.54,185.99,183.28,183.79,1001064
2022-05-27,184.91,186.67,183.81,186.67,896251
2022-05-31,184.46,187.33,182.64,186.19,1782072
2022-06-01,188.55,188.55,180.65,182.99,956544
2022-06-02,183.39,184.84,178.99,184.64,849569
2022-06-03,184.26,185.83,183.41,183.67,675432
2022-06-06,184.92,188.61,184.19,188.31,1484424
2022-06-07,187.89,189.24,185.42,187.73,1213488
2022-06-08,187.62,188.77,186.0,186.12,1142256
2022-06-09,185.34,185.99,181.14,181.39,918257
2022-06-10,179.6,183.49,178.01,182.09,1746074
2022-06-13,178.78,180.84,175.7,176.63,1447790
2022-06-14,176.63,176.84,170.2,172.59,1509737
2022-06-15,173.31,174.53,170.68,172.93,1160191
2022-06-16,170.9,171.82,169.04,171.44,2171431
2022-06-17,172.01,175.84,171.44,171.87,2834652
2022-06-21,173.82,173.82,171.27,172.74,1710713
2022-06-22,172.09,174.64,170.92,173.28,1775585
2022-06-23,173.83,177.29,173.83,177.13,917621
2022-06-24,180.08,183.5,177.64,183.25,1978469
2022-06-27,183.09,183.42,180.69,182.65,973970
2022-06-28,182.97,183.82,178.48,178.59,1111474
2022-06-29,178.62,183.44,177.95,182.1,1456058
2022-06-30,181.12,182.33,179.28,180.05,1784743
2022-07-01,180.03,184.17,178.43,183.9,985673
2022-07-05,181.79,182.94,178.06,181.07,989234
2022-07-06,180.95,182.71,179.33,179.87,1352899
2022-07-07,179.51,181.38,179.33,179.95,1243762
2022-07-08,179.85,182.26,179.3,179.41,1106767
2022-07-11,177.64,178.93,177.22,177.98,715882
2022-07-12,176.28,177.24,172.07,173.03,1233077
2022-07-13,171.63,172.98,170.32,171.96,885058
2022-07-14,169.58,171.44,169.37,171.01,871829
2022-07-15,172.95,175.33,172.08,174.72,986054
2022-07-18,173.88,174.63,170.85,171.12,1041641
2022-07-19,172.85,174.41,172.09,174.15,971808
2022-07-20,172.69,173.61,171.76,173.23,1390550
2022-07-21,174.26,176.82,173.42,176.07,1261442
2022-07-22,176.67,177.55,175.52,176.83,760656
2022-07-25,177.07,177.96,176.43,177.2,806575
2022-07-26,178.53,179.38,176.7,178.31,698201
2022-07-27,177.86,179.57,175.36,178.45,785206
2022-07-28,178.23,179.42,175.13,178.13,1278233
2022-07-29,177.92,179.16,176.75,178.43,1396147
2022-08-01,177.56,179.22,177.56,178.76,921182
2022-08-02,179.07,180.21,177.21,177.48,1212852
2022-08-03,177.48,179.96,177.42,178.88,1144546
2022-08-04,179.27,187.26,179.27,184.42,2299267
2022-08-05,183.64,186.53,181.34,185.67,1323134
2022-08-08,185.93,187.83,184.96,186.94,918638
2022-08-09,188.1,191.27,186.09,186.45,1433417
2022-08-10,188.21,189.18,187.14,188.83,925634
2022-08-11,189.12,191.68,188.94,189.45,1081582
2022-08-12,189.87,192.78,189.78,192.58,1056905
2022-08-15,192.13,195.36,191.79,194.86,984910
2022-08-16,194.31,196.5,193.45,195.57,1258008
2022-08-17,194.12,195.29,192.49,192.97,811027
2022-08-18,193.23,193.39,190.89,192.59,787750
2022-08-19,193.07,194.07,191.08,193.19,902484
2022-08-22,192.78,194.04,189.8,190.43,968501
2022-08-23,189.41,190.0,187.32,187.99,1120632
2022-08-24,188.0,190.45,187.07,188.68,1119996
2022-08-25,189.58,190.31,188.48,189.89,860254
2022-08-26,190.08,190.35,185.16,185.31,925507
2022-08-29,184.13,187.04,183.68,185.82,679375
2022-08-30,185.79,186.15,184.32,184.9,885694
2022-08-31,185.4,188.23,184.28,184.35,1509737
2022-09-01,183.98,186.47,183.42,186.42,1230533
2022-09-02,187.34,187.56,183.9,184.66,1185758
2022-09-06,185.18,185.19,183.14,184.09,1096718
2022-09-07,184.8,189.58,184.63,189.13,1703590
2022-09-08,188.69,191.04,187.9,190.89,1658561
2022-09-09,190.53,193.4,190.22,192.61,1202422
2022-09-12,192.89,195.14,192.46,193.62,1158792
2022-09-13,191.73,192.63,187.93,188.17,1285102
2022-09-14,188.83,191.99,188.11,189.76,1388897
2022-09-15,189.76,190.55,187.89,188.11,807847
2022-09-16,187.48,187.7,185.66,186.36,1673698
2022-09-19,185.11,185.11,182.19,184.12,2190130
2022-09-20,183.29,183.45,176.86,178.88,1820995
2022-09-21,178.95,180.4,174.29,174.41,1372615
2022-09-22,174.04,175.09,172.78,173.81,1246306
2022-09-23,172.77,173.91,169.0,171.41,1831807
2022-09-26,170.62,171.8,168.69,169.74,1336363
2022-09-27,171.03,172.07,166.53,167.33,1403398
2022-09-28,167.94,170.02,166.84,168.81,1506430
2022-09-29,168.27,168.54,164.59,165.7,1782708
2022-09-30,166.44,167.54,163.13,163.29,2060386
2022-10-03,164.95,169.98,163.27,169.11,1298585
2022-10-04,169.54,173.83,169.01,173.65,1375159
2022-10-05,172.24,174.62,171.22,173.55,1053725
2022-10-06,172.47,172.66,167.21,167.37,1521821
2022-10-07,166.29,166.75,162.42,163.17,1827610
2022-10-10,164.44,164.8,160.92,161.07,1398691
2022-10-11,161.27,164.48,159.51,163.16,1189574
2022-10-12,163.31,164.34,161.72,161.79,948912
2022-10-13,159.18,166.62,158.21,166.0,1214760
2022-10-14,167.17,168.35,163.84,164.66,1135514
2022-10-17,165.87,168.67,165.16,167.82,1260043
2022-10-18,171.99,173.03,168.74,169.0,1882942
2022-10-19,167.72,168.41,164.06,165.22,1667465
2022-10-20,165.43,165.93,162.84,163.1,1117961
2022-10-21,163.32,164.44,161.65,163.85,2199034
2022-10-24,165.38,166.53,164.28,165.03,2081374
2022-10-25,165.15,165.93,164.36,165.39,2517542
2022-10-26,166.49,171.19,165.46,170.65,2347858
2022-10-27,171.29,171.29,168.59,169.4,1146962
2022-10-28,170.15,172.67,170.15,172.4,1594961
2022-10-31,171.95,173.89,171.72,172.92,1671281
2022-11-01,173.64,174.11,170.66,171.38,2779829
2022-11-02,171.33,172.28,167.05,167.08,2600604
2022-11-03,165.6,165.71,161.93,161.95,2922420
2022-11-04,164.2,164.2,159.88,161.83,3030667
2022-11-07,161.83,162.81,160.51,161.9,2458394
2022-11-08,161.84,162.75,159.6,160.84,3688291
2022-11-09,161.23,162.08,159.53,159.96,2660261
2022-11-10,162.25,168.64,161.07,168.01,5101610
2022-11-11,168.85,168.85,164.47,166.83,2280314
2022-11-14,167.66,168.09,164.25,164.26,2453815
2022-11-15,165.78,165.78,162.03,162.95,2578853
2022-11-16,163.96,165.04,162.2,162.74,1855466
2022-11-17,161.21,162.97,160.35,161.15,1531615
2022-11-18,161.61,165.83,161.06,165.31,1787160
2022-11-21,165.32,173.94,165.32,171.98,3098210
2022-11-22,171.51,172.83,169.52,172.65,1782835
2022-11-23,172.34,174.04,172.1,173.92,1251394
2022-11-25,174.29,174.98,173.3,174.45,477000
2022-11-28,173.96,175.39,172.95,173.92,2174866
2022-11-29,173.47,176.69,172.62,176.62,2405352
2022-11-30,176.98,182.96,175.9,182.71,3089815
2022-12-01,184.52,186.35,182.88,183.81,2109230
2022-12-02,181.91,185.1,181.56,184.94,1708042
2022-12-05,182.74,183.55,180.35,180.42,1557182
2022-12-06,179.89,180.99,177.89,179.09,1155612
2022-12-07,179.72,181.17,178.45,180.62,2097019
2022-12-08,180.2,182.52,179.92,182.38,1557818
2022-12-09,181.85,183.57,181.1,182.11,1088832
2022-12-12,183.25,187.49,182.7,186.86,1993733
