Date,Open,High,Low,Close,Volume
2021-07-12,24.94,25.6,24.74,25.2,2676400
2021-07-13,25.13,25.17,23.85,23.96,4038400
2021-07-14,23.96,24.17,23.43,23.6,3273600
2021-07-15,23.42,23.72,23.3,23.57,3556000
2021-07-16,23.69,23.71,22.79,22.96,3153700
2021-07-19,22.36,22.48,22.1,22.31,4069500
2021-07-20,22.32,22.96,22.13,22.89,2784900
2021-07-21,23.21,23.62,23.07,23.35,2420900
2021-07-22,23.37,23.38,22.85,22.98,2784300
2021-07-23,23.1,23.2,22.71,22.87,2114800
2021-07-26,22.9,23.44,22.89,23.31,2508200
2021-07-27,23.07,23.28,22.75,22.98,3637100
2021-07-28,23.19,23.25,22.55,22.79,3177200
2021-07-29,23.04,23.27,22.68,23.26,4436500
2021-07-30,23.19,23.42,22.97,23.07,7147800
2021-08-02,23.32,23.81,23.1,23.24,3806600
2021-08-03,23.53,24.12,23.01,23.97,3914300
2021-08-04,23.78,24.34,23.67,23.89,5131200
2021-08-05,24.02,24.24,23.95,24.23,2484300
2021-08-06,24.52,24.89,24.45,24.71,2853100
2021-08-09,24.64,25.42,24.54,25.28,4678500
2021-08-10,25.22,25.97,25.15,25.62,2859300
2021-08-11,25.77,26.2,25.62,26.09,2172600
2021-08-12,26.09,26.14,25.63,25.9,1434700
2021-08-13,25.86,25.91,25.52,25.58,1158000
2021-08-16,25.42,25.48,25.02,25.47,1826300
2021-08-17,25.21,25.28,24.49,24.71,2957500
2021-08-18,24.6,24.74,24.18,24.21,1801400
2021-08-19,23.81,24.13,23.62,23.92,2047900
2021-08-20,23.87,24.31,23.84,24.3,2390000
2021-08-23,24.59,24.8,24.47,24.62,1895500
2021-08-24,24.56,25.13,24.56,25.03,2206300
2021-08-25,25.16,25.6,24.99,25.4,4225000
2021-08-26,25.46,25.51,25.08,25.09,1339200
2021-08-27,25.17,25.75,25.12,25.71,1605400
2021-08-30,25.81,25.81,25.3,25.31,1447900
2021-08-31,25.27,25.43,25.14,25.32,2650700
2021-09-01,25.42,25.45,24.8,25.19,2567800
2021-09-02,25.31,25.48,25.26,25.32,2054600
2021-09-03,25.37,25.45,24.93,24.98,1959500
2021-09-07,24.93,24.94,24.32,24.38,2348800
2021-09-08,24.34,24.6,24.27,24.43,1898800
2021-09-09,24.38,24.85,24.3,24.48,1790200
2021-09-10,24.7,24.91,24.35,24.45,2917800
2021-09-13,24.74,24.95,24.5,24.78,1682300
2021-09-14,24.85,24.94,24.3,24.45,1893000
2021-09-15,24.51,25.06,24.42,25.01,1316000
2021-09-16,25.02,25.22,24.71,24.72,2177400
2021-09-17,24.61,25.02,24.43,24.45,5134400
2021-09-20,23.62,23.94,22.88,23.24,2874200
2021-09-21,23.43,23.5,23.0,23.13,2337400
2021-09-22,23.48,24.08,23.46,23.85,2663500
2021-09-23,24.1,24.66,24.1,24.48,1840000
2021-09-24,24.35,24.8,24.35,24.71,1772200
2021-09-27,24.99,25.32,24.94,25.13,2123900
2021-09-28,25.13,25.31,24.12,24.16,3549200
2021-09-29,24.25,24.35,23.8,23.99,3418400
2021-09-30,24.18,24.23,23.39,23.41,3178900
2021-10-01,23.49,23.92,23.32,23.71,2429300
2021-10-04,23.52,23.76,23.21,23.28,2427000
2021-10-05,23.49,24.01,23.31,23.79,1774700
2021-10-06,23.44,24.0,23.29,23.98,2376900
2021-10-07,24.32,24.45,24.01,24.03,1828200
2021-10-08,23.88,24.0,23.6,23.67,3098000
2021-10-11,23.72,24.35,23.54,23.58,2751300
2021-10-12,23.48,23.54,22.71,22.76,5264500
2021-10-13,22.72,22.97,22.46,22.79,2460400
2021-10-14,23.21,23.84,23.16,23.74,2541800
2021-10-15,24.07,24.13,23.64,23.67,2347300
2021-10-18,23.55,23.58,23.31,23.45,2023600
2021-10-19,23.58,23.65,23.34,23.58,1727900
2021-10-20,23.6,24.07,23.52,23.99,2689000
2021-10-21,23.97,24.02,23.57,23.8,1838000
2021-10-22,23.84,24.22,23.81,24.21,2355200
2021-10-25,24.21,24.56,24.06,24.5,2788700
2021-10-26,24.69,24.95,24.45,24.46,3360600
2021-10-27,24.36,24.39,23.68,23.91,2868000
2021-10-28,23.97,24.62,23.87,24.6,3459900
2021-10-29,24.6,25.18,24.53,24.8,5941400
2021-11-01,26.41,28.51,26.39,27.69,7787400
2021-11-02,28.24,30.14,27.97,29.68,8870300
2021-11-03,29.64,29.81,28.92,29.34,4079400
2021-11-04,29.25,29.25,28.27,28.57,2804000
2021-11-05,28.92,28.97,28.03,28.26,3157700
2021-11-08,28.53,28.62,28.02,28.15,2361400
2021-11-09,28.05,28.41,27.95,28.14,2361500
2021-11-10,28.0,28.05,27.44,27.58,2431500
2021-11-11,27.71,28.05,27.56,27.95,1341500
2021-11-12,27.93,28.29,27.79,28.29,1800500
2021-11-15,28.37,28.51,28.07,28.15,1769100
2021-11-16,28.03,28.31,27.93,28.08,1587800
2021-11-17,27.88,27.99,27.45,27.57,1650800
2021-11-18,27.7,27.89,27.34,27.43,1504400
2021-11-19,27.18,27.4,26.99,27.32,2227400
2021-11-22,27.51,27.67,27.14,27.18,1712600
2021-11-23,27.32,27.39,26.87,27.32,1857200
2021-11-24,27.21,27.32,27.03,27.13,1296200
2021-11-26,26.16,26.39,25.65,26.1,1913100
2021-11-29,26.63,26.79,26.13,26.58,1945300
2021-11-30,26.28,26.39,25.47,25.52,3754800
2021-12-01,26.22,26.5,25.05,25.06,2421300
2021-12-02,25.25,26.0,25.09,25.71,1929600
2021-12-03,25.7,25.76,24.67,25.12,3090800
2021-12-06,25.47,25.78,25.25,25.47,2319100
2021-12-07,25.92,26.22,25.77,25.98,1990700
2021-12-08,25.98,26.58,25.9,26.27,4392300
2021-12-09,26.12,26.68,25.95,26.2,3067000
2021-12-10,26.49,26.86,26.15,26.82,3716100
2021-12-13,26.86,27.2,26.21,26.88,3872500
2021-12-14,26.71,27.33,26.45,26.57,3364500
2021-12-15,26.69,27.34,26.43,27.26,2715900
2021-12-16,27.48,27.71,26.84,26.91,2135200
2021-12-17,26.47,26.71,26.03,26.17,7584200
2021-12-20,25.61,25.89,24.9,25.32,2256600
2021-12-21,25.82,26.0,25.62,25.93,1419400
2021-12-22,25.94,26.09,25.77,25.89,1330200
2021-12-23,26.02,26.4,25.94,26.32,942800
2021-12-27,26.31,26.83,26.3,26.82,973500
2021-12-28,26.78,27.01,26.66,26.83,1188200
2021-12-29,26.78,26.94,26.6,26.66,926600
2021-12-30,26.73,26.96,26.53,26.57,854000
2021-12-31,26.6,26.83,26.56,26.61,1107300
2022-01-03,26.78,27.06,26.37,26.54,1342900
2022-01-04,26.73,27.33,26.67,27.19,1714700
2022-01-05,27.39,27.75,26.89,26.9,3685900
2022-01-06,27.12,27.35,26.66,27.09,1949900
2022-01-07,27.26,28.0,27.09,27.93,3139800
2022-01-10,28.14,28.37,27.18,27.74,4176300
2022-01-11,28.0,28.58,27.84,28.57,3058400
2022-01-12,28.75,28.96,27.9,27.9,3053200
2022-01-13,27.96,28.2,27.7,27.75,2407000
2022-01-14,27.43,28.13,27.32,28.02,3547400
2022-01-18,27.84,27.95,26.9,27.22,3238000
2022-01-19,27.62,27.62,26.76,26.87,2478200
2022-01-20,27.14,27.2,25.95,26.0,2296900
2022-01-21,25.75,25.84,25.21,25.28,2701000
2022-01-24,24.69,25.27,24.0,25.18,3439500
2022-01-25,24.63,25.34,24.14,25.07,3654100
2022-01-26,25.58,25.96,24.88,25.22,2522100
2022-01-27,25.54,25.95,24.71,24.89,2432200
2022-01-28,24.54,24.83,24.05,24.81,4434300
2022-01-31,24.64,25.42,24.45,25.4,9154100
2022-02-01,26.1,26.17,25.0,25.54,6922600
2022-02-02,25.54,25.59,25.09,25.55,3985200
2022-02-03,25.53,25.57,24.56,24.6,2772100
2022-02-04,24.56,25.01,24.44,24.72,2351000
2022-02-07,24.7,25.11,24.51,24.69,3497900
2022-02-08,24.8,24.99,24.45,24.58,2633900
2022-02-09,24.79,25.07,24.69,24.9,2796400
2022-02-10,24.59,26.24,24.59,24.94,4175400
2022-02-11,24.86,25.19,24.14,24.34,2798300
2022-02-14,24.31,24.61,23.8,24.15,2569000
2022-02-15,24.45,24.76,24.39,24.68,1762700
2022-02-16,24.47,25.05,24.47,24.93,1744100
2022-02-17,24.66,24.7,23.85,23.92,1633500
2022-02-18,23.83,24.19,23.72,24.13,3319100
2022-02-22,24.06,24.06,23.12,23.45,2871900
2022-02-23,23.68,23.81,23.0,23.06,2292100
2022-02-24,22.38,23.11,22.01,23.01,2551500
2022-02-25,23.11,24.01,23.1,24.0,2926300
2022-02-28,23.43,23.9,23.31,23.62,2915100
2022-03-01,23.4,23.55,22.21,22.31,3354800
2022-03-02,22.53,23.5,22.44,23.4,2765700
2022-03-03,23.5,23.76,22.97,23.21,2951100
2022-03-04,22.72,22.79,22.06,22.4,2511300
2022-03-07,22.24,22.36,21.49,21.62,3402400
2022-03-08,21.85,22.46,21.63,21.94,2774200
2022-03-09,22.64,22.98,22.6,22.67,3574600
2022-03-10,22.21,22.46,21.05,21.63,4891000
