Date,Open,High,Low,Close,Volume
2021-09-09,20.27,21.23,20.22,20.96,7831200
2021-09-10,21.26,21.5,21.03,21.27,7367800
2021-09-13,21.65,21.95,21.57,21.75,7840700
2021-09-14,21.94,21.98,21.5,21.7,7745400
2021-09-15,21.94,22.72,21.81,22.4,13137400
2021-09-16,22.23,22.46,21.5,21.75,8721700
2021-09-17,21.66,21.71,21.23,21.34,30925500
2021-09-20,20.52,20.77,20.1,20.4,10931700
2021-09-21,20.61,20.87,20.28,20.72,10417300
2021-09-22,21.22,21.49,20.87,20.9,8430700
2021-09-23,20.95,21.72,20.84,21.43,10449200
2021-09-24,21.22,21.75,21.14,21.59,6938300
2021-09-27,22.1,22.45,22.06,22.22,10096300
2021-09-28,22.49,23.06,22.1,22.22,11749600
2021-09-29,22.2,22.62,21.98,22.33,8202800
2021-09-30,22.11,22.4,21.89,22.05,9607600
2021-10-01,22.22,22.56,21.94,22.45,7791100
2021-10-04,22.58,23.02,22.49,22.69,11063100
2021-10-05,22.98,23.14,22.32,22.59,7280700
2021-10-06,22.17,22.32,21.42,22.09,12159400
2021-10-07,22.15,22.49,21.9,22.1,9940400
2021-10-08,22.28,22.64,22.12,22.5,7635600
2021-10-11,22.66,23.22,22.54,22.69,8780200
2021-10-12,22.63,23.06,22.4,22.96,10808200
2021-10-13,22.65,23.52,22.65,23.4,10051700
2021-10-14,23.65,23.93,23.39,23.92,8306400
2021-10-15,24.26,24.66,23.84,23.97,13012700
2021-10-18,24.27,24.27,23.73,24.04,12523600
2021-10-19,24.17,24.22,23.68,23.96,12608000
2021-10-20,23.79,23.79,22.03,22.6,23532100
2021-10-21,22.54,22.57,21.35,21.64,17613600
2021-10-22,21.56,22.09,21.54,21.97,10298300
2021-10-25,22.28,22.49,21.92,22.43,15603000
2021-10-26,22.57,23.23,22.52,22.9,13011800
2021-10-27,22.61,22.76,22.17,22.3,9178800
2021-10-28,22.17,22.63,22.16,22.62,8114500
2021-10-29,22.61,22.62,22.26,22.36,8744700
2021-11-01,22.57,23.21,22.55,23.18,6731300
2021-11-02,23.09,23.28,22.89,23.26,9127100
2021-11-03,22.8,23.43,22.73,22.75,7575000
2021-11-04,23.1,23.28,22.26,22.4,9392800
2021-11-05,22.7,22.85,22.26,22.27,6758600
2021-11-08,22.41,22.63,21.9,22.36,8347100
2021-11-09,22.38,22.72,22.01,22.7,7184400
2021-11-10,22.46,22.74,21.54,21.62,7531700
2021-11-11,21.68,21.92,21.61,21.86,4447100
2021-11-12,21.71,22.12,21.62,21.88,5480500
2021-11-15,21.96,22.25,21.63,22.21,6228400
2021-11-16,22.32,22.95,22.11,22.65,7896900
2021-11-17,22.35,22.58,21.79,21.86,8713000
2021-11-18,21.88,21.98,21.21,21.49,6362500
2021-11-19,20.85,21.14,20.14,20.25,9780700
2021-11-22,20.28,20.55,20.03,20.34,8980300
2021-11-23,20.68,21.42,20.52,21.34,9700000
2021-11-24,21.0,22.06,20.95,21.66,8001300
2021-11-26,20.41,20.82,20.2,20.71,7881300
2021-11-29,21.25,21.37,20.77,21.13,11140400
2021-11-30,20.85,21.12,20.5,20.96,31133200
2021-12-01,21.77,22.12,21.01,21.03,9814200
2021-12-02,21.17,21.74,21.01,21.55,9414700
2021-12-03,21.82,21.91,21.31,21.5,7949500
2021-12-06,21.78,22.47,21.78,21.93,7015500
2021-12-07,22.17,22.48,22.05,22.34,8147500
2021-12-08,22.71,22.71,22.3,22.41,5565700
2021-12-09,22.09,22.41,21.99,22.33,4315100
2021-12-10,22.32,22.93,22.32,22.85,5996700
2021-12-13,22.71,22.93,21.93,22.05,7927000
2021-12-14,21.91,22.21,21.55,21.62,8449600
2021-12-15,21.64,21.69,20.52,21.4,8881200
2021-12-16,21.95,22.25,21.62,21.79,7545500
2021-12-17,21.38,21.6,20.68,21.26,19815400
2021-12-20,20.65,20.91,20.45,20.72,7535000
2021-12-21,21.06,21.45,20.99,21.36,6491900
2021-12-22,21.33,21.53,21.05,21.48,3421900
2021-12-23,21.62,21.89,21.52,21.75,3146600
2021-12-27,21.6,22.12,21.29,22.11,3437300
2021-12-28,22.16,22.25,21.85,22.07,3180000
2021-12-29,22.02,22.08,21.71,21.79,4302800
2021-12-30,21.69,21.88,21.43,21.51,3986500
2021-12-31,21.39,21.67,21.33,21.61,3861300
2022-01-03,21.64,22.51,21.64,22.49,4790600
2022-01-04,22.79,23.29,22.72,22.98,7798700
2022-01-05,23.36,23.54,23.01,23.06,7700300
2022-01-06,23.68,23.88,22.97,23.3,5841900
2022-01-07,23.35,23.52,23.18,23.46,6915200
2022-01-10,23.46,23.58,22.93,23.41,9974100
2022-01-11,23.6,24.29,23.47,24.21,9988300
2022-01-12,24.4,24.45,23.79,24.0,8317900
2022-01-13,23.72,24.25,23.51,23.59,9390700
2022-01-14,23.5,24.74,23.38,24.66,12025900
2022-01-18,24.94,25.0,23.81,24.07,10407500
2022-01-19,24.34,24.41,23.56,23.61,10458900
2022-01-20,24.52,25.04,23.9,23.99,12793300
2022-01-21,23.8,24.84,23.62,24.46,15878200
2022-01-24,23.96,24.34,22.92,24.31,11878600
2022-01-25,24.2,25.29,23.24,25.08,13512800
2022-01-26,25.24,25.49,24.36,24.71,12946600
2022-01-27,25.37,25.5,23.95,24.52,11477600
2022-01-28,24.33,24.73,23.78,24.39,8108400
2022-01-31,23.81,24.95,23.81,24.64,11173000
2022-02-01,24.26,25.05,24.02,24.7,8566100
2022-02-02,24.42,24.66,23.96,24.13,9553200
2022-02-03,24.17,24.23,23.54,23.67,8933900
2022-02-04,23.82,24.36,23.73,24.04,7713700
2022-02-07,24.02,25.22,23.94,24.89,9541200
2022-02-08,24.89,25.0,24.2,24.74,5726900
2022-02-09,24.8,25.47,24.7,25.0,7297500
2022-02-10,24.82,25.55,24.61,24.81,7381200
2022-02-11,25.02,26.47,24.9,26.35,10092400
2022-02-14,26.12,26.38,25.45,25.81,7327300
2022-02-15,25.16,26.07,25.01,26.03,6366200
2022-02-16,26.22,27.22,26.22,26.86,10323200
2022-02-17,26.77,27.01,26.48,26.61,5502400
2022-02-18,26.24,26.75,25.96,26.32,5039000
2022-02-22,26.9,27.1,25.69,25.86,15255900
2022-02-23,25.89,26.61,25.71,26.27,7211700
2022-02-24,26.63,26.68,25.23,25.97,11866300
2022-02-25,26.13,26.76,25.86,26.67,7092200
2022-02-28,26.45,26.84,26.15,26.56,11034200
2022-03-01,26.77,26.93,25.06,25.62,12167200
2022-03-02,26.26,27.71,26.25,27.48,11545600
2022-03-03,27.07,28.37,27.07,28.22,13542800
2022-03-04,27.89,30.09,27.82,30.04,14323100
2022-03-07,30.02,32.48,30.02,31.45,19497500
2022-03-08,31.88,33.38,30.9,31.47,22307600
2022-03-09,30.65,31.48,29.6,30.57,21479200
2022-03-10,30.69,33.36,30.68,33.22,13964300
2022-03-11,32.6,34.73,32.6,34.03,15390700
2022-03-14,33.16,33.89,32.8,33.44,12763500
2022-03-15,32.07,32.8,31.18,31.53,14491500
2022-03-16,31.38,31.62,29.46,30.43,20716500
2022-03-17,30.97,31.84,30.67,31.63,15890200
2022-03-18,31.36,32.14,31.3,31.91,24795600
2022-03-21,32.56,33.57,32.45,32.75,19941400
2022-03-22,32.69,33.42,32.46,33.04,16908500
2022-03-23,33.45,34.44,33.19,33.99,15181200
2022-03-24,33.9,35.97,33.83,34.62,13293800
2022-03-25,34.3,35.03,34.3,35.01,11991900
2022-03-28,34.29,34.3,33.22,33.45,7384500
2022-03-29,32.73,33.2,31.8,33.16,13403000
2022-03-30,33.73,33.96,33.1,33.77,9134100
2022-03-31,33.5,34.15,32.64,32.92,11010200
2022-04-01,33.18,33.64,32.65,32.93,8558800
2022-04-04,33.17,33.26,32.37,32.94,8290000
2022-04-05,32.91,33.73,31.95,32.12,12705300
2022-04-06,32.44,32.9,31.91,32.3,8523600
2022-04-07,32.26,32.75,31.72,32.66,9536200
2022-04-08,32.83,34.0,32.8,33.92,12765800
2022-04-11,33.2,33.62,32.91,32.98,7655500
2022-04-12,33.03,33.61,32.6,32.84,8028100
2022-04-13,33.34,33.74,32.6,33.65,6849800
2022-04-14,33.29,34.03,33.25,33.72,6853500
2022-04-18,34.0,34.28,33.61,33.84,10120500
2022-04-19,33.58,34.04,33.01,33.22,10264000
2022-04-20,32.52,32.88,29.66,31.94,23404100
2022-04-21,32.14,32.23,29.19,29.76,19153700
2022-04-22,29.48,30.76,28.95,29.11,12918100
2022-04-25,28.01,28.31,26.64,27.79,16705400
2022-04-26,28.14,29.5,28.05,28.35,17393700
2022-04-27,28.45,28.89,27.91,28.28,9187900
2022-04-28,28.48,29.3,27.9,28.91,11759100
2022-04-29,28.95,29.13,27.87,28.05,13335200
2022-05-02,27.79,28.35,27.34,27.95,8737800
2022-05-03,27.79,28.66,27.67,28.48,9766500
2022-05-04,29.11,29.8,28.1,29.69,11857600
2022-05-05,29.77,29.94,28.23,28.95,9915500
2022-05-06,29.14,29.44,28.54,29.05,6917500
2022-05-09,28.62,28.62,27.1,27.17,13366300
2022-05-10,27.45,28.46,27.21,27.87,8439300
2022-05-11,28.5,29.64,28.26,29.38,13027700
2022-05-12,29.05,29.31,27.92,28.85,12987100
2022-05-13,29.33,30.92,29.26,30.84,9974900
2022-05-16,30.62,31.67,30.57,31.58,8788800
2022-05-17,32.16,32.32,31.56,31.79,9523700
2022-05-18,32.04,32.3,30.81,31.32,7188600
2022-05-19,30.65,32.16,30.54,31.62,7785600
2022-05-20,31.94,32.16,30.71,31.24,9027700
2022-05-23,31.65,32.55,31.43,32.29,9358500
2022-05-24,31.84,32.93,31.74,32.8,7961500
2022-05-25,32.88,33.07,31.96,32.3,9187800
2022-05-26,32.85,33.78,32.8,33.54,6687000
2022-05-27,33.19,34.03,33.19,33.78,7577800
2022-05-31,33.97,34.49,32.36,32.69,21917500
2022-06-01,33.19,34.34,33.19,33.99,8349800
2022-06-02,33.98,34.05,33.35,33.54,7678600
2022-06-03,33.32,34.52,33.21,34.36,5939500
2022-06-06,34.53,34.7,34.1,34.24,6681900
2022-06-07,34.02,34.46,33.84,34.22,6771800
2022-06-08,34.42,35.13,33.99,34.06,7251700
2022-06-09,33.66,33.85,32.74,32.78,8662800
2022-06-10,32.25,32.85,31.61,32.01,9472000
2022-06-13,31.18,31.25,29.85,30.26,13025700
2022-06-14,31.11,31.35,29.55,29.92,9909100
2022-06-15,30.16,30.16,28.44,28.84,13069200
2022-06-16,28.0,28.5,27.1,27.16,14673200
2022-06-17,27.19,27.44,26.21,27.23,28201900
2022-06-21,27.73,28.37,27.45,27.69,10414000
2022-06-22,26.29,27.18,26.1,26.82,11023900
2022-06-23,26.88,27.08,25.51,26.04,11185300
2022-06-24,26.13,26.6,25.79,25.87,18456700
2022-06-27,26.51,26.94,26.17,26.75,6675400
2022-06-28,27.26,27.68,26.88,27.32,6503700
2022-06-29,27.47,27.74,26.58,26.92,8727700
2022-06-30,26.51,27.51,26.06,26.23,8592500
2022-07-01,26.45,26.73,25.46,26.43,5441400
2022-07-05,25.52,26.16,24.84,25.62,10379000
2022-07-06,25.26,26.09,24.39,24.99,8647100
2022-07-07,25.82,26.48,25.71,25.87,6656400
