Date,Open,High,Low,Close,Volume
2021-09-10,56.39,56.6,55.69,55.75,1147500
2021-09-13,56.27,56.27,55.06,55.44,1079000
2021-09-14,55.43,55.65,53.82,54.13,2333200
2021-09-15,54.15,55.77,54.07,55.47,1390700
2021-09-16,55.43,55.55,54.66,55.45,1217300
2021-09-17,55.64,55.69,54.2,55.01,48381800
2021-09-20,53.92,54.7,53.67,54.37,2672600
2021-09-21,54.67,54.98,54.24,54.65,1626800
2021-09-22,55.06,55.55,54.43,55.39,1474900
2021-09-23,55.73,55.98,55.15,55.47,1162400
2021-09-24,55.49,56.1,55.45,56.06,812300
2021-09-27,56.18,56.18,55.26,55.31,1044600
2021-09-28,55.24,55.24,53.61,53.84,1450100
2021-09-29,53.94,54.62,53.94,54.26,1093500
2021-09-30,54.49,54.6,53.5,53.51,1631700
2021-10-01,53.75,55.94,53.53,55.58,2024100
2021-10-04,55.61,56.04,54.8,55.18,1398000
2021-10-05,55.47,56.42,55.18,56.09,1602400
2021-10-06,55.63,56.77,55.51,56.74,933500
2021-10-07,57.11,57.77,56.98,57.37,946600
2021-10-08,57.42,57.97,57.25,57.89,757700
2021-10-11,57.98,58.74,57.84,58.14,939200
2021-10-12,58.4,59.2,58.12,58.62,967800
2021-10-13,58.56,59.55,58.29,59.47,1026900
2021-10-14,59.93,60.96,59.85,60.92,1208200
2021-10-15,61.28,62.45,61.13,62.07,1530700
2021-10-18,61.81,62.33,61.67,61.77,1308900
2021-10-19,62.15,62.15,61.42,61.84,1388800
2021-10-20,62.08,62.5,62.08,62.31,1619600
2021-10-21,62.61,63.36,62.47,63.33,1504000
2021-10-22,63.5,64.28,63.34,64.16,1188400
2021-10-25,64.12,64.88,63.91,64.13,1645900
2021-10-26,64.03,64.59,61.23,61.66,2303200
2021-10-27,62.01,62.26,60.11,60.45,1807600
2021-10-28,60.58,61.21,60.46,60.74,1055400
2021-10-29,60.77,61.29,60.47,60.9,1798000
2021-11-01,61.06,61.08,59.25,59.7,1523000
2021-11-02,59.8,61.01,59.73,60.63,1622300
2021-11-03,60.68,61.4,58.97,59.75,1679800
2021-11-04,59.83,60.02,59.2,59.47,1437600
2021-11-05,59.86,60.19,59.55,59.9,1438300
2021-11-08,60.28,60.73,59.71,60.61,1344500
2021-11-09,60.49,61.21,60.42,60.9,1391200
2021-11-10,60.88,61.36,60.77,61.08,1002600
2021-11-11,60.99,61.76,60.75,61.56,1003800
2021-11-12,62.02,62.56,61.75,62.36,1236300
2021-11-15,62.45,62.86,61.89,62.15,1020400
2021-11-16,62.27,63.37,62.27,62.76,1240800
2021-11-17,62.7,63.02,62.05,62.56,939500
2021-11-18,62.67,63.14,61.96,62.0,888500
2021-11-19,62.1,62.83,61.52,62.38,3440000
2021-11-22,62.74,63.76,62.42,63.1,1674500
2021-11-23,63.09,63.66,62.8,63.61,1016100
2021-11-24,63.33,64.21,63.29,64.12,949300
2021-11-26,63.15,63.48,62.21,62.6,810400
2021-11-29,63.28,63.53,62.61,63.22,797600
2021-11-30,62.84,63.59,62.07,62.26,2310700
2021-12-01,63.06,63.86,61.55,61.56,1804200
2021-12-02,61.91,64.1,61.67,63.67,1379000
2021-12-03,63.87,63.99,62.41,63.03,1446700
2021-12-06,63.59,64.17,63.29,63.69,1101800
2021-12-07,64.2,64.93,64.08,64.81,1715600
2021-12-08,65.05,65.64,64.44,65.42,1561100
2021-12-09,65.07,65.35,64.74,64.82,680000
2021-12-10,65.45,65.5,64.21,64.96,1136100
2021-12-13,64.88,65.2,63.86,64.71,880300
2021-12-14,64.62,64.99,63.66,64.72,1155900
2021-12-15,65.02,65.89,64.38,65.78,1586600
2021-12-16,65.77,66.24,64.58,64.99,1158200
2021-12-17,64.82,64.91,63.43,63.67,3166100
2021-12-20,63.02,63.87,62.26,63.75,1669500
2021-12-21,64.22,64.88,63.83,64.27,1090800
2021-12-22,64.28,65.36,64.26,65.31,749300
2021-12-23,65.75,66.09,65.37,65.76,661500
2021-12-27,66.12,67.16,65.95,67.14,514400
2021-12-28,67.24,67.73,66.77,67.02,590600
2021-12-29,67.18,67.78,67.18,67.5,523400
2021-12-30,67.66,67.83,67.32,67.48,701200
2021-12-31,67.38,68.38,67.16,67.93,938300
2022-01-03,68.05,68.24,66.04,66.49,1543500
2022-01-04,66.61,67.11,65.97,66.81,1600700
2022-01-05,66.96,67.05,65.19,65.2,1669300
2022-01-06,65.32,66.56,64.91,66.25,1207200
2022-01-07,66.16,66.47,65.32,66.31,2321400
2022-01-10,65.93,66.23,64.67,65.8,1263900
2022-01-11,65.98,66.17,64.81,66.07,1247000
2022-01-12,66.3,67.36,65.95,67.11,1430200
2022-01-13,67.22,67.22,66.06,66.29,1103000
2022-01-14,66.02,66.23,64.07,64.81,1949000
2022-01-18,64.1,64.58,63.33,63.75,1724200
2022-01-19,64.37,64.37,62.4,62.47,1633300
2022-01-20,63.07,63.69,61.92,62.09,1428700
2022-01-21,62.14,62.53,61.0,61.02,1798900
2022-01-24,60.62,62.77,59.87,62.45,2440600
2022-01-25,63.89,65.11,60.91,62.27,3269000
2022-01-26,62.82,63.43,60.46,61.14,2021000
2022-01-27,61.69,62.01,59.25,59.9,2698700
2022-01-28,60.0,62.27,59.43,62.23,2101300
2022-01-31,62.21,64.35,61.91,64.06,6616600
2022-02-01,64.06,64.56,62.96,64.44,2182400
2022-02-02,64.43,66.23,64.35,65.8,2066300
2022-02-03,65.29,65.82,64.32,64.51,1524800
2022-02-04,64.27,65.99,64.05,65.37,1216700
2022-02-07,65.43,66.08,65.34,65.44,1935100
2022-02-08,65.52,66.06,64.08,65.86,1464800
2022-02-09,66.46,67.8,66.46,67.78,1358600
2022-02-10,66.78,68.25,66.48,66.89,2943300
2022-02-11,66.87,67.06,64.5,64.77,1919900
2022-02-14,64.6,65.25,63.38,63.87,1619000
2022-02-15,64.66,65.1,64.07,64.45,1031600
2022-02-16,64.03,64.67,63.61,64.48,974900
2022-02-17,64.12,64.42,63.24,63.53,1597000
2022-02-18,63.52,64.43,63.28,64.03,1806700
2022-02-22,63.98,64.45,63.01,63.58,1689700
2022-02-23,63.88,64.18,62.1,62.18,1341300
2022-02-24,60.86,64.28,60.42,64.04,2108100
2022-02-25,64.14,65.58,63.99,65.43,2262700
2022-02-28,64.34,65.69,64.28,65.45,2465700
2022-03-01,65.27,65.83,64.3,64.73,2225000
2022-03-02,65.33,65.98,64.67,65.55,1426600
2022-03-03,65.98,66.67,65.26,65.93,1349600
2022-03-04,65.43,66.32,64.84,66.22,1073100
2022-03-07,65.65,65.84,63.99,64.11,1548800
2022-03-08,64.04,64.21,59.17,59.18,4909300
2022-03-09,60.41,62.18,59.65,61.51,2700400
2022-03-10,60.61,61.87,60.61,61.16,2235400
2022-03-11,61.57,62.14,60.63,60.71,1404000
2022-03-14,61.31,62.11,60.73,61.53,1117600
2022-03-15,62.6,63.95,62.22,63.87,2258100
2022-03-16,64.11,65.38,63.17,64.74,1883700
2022-03-17,64.6,65.99,64.57,65.86,1815300
2022-03-18,66.16,67.58,65.88,67.37,2982700
2022-03-21,67.38,67.99,66.36,67.29,1937900
2022-03-22,67.61,67.65,66.38,67.0,2653700
2022-03-23,66.59,67.51,66.41,66.48,1832800
2022-03-24,66.48,67.19,66.42,66.78,1576000
2022-03-25,67.04,68.15,66.83,68.12,1558100
2022-03-28,68.49,69.94,68.44,69.8,1687300
2022-03-29,70.45,70.83,69.55,70.16,1178700
2022-03-30,70.11,70.41,69.71,70.39,1109000
2022-03-31,70.55,71.63,69.96,69.96,2290000
2022-04-01,70.23,71.16,69.73,70.24,1785900
2022-04-04,70.1,70.99,69.71,69.89,1266300
2022-04-05,69.74,71.25,69.71,70.05,1057200
2022-04-06,69.59,70.66,69.31,70.55,1220600
2022-04-07,70.59,71.5,70.04,71.05,1489800
2022-04-08,71.06,71.47,70.53,70.63,930500
2022-04-11,70.52,70.9,69.59,70.19,1067800
2022-04-12,70.35,71.1,69.4,69.64,945400
2022-04-13,69.55,69.88,68.66,69.55,1163700
2022-04-14,69.68,70.07,68.92,68.98,951700
2022-04-18,68.29,68.81,67.37,67.68,1767200
2022-04-19,67.81,68.21,67.33,67.92,1553700
2022-04-20,68.14,68.99,67.96,68.79,1708000
2022-04-21,69.3,69.74,68.28,68.42,1645900
2022-04-22,68.19,68.3,65.47,65.57,1370600
2022-04-25,65.3,66.44,64.48,66.26,1734000
2022-04-26,66.52,66.65,63.56,63.58,2471500
2022-04-27,63.6,64.06,62.46,62.64,2062700
2022-04-28,63.21,64.08,62.24,63.67,1901300
2022-04-29,62.88,63.0,59.79,60.0,3801100
2022-05-02,60.5,60.7,56.68,58.16,3251900
2022-05-03,58.34,59.33,57.78,58.04,2099000
2022-05-04,58.0,59.67,56.94,59.54,2328800
2022-05-05,58.97,59.35,56.39,57.08,1538200
2022-05-06,56.7,57.01,55.77,56.48,1880400
2022-05-09,56.11,56.19,54.64,54.87,2037700
2022-05-10,55.41,56.23,54.54,55.81,2949300
2022-05-11,55.55,56.22,54.29,54.39,2079300
2022-05-12,54.19,55.19,53.58,54.36,2142800
2022-05-13,54.89,56.47,54.7,56.15,1822600
2022-05-16,56.03,56.22,55.27,55.72,1521400
2022-05-17,56.29,56.59,55.51,56.52,1836500
2022-05-18,55.89,56.03,53.44,53.59,1612800
2022-05-19,53.36,53.68,52.28,53.05,3081400
2022-05-20,53.56,53.69,51.78,53.34,5480500
2022-05-23,53.95,54.47,53.0,54.28,2291100
2022-05-24,53.98,54.46,52.97,54.27,1830200
2022-05-25,54.09,54.77,53.65,54.48,2386200
2022-05-26,55.08,56.6,54.62,56.34,2128300
2022-05-27,56.63,58.14,56.53,58.14,2452300
2022-05-31,57.67,58.1,56.66,57.57,8115600
2022-06-01,57.72,58.04,55.76,56.25,1359000
2022-06-02,56.29,57.85,55.87,57.81,1310600
2022-06-03,56.97,57.58,56.8,56.96,1041400
2022-06-06,57.55,58.03,56.98,57.14,1654400
2022-06-07,56.59,57.48,56.26,57.46,978200
2022-06-08,56.95,57.61,56.62,56.67,924400
2022-06-09,56.7,57.06,55.09,55.12,1058200
2022-06-10,53.95,54.77,53.56,54.06,1236900
2022-06-13,52.95,53.7,52.29,52.84,1227200
2022-06-14,52.8,53.54,52.45,53.01,1372200
2022-06-15,53.66,54.19,52.38,53.28,1086100
2022-06-16,52.17,52.25,51.31,51.67,1796300
2022-06-17,51.88,52.48,51.49,51.88,2002600
2022-06-21,52.44,53.43,52.4,53.21,1358700
2022-06-22,52.6,54.66,52.6,53.81,1342400
2022-06-23,54.18,55.9,53.98,55.56,1578900
2022-06-24,55.97,57.32,55.86,57.27,1377700
2022-06-27,57.3,57.47,56.58,57.23,1253500
2022-06-28,57.31,58.11,55.93,55.96,1061100
2022-06-29,56.0,56.4,55.61,56.24,1660000
2022-06-30,55.91,56.77,55.55,56.57,1606600
2022-07-01,56.56,57.54,56.34,57.53,1434800
2022-07-05,56.88,58.15,56.74,58.09,2447300
2022-07-06,58.25,58.98,57.72,58.59,1209400
2022-07-07,58.6,58.95,58.34,58.62,1238500
2022-07-08,58.67,58.78,58.07,58.26,992400
2022-07-11,58.07,58.28,57.68,57.84,606300
2022-07-12,57.54,58.37,56.85,57.25,1000200
2022-07-13,56.5,57.63,56.34,57.11,853500
2022-07-14,56.15,56.75,55.74,56.54,792200
2022-07-15,57.47,57.84,57.2,57.51,1065300
2022-07-18,57.58,58.36,56.84,56.98,1228000
2022-07-19,57.62,59.08,57.46,59.01,1463900
2022-07-20,59.05,59.41,58.62,58.84,1447200
2022-07-21,59.02,60.51,58.89,60.47,1010600
2022-07-22,60.71,60.9,59.55,60.09,938100
2022-07-25,60.22,60.7,59.86,60.5,1036900
2022-07-26,59.64,60.7,59.38,59.82,1347400
2022-07-27,60.12,61.45,60.12,61.17,1036200
2022-07-28,61.31,62.49,60.64,62.43,1275000
2022-07-29,62.62,63.71,62.54,63.13,1308700
2022-08-01,62.17,62.5,61.15,61.27,1040500
2022-08-02,61.08,61.67,60.79,60.98,915000
2022-08-03,61.26,62.55,61.24,62.34,672600
2022-08-04,62.21,62.62,62.05,62.36,1143500
2022-08-05,61.87,62.97,61.7,62.94,563800
2022-08-08,63.19,63.7,62.95,63.3,692300
2022-08-09,63.2,64.11,63.1,63.64,800500
2022-08-10,64.1,64.62,64.04,64.46,1240000
2022-08-11,64.79,65.41,64.36,64.63,737500
2022-08-12,65.1,65.65,64.92,65.61,1393100
2022-08-15,65.35,66.17,65.06,66.04,784800
2022-08-16,65.73,66.46,65.67,66.18,714000
2022-08-17,65.59,66.31,65.43,65.99,614300
2022-08-18,65.98,66.12,65.28,65.86,1668700
2022-08-19,65.62,65.68,65.03,65.34,916000
2022-08-22,64.67,64.99,63.94,64.04,864100
2022-08-23,63.83,64.02,63.09,63.18,633300
2022-08-24,63.37,63.71,63.12,63.47,816900
2022-08-25,63.73,64.71,63.43,64.66,712800
2022-08-26,64.79,64.79,63.19,63.22,625000
2022-08-29,62.59,63.14,62.06,62.52,990100
2022-08-30,62.88,62.88,61.81,61.97,636100
2022-08-31,62.41,62.65,61.21,61.23,1084500
2022-09-01,61.19,61.86,60.64,61.83,984700
2022-09-02,62.36,62.62,60.76,61.08,758500
2022-09-06,61.17,62.06,61.13,61.54,817600
2022-09-07,61.77,63.5,61.68,63.38,890200
2022-09-08,63.02,63.72,62.82,63.67,620500
2022-09-09,63.7,64.29,63.47,63.53,941300
2022-09-12,63.62,63.73,63.09,63.42,941400
2022-09-13,62.28,62.43,60.82,60.96,1078500
2022-09-14,61.17,61.18,60.22,60.72,2609000
2022-09-15,60.78,60.89,59.52,59.72,2336000
2022-09-16,59.32,59.91,58.91,59.77,3976800
2022-09-19,59.51,60.11,59.32,59.98,2024600
2022-09-20,59.47,60.04,58.87,59.67,1845600
2022-09-21,60.06,60.87,58.63,58.66,1039700
2022-09-22,58.47,58.48,57.07,57.54,1490900
2022-09-23,57.15,57.87,56.49,57.23,1469700
2022-09-26,57.0,57.54,56.42,56.94,1549000
2022-09-27,57.63,58.76,57.19,57.74,2008600
2022-09-28,58.35,58.93,57.76,58.51,1393100
2022-09-29,58.31,59.26,57.71,59.14,2034500
2022-09-30,59.06,59.93,58.56,58.74,1825100
2022-10-03,58.81,60.61,58.81,60.26,1644000
2022-10-04,60.78,62.18,60.78,61.48,1090300
2022-10-05,60.97,62.19,60.83,61.88,914900
2022-10-06,61.75,61.87,60.63,60.85,1049400
2022-10-07,60.37,60.5,59.05,59.46,1114600
2022-10-10,59.76,60.51,59.6,60.29,807400
2022-10-11,60.22,60.91,59.67,60.18,1286100
2022-10-12,60.02,60.02,58.81,58.94,1287000
2022-10-13,57.91,61.14,57.5,60.76,1723600
2022-10-14,61.26,61.44,57.66,57.77,1645700
