Date,Open,High,Low,Close,Volume
2021-09-17,146.79,148.17,146.42,147.16,2503100
2021-09-20,146.33,147.87,144.6,146.11,1174100
2021-09-21,146.71,147.92,146.13,146.57,1053400
2021-09-22,146.89,147.42,146.07,146.32,978700
2021-09-23,146.31,146.67,143.08,143.9,1651800
2021-09-24,143.61,144.29,140.88,142.11,1622200
2021-09-27,141.17,142.05,138.1,138.35,2153600
2021-09-28,136.49,137.99,135.41,136.64,2823500
2021-09-29,137.21,138.13,136.36,137.19,1377800
2021-09-30,137.68,137.93,135.14,135.28,1701300
2021-10-01,135.68,136.26,134.51,135.04,1457400
2021-10-04,134.52,136.26,134.08,135.54,1462500
2021-10-05,135.65,135.88,133.59,134.6,1514400
2021-10-06,134.01,136.24,132.9,136.08,1250400
2021-10-07,136.6,137.97,134.71,134.91,947200
2021-10-08,134.83,134.83,132.27,132.55,971700
2021-10-11,132.33,133.16,131.32,131.72,1202900
2021-10-12,132.22,133.66,131.56,133.16,1478700
2021-10-13,132.16,132.97,129.81,132.47,2809700
2021-10-14,132.82,134.21,132.34,133.69,2173400
2021-10-15,134.02,134.19,130.63,131.79,2276400
2021-10-18,131.59,131.84,130.15,130.98,1812300
2021-10-19,133.01,135.22,132.29,134.94,2788000
2021-10-20,135.03,136.73,134.95,136.59,2364300
2021-10-21,135.15,139.03,133.88,138.89,2901600
2021-10-22,138.93,140.45,138.08,139.81,2834200
2021-10-25,139.51,139.67,137.66,138.65,1898100
2021-10-26,139.0,140.93,138.67,140.56,1519400
2021-10-27,141.86,142.37,138.88,139.13,2486000
2021-10-28,139.28,142.23,138.72,141.98,2031200
2021-10-29,140.91,142.8,139.85,140.73,2619700
2021-11-01,141.3,141.95,139.52,141.67,1738200
2021-11-02,142.05,143.21,140.18,142.68,1750700
2021-11-03,143.26,144.19,141.2,142.77,1334400
2021-11-04,142.97,143.33,140.81,141.31,1343000
2021-11-05,142.05,142.81,140.39,140.59,1373300
2021-11-08,140.95,141.35,138.28,140.47,1525100
2021-11-09,140.49,141.73,140.19,141.16,1719200
2021-11-10,141.16,142.38,140.12,140.76,1246600
2021-11-11,140.88,141.25,139.41,141.01,1323700
2021-11-12,141.41,141.68,140.53,141.1,1080300
2021-11-15,141.02,142.71,140.27,142.66,1085700
2021-11-16,143.04,143.82,140.49,140.66,1453800
2021-11-17,140.66,144.89,140.39,144.16,2011600
2021-11-18,144.19,144.33,141.47,143.09,1285000
2021-11-19,144.12,144.68,142.65,143.41,1478500
2021-11-22,143.42,143.67,140.91,142.02,1369100
2021-11-23,141.55,143.82,141.55,143.36,1188900
2021-11-24,143.65,145.77,142.35,145.69,1035600
2021-11-26,144.97,146.61,142.9,143.22,807300
2021-11-29,143.22,145.96,141.9,145.04,1295100
2021-11-30,144.39,145.46,141.62,141.78,2658700
2021-12-01,142.05,145.23,140.86,140.93,1410800
2021-12-02,141.94,146.35,141.69,144.89,1761000
2021-12-03,145.19,145.75,142.99,144.29,1232700
2021-12-06,144.82,147.62,144.25,146.6,2042000
2021-12-07,147.7,150.25,147.37,149.98,1847900
2021-12-08,149.72,151.25,148.62,149.51,2298200
2021-12-09,149.16,149.7,147.38,148.0,1430600
2021-12-10,148.22,151.05,147.39,150.8,1642500
2021-12-13,150.64,155.53,150.64,155.03,1676900
2021-12-14,154.73,154.9,151.5,153.26,1629100
2021-12-15,154.13,155.43,153.08,154.91,1291400
2021-12-16,155.1,158.03,154.68,157.64,1631200
2021-12-17,157.84,160.53,157.11,158.32,3381400
2021-12-20,156.94,159.34,156.17,158.94,1096500
2021-12-21,159.59,160.28,155.35,156.15,1439500
2021-12-22,156.71,157.14,155.8,156.94,1165100
2021-12-23,156.98,157.78,155.82,156.79,1211000
2021-12-27,157.72,161.14,157.05,161.0,920600
2021-12-28,161.0,162.65,160.45,162.22,1156000
2021-12-29,162.02,163.35,160.95,163.01,849500
2021-12-30,163.56,164.1,162.54,163.49,735500
2021-12-31,163.79,165.03,163.2,164.14,739400
2022-01-03,164.34,164.34,160.24,163.35,1641800
2022-01-04,162.88,163.75,158.76,158.96,1896600
2022-01-05,156.28,156.28,147.73,148.19,3577200
2022-01-06,149.03,151.96,145.67,151.37,2592500
2022-01-07,151.52,155.09,150.39,153.12,2260900
2022-01-10,151.46,151.46,147.92,149.93,1937300
2022-01-11,150.15,150.15,146.24,147.51,2446600
2022-01-12,147.37,150.0,147.04,148.95,2051800
2022-01-13,149.03,149.55,146.87,147.34,1614900
2022-01-14,147.01,147.29,142.96,144.8,1639100
2022-01-18,143.11,145.29,142.55,144.69,1682700
2022-01-19,145.33,146.89,144.02,144.05,1981200
2022-01-20,144.25,146.5,142.58,142.84,1440700
2022-01-21,143.9,145.49,142.59,143.31,1413100
2022-01-24,142.64,144.79,139.81,144.38,2102100
2022-01-25,142.82,144.58,141.37,143.25,1459800
2022-01-26,144.14,145.02,138.25,139.1,2469000
2022-01-27,139.57,139.97,133.74,134.91,2298700
2022-01-28,137.62,142.15,135.3,142.08,1934700
2022-01-31,141.3,143.69,140.56,143.51,2076200
2022-02-01,143.08,143.78,140.45,141.99,1460400
2022-02-02,142.71,145.18,142.4,144.69,1649300
2022-02-03,143.74,144.39,142.63,142.86,990100
2022-02-04,141.23,143.7,140.36,141.78,1095100
2022-02-07,141.96,143.52,141.57,142.24,1098700
2022-02-08,142.15,142.53,139.38,139.57,1840600
2022-02-09,140.97,142.41,140.42,141.26,2814900
2022-02-10,139.26,140.66,135.6,136.08,1877400
2022-02-11,136.22,137.22,131.84,132.8,2920000
2022-02-14,133.16,133.58,130.77,131.77,2146100
2022-02-15,133.03,133.23,129.67,130.22,2536400
2022-02-16,130.24,130.51,128.45,129.49,2050200
2022-02-17,129.72,129.84,128.25,128.46,3107000
2022-02-18,128.45,129.62,126.68,127.65,4020700
2022-02-22,127.62,129.7,126.05,128.29,2584500
2022-02-23,128.4,129.53,125.72,125.76,1920000
2022-02-24,124.01,130.19,123.58,129.75,2967200
2022-02-25,130.29,131.93,128.92,131.77,1676300
2022-02-28,131.05,131.78,129.4,131.0,3137900
2022-03-01,131.79,133.17,130.9,132.11,1985800
2022-03-02,132.34,136.88,132.34,136.19,3584700
2022-03-03,136.9,139.08,136.24,138.27,1846200
2022-03-04,137.34,141.6,137.24,140.83,1741900
2022-03-07,140.07,140.84,138.46,139.01,2091800
2022-03-08,138.25,140.99,136.69,136.7,1962300
2022-03-09,138.35,139.28,136.42,136.79,1238300
2022-03-10,135.29,138.89,134.0,138.53,1624500
2022-03-11,139.43,140.91,136.46,136.53,1179300
2022-03-14,137.0,137.9,135.38,137.02,1435000
2022-03-15,138.43,139.28,136.16,137.01,1855800
2022-03-16,137.79,138.78,134.98,137.51,1866400
2022-03-17,137.51,140.48,137.51,140.31,1411500
2022-03-18,142.63,142.75,138.49,138.69,3674600
2022-03-21,138.44,140.06,138.05,138.86,2036900
2022-03-22,138.86,139.54,137.58,138.01,1707100
2022-03-23,137.73,139.0,136.1,137.53,1206000
2022-03-24,137.18,139.12,136.52,139.03,1568700
2022-03-25,139.93,141.05,138.62,140.83,1422500
2022-03-28,141.38,143.43,141.35,143.41,1470200
2022-03-29,144.05,145.98,144.05,145.82,1441500
2022-03-30,145.08,146.47,144.24,146.37,1595700
2022-03-31,146.71,148.83,146.29,146.4,2602500
2022-04-01,146.75,150.02,145.07,149.92,1292800
2022-04-04,149.91,150.67,148.57,149.96,1216000
2022-04-05,149.81,154.6,149.42,153.15,2250300
2022-04-06,152.83,157.53,152.6,156.68,2160700
2022-04-07,155.98,157.42,155.08,155.85,2119200
2022-04-08,155.83,157.66,155.05,157.04,1258200
2022-04-11,156.93,158.39,154.99,155.49,1562200
2022-04-12,154.49,155.28,153.01,153.92,1240800
2022-04-13,153.83,154.04,151.86,153.42,1097500
2022-04-14,153.69,153.88,152.5,152.8,1099700
2022-04-18,152.64,153.08,150.62,151.43,1120100
2022-04-19,152.09,154.32,151.73,153.75,1361800
2022-04-20,153.94,157.49,153.49,156.97,1440700
2022-04-21,157.9,158.59,155.75,155.75,1308400
2022-04-22,156.04,156.04,153.53,153.96,1840700
2022-04-25,154.55,154.64,151.08,152.96,1381300
2022-04-26,153.01,154.15,149.17,149.58,1915500
2022-04-27,149.73,151.98,148.62,149.68,1443200
2022-04-28,149.86,152.51,147.92,152.32,1603400
2022-04-29,151.73,151.73,146.6,146.88,1827700
2022-05-02,147.87,148.09,140.84,143.4,1612600
2022-05-03,144.35,147.3,143.5,145.69,1347900
2022-05-04,145.94,146.91,143.64,146.27,1936200
2022-05-05,145.79,146.69,142.66,144.01,1393400
2022-05-06,142.9,144.95,142.04,144.81,1876900
2022-05-09,143.84,143.91,138.58,139.09,1934600
2022-05-10,140.25,140.95,134.07,135.05,1747000
2022-05-11,135.5,137.5,135.15,135.37,1593200
2022-05-12,135.44,136.93,134.25,136.44,1439800
2022-05-13,137.84,140.0,136.47,139.97,1855000
2022-05-16,139.67,140.9,138.86,139.33,1690600
2022-05-17,140.44,140.6,137.48,140.21,1675600
2022-05-18,140.34,140.78,138.59,139.15,1634200
2022-05-19,138.47,142.38,138.12,141.46,1751300
2022-05-20,142.67,145.08,141.42,144.49,1501800
2022-05-23,145.87,147.25,144.44,146.88,1384500
2022-05-24,146.79,152.39,145.98,151.96,1447400
2022-05-25,149.93,151.86,148.34,150.82,1606100
2022-05-26,151.47,152.11,147.83,148.72,1106600
2022-05-27,149.6,153.81,148.51,153.37,1326000
2022-05-31,150.99,151.94,149.16,150.4,2354900
2022-06-01,150.73,150.73,148.03,149.16,1056000
2022-06-02,146.17,148.51,139.67,148.47,2695500
2022-06-03,147.27,147.98,144.95,145.16,1775700
2022-06-06,146.17,147.59,144.96,146.54,1295600
2022-06-07,145.84,147.55,143.34,147.48,2158500
2022-06-08,145.73,148.88,145.68,146.28,1274900
2022-06-09,145.52,147.37,142.25,142.46,1381400
2022-06-10,140.43,140.85,136.82,136.92,1879100
2022-06-13,134.15,136.17,131.05,131.68,1733800
2022-06-14,131.62,132.11,125.77,126.36,3224600
2022-06-15,128.3,130.5,126.26,128.22,2949700
2022-06-16,125.28,126.55,122.98,124.01,2080700
2022-06-17,125.4,127.21,124.12,124.94,3134600
2022-06-21,125.63,130.25,125.62,129.59,2265300
2022-06-22,129.09,137.22,128.83,134.48,2495800
2022-06-23,135.09,138.01,134.76,137.29,1608100
2022-06-24,138.26,140.56,135.5,140.02,2245100
2022-06-27,139.65,141.13,138.38,138.79,1412700
2022-06-28,139.23,139.34,134.32,134.89,1976600
2022-06-29,132.55,134.58,130.51,133.87,1988000
2022-06-30,135.05,136.31,133.84,134.73,2245900
2022-07-01,134.21,138.3,133.88,137.91,1505700
2022-07-05,137.15,137.35,133.74,137.25,1525500
2022-07-06,138.26,139.8,137.25,137.44,1288100
2022-07-07,137.56,138.96,136.25,137.33,1176700
2022-07-08,136.62,138.1,135.82,137.14,1027300
2022-07-11,136.77,138.06,134.81,137.83,1720000
2022-07-12,137.0,138.78,136.03,136.77,1410800
2022-07-13,135.13,138.04,134.79,136.75,1023500
2022-07-14,134.68,137.18,134.51,136.84,1269600
2022-07-15,138.38,140.11,137.67,138.74,1558700
2022-07-18,138.89,139.03,135.71,136.13,1702200
2022-07-19,137.07,138.92,136.11,138.85,1580000
2022-07-20,138.44,139.74,136.34,136.45,1820300
2022-07-21,137.31,139.81,134.93,138.43,1563800
2022-07-22,139.08,140.06,136.73,138.31,1050800
2022-07-25,137.93,138.15,135.95,137.22,1116300
2022-07-26,137.11,139.94,136.89,139.72,1254700
2022-07-27,139.5,140.09,137.48,138.86,1081000
2022-07-28,139.87,145.21,139.64,144.99,1431800
2022-07-29,145.24,145.79,143.7,144.55,1482500
2022-08-01,144.1,144.79,142.48,144.0,1043100
2022-08-02,143.76,145.34,142.09,142.3,1581000
2022-08-03,142.85,143.76,141.86,142.82,901500
2022-08-04,142.88,143.7,141.86,142.7,1081800
2022-08-05,141.6,142.78,140.18,142.74,879800
2022-08-08,144.47,145.93,142.42,143.42,1246500
2022-08-09,143.54,144.55,143.1,143.91,988300
2022-08-10,145.94,145.94,143.62,145.46,1274200
2022-08-11,145.86,145.86,142.58,143.13,1315300
2022-08-12,144.0,145.49,143.26,145.37,1091000
2022-08-15,145.65,147.96,145.46,147.34,1314200
2022-08-16,146.38,147.49,145.38,145.87,779000
2022-08-17,144.37,146.35,144.29,145.2,789300
2022-08-18,145.64,146.1,143.7,144.86,771500
2022-08-19,144.47,145.59,143.49,144.14,980300
2022-08-22,143.22,144.13,141.24,141.62,999400
2022-08-23,141.36,141.36,138.25,138.51,1244400
2022-08-24,138.68,140.46,138.43,139.9,1241900
2022-08-25,140.62,142.06,138.82,141.96,1331200
2022-08-26,141.9,142.41,138.66,138.75,1384500
2022-08-29,138.0,140.46,137.02,138.78,1069800
2022-08-30,139.43,139.43,135.57,136.16,1043800
2022-08-31,137.05,138.28,136.32,136.69,2380800
2022-09-01,136.13,137.69,135.41,137.62,1497900
2022-09-02,138.54,138.67,133.93,134.23,1584800
2022-09-06,133.84,137.36,133.84,135.41,1610000
2022-09-07,136.08,139.21,135.62,138.97,1611000
2022-09-08,138.22,139.7,137.64,139.41,1629700
2022-09-09,139.39,140.81,138.1,139.66,1555900
