Date,Open,High,Low,Close,Volume
2021-08-20,21.17,21.67,20.99,21.61,22632800
2021-08-23,21.91,22.63,21.89,22.47,23992000
2021-08-24,22.87,23.69,22.83,23.46,32814300
2021-08-25,23.6,23.94,23.04,23.73,30576000
2021-08-26,23.45,23.94,22.87,23.1,28762800
2021-08-27,23.2,24.18,23.17,23.96,36693800
2021-08-30,24.24,24.25,23.23,23.26,27629300
2021-08-31,23.16,23.81,23.13,23.76,28512600
2021-09-01,23.84,24.03,22.94,23.14,31875000
2021-09-02,23.21,24.08,22.75,23.64,36546600
2021-09-03,23.54,23.77,22.28,22.6,44194500
2021-09-07,22.34,23.23,22.2,23.19,33580100
2021-09-08,23.2,23.43,22.4,22.42,24700600
2021-09-09,22.41,23.34,22.26,22.91,27193100
2021-09-10,23.03,23.13,22.36,22.39,25471400
2021-09-13,22.67,23.11,21.89,22.94,36359500
2021-09-14,22.83,23.13,22.34,22.5,24577500
2021-09-15,22.39,22.81,22.01,22.8,21566100
2021-09-16,22.74,23.06,22.56,22.72,19305700
2021-09-17,22.84,23.46,22.77,23.18,33586000
2021-09-20,22.81,23.03,22.26,22.87,32162300
2021-09-21,23.06,23.32,22.5,22.6,25614500
2021-09-22,22.8,23.55,22.8,23.24,32222300
2021-09-23,23.63,24.66,23.52,24.3,48872400
2021-09-24,24.41,25.54,24.21,25.04,48644500
2021-09-27,25.55,26.96,25.51,25.96,58020600
2021-09-28,26.02,26.56,25.7,25.76,34642300
2021-09-29,26.04,26.07,25.08,25.12,27404000
2021-09-30,25.04,25.11,24.34,24.61,28685100
2021-10-01,25.66,26.15,25.26,25.68,36843200
2021-10-04,25.79,26.0,24.84,24.94,33448100
2021-10-05,25.13,25.6,24.87,25.02,26161500
2021-10-06,24.62,24.74,23.97,24.51,36943300
2021-10-07,24.82,24.88,24.01,24.1,26234900
2021-10-08,24.15,24.31,23.38,23.45,32061800
2021-10-11,23.34,24.05,23.05,23.5,26631100
2021-10-12,23.56,23.98,23.43,23.95,25818400
2021-10-13,24.01,24.01,23.24,23.28,28606200
2021-10-14,23.56,23.62,23.21,23.35,19413900
2021-10-15,23.68,24.03,23.26,23.3,22362900
2021-10-18,23.08,23.23,22.46,22.76,37062300
2021-10-19,22.7,22.7,21.92,21.99,50814000
2021-10-20,22.01,22.41,21.79,22.09,27014600
2021-10-21,22.15,22.54,21.87,21.98,26812500
2021-10-22,21.85,21.99,21.5,21.94,29155700
2021-10-25,21.45,21.82,21.38,21.7,26140400
2021-10-26,21.82,22.11,21.32,21.47,25617900
2021-10-27,21.55,21.65,21.27,21.3,20827900
2021-10-28,21.3,21.73,20.97,21.62,23048700
2021-10-29,21.53,22.11,21.43,21.81,26720300
2021-11-01,21.95,22.73,21.66,22.71,27315500
2021-11-02,22.62,22.71,22.19,22.55,21579400
2021-11-03,22.35,22.96,22.21,22.8,23001300
2021-11-04,22.96,23.12,22.37,22.52,20186900
2021-11-05,24.01,24.89,23.72,24.4,67588300
2021-11-08,24.5,24.67,24.06,24.2,33083000
2021-11-09,24.11,24.15,23.34,23.79,22673500
2021-11-10,23.35,23.96,22.94,23.12,21338300
2021-11-11,22.97,23.26,22.61,22.66,19703700
2021-11-12,22.59,22.59,21.71,22.01,37320300
2021-11-15,22.15,22.36,21.79,21.95,22519600
2021-11-16,21.79,21.79,20.99,21.25,40285700
2021-11-17,21.33,21.5,20.65,20.99,30081600
2021-11-18,21.11,21.24,20.24,20.62,26850800
2021-11-19,20.04,20.57,19.55,20.17,49148700
2021-11-22,20.18,20.58,19.83,20.01,29802700
2021-11-23,20.22,20.5,19.69,19.83,26273500
2021-11-24,19.64,20.32,19.45,19.84,30483200
2021-11-26,17.78,17.99,16.93,17.67,84158400
2021-11-29,18.51,18.94,17.41,17.87,58061500
2021-11-30,17.51,17.62,16.84,17.34,60131100
2021-12-01,17.83,18.2,16.06,16.12,82486400
2021-12-02,16.47,17.71,16.09,17.61,76746800
2021-12-03,17.5,17.52,16.57,16.93,59329100
2021-12-06,17.28,18.89,17.12,18.3,78131600
2021-12-07,18.68,18.98,18.03,18.21,62779400
2021-12-08,18.4,19.72,18.25,19.21,69762100
2021-12-09,18.72,19.29,18.59,18.89,38179500
2021-12-10,18.88,19.05,18.38,18.98,33181500
2021-12-13,18.38,18.55,17.63,18.05,39686300
2021-12-14,17.74,18.54,17.73,17.86,38288200
2021-12-15,17.71,17.79,16.97,17.61,45971600
2021-12-16,17.72,17.96,17.17,17.29,45611100
2021-12-17,17.42,18.18,17.13,17.99,48588400
2021-12-20,17.39,18.98,17.33,18.6,59262500
2021-12-21,19.02,20.4,18.96,20.22,69186200
2021-12-22,20.22,21.16,19.71,20.91,62921900
2021-12-23,21.2,21.44,20.55,20.86,39191000
2021-12-27,20.02,20.8,19.71,20.62,37286800
2021-12-28,20.31,21.46,20.19,20.57,39749600
2021-12-29,20.33,20.57,19.96,20.46,30313700
2021-12-30,20.43,21.17,19.95,20.21,49120200
2021-12-31,20.19,20.44,19.7,19.8,29363700
2022-01-03,20.23,21.4,20.11,21.07,38836800
2022-01-04,21.71,22.03,21.17,21.39,44776400
2022-01-05,21.45,21.82,20.73,20.84,31833200
2022-01-06,21.28,21.64,20.69,20.74,31459900
2022-01-07,21.01,21.94,20.79,21.55,37140600
2022-01-10,21.65,21.78,20.63,21.06,32828800
2022-01-11,21.04,21.87,20.78,21.63,29608000
2022-01-12,21.83,22.1,21.46,21.96,33645000
2022-01-13,22.07,22.93,22.02,22.54,43271400
2022-01-14,22.24,22.59,21.92,22.59,28270800
2022-01-18,22.16,22.4,21.56,21.63,29779000
2022-01-19,21.58,21.61,20.85,20.88,27894500
2022-01-20,20.97,21.63,20.4,20.47,25457800
2022-01-21,20.35,20.36,19.47,19.67,41314300
2022-01-24,18.78,19.45,17.96,19.43,52166800
2022-01-25,18.95,20.08,18.79,19.88,36484500
2022-01-26,20.22,20.77,19.72,19.97,40706400
2022-01-27,20.14,20.38,18.64,18.81,42718200
2022-01-28,18.9,18.98,17.99,18.67,50152500
2022-01-31,18.48,19.56,17.86,19.5,50989300
2022-02-01,19.63,20.74,19.55,20.6,38953800
2022-02-02,20.39,20.9,20.11,20.52,30717600
2022-02-03,20.21,20.63,20.01,20.02,27585900
2022-02-04,19.7,19.92,19.25,19.64,33287000
2022-02-07,19.82,21.4,19.79,21.18,41055700
2022-02-08,21.38,22.22,21.13,22.19,41620200
2022-02-09,22.47,22.99,22.4,22.82,39322700
2022-02-10,22.51,23.48,22.24,22.75,42465600
2022-02-11,22.81,23.27,21.64,21.69,51041700
2022-02-14,21.65,22.16,20.93,21.02,36570700
2022-02-15,21.87,22.51,21.7,22.42,31683800
2022-02-16,22.42,23.27,22.26,22.94,40609500
2022-02-17,22.54,22.81,21.92,22.07,25412100
2022-02-18,22.07,22.41,21.61,21.82,29897300
2022-02-22,21.21,21.84,21.01,21.17,34908600
2022-02-23,21.53,21.65,19.87,19.89,36958200
2022-02-24,18.54,20.38,18.36,20.3,49931700
2022-02-25,20.37,21.06,19.97,20.77,34048000
2022-02-28,20.3,20.46,19.51,20.01,48343800
2022-03-01,19.65,19.71,18.32,18.56,55954900
2022-03-02,18.82,19.28,18.39,18.72,41781800
2022-03-03,18.96,19.4,17.82,17.98,40969400
2022-03-04,17.57,17.78,16.75,16.96,56989800
2022-03-07,17.03,17.2,15.27,15.28,67688600
2022-03-08,15.43,16.29,14.7,15.63,68269000
2022-03-09,16.64,17.5,16.58,17.0,58123200
2022-03-10,16.55,17.94,16.45,17.37,42701100
2022-03-11,17.65,17.72,16.91,16.94,28443500
2022-03-14,17.03,17.6,16.57,16.85,31014800
2022-03-15,17.15,17.9,17.07,17.75,40891100
2022-03-16,17.99,19.13,17.8,19.02,51372500
2022-03-17,18.42,18.86,17.93,18.85,38740600
2022-03-18,18.47,19.23,18.38,19.15,32136300
2022-03-21,18.91,18.91,18.3,18.65,32803500
2022-03-22,18.35,18.99,18.08,18.63,43514800
2022-03-23,18.41,18.6,17.95,18.01,27832900
2022-03-24,18.02,18.23,17.55,18.2,31280500
2022-03-25,18.15,18.45,17.94,18.1,25947400
2022-03-28,18.3,19.12,18.23,19.09,32494500
2022-03-29,19.64,20.08,19.36,19.61,40091600
2022-03-30,19.27,19.6,19.14,19.29,24681700
2022-03-31,19.32,20.22,19.2,19.9,42409900
2022-04-01,20.03,20.14,19.37,19.73,27871800
2022-04-04,19.6,19.62,19.04,19.43,25523400
2022-04-05,20.36,21.16,19.82,19.9,68213000
2022-04-06,19.52,19.58,18.56,18.63,44802800
2022-04-07,18.59,18.62,17.77,18.44,42475400
2022-04-08,18.31,18.43,17.75,18.05,28731700
2022-04-11,17.84,18.72,17.71,18.25,27851900
2022-04-12,18.47,18.65,18.07,18.22,23404200
2022-04-13,18.5,19.33,18.48,19.2,35391100
2022-04-14,19.4,19.77,19.14,19.25,25316700
2022-04-18,19.13,19.28,18.67,18.74,18700700
2022-04-19,18.81,19.76,18.81,19.6,28760200
2022-04-20,19.64,20.01,19.31,19.31,21267000
2022-04-21,20.16,20.3,19.08,19.2,37800100
2022-04-22,19.16,19.37,18.45,18.54,25671500
2022-04-25,18.43,18.59,18.05,18.58,27164700
2022-04-26,18.54,18.58,17.15,17.22,44476200
2022-04-27,17.32,17.62,16.88,17.13,35893100
2022-04-28,17.45,17.72,16.85,17.55,30952100
2022-04-29,17.48,17.91,16.97,17.03,22197100
2022-05-02,17.04,17.2,16.47,17.08,34360800
2022-05-03,17.35,17.55,16.84,17.21,28177600
2022-05-04,17.14,17.45,16.43,17.45,37917900
2022-05-05,17.03,17.26,16.1,16.28,44517800
2022-05-06,16.16,16.3,15.34,15.67,43828900
2022-05-09,15.3,15.37,13.83,13.92,55563200
2022-05-10,14.58,14.79,13.6,13.97,46996200
2022-05-11,14.02,14.51,13.31,13.34,40917100
2022-05-12,13.05,13.64,12.52,13.05,53708800
2022-05-13,13.34,14.27,13.34,14.05,40862000
2022-05-16,14.04,14.3,13.81,13.87,29771800
2022-05-17,14.28,14.72,14.09,14.63,29133500
2022-05-18,14.38,14.6,13.48,13.62,36536400
2022-05-19,13.45,13.72,13.28,13.37,37716400
2022-05-20,13.59,13.74,12.5,12.92,45620600
2022-05-23,12.91,12.98,12.34,12.9,41410400
2022-05-24,12.64,12.67,11.38,11.57,63216500
2022-05-25,11.47,12.12,11.43,11.99,38049800
2022-05-26,12.11,13.26,12.11,13.0,49498400
2022-05-27,13.14,13.75,13.12,13.75,35625500
2022-05-31,13.64,13.95,13.5,13.66,38118300
2022-06-01,13.82,13.98,12.94,13.26,33402900
2022-06-02,13.28,13.84,13.18,13.84,34067200
2022-06-03,13.43,13.67,13.13,13.3,27169400
2022-06-06,13.45,13.58,13.13,13.39,26843100
2022-06-07,13.09,13.59,13.0,13.56,23383200
2022-06-08,13.14,13.35,12.72,12.73,43179100
2022-06-09,12.62,12.65,11.54,11.54,63169100
2022-06-10,11.38,11.88,10.87,10.88,67279900
2022-06-13,10.36,10.37,9.62,9.75,71269000
2022-06-14,9.85,10.01,9.26,9.37,59250200
2022-06-15,9.49,9.86,9.36,9.68,67274100
2022-06-16,9.28,9.34,8.56,8.61,76859100
2022-06-17,8.77,9.49,8.61,9.45,69584400
2022-06-21,9.54,9.64,9.28,9.42,49067200
2022-06-22,9.21,9.67,9.13,9.47,38634600
2022-06-23,9.47,9.59,9.07,9.5,48309600
2022-06-24,9.57,10.71,9.33,10.68,85277300
2022-06-27,10.56,10.64,10.02,10.38,52876800
2022-06-28,10.32,10.88,10.15,10.17,46295200
2022-06-29,9.34,9.45,8.52,8.73,109730900
2022-06-30,8.52,8.67,7.97,8.51,74706500
2022-07-01,8.47,8.83,8.4,8.68,51985500
2022-07-05,8.4,9.26,8.02,9.23,69309900
2022-07-06,9.1,9.38,8.56,8.6,52642200
2022-07-07,8.81,9.3,8.79,9.18,46116100
2022-07-08,9.06,9.28,8.8,8.87,45688300
2022-07-11,8.82,8.83,8.33,8.36,40155700
2022-07-12,8.35,9.12,8.3,8.99,65626100
2022-07-13,8.59,8.99,8.51,8.86,41433700
2022-07-14,8.68,8.86,8.51,8.57,40652900
2022-07-15,8.74,9.04,8.57,9.03,44346700
2022-07-18,9.28,9.96,9.28,9.5,66343700
2022-07-19,9.86,10.25,9.83,10.2,60355900
2022-07-20,10.18,10.92,10.12,10.91,69920800
2022-07-21,9.52,9.74,9.27,9.69,144225000
2022-07-22,9.74,9.83,9.01,9.11,100507900
2022-07-25,9.11,9.14,8.7,9.03,54848200
2022-07-26,8.93,8.96,8.33,8.37,68820200
2022-07-27,8.65,8.75,8.34,8.71,66105600
2022-07-28,8.83,9.23,8.43,8.96,58406700
2022-07-29,8.87,9.03,8.63,8.92,40901800
2022-08-01,8.76,8.84,8.43,8.78,54740900
2022-08-02,8.63,9.49,8.53,9.2,56616000
2022-08-03,9.35,9.65,9.32,9.64,45506500
2022-08-04,9.62,9.78,9.45,9.6,40094000
2022-08-05,9.38,9.89,9.33,9.66,42444200
2022-08-08,9.88,10.32,9.63,9.85,67345200
2022-08-09,9.56,9.61,9.11,9.32,51552800
2022-08-10,9.73,10.44,9.66,10.18,71504000
2022-08-11,10.67,10.78,10.27,10.37,50079000
2022-08-12,10.54,10.62,10.28,10.55,39632900
2022-08-15,10.39,10.62,10.26,10.54,34057500
2022-08-16,10.46,11.2,10.25,11.01,59639300
2022-08-17,10.8,10.8,10.24,10.39,53063700
2022-08-18,10.39,10.4,10.04,10.28,47229500
2022-08-19,9.98,10.08,9.55,9.71,50379400
2022-08-22,9.39,9.48,9.2,9.24,35610400
2022-08-23,9.33,9.59,9.3,9.39,37301800
2022-08-24,9.36,10.78,9.34,9.89,37870300
2022-08-25,10.08,10.52,10.05,10.37,47824200
2022-08-26,10.45,10.69,9.81,9.81,46325500
2022-08-29,9.61,9.88,9.49,9.67,31611600
2022-08-30,9.91,10.17,9.42,9.62,41537700
2022-08-31,9.75,9.8,9.3,9.31,43196800
2022-09-01,9.14,9.21,8.8,9.2,43701600
2022-09-02,9.44,9.56,9.12,9.22,39677800
2022-09-06,9.4,9.57,9.01,9.29,35375100
2022-09-07,9.24,9.71,9.24,9.66,38557200
2022-09-08,9.42,9.94,9.39,9.92,41765200
2022-09-09,10.07,10.35,10.05,10.24,47276400
2022-09-12,10.37,10.62,10.24,10.43,34324800
2022-09-13,9.91,10.29,9.8,10.08,41934000
2022-09-14,9.98,10.42,9.77,10.4,38845700
2022-09-15,10.29,11.01,10.28,10.75,59124100
2022-09-16,10.54,10.64,10.29,10.59,47810800
2022-09-19,10.49,10.96,10.45,10.61,37564600
2022-09-20,10.71,10.82,10.24,10.26,47008400
2022-09-21,10.16,10.2,9.55,9.56,67793100
2022-09-22,9.59,9.77,9.25,9.49,62079500
2022-09-23,9.08,9.19,8.6,8.81,79394400
2022-09-26,8.85,9.21,8.74,8.76,56042300
2022-09-27,9.05,9.4,8.88,9.07,64007800
2022-09-28,9.05,9.69,8.99,9.67,65649300
2022-09-29,9.46,9.51,8.88,9.02,57340600
2022-09-30,8.32,8.38,6.9,6.92,237674800
2022-10-03,7.06,7.08,6.48,6.74,104262100
2022-10-04,6.99,7.7,6.97,7.64,117870500
2022-10-05,7.35,7.45,7.06,7.31,82831500
2022-10-06,7.25,7.49,6.86,6.87,86819900
2022-10-07,6.79,6.88,6.47,6.65,82260200
2022-10-10,6.62,6.71,6.05,6.28,82505700
2022-10-11,6.32,6.63,6.01,6.53,73379000
2022-10-12,6.53,7.27,6.45,7.19,97735700
2022-10-13,6.88,7.2,6.74,6.99,81275600
2022-10-14,7.16,7.31,6.9,7.02,63672500
2022-10-17,7.26,7.35,7.06,7.16,52393700
2022-10-18,7.58,8.11,7.56,7.95,116496300
2022-10-19,7.89,8.01,7.5,7.56,70897600
2022-10-20,7.6,8.16,7.59,7.87,59658500
2022-10-21,7.8,8.09,7.67,8.07,57281000
2022-10-24,7.98,8.15,7.79,8.09,51101500
2022-10-25,8.14,8.54,8.08,8.48,52082000
2022-10-26,8.45,8.99,8.43,8.53,58695700
2022-10-27,8.66,8.82,8.5,8.51,48689900
2022-10-28,8.42,8.81,8.35,8.8,42739400
2022-10-31,8.88,9.01,8.66,8.92,49289000
2022-11-01,9.24,9.34,8.9,8.91,52041000
2022-11-02,8.87,9.11,8.51,8.55,52525000
2022-11-03,8.21,8.93,8.12,8.69,63837000
2022-11-04,8.98,9.17,8.7,8.86,51717100
2022-11-07,8.93,8.94,8.43,8.62,46375900
