Date,Open,High,Low,Close,Volume
2021-07-12,166.31,167.16,164.55,165.09,627300
2021-07-13,164.4,165.74,162.79,163.06,653400
2021-07-14,164.02,165.5,163.84,164.83,705700
2021-07-15,164.33,164.46,162.89,164.18,436900
2021-07-16,164.85,166.1,163.19,163.32,446800
2021-07-19,161.2,162.86,160.41,161.44,600700
2021-07-20,162.27,166.43,161.59,165.01,626000
2021-07-21,165.4,166.6,164.75,165.95,545600
2021-07-22,166.21,166.6,165.38,166.15,458100
2021-07-23,167.19,169.52,166.62,169.42,367900
2021-07-26,168.73,170.77,168.73,170.01,453300
2021-07-27,169.23,170.86,167.48,169.74,534400
2021-07-28,170.0,170.55,168.12,168.83,544300
2021-07-29,169.31,172.07,169.3,171.44,412400
2021-07-30,171.09,171.76,169.96,171.66,670800
2021-08-02,173.02,173.63,171.6,171.96,575300
2021-08-03,172.75,173.59,170.71,173.48,693500
2021-08-04,171.6,178.52,167.82,176.24,1219300
2021-08-05,177.9,178.87,175.38,178.47,806600
2021-08-06,177.84,180.44,177.58,177.94,687000
2021-08-09,176.93,177.93,176.02,177.54,592200
2021-08-10,178.1,180.48,177.31,179.31,774900
2021-08-11,180.18,183.73,179.61,183.47,893000
2021-08-12,183.32,185.65,182.81,185.3,622300
2021-08-13,179.14,185.89,179.14,185.68,651500
2021-08-16,185.47,186.36,184.23,186.34,804300
2021-08-17,186.3,186.3,182.52,184.15,612600
2021-08-18,183.87,185.22,182.61,182.82,424500
2021-08-19,181.03,182.73,179.78,181.94,633200
2021-08-20,182.22,184.0,181.82,183.29,520000
2021-08-23,183.83,184.73,182.97,184.35,390500
2021-08-24,184.59,185.96,184.35,184.77,494900
2021-08-25,184.49,186.79,184.24,186.11,542200
2021-08-26,186.1,186.8,185.05,185.82,540000
2021-08-27,185.62,187.12,184.7,186.93,781200
2021-08-30,187.44,188.91,186.34,188.33,654200
2021-08-31,188.35,188.9,187.0,188.21,984600
2021-09-01,188.53,188.91,186.13,187.91,529000
2021-09-02,188.26,190.77,188.26,190.69,471300
2021-09-03,189.85,191.22,189.66,190.17,384400
2021-09-07,189.32,189.75,187.89,188.81,512700
2021-09-08,188.0,188.25,186.23,188.0,658900
2021-09-09,187.7,189.62,187.01,187.21,632300
2021-09-10,188.02,189.44,185.49,185.75,541300
2021-09-13,187.5,187.72,183.27,184.6,603700
2021-09-14,186.41,186.41,180.61,181.52,820400
2021-09-15,180.79,183.44,179.64,183.03,1130500
2021-09-16,182.21,183.75,181.77,182.32,801100
2021-09-17,180.95,181.7,178.41,179.32,1866800
2021-09-20,176.0,178.25,174.24,176.19,800800
2021-09-21,176.67,177.3,174.27,176.15,656700
2021-09-22,176.88,179.09,176.88,177.91,490800
2021-09-23,177.43,182.3,177.38,180.62,401400
2021-09-24,179.71,181.72,179.29,181.12,439800
2021-09-27,180.11,181.78,179.61,180.4,446400
2021-09-28,178.86,179.27,174.12,174.63,603400
2021-09-29,176.49,177.0,172.57,173.93,468300
2021-09-30,174.51,175.53,170.64,170.77,919300
2021-10-01,171.37,174.89,169.11,174.23,850600
2021-10-04,173.79,175.88,170.95,171.36,1010600
2021-10-05,171.74,174.19,170.58,172.75,576800
2021-10-06,167.51,167.51,161.59,164.68,1253900
2021-10-07,166.32,167.73,165.66,166.49,817100
2021-10-08,167.02,167.07,165.23,165.94,558700
2021-10-11,164.74,165.58,163.59,163.78,593400
2021-10-12,164.7,164.93,162.44,162.88,613400
2021-10-13,163.71,164.77,162.19,163.26,761900
2021-10-14,164.94,167.21,163.84,166.55,716500
2021-10-15,166.8,168.06,166.16,166.73,709400
2021-10-18,167.9,178.93,167.89,174.72,1628800
2021-10-19,175.19,176.16,174.09,176.03,550400
2021-10-20,176.43,177.77,176.11,176.74,697500
2021-10-21,176.64,178.88,176.05,178.77,585200
2021-10-22,178.77,181.17,178.77,179.63,431700
2021-10-25,179.73,180.99,178.64,179.7,431000
2021-10-26,180.39,180.39,176.64,176.82,628500
2021-10-27,176.81,176.81,172.75,172.97,645700
2021-10-28,173.42,175.88,173.25,174.44,648300
2021-10-29,172.86,175.69,172.86,175.11,502900
2021-11-01,175.24,177.45,175.24,176.04,704900
2021-11-02,175.95,177.83,174.85,177.51,882600
2021-11-03,177.67,177.67,170.77,174.07,831100
2021-11-04,175.9,177.36,173.26,173.56,1136700
2021-11-05,174.32,178.08,173.77,175.5,1369600
2021-11-08,176.17,177.27,173.19,173.86,662200
2021-11-09,174.17,176.39,173.83,175.46,744400
2021-11-10,174.27,179.58,174.27,177.13,950500
2021-11-11,177.02,179.06,174.84,176.68,511200
2021-11-12,177.91,179.87,176.54,179.27,384900
2021-11-15,179.63,180.83,178.54,179.05,532400
2021-11-16,178.58,183.52,178.2,182.92,914900
2021-11-17,183.07,183.68,182.23,183.17,681700
2021-11-18,183.2,183.61,180.74,183.16,596000
2021-11-19,183.31,185.85,182.8,183.94,748300
2021-11-22,184.72,188.13,182.94,184.07,660000
2021-11-23,183.71,185.37,181.23,184.2,603500
2021-11-24,183.26,188.03,183.26,187.92,515400
2021-11-26,186.51,188.05,178.72,179.8,522500
2021-11-29,182.34,184.65,181.48,183.22,839300
2021-11-30,182.81,185.23,176.84,178.11,1496800
2021-12-01,180.6,182.55,173.73,173.83,1033100
2021-12-02,174.83,183.35,174.83,182.11,735300
2021-12-03,182.49,183.34,178.75,180.28,870600
2021-12-06,181.56,184.85,181.54,182.83,658000
2021-12-07,184.73,187.08,183.26,186.43,546000
2021-12-08,187.44,188.49,185.93,187.0,522900
2021-12-09,186.04,186.6,183.03,183.12,556600
2021-12-10,184.82,184.95,181.52,183.29,639200
2021-12-13,182.29,182.54,179.23,180.35,912600
2021-12-14,179.9,181.13,176.36,178.42,878900
2021-12-15,178.66,180.84,174.91,180.73,966100
2021-12-16,182.09,182.09,176.03,176.67,1117000
2021-12-17,176.82,182.49,176.39,178.77,8374300
2021-12-20,175.78,176.2,171.23,175.64,967100
2021-12-21,177.48,182.25,176.51,181.81,621600
2021-12-22,182.3,187.13,181.64,187.05,606100
2021-12-23,186.3,191.73,186.3,190.71,637100
2021-12-27,191.36,194.88,191.09,194.72,461200
2021-12-28,195.33,195.33,192.9,193.38,291500
2021-12-29,193.44,195.14,193.15,194.54,331100
2021-12-30,194.85,195.21,191.7,191.85,315100
2021-12-31,191.45,193.47,190.6,192.61,386400
2022-01-03,193.14,194.69,191.29,192.83,850000
