Date,Open,High,Low,Close,Volume
2021-07-12,212.71,215.18,211.6,214.53,2391000
2021-07-13,214.65,216.31,213.48,214.84,2542100
2021-07-14,215.56,215.99,213.51,215.26,1297000
2021-07-15,213.75,215.19,212.62,214.25,1646700
2021-07-16,215.17,215.17,212.54,213.26,1387000
2021-07-19,210.84,211.95,205.38,207.61,1707300
2021-07-20,208.67,212.69,208.16,211.61,2562800
2021-07-21,213.06,214.46,212.13,213.03,1482400
2021-07-22,213.47,213.86,210.91,211.81,915700
2021-07-23,213.42,213.53,211.69,212.4,1105400
2021-07-26,211.99,212.88,207.99,208.35,1675500
2021-07-27,207.04,208.86,204.9,208.75,3122600
2021-07-28,209.15,209.15,205.35,207.26,1912500
2021-07-29,208.5,209.73,207.61,208.81,1202800
2021-07-30,208.17,210.67,207.44,209.31,1782600
2021-08-02,209.77,210.54,208.4,209.18,1389100
2021-08-03,210.52,213.77,208.77,213.38,1447400
2021-08-04,212.31,212.95,210.5,211.12,1754700
2021-08-05,197.38,199.03,182.1,188.07,7961700
2021-08-06,188.93,192.56,187.31,190.89,3906100
2021-08-09,190.81,194.39,190.36,192.58,2352700
2021-08-10,192.8,193.27,190.93,192.4,2370300
2021-08-11,193.94,194.39,192.26,192.72,1314900
2021-08-12,191.5,192.94,190.85,191.24,1920800
2021-08-13,192.78,193.31,190.65,192.09,1161300
2021-08-16,190.71,192.9,189.98,192.35,1359800
2021-08-17,191.93,193.36,190.71,191.99,1539000
2021-08-18,191.01,191.51,187.34,187.52,3367700
2021-08-19,186.97,188.6,186.51,188.05,2649900
2021-08-20,188.51,190.54,187.6,189.28,1817900
2021-08-23,189.93,190.71,188.98,189.47,1201500
2021-08-24,191.7,194.72,191.07,193.25,1690600
2021-08-25,192.76,194.71,190.86,192.8,1740000
2021-08-26,191.76,193.0,189.35,189.51,2072200
2021-08-27,190.3,192.97,189.8,192.15,1533100
2021-08-30,192.11,192.35,189.02,189.22,1545900
2021-08-31,188.79,195.65,188.51,193.04,2792000
2021-09-01,194.14,194.14,190.2,192.49,1598000
2021-09-02,192.92,200.27,192.92,199.02,2520100
2021-09-03,198.93,199.05,194.57,197.84,1642700
2021-09-07,197.98,200.08,196.65,198.21,1841200
2021-09-08,197.94,198.84,194.85,195.5,1738500
2021-09-09,195.17,197.27,194.6,196.04,1544900
2021-09-10,191.49,192.41,186.19,187.55,4442500
2021-09-13,187.77,194.13,187.08,191.59,2524800
2021-09-14,192.33,193.14,186.32,186.6,2297000
2021-09-15,186.16,191.14,186.15,189.28,2666200
2021-09-16,189.93,191.73,186.46,188.31,2524900
2021-09-17,187.95,190.1,186.92,188.4,3717200
2021-09-20,186.06,187.14,184.02,185.57,2177500
2021-09-21,186.85,188.07,185.06,185.44,1939300
2021-09-22,187.34,187.99,184.66,185.08,2235000
2021-09-23,185.41,187.46,184.74,185.51,2370300
2021-09-24,185.36,188.21,185.36,186.82,1713000
2021-09-27,186.1,190.85,186.1,189.31,2053100
2021-09-28,189.16,190.6,186.0,186.26,1994000
2021-09-29,186.64,188.67,186.18,186.86,1457500
2021-09-30,188.79,190.17,183.35,183.4,1634000
2021-10-01,184.17,186.71,182.21,185.64,1786200
2021-10-04,185.55,187.63,182.06,182.75,1751800
2021-10-05,183.31,186.91,183.02,184.54,1528100
2021-10-06,182.71,186.36,180.77,186.23,1914500
2021-10-07,187.63,190.01,187.47,187.57,1731500
2021-10-08,190.13,191.5,187.2,188.0,1478900
2021-10-11,187.7,190.14,186.52,186.86,1048300
2021-10-12,187.1,187.95,184.88,185.18,1368600
2021-10-13,184.57,185.09,180.73,182.77,1962400
2021-10-14,187.74,189.87,185.89,186.04,2531600
2021-10-15,187.05,190.64,186.93,188.93,1439900
2021-10-18,188.26,188.63,186.21,187.44,1392200
2021-10-19,188.67,189.79,187.44,189.33,1145300
2021-10-20,190.97,197.92,189.97,196.78,2807500
2021-10-21,195.52,198.19,195.46,198.13,1491600
2021-10-22,197.98,200.77,196.73,198.28,1412500
2021-10-25,198.69,199.85,197.38,197.57,1710100
2021-10-26,197.7,198.25,195.62,197.61,1441800
2021-10-27,197.61,198.37,195.41,195.53,1354400
2021-10-28,195.51,198.05,195.14,197.69,1370100
2021-10-29,196.97,197.98,195.44,195.73,1499200
2021-11-01,195.92,199.32,195.88,198.03,1636600
2021-11-02,198.77,199.18,195.66,196.73,1704700
2021-11-03,194.73,200.06,191.69,199.98,2927700
2021-11-04,206.37,207.77,193.0,195.31,3722300
2021-11-05,196.69,204.16,195.8,196.19,2521800
2021-11-08,197.0,201.24,195.84,199.89,1976500
2021-11-09,199.29,200.59,197.99,198.1,1971000
2021-11-10,198.46,202.4,198.35,199.6,2420700
2021-11-11,199.24,201.3,198.81,199.47,1134100
2021-11-12,200.15,201.42,199.18,199.5,1459200
2021-11-15,199.73,200.13,197.13,197.48,1551100
2021-11-16,198.05,203.2,197.49,199.53,1701400
2021-11-17,200.66,202.24,198.75,198.81,1452600
2021-11-18,199.0,201.81,198.48,200.43,1918900
2021-11-19,200.11,200.11,191.4,192.88,2981400
2021-11-22,193.4,196.95,193.18,193.84,2005700
2021-11-23,193.82,196.18,193.54,195.39,2441900
2021-11-24,194.59,196.8,191.67,192.95,1738700
2021-11-26,190.59,190.91,183.88,185.11,1899300
2021-11-29,186.12,187.74,182.26,182.9,3474800
2021-11-30,181.42,182.08,175.69,175.83,3545600
2021-12-01,179.09,184.61,176.25,178.42,2785600
2021-12-02,178.39,182.38,177.42,181.23,2226600
2021-12-03,182.15,184.81,181.5,183.13,2363900
2021-12-06,186.67,192.06,185.67,190.24,1844600
2021-12-07,190.58,192.85,190.27,191.52,2028200
2021-12-08,191.41,192.46,190.11,191.83,1462600
2021-12-09,191.8,194.65,191.29,194.58,1518700
2021-12-10,195.95,198.41,195.2,197.93,2176600
2021-12-13,197.94,199.47,196.05,198.13,1857700
2021-12-14,196.5,200.61,196.02,199.48,2605500
2021-12-15,199.87,201.55,196.75,200.25,2513700
2021-12-16,199.41,202.94,199.38,201.37,2063700
2021-12-17,201.35,203.6,198.97,202.24,4037000
2021-12-20,199.62,202.17,196.18,199.83,1843700
2021-12-21,198.91,204.11,198.91,202.81,1570600
2021-12-22,202.59,205.49,202.53,204.74,1539800
2021-12-23,205.77,208.99,204.68,208.02,1286100
2021-12-27,209.58,210.58,208.04,209.83,932300
2021-12-28,209.76,212.7,209.76,212.3,864800
2021-12-29,212.36,213.93,212.25,213.32,821400
2021-12-30,213.16,214.46,212.35,212.49,768200
2021-12-31,212.82,213.9,211.43,211.46,923800
2022-01-03,211.33,215.85,210.56,215.67,1434400
2022-01-04,215.59,218.2,214.45,214.84,1614000
2022-01-05,216.24,220.64,214.92,217.81,1559300
2022-01-06,214.4,216.55,208.19,209.54,2258300
2022-01-07,209.17,215.57,207.38,214.73,2049800
2022-01-10,215.57,217.33,211.92,215.2,1675100
2022-01-11,217.08,222.11,214.2,221.14,1926500
2022-01-12,221.09,221.79,217.4,219.89,1352600
2022-01-13,219.11,223.05,218.61,221.52,1139000
2022-01-14,220.66,223.18,219.99,223.01,1327700
2022-01-18,222.24,222.62,218.15,220.99,1445700
2022-01-19,221.76,224.85,219.62,219.91,1452300
2022-01-20,219.54,225.32,218.93,221.37,1429100
2022-01-21,221.57,223.02,217.02,217.56,1782000
2022-01-24,215.37,218.09,210.27,217.71,1980300
2022-01-25,215.4,217.44,209.97,216.17,1557800
2022-01-26,216.74,220.05,212.49,215.5,1761800
2022-01-27,212.76,214.23,206.66,209.44,2338800
2022-01-28,209.65,215.91,208.14,214.98,2682700
2022-01-31,212.47,214.54,209.64,212.23,2622200
2022-02-01,211.31,211.72,205.81,208.04,2318800
2022-02-02,208.04,212.36,207.49,211.82,2044200
2022-02-03,207.2,207.2,200.08,200.35,3029400
2022-02-04,196.46,205.39,196.3,203.86,2036700
2022-02-07,200.9,208.67,200.76,206.72,1473200
2022-02-08,208.64,214.02,206.79,213.43,1613900
2022-02-09,214.32,215.39,212.21,213.99,1112600
2022-02-10,211.86,216.87,211.16,212.05,1358000
2022-02-11,211.8,214.97,208.84,209.5,1215500
2022-02-14,210.61,211.03,205.85,207.42,1472000
2022-02-15,208.98,211.56,208.27,210.34,1683400
2022-02-16,209.79,211.73,209.1,210.88,1241900
2022-02-17,209.49,211.68,208.23,209.14,1222800
2022-02-18,209.03,212.54,207.24,210.56,1339800
2022-02-22,209.36,211.19,207.57,209.71,1598300
2022-02-23,210.5,211.05,207.07,207.28,1596100
2022-02-24,203.46,207.09,201.23,206.67,3009900
2022-02-25,207.67,215.6,207.34,214.42,1863600
2022-02-28,210.61,220.21,210.06,218.97,3367700
2022-03-01,218.33,220.41,215.12,218.34,1546300
