Date,Open,High,Low,Close,Volume
2021-07-12,104.03,106.35,103.72,105.85,556600
2021-07-13,105.85,105.85,104.79,104.87,482100
2021-07-14,105.5,106.16,103.53,104.25,396300
2021-07-15,103.41,105.09,102.99,104.68,388800
2021-07-16,104.99,105.35,104.22,104.72,376200
2021-07-19,103.29,103.29,100.12,100.83,469500
2021-07-20,101.17,104.36,101.17,103.51,494900
2021-07-21,104.57,105.32,103.81,103.93,323900
2021-07-22,103.46,103.46,101.49,101.61,351200
2021-07-23,102.2,102.78,101.08,101.81,405000
2021-07-26,101.83,103.53,101.83,103.16,452200
2021-07-27,102.37,102.99,101.13,102.52,552000
2021-07-28,102.89,102.89,99.73,100.45,530800
2021-07-29,102.49,104.72,101.08,103.99,852800
2021-07-30,102.22,105.24,102.22,104.14,1181500
2021-08-02,104.89,106.62,104.46,105.23,603500
2021-08-03,105.75,106.0,103.58,105.08,380500
2021-08-04,104.4,104.87,102.15,102.39,698500
2021-08-05,103.81,104.31,101.45,102.82,542600
2021-08-06,103.91,105.7,103.91,105.39,436900
2021-08-09,105.38,106.02,104.63,105.69,276300
2021-08-10,105.55,106.97,105.37,106.37,501500
2021-08-11,106.72,107.29,106.04,107.13,361000
2021-08-12,107.37,107.86,106.31,107.64,322300
2021-08-13,108.09,108.09,106.92,107.24,343400
2021-08-16,106.57,107.9,105.7,107.83,346100
2021-08-17,108.43,108.91,107.41,108.42,328000
2021-08-18,108.0,109.03,106.92,107.01,349700
2021-08-19,106.23,108.19,106.16,107.51,371200
2021-08-20,107.74,109.33,107.14,108.94,370000
2021-08-23,109.11,110.16,108.5,108.89,313300
2021-08-24,109.26,109.53,108.64,108.79,271800
2021-08-25,109.07,111.02,108.81,110.31,451900
2021-08-26,110.87,110.87,108.25,108.29,338500
2021-08-27,108.28,110.0,108.28,109.9,336400
2021-08-30,109.82,109.86,108.58,108.62,275900
2021-08-31,108.38,109.8,108.04,109.02,521800
2021-09-01,109.02,109.02,107.24,107.94,366500
2021-09-02,108.17,108.45,107.38,107.89,342100
2021-09-03,108.09,108.09,106.62,106.97,370000
2021-09-07,107.22,107.22,105.44,105.51,357100
2021-09-08,105.25,107.05,104.87,106.23,361200
2021-09-09,106.25,107.67,105.27,105.35,410300
2021-09-10,105.7,106.23,103.66,103.7,382900
2021-09-13,104.35,105.1,103.66,104.68,362000
2021-09-14,104.83,104.83,103.31,103.75,463200
2021-09-15,103.48,105.35,103.3,105.07,494200
2021-09-16,105.06,105.26,104.01,104.71,368900
2021-09-17,104.29,105.16,103.32,103.43,1091900
2021-09-20,101.98,102.28,100.1,101.5,599100
2021-09-21,102.17,102.58,100.7,101.03,402800
2021-09-22,102.22,102.35,101.4,101.66,359100
2021-09-23,102.38,104.18,102.38,103.13,398400
2021-09-24,103.35,104.07,102.47,103.58,252400
2021-09-27,104.11,105.52,104.08,105.24,404000
2021-09-28,105.04,105.92,102.62,102.78,498100
2021-09-29,102.88,104.14,102.65,103.34,315000
2021-09-30,103.97,104.69,100.92,101.45,758600
2021-10-01,101.61,102.83,100.15,101.96,481300
2021-10-04,101.51,102.97,100.34,100.65,673800
2021-10-05,101.14,103.0,100.12,102.59,528700
2021-10-06,101.73,103.52,100.84,103.45,338600
2021-10-07,104.61,105.74,104.6,105.58,385700
2021-10-08,106.19,107.13,105.6,106.67,427400
2021-10-11,106.89,108.88,105.45,105.48,336200
2021-10-12,105.64,106.53,104.69,104.88,310800
2021-10-13,104.75,104.76,103.35,103.91,355300
2021-10-14,104.5,105.85,104.27,105.27,479900
2021-10-15,106.59,107.06,105.02,105.64,356500
2021-10-18,105.48,105.48,103.75,103.89,316500
2021-10-19,104.95,105.97,104.05,104.65,303400
2021-10-20,104.52,106.83,104.52,106.39,365800
2021-10-21,106.25,107.08,105.79,106.39,308100
2021-10-22,106.55,108.59,106.55,108.53,395500
2021-10-25,108.44,109.75,107.64,109.64,476400
2021-10-26,110.09,110.12,108.98,109.29,477900
2021-10-27,109.83,110.08,107.53,107.64,633000
2021-10-28,109.25,112.8,109.25,112.07,708600
2021-10-29,111.63,112.47,107.49,107.86,927500
2021-11-01,108.2,108.63,105.19,107.02,596400
2021-11-02,107.02,109.77,106.6,109.76,580200
2021-11-03,109.29,111.83,108.58,110.74,507500
2021-11-04,110.27,110.75,109.25,110.3,480400
2021-11-05,111.03,112.7,110.03,111.99,432900
2021-11-08,112.18,113.03,109.82,110.5,608500
2021-11-09,110.14,110.76,109.49,110.28,290500
2021-11-10,110.3,111.03,109.46,109.74,377900
2021-11-11,109.78,109.8,108.75,109.05,234400
2021-11-12,109.21,109.21,107.88,108.48,419600
2021-11-15,108.56,108.84,107.61,107.9,378800
2021-11-16,107.98,108.87,107.08,107.15,406600
2021-11-17,106.99,106.99,104.69,105.48,438200
2021-11-18,105.48,105.89,104.37,105.43,339800
2021-11-19,105.33,105.87,103.87,105.53,414400
2021-11-22,106.57,107.18,105.48,106.47,634500
2021-11-23,107.04,107.44,106.15,107.42,417800
2021-11-24,107.64,107.64,105.86,106.43,481500
2021-11-26,103.84,105.77,101.84,104.16,609700
2021-11-29,104.45,105.83,103.46,105.22,632800
2021-11-30,104.36,104.49,100.39,101.17,1653800
2021-12-01,102.86,103.84,100.21,100.23,639100
2021-12-02,100.96,105.74,100.96,104.56,727200
2021-12-03,104.69,104.8,101.94,102.93,476500
2021-12-06,104.51,105.5,103.06,103.29,694300
2021-12-07,103.95,105.27,103.54,104.6,498300
2021-12-08,104.61,105.18,103.42,104.11,455500
2021-12-09,101.51,103.1,101.14,102.27,576300
2021-12-10,103.02,103.77,102.78,103.37,406900
2021-12-13,103.06,103.06,100.77,101.59,483500
2021-12-14,101.69,103.83,101.27,102.94,535400
2021-12-15,103.33,104.04,102.53,103.43,398800
2021-12-16,104.19,105.64,103.48,104.74,480200
2021-12-17,104.84,104.84,99.97,100.92,1671500
2021-12-20,99.47,99.5,97.24,98.25,666300
2021-12-21,98.92,100.78,98.92,99.61,547200
2021-12-22,99.65,100.72,98.44,100.42,504100
2021-12-23,100.73,101.93,100.02,100.33,400000
2021-12-27,100.36,101.99,99.84,101.92,329000
