Date,Open,High,Low,Close,Volume
2021-07-12,46.39,46.48,45.8,46.39,12351912
2021-07-13,46.39,46.54,45.95,46.04,12128696
2021-07-14,46.29,46.33,45.87,46.0,10431846
2021-07-15,45.9,46.29,45.78,46.14,13612039
2021-07-16,46.12,46.46,45.79,45.83,13241043
2021-07-19,45.77,45.84,44.85,45.09,19512763
2021-07-20,45.17,45.74,45.01,45.45,18752845
2021-07-21,45.33,46.27,45.2,46.03,14927650
2021-07-22,46.05,46.16,45.3,46.02,14273686
2021-07-23,46.12,46.65,46.01,46.47,9123704
2021-07-26,46.35,46.8,46.18,46.74,12372292
2021-07-27,46.72,47.04,46.41,46.63,12404195
2021-07-28,46.38,46.61,45.69,46.17,14126653
2021-07-29,47.14,47.54,46.23,46.27,21094163
2021-07-30,46.24,47.16,46.11,46.85,23984346
2021-08-02,46.95,47.2,46.19,46.56,12413798
2021-08-03,46.74,46.78,45.58,46.37,11958403
2021-08-04,46.19,46.53,45.78,46.16,10144609
2021-08-05,46.42,46.69,46.2,46.45,9307975
2021-08-06,46.34,46.96,46.3,46.73,11298570
2021-08-09,46.71,46.73,46.21,46.41,12931186
2021-08-10,46.36,46.55,46.22,46.54,8780663
2021-08-11,46.91,47.1,46.56,47.05,9442630
2021-08-12,47.02,47.09,46.65,47.0,9938998
2021-08-13,47.27,47.38,46.97,47.24,8048061
2021-08-16,47.09,47.44,46.87,47.18,13040127
2021-08-17,47.08,47.38,46.83,47.35,13776677
2021-08-18,47.35,47.52,46.96,47.0,13352438
2021-08-19,47.0,47.15,46.6,46.95,11160927
2021-08-20,46.87,47.53,46.74,47.31,12311259
2021-08-23,47.07,47.87,46.98,47.62,13251927
2021-08-24,47.67,47.82,47.3,47.4,10257605
2021-08-25,47.39,47.63,47.15,47.36,8276719
2021-08-26,47.45,47.54,46.96,46.98,8662546
2021-08-27,47.07,47.39,46.95,47.3,14009283
2021-08-30,47.16,47.58,47.06,47.55,12798772
2021-08-31,47.35,48.38,47.31,48.32,17838853
2021-09-01,48.58,48.99,48.22,48.68,16047787
2021-09-02,48.87,49.21,48.8,49.17,10908688
2021-09-03,48.89,49.21,48.84,49.15,8621787
2021-09-07,48.92,49.03,47.94,48.02,17049593
2021-09-08,47.9,48.19,47.81,47.89,17872677
2021-09-09,48.07,48.07,47.32,47.43,11086664
2021-09-10,47.33,47.66,47.03,47.22,10895350
2021-09-13,47.76,48.25,47.4,47.75,14956993
2021-09-14,48.06,48.45,44.11,44.27,58417503
2021-09-15,44.19,45.93,44.19,45.39,39523174
2021-09-16,45.59,45.97,44.91,45.61,19836384
2021-09-17,45.33,45.91,45.24,45.48,25350426
2021-09-20,45.3,45.38,44.48,44.98,20579442
2021-09-21,45.36,45.63,44.39,44.64,14615766
2021-09-22,45.28,45.44,44.52,44.61,18681143
2021-09-23,44.65,45.3,44.49,44.73,16276765
2021-09-24,44.53,44.97,44.39,44.78,12182793
2021-09-27,44.47,44.85,44.39,44.82,10870703
2021-09-28,44.23,44.46,43.48,43.6,22819609
2021-09-29,43.76,44.74,43.56,44.54,18060896
2021-09-30,44.6,45.32,44.53,44.54,20760939
2021-10-01,44.9,45.77,44.66,45.56,16527297
2021-10-04,45.55,45.55,45.01,45.21,15217021
2021-10-05,45.05,45.84,45.0,45.42,16667074
2021-10-06,44.86,45.56,44.72,45.51,24375508
2021-10-07,45.92,46.36,45.81,45.91,14765573
2021-10-08,45.57,45.57,43.65,43.75,25618350
