Date,Open,High,Low,Close,Volume
2021-07-12,51.41,51.8,51.24,51.74,2351800
2021-07-13,51.66,51.9,51.17,51.43,1625700
2021-07-14,51.55,52.06,51.3,51.84,2538200
2021-07-15,51.79,52.79,51.79,52.73,2800700
2021-07-16,52.88,53.46,52.67,53.16,2598100
2021-07-19,52.8,53.49,51.89,52.68,3688500
2021-07-20,53.0,53.7,52.85,53.1,2900600
2021-07-21,53.16,53.34,52.32,52.32,1458000
2021-07-22,52.19,52.71,52.02,52.49,1670000
2021-07-23,52.56,53.23,52.55,53.22,1780200
2021-07-26,52.97,53.28,52.63,53.13,1924600
2021-07-27,53.17,54.35,52.8,54.19,1919700
2021-07-28,54.18,54.24,52.91,53.37,1846900
2021-07-29,53.58,53.85,53.09,53.45,1209800
2021-07-30,53.31,53.92,52.89,52.97,1685000
2021-08-02,53.16,53.85,52.99,53.71,1386500
2021-08-03,53.81,54.61,53.47,54.21,1617300
2021-08-04,54.0,54.25,53.48,54.23,1571500
2021-08-05,54.37,54.61,54.0,54.56,1315900
2021-08-06,54.63,55.0,54.21,54.61,1405300
2021-08-09,54.73,54.87,54.28,54.6,925400
2021-08-10,54.56,54.59,54.16,54.33,808300
2021-08-11,54.52,54.8,54.32,54.54,1456200
2021-08-12,54.52,54.78,54.32,54.38,748600
2021-08-13,54.47,54.92,54.35,54.77,782200
2021-08-16,54.94,55.58,54.8,55.13,1197600
2021-08-17,55.13,55.53,54.91,55.47,1429800
2021-08-18,55.46,55.59,54.72,55.09,1934100
2021-08-19,55.09,55.65,54.92,55.25,2211700
2021-08-20,55.3,55.96,54.86,55.94,2096900
2021-08-23,55.84,55.84,55.22,55.3,2848700
2021-08-24,55.28,55.37,54.61,54.84,2445400
2021-08-25,54.79,55.08,54.5,54.93,1313800
2021-08-26,54.88,55.19,54.6,55.1,1050300
2021-08-27,55.22,55.78,55.14,55.38,1278300
2021-08-30,55.48,55.83,55.34,55.66,968200
2021-08-31,55.57,55.89,55.04,55.35,2048500
2021-09-01,55.41,56.19,55.41,56.15,1206700
2021-09-02,56.23,56.63,56.2,56.63,1377700
2021-09-03,56.52,56.56,56.06,56.07,1156700
2021-09-07,55.91,55.95,54.76,54.83,1316500
