Date,Open,High,Low,Close,Volume
2021-07-12,145.2,150.91,144.2,150.38,3250200
2021-07-13,150.38,150.79,148.36,148.54,2536700
2021-07-14,148.75,150.51,143.79,144.89,4190900
2021-07-15,142.9,146.54,142.57,146.27,3069700
2021-07-16,147.46,147.46,143.29,143.69,1955100
2021-07-19,139.98,141.22,137.64,140.12,3757400
2021-07-20,139.53,145.26,139.06,144.11,3306200
2021-07-21,145.6,149.97,145.4,148.88,2508500
2021-07-22,147.96,148.76,144.77,147.26,2966600
2021-07-23,143.21,149.83,142.84,146.02,3516300
2021-07-26,146.0,148.69,145.95,148.09,2055900
2021-07-27,145.91,149.29,145.17,148.27,2168000
2021-07-28,148.72,149.18,145.84,147.22,2314800
2021-07-29,149.14,150.83,148.61,149.52,2587900
2021-07-30,148.83,150.59,146.54,147.5,2661400
2021-08-02,148.82,151.34,144.97,146.04,3934600
2021-08-03,146.91,147.83,141.81,147.26,2868200
2021-08-04,146.21,149.76,145.13,147.04,2722800
2021-08-05,147.98,149.55,147.98,148.86,2749500
2021-08-06,151.49,153.93,150.95,152.5,3394500
2021-08-09,151.48,153.6,149.91,152.74,2239500
2021-08-10,152.74,157.41,152.64,156.84,3442500
2021-08-11,157.14,160.76,156.08,160.4,3880500
2021-08-12,160.36,162.81,159.36,162.59,3274300
2021-08-13,162.82,163.53,161.54,163.33,2368300
2021-08-16,161.74,163.32,160.98,162.95,2115000
2021-08-17,161.07,162.22,157.54,159.24,2791000
2021-08-18,158.36,161.39,157.39,158.08,1759900
2021-08-19,155.41,157.68,153.42,154.48,2478500
2021-08-20,154.55,155.41,152.05,154.59,2595700
2021-08-23,155.69,157.32,155.28,155.62,2019400
2021-08-24,156.12,157.79,155.72,156.27,1668400
2021-08-25,156.76,160.41,156.43,159.83,2184300
2021-08-26,160.27,160.54,157.43,157.72,1867100
2021-08-27,158.34,161.72,157.74,161.55,1747700
2021-08-30,158.19,159.5,151.73,151.8,4300600
2021-08-31,151.65,153.62,150.03,152.52,3791800
2021-09-01,152.51,153.08,148.16,148.58,3342900
2021-09-02,149.33,150.14,146.59,147.09,3118100
