Date,Open,High,Low,Close,Volume
2021-09-07,116.52,116.81,114.76,115.66,510100
2021-09-08,115.63,116.65,115.02,115.75,422200
2021-09-09,115.38,116.39,115.05,115.09,489900
2021-09-10,115.0,115.45,113.5,114.36,687900
2021-09-13,114.82,115.29,114.14,115.13,626500
2021-09-14,115.46,115.9,114.26,114.62,470900
2021-09-15,114.22,117.21,113.51,117.14,699300
2021-09-16,117.56,118.23,115.65,115.68,682100
2021-09-17,115.26,116.33,114.51,114.97,1696500
2021-09-20,114.29,114.62,112.21,113.57,871000
2021-09-21,114.27,115.06,112.66,113.14,800600
2021-09-22,113.75,114.84,113.35,113.68,830800
2021-09-23,114.02,115.14,113.69,114.11,801300
2021-09-24,114.19,114.57,113.54,113.88,416200
2021-09-27,113.71,114.84,113.68,114.19,614100
2021-09-28,114.43,114.49,112.81,112.94,834700
2021-09-29,114.24,115.81,114.24,115.27,725500
2021-09-30,115.96,116.53,112.39,112.4,1038800
2021-10-01,112.79,113.74,111.59,112.74,1011900
2021-10-04,112.92,114.31,110.56,111.35,926000
2021-10-05,111.49,113.11,110.83,111.61,730000
2021-10-06,110.84,111.5,107.97,110.0,919900
2021-10-07,110.33,112.31,110.13,111.58,679900
2021-10-08,111.54,112.81,111.17,112.33,665100
2021-10-11,112.66,116.45,112.48,115.18,1414500
2021-10-12,114.65,114.84,111.69,112.67,1062100
2021-10-13,112.0,112.14,109.12,111.83,1011000
2021-10-14,112.61,113.59,111.54,113.02,711100
2021-10-15,113.51,114.49,112.74,112.79,986000
2021-10-18,112.07,112.86,110.85,111.4,587700
2021-10-19,112.07,113.28,111.74,112.77,505300
2021-10-20,112.67,116.01,112.67,115.04,623300
2021-10-21,115.45,115.86,114.76,115.47,449300
2021-10-22,115.69,116.37,115.46,116.05,364100
2021-10-25,116.07,116.65,115.19,115.37,407000
2021-10-26,115.78,116.38,114.8,115.71,374200
2021-10-27,115.33,115.33,112.49,112.5,582500
2021-10-28,112.91,113.91,112.62,113.58,515900
2021-10-29,112.97,114.97,112.56,114.82,633400
2021-11-01,115.2,116.45,114.99,115.57,691600
2021-11-02,117.15,119.02,115.5,117.81,1210600
2021-11-03,117.46,121.03,117.23,120.72,1138000
2021-11-04,118.57,120.53,115.93,119.3,974200
2021-11-05,119.08,121.9,118.73,120.04,762800
2021-11-08,119.87,120.45,118.34,118.55,974200
2021-11-09,118.22,118.92,117.18,117.32,940300
2021-11-10,117.65,118.7,117.56,118.27,601900
2021-11-11,117.72,118.46,116.56,118.28,529700
2021-11-12,119.22,120.08,117.88,118.38,737300
2021-11-15,118.38,118.7,117.13,117.51,663500
2021-11-16,117.44,118.37,116.93,116.98,849700
2021-11-17,116.93,118.14,116.24,117.75,1298100
2021-11-18,118.09,118.09,116.86,117.58,592700
2021-11-19,118.52,119.14,113.7,113.83,1533800
2021-11-22,113.66,115.78,113.14,114.39,1033000
2021-11-23,114.54,117.34,114.27,116.79,1288800
2021-11-24,116.39,118.02,115.97,116.58,577000
2021-11-26,115.15,116.77,113.27,113.55,613700
2021-11-29,114.04,114.88,113.0,113.55,896300
2021-11-30,113.01,113.35,109.0,109.32,3201300
2021-12-01,111.17,111.86,108.89,108.94,1198300
2021-12-02,109.35,111.28,108.56,110.58,1349000
2021-12-03,111.61,113.46,110.57,111.5,1251200
2021-12-06,113.11,115.15,112.46,113.54,1116200
2021-12-07,113.96,115.2,113.12,114.13,846700
2021-12-08,114.98,116.02,114.06,115.4,868000
2021-12-09,114.9,116.85,114.44,116.21,1025200
2021-12-10,116.79,117.94,116.26,117.58,1229100
2021-12-13,117.58,117.95,115.55,117.0,541700
2021-12-14,116.72,119.51,116.72,117.74,999300
2021-12-15,117.62,118.46,116.95,118.19,776700
2021-12-16,118.73,120.31,117.95,118.39,840300
2021-12-17,119.04,120.67,118.04,119.54,1434700
2021-12-20,119.09,120.6,117.66,120.33,766200
2021-12-21,121.13,123.67,121.04,121.86,1325000
2021-12-22,121.61,122.86,120.91,122.05,602700
2021-12-23,122.52,124.07,121.99,123.69,717800
2021-12-27,124.07,126.2,123.76,125.96,497700
2021-12-28,125.82,126.86,125.58,126.4,602200
2021-12-29,126.4,127.65,126.23,127.33,787700
2021-12-30,127.96,129.17,127.34,127.74,540100
2021-12-31,127.8,128.12,126.85,126.9,581000
2022-01-03,126.61,126.93,124.97,126.64,977800
2022-01-04,126.8,127.27,124.66,125.44,1111400
2022-01-05,125.76,129.01,125.76,126.53,913700
2022-01-06,126.69,127.01,124.3,124.57,668300
2022-01-07,125.2,127.47,123.09,127.12,1106600
2022-01-10,125.38,128.7,124.19,128.57,1197300
2022-01-11,128.92,130.78,128.73,130.3,1572800
2022-01-12,129.72,129.75,127.8,129.6,937300
2022-01-13,129.39,130.12,128.51,128.81,883600
2022-01-14,128.68,130.17,127.32,130.06,926900
2022-01-18,129.81,129.82,126.82,127.78,888400
2022-01-19,127.77,129.14,126.17,126.42,894000
2022-01-20,126.49,128.9,126.41,126.89,635700
2022-01-21,127.6,128.07,125.1,125.59,715900
2022-01-24,124.22,126.05,122.18,125.62,1353900
