Date,Open,High,Low,Close,Volume
2021-07-12,392.26,392.56,383.25,386.43,2491300
2021-07-13,383.41,387.76,383.41,385.65,1540300
2021-07-14,387.09,388.88,385.84,388.39,1265800
2021-07-15,388.87,390.52,386.43,390.16,1894100
2021-07-16,390.44,391.68,388.22,388.79,1413900
2021-07-19,388.49,393.48,388.48,392.37,2293100
2021-07-20,392.23,396.08,391.14,394.35,2045400
2021-07-21,395.17,395.17,390.54,393.18,1480000
2021-07-22,394.12,396.58,391.8,395.58,1339200
2021-07-23,396.29,401.69,395.11,401.16,1344500
2021-07-26,401.13,402.17,398.24,400.97,1220000
2021-07-27,401.7,402.23,399.43,402.02,1666500
2021-07-28,401.01,402.51,398.42,400.01,1362700
2021-07-29,400.25,404.21,399.0,403.67,1434200
2021-07-30,404.33,409.57,404.29,407.88,2283900
2021-08-02,408.74,408.82,403.86,407.12,1366900
2021-08-03,408.07,414.6,407.31,412.96,1448100
2021-08-04,413.84,415.73,410.89,412.93,1280500
2021-08-05,415.5,420.96,414.54,420.67,1742600
2021-08-06,420.23,420.92,416.59,417.29,1789800
2021-08-09,418.26,420.28,416.98,418.09,1472500
2021-08-10,418.27,421.25,418.27,420.51,1893700
2021-08-11,422.86,425.23,419.35,421.72,2267500
2021-08-12,420.49,423.93,419.77,422.73,1230700
2021-08-13,423.13,425.57,421.95,425.06,1309300
2021-08-16,425.15,430.16,424.33,429.85,1515600
2021-08-17,429.85,430.72,426.85,429.35,1936700
2021-08-18,428.04,432.1,423.24,423.53,2030100
2021-08-19,420.44,432.35,418.88,431.17,1953700
2021-08-20,432.34,437.21,430.6,435.66,1911200
2021-08-23,434.03,435.73,431.49,431.81,1835900
2021-08-24,432.11,432.25,427.42,428.83,1541700
2021-08-25,427.92,429.81,424.59,428.3,1520600
2021-08-26,428.3,429.48,424.0,426.48,1418600
2021-08-27,426.48,428.67,424.09,427.45,1310200
2021-08-30,428.12,433.39,427.55,432.76,1219800
2021-08-31,432.96,433.66,429.45,432.34,1699000
2021-09-01,432.33,433.47,428.89,433.32,1325400
2021-09-02,436.07,437.99,435.09,437.54,1455000
2021-09-03,435.67,440.04,435.67,439.04,1302400
2021-09-07,439.0,439.66,434.37,436.24,1463400
2021-09-08,435.78,442.16,434.8,442.03,1372000
2021-09-09,443.59,445.9,441.6,442.26,1398700
2021-09-10,443.43,444.6,439.66,441.52,1324800
2021-09-13,443.32,444.44,434.91,436.3,1679500
2021-09-14,437.52,438.71,434.17,435.11,1383900
2021-09-15,434.95,438.76,432.96,437.32,1770300
2021-09-16,437.37,440.2,433.37,439.76,1577500
2021-09-17,438.16,439.3,433.79,436.16,3411400
2021-09-20,433.42,437.52,423.92,428.21,2602000
2021-09-21,428.21,433.62,427.28,429.13,1531300
2021-09-22,431.59,432.21,426.98,429.34,1380800
2021-09-23,429.31,432.4,428.17,429.77,2061200
2021-09-24,432.81,444.9,431.88,443.98,3353800
2021-09-27,441.89,446.58,434.0,437.15,2526000
2021-09-28,433.91,434.25,423.02,424.62,2632700
2021-09-29,427.01,432.83,426.09,428.83,1922000
2021-09-30,430.57,432.22,426.47,426.51,1836400
2021-10-01,426.87,428.16,418.36,425.55,1860700
2021-10-04,425.56,426.51,414.0,417.77,2264000
2021-10-05,417.24,426.29,416.93,423.56,1808700
2021-10-06,421.37,426.92,419.9,426.5,1334600
2021-10-07,433.27,436.23,429.1,429.85,1966200
2021-10-08,432.29,432.59,427.13,428.89,1545800
2021-10-11,427.17,430.63,426.69,426.85,1011700
2021-10-12,427.27,429.84,423.1,424.16,1380900
2021-10-13,425.74,427.61,421.5,422.67,1621500
2021-10-14,424.39,428.74,423.81,427.76,1480400
2021-10-15,430.82,430.87,426.35,429.4,1494800
2021-10-18,426.76,438.85,425.71,438.47,2141300
2021-10-19,439.47,443.42,436.92,443.34,1365300
2021-10-20,444.71,448.49,444.06,445.9,1352900
2021-10-21,445.9,453.38,445.24,452.98,1423300
2021-10-22,454.65,460.38,454.25,457.49,1710300
2021-10-25,457.49,467.2,455.13,465.19,1903400
2021-10-26,457.63,463.44,456.77,460.86,2378600
2021-10-27,459.26,466.52,458.99,464.25,1741800
2021-10-28,462.96,467.59,462.5,466.35,1362400
2021-10-29,462.79,469.81,462.67,467.31,2471600
2021-11-01,469.8,470.5,463.19,467.63,1548700
2021-11-02,470.36,474.87,468.44,472.5,2012200
2021-11-03,476.63,478.17,471.32,477.57,1856000
2021-11-04,482.02,494.57,481.07,490.21,2615000
2021-11-05,489.4,492.38,483.56,487.83,2071700
2021-11-08,488.11,488.11,475.55,478.98,2834800
2021-11-09,480.23,484.01,479.22,483.64,1881800
2021-11-10,483.21,485.21,478.94,480.6,1226600
2021-11-11,481.25,487.24,479.2,486.94,1227300
2021-11-12,488.91,494.05,487.94,491.68,1780200
2021-11-15,492.94,497.32,492.48,494.27,1392300
2021-11-16,494.22,502.26,491.91,500.76,1690700
2021-11-17,501.5,504.58,498.66,500.35,1609400
2021-11-18,502.13,504.64,496.74,503.28,1664200
2021-11-19,507.76,508.9,501.99,507.48,1909800
2021-11-22,507.04,518.54,506.08,513.05,2190500
2021-11-23,511.45,518.92,507.46,518.39,2147000
2021-11-24,518.65,523.68,516.54,522.64,2316400
2021-11-26,522.47,527.22,517.48,519.21,1844800
2021-11-29,519.21,533.14,515.68,527.53,2919100
2021-11-30,523.84,529.71,509.48,512.8,4244200
2021-12-01,516.33,521.23,503.31,503.73,2877100
2021-12-02,492.96,504.74,488.71,499.61,3277500
2021-12-03,503.87,511.01,498.91,502.86,2984400
2021-12-06,506.02,509.63,501.57,506.92,2432900
2021-12-07,511.72,516.24,508.36,515.31,2579800
2021-12-08,519.29,520.79,499.65,503.98,3037500
2021-12-09,502.74,506.09,497.98,498.49,3200500
2021-12-10,508.36,533.61,508.26,531.28,6333600
2021-12-13,523.31,532.16,520.97,529.76,3415200
2021-12-14,529.03,529.71,511.08,518.46,3494400
2021-12-15,519.29,538.57,518.64,537.61,2937100
2021-12-16,536.95,538.63,522.37,525.39,2683000
2021-12-17,522.25,529.04,514.32,520.62,5752000
2021-12-20,515.41,522.08,511.51,521.52,2033600
2021-12-21,523.37,524.59,509.66,518.55,2472800
2021-12-22,518.5,522.89,513.2,522.58,1454500
2021-12-23,524.55,525.37,520.51,523.24,1757800
2021-12-27,524.36,537.86,524.26,535.7,2262900
2021-12-28,535.66,538.71,533.07,536.81,1155000
2021-12-29,538.48,543.32,535.73,539.79,1753000
2021-12-30,541.46,541.79,534.65,536.12,1338700
2021-12-31,535.64,540.24,531.48,539.72,1509200
2022-01-03,537.18,539.5,528.13,538.78,2714100
2022-01-04,536.42,540.69,534.1,536.42,2097500
2022-01-05,535.91,537.2,522.67,522.82,2887500
2022-01-06,519.28,526.24,516.76,522.7,2503100
2022-01-07,520.56,521.34,507.91,509.75,2323900
2022-01-10,503.2,504.27,483.44,493.23,4916800
2022-01-11,493.23,496.72,485.14,496.3,2457300
2022-01-12,496.3,503.91,496.28,499.89,1729500
2022-01-13,501.64,502.98,489.84,491.41,2428100
2022-01-14,486.36,487.7,477.13,478.2,3872500
2022-01-18,470.09,470.68,462.87,464.02,3801900
2022-01-19,465.75,471.78,463.09,466.0,2709400
2022-01-20,466.56,475.24,458.09,459.02,2893700
2022-01-21,458.17,470.23,457.6,457.87,3295600
2022-01-24,452.11,465.82,445.89,464.8,4412600
2022-01-25,456.25,458.85,449.09,453.8,3076800
2022-01-26,459.41,469.53,455.17,459.64,3074900
2022-01-27,462.92,471.35,456.64,458.74,2372300
2022-01-28,459.9,468.45,452.45,468.16,1918500
2022-01-31,467.75,481.46,466.45,480.23,2480700
2022-02-01,480.11,484.56,472.45,483.35,2347200
2022-02-02,485.92,498.17,485.19,496.29,2547600
2022-02-03,491.2,501.25,489.61,496.81,2665100
2022-02-04,493.32,497.03,486.36,494.9,2387400
2022-02-07,496.36,497.03,489.63,491.21,1863600
2022-02-08,491.21,498.35,486.08,496.22,1462000
2022-02-09,502.74,508.68,500.53,503.53,2256700
2022-02-10,495.95,499.38,490.12,493.67,2558900
2022-02-11,493.6,496.41,483.1,485.29,2349700
2022-02-14,484.64,487.06,477.45,482.32,1749600
2022-02-15,488.78,491.31,486.32,489.33,1984600
2022-02-16,487.02,489.93,477.71,487.88,1770800
2022-02-17,485.26,493.42,482.77,490.37,2022800
2022-02-18,490.26,493.12,485.91,488.14,2154700
2022-02-22,485.6,489.96,474.33,478.15,2451800
2022-02-23,478.88,483.67,471.11,471.56,2021400
2022-02-24,460.15,482.31,459.87,481.39,2859800
2022-02-25,484.25,493.45,481.08,492.73,2003000
2022-02-28,489.69,494.77,486.84,494.41,2408900
2022-03-01,494.61,504.03,494.35,497.91,2316000
2022-03-02,498.93,507.58,494.9,502.74,2571500
2022-03-03,508.92,513.17,504.2,507.55,3851800
2022-03-04,494.65,504.57,487.29,500.36,4417900
2022-03-07,498.41,519.2,498.38,503.23,3896900
2022-03-08,501.04,513.91,497.42,498.32,3649700
2022-03-09,502.38,505.46,491.04,502.41,2789700
2022-03-10,498.08,508.8,493.35,507.23,1777700
2022-03-11,510.95,516.69,501.24,502.19,1735100
2022-03-14,502.52,509.7,498.49,500.79,1950000
2022-03-15,504.64,517.83,502.66,516.37,2547900
2022-03-16,518.48,525.23,505.84,517.39,3017200
2022-03-17,517.35,526.7,517.21,526.34,1974200
2022-03-18,526.5,535.64,523.22,534.49,3597800
2022-03-21,533.34,539.63,524.49,528.95,3136900
2022-03-22,530.31,533.54,525.9,532.66,1777500
2022-03-23,530.3,533.86,525.5,527.51,1546800
2022-03-24,528.93,531.55,522.94,531.41,1614200
2022-03-25,533.04,533.62,523.9,529.12,1974900
2022-03-28,530.1,538.22,527.02,538.17,2056100
2022-03-29,540.82,543.89,537.52,542.71,2005400
2022-03-30,543.63,550.58,541.39,548.89,2086500
2022-03-31,551.01,558.27,547.98,548.3,3439800
2022-04-01,549.76,555.1,544.93,548.03,1933500
2022-04-04,546.48,551.96,544.13,547.61,2201800
2022-04-05,545.2,556.04,544.73,547.79,1826800
2022-04-06,546.57,558.73,543.08,556.81,2646200
2022-04-07,563.95,582.98,560.61,578.96,4804200
2022-04-08,577.37,578.91,569.13,571.33,3230200
2022-04-11,570.14,572.25,554.92,556.7,2792700
2022-04-12,558.62,563.42,551.07,553.55,2142000
2022-04-13,554.6,565.1,554.6,562.81,2211800
2022-04-14,563.47,567.75,558.96,562.14,2206200
2022-04-18,557.37,563.78,551.87,554.27,2161900
2022-04-19,555.44,566.37,554.15,565.87,2327800
2022-04-20,570.48,576.32,568.72,574.65,1793300
2022-04-21,578.23,580.03,562.87,563.43,2027900
2022-04-22,562.11,563.58,543.73,544.35,2878200
2022-04-25,543.02,543.04,527.05,541.02,3154500
2022-04-26,538.21,541.15,526.84,527.27,2057400
