Date,Open,High,Low,Close,Volume
2021-08-20,69.36,70.49,69.16,70.4,2328100
2021-08-23,70.72,71.47,70.62,71.01,3818000
2021-08-24,70.84,71.7,70.56,71.61,3363300
2021-08-25,71.63,71.93,70.83,71.13,3449600
2021-08-26,71.09,71.09,70.22,70.66,2357800
2021-08-27,70.95,71.48,70.69,70.9,2266100
2021-08-30,71.03,71.43,70.51,70.54,1724400
2021-08-31,70.65,70.66,69.91,70.05,2948300
2021-09-01,70.22,70.63,69.89,70.52,2424900
2021-09-02,70.68,70.99,70.41,70.96,2038700
2021-09-03,70.77,70.77,70.16,70.27,1568500
2021-09-07,70.34,70.61,69.81,69.95,1751800
2021-09-08,69.83,70.47,69.71,70.37,2536300
2021-09-09,70.34,70.73,70.17,70.2,1849800
2021-09-10,70.46,70.82,69.94,70.0,1754900
2021-09-13,70.37,70.51,69.45,70.13,1941600
2021-09-14,70.49,70.57,69.36,69.47,1668400
2021-09-15,69.5,70.42,69.07,70.2,2681000
2021-09-16,70.2,70.55,69.76,70.46,1900200
2021-09-17,70.08,70.37,69.02,69.28,3759300
2021-09-20,68.57,68.97,67.96,68.9,2536400
2021-09-21,69.01,69.27,68.37,68.39,2322200
2021-09-22,68.82,69.52,68.69,69.2,1713200
2021-09-23,69.46,70.94,69.09,70.82,2723600
2021-09-24,70.47,71.65,70.45,71.25,2989800
2021-09-27,71.0,71.86,70.5,71.62,2884400
2021-09-28,71.33,71.44,69.93,70.09,2959500
2021-09-29,70.0,70.28,69.29,69.38,2062100
2021-09-30,69.64,69.88,67.94,68.12,2837000
2021-10-01,68.5,69.47,67.72,69.09,2395700
2021-10-04,68.83,69.25,67.83,68.24,1967400
2021-10-05,68.37,68.79,67.82,68.32,1856300
2021-10-06,67.74,68.74,67.05,68.26,2304500
2021-10-07,68.84,69.53,68.76,69.08,1516900
2021-10-08,68.96,69.76,68.92,69.29,2191500
2021-10-11,68.99,70.15,68.98,69.2,1893400
2021-10-12,69.01,69.45,68.55,68.94,2672800
2021-10-13,69.75,70.29,69.05,69.42,2720100
2021-10-14,70.0,71.41,70.0,71.09,2268000
2021-10-15,71.33,72.48,71.01,72.36,5901600
2021-10-18,72.0,72.58,71.51,72.41,2181300
2021-10-19,72.78,73.35,72.44,73.24,1758300
2021-10-20,73.07,73.22,71.86,72.66,1765100
2021-10-21,72.49,72.7,72.1,72.59,1628300
2021-10-22,72.83,73.24,72.39,72.51,1726200
2021-10-25,72.65,72.72,72.29,72.48,1600400
2021-10-26,72.78,73.65,72.22,72.29,3441600
2021-10-27,71.93,72.04,70.34,71.33,4054800
2021-10-28,73.45,75.27,70.11,70.97,5048700
2021-10-29,70.61,72.15,70.59,71.68,2616100
2021-11-01,71.6,72.01,71.31,71.6,1460600
2021-11-02,71.84,72.24,71.41,72.17,2106900
2021-11-03,72.1,73.43,71.34,73.11,2841300
2021-11-04,73.19,73.63,72.67,73.01,2257800
2021-11-05,73.43,74.3,73.12,73.35,1791900
2021-11-08,73.43,73.92,73.19,73.59,1393200
2021-11-09,73.54,74.07,73.2,73.9,1787200
2021-11-10,73.98,74.81,73.92,74.03,2253500
2021-11-11,74.24,74.86,73.97,74.41,2100000
2021-11-12,74.54,75.76,74.41,75.25,2131000
2021-11-15,75.53,75.89,75.01,75.22,2007700
2021-11-16,75.27,75.76,74.85,75.04,2006200
2021-11-17,74.69,75.01,73.83,74.34,3018800
