Date,Open,High,Low,Close,Volume
2021-09-09,41.64,41.85,41.27,41.32,2703300
2021-09-10,41.83,41.83,41.11,41.17,2061200
2021-09-13,41.34,41.58,40.41,40.9,1907400
2021-09-14,41.11,41.21,39.98,40.07,1787500
2021-09-15,40.11,40.86,40.05,40.74,2177900
2021-09-16,40.68,40.75,40.11,40.37,2711200
2021-09-17,40.25,40.71,39.17,39.7,7032100
2021-09-20,38.88,39.42,38.61,39.34,2506600
2021-09-21,39.51,39.63,39.0,39.25,3350900
2021-09-22,39.71,40.2,39.62,39.77,2126700
2021-09-23,40.01,40.57,39.94,40.21,2644000
2021-09-24,40.06,40.35,39.85,40.12,2311800
2021-09-27,40.17,41.31,40.17,41.21,2967200
2021-09-28,41.32,41.73,40.47,40.81,2988400
2021-09-29,40.94,40.99,40.4,40.64,2024700
2021-09-30,40.68,40.85,39.88,39.9,2433200
2021-10-01,40.16,41.59,40.0,41.25,3540600
2021-10-04,41.34,41.6,40.21,40.35,2853900
2021-10-05,40.48,41.61,40.28,41.21,3173800
2021-10-06,40.63,40.81,39.41,39.82,3050200
2021-10-07,40.27,40.82,40.1,40.29,2005400
2021-10-08,40.54,40.96,40.3,40.56,1402700
2021-10-11,40.71,41.14,40.22,40.26,1257900
2021-10-12,40.02,40.35,39.62,39.78,1609000
2021-10-13,40.13,40.16,39.23,40.05,2374000
2021-10-14,40.38,41.35,40.33,41.12,1530600
2021-10-15,41.42,41.65,41.08,41.26,2226100
2021-10-18,40.23,41.27,39.93,41.04,2104600
2021-10-19,41.26,41.41,40.71,41.37,1418600
2021-10-20,41.29,42.22,41.29,41.84,2084900
2021-10-21,41.56,41.72,40.38,40.5,2653300
2021-10-22,40.53,41.01,40.37,40.53,1875700
2021-10-25,40.76,40.87,40.29,40.32,3361100
2021-10-26,40.44,40.63,40.12,40.5,1656700
2021-10-27,40.26,40.35,39.89,39.93,2147300
2021-10-28,40.0,40.9,40.0,40.81,2593400
2021-10-29,40.69,41.24,40.48,40.91,3683900
2021-11-01,40.93,41.18,40.63,40.78,2651700
2021-11-02,40.82,41.09,39.96,40.62,4306700
2021-11-03,40.41,42.8,40.41,42.49,4392900
2021-11-04,43.14,45.18,42.84,44.94,4465900
2021-11-05,45.21,46.05,44.85,45.13,2727300
2021-11-08,45.43,45.68,44.01,44.13,4538200
2021-11-09,44.2,45.63,44.19,45.37,2541700
2021-11-10,45.12,45.82,44.98,45.34,2025300
2021-11-11,45.28,45.93,45.23,45.35,1397400
2021-11-12,45.55,46.38,45.49,46.31,3811500
2021-11-15,46.66,46.98,45.73,46.0,1790700
2021-11-16,46.47,46.69,46.03,46.06,1645700
2021-11-17,45.87,46.34,45.69,45.98,1533100
2021-11-18,46.2,46.6,45.91,46.28,2404900
2021-11-19,45.96,46.11,45.31,45.47,3253700
2021-11-22,45.6,46.37,45.21,45.22,2710700
2021-11-23,45.36,45.64,44.71,45.55,2005200
2021-11-24,45.21,45.5,44.95,45.24,1291900
2021-11-26,43.93,44.71,43.86,44.53,1306500
2021-11-29,44.98,45.08,44.15,44.31,2080700
2021-11-30,44.03,44.14,42.57,42.79,4761900
2021-12-01,43.54,44.67,42.45,42.47,2598900
2021-12-02,42.77,44.22,42.68,43.93,2705200
2021-12-03,43.98,45.17,43.34,43.78,3760300
2021-12-06,44.35,45.22,44.07,44.79,3202300
2021-12-07,45.34,46.05,45.16,45.41,2661700
2021-12-08,45.73,45.98,45.17,45.75,2712200
2021-12-09,45.46,46.05,45.39,45.68,1983900
2021-12-10,46.03,46.27,45.35,45.61,2242500
2021-12-13,45.27,45.31,44.27,44.34,2268800
2021-12-14,44.26,44.72,43.86,44.04,2425100
2021-12-15,43.99,43.99,42.91,43.83,2913100
2021-12-16,44.16,45.13,44.03,44.68,3363800
2021-12-17,44.83,44.83,43.69,43.82,6903500
2021-12-20,43.44,43.44,41.74,42.57,3372700
2021-12-21,43.05,43.86,42.86,43.57,2223400
2021-12-22,43.6,43.95,43.41,43.68,2940500
2021-12-23,43.76,44.5,43.69,44.16,1923800
2021-12-27,44.12,44.72,43.98,44.71,1310500
2021-12-28,44.64,45.21,44.51,45.06,1616700
2021-12-29,44.9,45.2,44.72,45.03,1160900
2021-12-30,45.17,45.42,44.75,44.81,1192200
2021-12-31,44.64,45.09,44.58,44.96,1457000
2022-01-03,45.08,45.44,44.5,44.6,2071200
2022-01-04,44.8,45.96,44.8,45.43,2529200
2022-01-05,45.67,45.89,44.9,44.92,2498600
2022-01-06,45.21,45.88,44.76,45.55,2685800
2022-01-07,45.55,46.41,45.46,46.05,2463600
2022-01-10,45.93,45.93,44.52,45.07,2145200
2022-01-11,45.18,46.11,44.93,46.04,1867000
2022-01-12,46.57,46.93,46.11,46.46,1988000
2022-01-13,46.43,46.99,46.16,46.5,2107800
2022-01-14,45.95,46.39,45.47,46.22,2039600
2022-01-18,45.78,45.99,45.41,45.78,1877800
2022-01-19,46.06,46.12,44.86,44.9,2530800
2022-01-20,45.17,45.63,44.12,44.26,2191200
2022-01-21,43.91,44.46,43.1,43.21,2360700
2022-01-24,42.51,44.02,41.6,43.81,3365500
2022-01-25,42.83,44.15,42.05,43.79,4314600
2022-01-26,44.16,44.8,43.16,43.75,2986200
2022-01-27,44.2,45.22,44.03,44.54,2506200
2022-01-28,44.47,45.15,43.84,45.13,2271500
2022-01-31,45.11,45.84,44.94,45.72,2573500
2022-02-01,45.6,45.97,45.04,45.58,4429000
2022-02-02,45.52,45.99,45.32,45.77,3597400
2022-02-03,45.68,46.93,45.05,46.15,4054900
2022-02-04,45.88,48.27,45.88,47.79,4931500
2022-02-07,47.88,48.02,46.93,47.12,4646600
2022-02-08,47.22,47.95,46.92,47.9,4336000
2022-02-09,48.36,49.09,48.31,49.01,2901500
2022-02-10,48.78,49.81,48.21,48.45,4628200
2022-02-11,48.43,49.2,48.0,48.55,3194800
2022-02-14,48.69,49.02,47.9,48.4,5552300
2022-02-15,47.97,48.62,47.74,48.39,4652900
2022-02-16,48.77,49.36,48.4,48.94,3283700
2022-02-17,48.36,49.05,47.99,48.76,2920200
2022-02-18,48.97,49.27,48.0,48.21,2670100
2022-02-22,48.23,48.73,47.79,48.19,2923700
2022-02-23,48.49,48.98,47.84,47.95,3330800
2022-02-24,47.17,47.7,46.61,47.6,3156900
2022-02-25,47.82,49.32,47.72,49.3,3414300
2022-02-28,48.64,49.64,48.3,49.61,4551900
2022-03-01,49.7,49.93,47.7,48.03,3091100
2022-03-02,48.47,49.4,48.38,48.92,4594300
2022-03-03,49.25,49.36,48.56,49.13,3877000
2022-03-04,48.67,49.14,47.79,49.09,5847100
2022-03-07,49.48,51.51,48.73,48.84,8059100
2022-03-08,48.69,49.34,47.26,47.75,5231200
2022-03-09,48.07,49.52,47.89,49.14,4827300
2022-03-10,48.68,51.2,48.68,51.1,4712500
2022-03-11,51.34,52.48,50.88,51.16,4039100
2022-03-14,51.43,52.25,50.74,51.69,4971100
2022-03-15,51.61,52.86,51.37,52.44,5530400
2022-03-16,52.91,53.49,51.43,52.22,5367600
2022-03-17,51.88,53.37,51.87,53.2,4400000
2022-03-18,53.21,53.38,52.48,53.26,11274700
2022-03-21,53.58,54.33,53.0,54.3,5814000
2022-03-22,54.59,54.68,53.68,53.86,5106500
2022-03-23,54.51,55.05,53.83,54.74,3902500
2022-03-24,54.97,56.01,54.94,55.77,4758800
2022-03-25,55.8,57.03,55.8,57.01,4670200
2022-03-28,56.58,56.81,55.88,56.29,3276600
2022-03-29,55.16,55.42,53.64,55.33,4215100
2022-03-30,55.81,56.34,55.3,55.66,3440100
2022-03-31,55.34,56.2,54.7,54.81,4327800
2022-04-01,55.22,55.73,54.96,55.58,2430900
2022-04-04,55.62,56.14,54.68,55.94,2356800
2022-04-05,56.07,56.39,55.34,55.57,3220000
2022-04-06,55.5,56.01,55.18,55.35,2868800
2022-04-07,55.52,56.02,55.22,55.77,2321800
2022-04-08,56.45,57.51,56.13,56.87,2478900
2022-04-11,56.97,57.28,56.59,56.97,2487700
2022-04-12,57.06,57.91,56.84,57.81,2813000
2022-04-13,58.01,58.37,57.32,58.12,2193500
2022-04-14,58.48,58.87,58.05,58.18,3714400
2022-04-18,58.19,58.64,57.9,58.12,3289700
2022-04-19,58.5,58.96,57.82,58.3,3865400
2022-04-20,58.7,59.01,57.6,58.47,4258500
2022-04-21,59.01,59.16,57.31,57.41,3942200
2022-04-22,57.06,57.37,54.53,55.0,4987500
2022-04-25,54.25,54.86,53.19,54.64,4215500
2022-04-26,54.58,55.09,53.88,54.0,4118800
2022-04-27,54.29,55.22,53.87,54.56,4522700
2022-04-28,55.03,55.36,54.22,55.13,4599700
2022-04-29,55.37,56.15,54.9,55.01,6933100
2022-05-02,55.09,55.31,53.54,54.68,5231600
2022-05-03,54.74,54.91,53.88,54.6,5304900
2022-05-04,54.85,56.46,54.4,56.39,5025300
2022-05-05,53.73,56.83,53.71,55.34,6842900
2022-05-06,54.49,54.61,52.28,53.15,5236400
2022-05-09,52.48,52.48,50.49,50.61,5314400
2022-05-10,51.73,51.85,49.84,50.37,4323300
2022-05-11,50.35,51.95,50.1,51.11,3899600
2022-05-12,50.7,51.68,50.36,51.67,3748600
